,0,1
0,94.0,6.0
1,96.0,4.0
2,92.0,8.0
3,92.0,8.0
4,92.0,8.0
5,93.0,7.0
6,97.0,3.0
7,94.0,6.0
8,94.0,6.0
9,97.0,3.0
10,94.0,6.0
11,98.0,2.0
12,91.0,9.0
13,96.0,4.0
14,90.0,10.0
15,92.0,8.0
16,94.0,6.0
17,92.0,8.0
18,93.0,7.0
19,92.0,8.0
20,94.0,6.0
21,93.0,7.0
22,93.0,7.0
23,94.0,6.0
24,91.0,9.0
25,93.0,7.0
26,91.0,9.0
27,95.0,5.0
28,95.0,5.0
29,93.0,7.0
30,94.0,6.0
31,95.0,5.0
32,92.0,8.0
33,90.0,10.0
34,93.0,7.0
35,92.0,8.0
36,97.0,3.0
37,92.0,8.0
38,93.0,7.0
39,96.0,4.0
40,93.0,7.0
41,96.0,4.0
42,93.0,7.0
43,94.0,6.0
44,94.0,6.0
45,95.0,5.0
46,95.0,5.0
47,96.0,4.0
48,94.0,6.0
49,97.0,3.0
50,94.0,6.0
51,99.0,1.0
52,96.0,4.0
53,96.0,4.0
54,97.0,3.0
55,92.0,8.0
56,97.0,3.0
57,93.0,7.0
58,94.0,6.0
59,98.0,2.0
60,94.0,6.0
61,92.0,8.0
62,95.0,5.0
63,97.0,3.0
64,95.0,5.0
65,95.0,5.0
66,96.0,4.0
67,95.0,5.0
68,95.0,5.0
69,93.0,7.0
70,83.0,17.0
71,90.0,10.0
72,92.0,8.0
73,94.0,6.0
74,96.0,4.0
75,95.0,5.0
76,95.0,5.0
77,93.0,7.0
78,95.0,5.0
79,94.0,6.0
80,95.0,5.0
81,93.0,7.0
82,96.0,4.0
83,91.0,9.0
84,95.0,5.0
85,92.0,8.0
86,90.0,10.0
87,97.0,3.0
88,96.0,4.0
89,93.0,7.0
90,95.0,5.0
91,92.0,8.0
92,89.0,11.0
93,94.0,6.0
94,96.0,4.0
95,94.0,6.0
96,95.0,5.0
97,95.0,5.0
98,91.0,9.0
99,97.0,3.0
100,91.0,9.0
101,91.0,9.0
102,97.0,3.0
103,93.0,7.0
104,97.0,3.0
105,97.0,3.0
106,93.0,7.0
107,93.0,7.0
108,95.0,5.0
109,95.0,5.0
110,95.0,5.0
111,95.0,5.0
112,90.0,10.0
113,96.0,4.0
114,90.0,10.0
115,86.0,14.0
116,96.0,4.0
117,97.0,3.0
118,90.0,10.0
119,96.0,4.0
120,95.0,5.0
121,92.0,8.0
122,96.0,4.0
123,48.0,52.0
124,91.0,9.0
125,95.0,5.0
126,90.0,10.0
127,91.0,9.0
128,92.0,8.0
129,92.0,8.0
130,94.0,6.0
131,96.0,4.0
132,94.0,6.0
133,93.0,7.0
134,93.0,7.0
135,96.0,4.0
136,93.0,7.0
137,93.0,7.0
138,94.0,6.0
139,92.0,8.0
140,93.0,7.0
141,92.0,8.0
142,88.0,12.0
143,94.0,6.0
144,93.0,7.0
145,95.0,5.0
146,96.0,4.0
147,92.0,8.0
148,91.0,9.0
149,92.0,8.0
150,91.0,9.0
151,93.0,7.0
152,95.0,5.0
153,94.0,6.0
154,91.0,9.0
155,92.0,8.0
156,95.0,5.0
157,97.0,3.0
158,97.0,3.0
159,95.0,5.0
160,95.0,5.0
161,95.0,5.0
162,92.0,8.0
163,84.0,16.0
164,89.0,11.0
165,95.0,5.0
166,98.0,2.0
167,94.0,6.0
168,97.0,3.0
169,92.0,8.0
170,91.0,9.0
171,89.0,11.0
172,95.0,5.0
173,94.0,6.0
174,97.0,3.0
175,95.0,5.0
176,91.0,9.0
177,94.0,6.0
178,96.0,4.0
179,94.0,6.0
180,93.0,7.0
181,70.0,30.0
182,94.0,6.0
183,86.0,14.0
184,97.0,3.0
185,96.0,4.0
186,94.0,6.0
187,92.0,8.0
188,93.0,7.0
189,97.0,3.0
190,95.0,5.0
191,95.0,5.0
192,96.0,4.0
193,95.0,5.0
194,94.0,6.0
195,89.0,11.0
196,93.0,7.0
197,95.0,5.0
198,92.0,8.0
199,93.0,7.0
200,95.0,5.0
201,96.0,4.0
202,95.0,5.0
203,95.0,5.0
204,93.0,7.0
205,91.0,9.0
206,98.0,2.0
207,92.0,8.0
208,94.0,6.0
209,97.0,3.0
210,94.0,6.0
211,94.0,6.0
212,94.0,6.0
213,96.0,4.0
214,90.0,10.0
215,92.0,8.0
216,76.0,24.0
217,96.0,4.0
218,93.0,7.0
219,95.0,5.0
220,95.0,5.0
221,96.0,4.0
222,93.0,7.0
223,95.0,5.0
224,91.0,9.0
225,94.0,6.0
226,97.0,3.0
227,95.0,5.0
228,95.0,5.0
229,74.0,26.0
230,93.0,7.0
231,92.0,8.0
232,95.0,5.0
233,93.0,7.0
234,95.0,5.0
235,94.0,6.0
236,89.0,11.0
237,95.0,5.0
238,90.0,10.0
239,93.0,7.0
240,94.0,6.0
241,94.0,6.0
242,93.0,7.0
243,92.0,8.0
244,96.0,4.0
245,94.0,6.0
246,93.0,7.0
247,94.0,6.0
248,93.0,7.0
249,91.0,9.0
250,90.0,10.0
251,97.0,3.0
252,96.0,4.0
253,91.0,9.0
254,94.0,6.0
255,91.0,9.0
256,93.0,7.0
257,96.0,4.0
258,93.0,7.0
259,93.0,7.0
260,93.0,7.0
261,95.0,5.0
262,94.0,6.0
263,92.0,8.0
264,96.0,4.0
265,96.0,4.0
266,93.0,7.0
267,92.0,8.0
268,92.0,8.0
269,93.0,7.0
270,94.0,6.0
271,93.0,7.0
272,95.0,5.0
273,97.0,3.0
274,93.0,7.0
275,94.0,6.0
276,95.0,5.0
277,98.0,2.0
278,95.0,5.0
279,93.0,7.0
280,91.0,9.0
281,96.0,4.0
282,96.0,4.0
283,97.0,3.0
284,93.0,7.0
285,95.0,5.0
286,95.0,5.0
287,94.0,6.0
288,91.0,9.0
289,93.0,7.0
290,92.0,8.0
291,94.0,6.0
292,96.0,4.0
293,93.0,7.0
294,92.0,8.0
295,95.0,5.0
296,93.0,7.0
297,96.0,4.0
298,93.0,7.0
299,99.0,1.0
300,96.0,4.0
301,93.0,7.0
302,96.0,4.0
303,98.0,2.0
304,96.0,4.0
305,94.0,6.0
306,96.0,4.0
307,95.0,5.0
308,98.0,2.0
309,94.0,6.0
310,95.0,5.0
311,93.0,7.0
312,92.0,8.0
313,94.0,6.0
314,94.0,6.0
315,92.0,8.0
316,99.0,1.0
317,91.0,9.0
318,93.0,7.0
319,91.0,9.0
320,96.0,4.0
321,91.0,9.0
322,94.0,6.0
323,94.0,6.0
324,94.0,6.0
325,92.0,8.0
326,95.0,5.0
327,94.0,6.0
328,95.0,5.0
329,94.0,6.0
330,92.0,8.0
331,95.0,5.0
332,95.0,5.0
333,94.0,6.0
334,91.0,9.0
335,93.0,7.0
336,94.0,6.0
337,95.0,5.0
338,98.0,2.0
339,94.0,6.0
340,96.0,4.0
341,96.0,4.0
342,91.0,9.0
343,92.0,8.0
344,95.0,5.0
345,91.0,9.0
346,93.0,7.0
347,93.0,7.0
348,93.0,7.0
349,89.0,11.0
350,93.0,7.0
351,93.0,7.0
352,63.0,37.0
353,94.0,6.0
354,96.0,4.0
355,96.0,4.0
356,92.0,8.0
357,95.0,5.0
358,96.0,4.0
359,93.0,7.0
360,87.0,13.0
361,91.0,9.0
362,98.0,2.0
363,96.0,4.0
364,96.0,4.0
365,95.0,5.0
366,93.0,7.0
367,92.0,8.0
368,93.0,7.0
369,91.0,9.0
370,91.0,9.0
371,92.0,8.0
372,97.0,3.0
373,93.0,7.0
374,94.0,6.0
375,93.0,7.0
376,94.0,6.0
377,93.0,7.0
378,97.0,3.0
379,93.0,7.0
380,87.0,13.0
381,93.0,7.0
382,91.0,9.0
383,93.0,7.0
384,95.0,5.0
385,92.0,8.0
386,94.0,6.0
387,93.0,7.0
388,97.0,3.0
389,95.0,5.0
390,94.0,6.0
391,94.0,6.0
392,95.0,5.0
393,95.0,5.0
394,95.0,5.0
395,93.0,7.0
396,93.0,7.0
397,93.0,7.0
398,93.0,7.0
399,93.0,7.0
400,91.0,9.0
401,94.0,6.0
402,84.0,16.0
403,94.0,6.0
404,92.0,8.0
405,93.0,7.0
406,96.0,4.0
407,90.0,10.0
408,88.0,12.0
409,97.0,3.0
410,96.0,4.0
411,94.0,6.0
412,94.0,6.0
413,92.0,8.0
414,92.0,8.0
415,93.0,7.0
416,91.0,9.0
417,90.0,10.0
418,93.0,7.0
419,92.0,8.0
420,92.0,8.0
421,91.0,9.0
422,90.0,10.0
423,96.0,4.0
424,93.0,7.0
425,91.0,9.0
426,87.0,13.0
427,93.0,7.0
428,93.0,7.0
429,95.0,5.0
430,90.0,10.0
431,96.0,4.0
432,94.0,6.0
433,96.0,4.0
434,98.0,2.0
435,90.0,10.0
436,91.0,9.0
437,95.0,5.0
438,92.0,8.0
439,95.0,5.0
440,95.0,5.0
441,89.0,11.0
442,96.0,4.0
443,97.0,3.0
444,97.0,3.0
445,92.0,8.0
446,95.0,5.0
447,97.0,3.0
448,91.0,9.0
449,95.0,5.0
450,90.0,10.0
451,94.0,6.0
452,96.0,4.0
453,88.0,12.0
454,92.0,8.0
455,84.0,16.0
456,96.0,4.0
457,89.0,11.0
458,94.0,6.0
459,92.0,8.0
460,93.0,7.0
461,95.0,5.0
462,94.0,6.0
463,98.0,2.0
464,92.0,8.0
465,92.0,8.0
466,96.0,4.0
467,90.0,10.0
468,92.0,8.0
469,91.0,9.0
470,93.0,7.0
471,93.0,7.0
472,92.0,8.0
473,94.0,6.0
474,94.0,6.0
475,94.0,6.0
476,94.0,6.0
477,92.0,8.0
478,93.0,7.0
479,93.0,7.0
480,91.0,9.0
481,94.0,6.0
482,92.0,8.0
483,96.0,4.0
484,95.0,5.0
485,94.0,6.0
486,96.0,4.0
487,93.0,7.0
488,93.0,7.0
489,98.0,2.0
490,90.0,10.0
491,90.0,10.0
492,95.0,5.0
493,94.0,6.0
494,95.0,5.0
495,98.0,2.0
496,90.0,10.0
497,94.0,6.0
498,94.0,6.0
499,94.0,6.0
500,98.0,2.0
501,94.0,6.0
502,97.0,3.0
503,95.0,5.0
504,97.0,3.0
505,91.0,9.0
506,95.0,5.0
507,90.0,10.0
508,93.0,7.0
509,93.0,7.0
510,92.0,8.0
511,95.0,5.0
512,88.0,12.0
513,95.0,5.0
514,95.0,5.0
515,95.0,5.0
516,92.0,8.0
517,93.0,7.0
518,94.0,6.0
519,93.0,7.0
520,88.0,12.0
521,93.0,7.0
522,96.0,4.0
523,93.0,7.0
524,92.0,8.0
525,94.0,6.0
526,93.0,7.0
527,95.0,5.0
528,93.0,7.0
529,96.0,4.0
530,88.0,12.0
531,89.0,11.0
532,98.0,2.0
533,94.0,6.0
534,92.0,8.0
535,90.0,10.0
536,97.0,3.0
537,95.0,5.0
538,91.0,9.0
539,96.0,4.0
540,94.0,6.0
541,96.0,4.0
542,91.0,9.0
543,95.0,5.0
544,93.0,7.0
545,93.0,7.0
546,96.0,4.0
547,96.0,4.0
548,97.0,3.0
549,93.0,7.0
550,90.0,10.0
551,92.0,8.0
552,94.0,6.0
553,95.0,5.0
554,90.0,10.0
555,95.0,5.0
556,91.0,9.0
557,96.0,4.0
