,0,1
0,93.0,7.0
1,95.0,5.0
2,95.0,5.0
3,92.0,8.0
4,95.0,5.0
5,97.0,3.0
6,91.0,9.0
7,94.0,6.0
8,91.0,9.0
9,96.0,4.0
10,94.0,6.0
11,89.0,11.0
12,94.0,6.0
13,94.0,6.0
14,93.0,7.0
15,96.0,4.0
16,96.0,4.0
17,95.0,5.0
18,92.0,8.0
19,91.0,9.0
20,93.0,7.0
21,93.0,7.0
22,94.0,6.0
23,87.0,13.0
24,95.0,5.0
25,95.0,5.0
26,91.0,9.0
27,93.0,7.0
28,94.0,6.0
29,94.0,6.0
30,94.0,6.0
31,93.0,7.0
32,93.0,7.0
33,95.0,5.0
34,94.0,6.0
35,97.0,3.0
36,93.0,7.0
37,93.0,7.0
38,96.0,4.0
39,93.0,7.0
40,96.0,4.0
41,97.0,3.0
42,93.0,7.0
43,91.0,9.0
44,92.0,8.0
45,95.0,5.0
46,97.0,3.0
47,95.0,5.0
48,94.0,6.0
49,95.0,5.0
50,94.0,6.0
51,93.0,7.0
52,91.0,9.0
53,97.0,3.0
54,96.0,4.0
55,91.0,9.0
56,95.0,5.0
57,93.0,7.0
58,95.0,5.0
59,93.0,7.0
60,96.0,4.0
61,92.0,8.0
62,96.0,4.0
63,91.0,9.0
64,93.0,7.0
65,94.0,6.0
66,95.0,5.0
67,92.0,8.0
68,92.0,8.0
69,92.0,8.0
70,92.0,8.0
71,94.0,6.0
72,94.0,6.0
73,96.0,4.0
74,92.0,8.0
75,92.0,8.0
76,93.0,7.0
77,97.0,3.0
78,93.0,7.0
79,88.0,12.0
80,94.0,6.0
81,93.0,7.0
82,93.0,7.0
83,96.0,4.0
84,93.0,7.0
85,95.0,5.0
86,93.0,7.0
87,96.0,4.0
88,95.0,5.0
89,93.0,7.0
90,94.0,6.0
91,96.0,4.0
92,96.0,4.0
93,93.0,7.0
94,94.0,6.0
95,98.0,2.0
96,93.0,7.0
97,91.0,9.0
98,95.0,5.0
99,94.0,6.0
100,93.0,7.0
101,90.0,10.0
102,96.0,4.0
103,91.0,9.0
104,94.0,6.0
105,94.0,6.0
106,95.0,5.0
107,93.0,7.0
108,93.0,7.0
109,94.0,6.0
110,96.0,4.0
111,93.0,7.0
112,92.0,8.0
113,91.0,9.0
114,95.0,5.0
115,89.0,11.0
116,96.0,4.0
117,92.0,8.0
118,93.0,7.0
119,89.0,11.0
120,92.0,8.0
121,92.0,8.0
122,91.0,9.0
123,92.0,8.0
124,96.0,4.0
125,90.0,10.0
126,95.0,5.0
127,92.0,8.0
128,96.0,4.0
129,91.0,9.0
130,96.0,4.0
131,88.0,12.0
132,92.0,8.0
133,98.0,2.0
134,91.0,9.0
135,94.0,6.0
136,94.0,6.0
137,92.0,8.0
138,96.0,4.0
139,96.0,4.0
140,95.0,5.0
141,95.0,5.0
142,94.0,6.0
143,96.0,4.0
144,89.0,11.0
145,96.0,4.0
146,90.0,10.0
147,94.0,6.0
148,94.0,6.0
149,94.0,6.0
150,91.0,9.0
151,94.0,6.0
152,93.0,7.0
153,93.0,7.0
154,91.0,9.0
155,95.0,5.0
156,91.0,9.0
157,94.0,6.0
158,98.0,2.0
159,92.0,8.0
160,93.0,7.0
161,97.0,3.0
162,95.0,5.0
163,92.0,8.0
164,93.0,7.0
165,91.0,9.0
166,86.0,14.0
167,93.0,7.0
168,83.0,17.0
169,89.0,11.0
170,87.0,13.0
171,93.0,7.0
172,95.0,5.0
173,94.0,6.0
174,96.0,4.0
175,83.0,17.0
176,93.0,7.0
177,92.0,8.0
178,95.0,5.0
179,96.0,4.0
180,96.0,4.0
181,88.0,12.0
182,94.0,6.0
183,94.0,6.0
184,91.0,9.0
185,90.0,10.0
186,93.0,7.0
187,97.0,3.0
188,98.0,2.0
189,89.0,11.0
190,95.0,5.0
191,86.0,14.0
192,93.0,7.0
193,92.0,8.0
194,92.0,8.0
195,93.0,7.0
196,92.0,8.0
197,93.0,7.0
198,95.0,5.0
199,91.0,9.0
200,96.0,4.0
201,95.0,5.0
202,94.0,6.0
203,93.0,7.0
204,91.0,9.0
205,85.0,15.0
206,96.0,4.0
207,94.0,6.0
208,92.0,8.0
209,95.0,5.0
210,91.0,9.0
211,94.0,6.0
212,95.0,5.0
213,96.0,4.0
214,95.0,5.0
215,91.0,9.0
216,90.0,10.0
217,97.0,3.0
218,92.0,8.0
219,92.0,8.0
220,92.0,8.0
221,93.0,7.0
222,88.0,12.0
223,95.0,5.0
224,94.0,6.0
225,94.0,6.0
226,94.0,6.0
227,93.0,7.0
228,95.0,5.0
229,94.0,6.0
230,92.0,8.0
231,95.0,5.0
232,88.0,12.0
233,92.0,8.0
234,96.0,4.0
235,91.0,9.0
236,91.0,9.0
237,91.0,9.0
238,95.0,5.0
239,94.0,6.0
240,93.0,7.0
241,94.0,6.0
242,97.0,3.0
243,96.0,4.0
244,92.0,8.0
245,95.0,5.0
246,96.0,4.0
247,94.0,6.0
248,95.0,5.0
249,92.0,8.0
250,91.0,9.0
251,92.0,8.0
252,94.0,6.0
253,91.0,9.0
254,95.0,5.0
255,97.0,3.0
256,97.0,3.0
257,88.0,12.0
258,94.0,6.0
259,91.0,9.0
260,93.0,7.0
261,91.0,9.0
262,94.0,6.0
263,94.0,6.0
264,92.0,8.0
265,93.0,7.0
266,93.0,7.0
267,92.0,8.0
268,94.0,6.0
269,92.0,8.0
270,91.0,9.0
271,97.0,3.0
272,96.0,4.0
273,97.0,3.0
274,93.0,7.0
275,97.0,3.0
276,95.0,5.0
277,93.0,7.0
278,89.0,11.0
279,97.0,3.0
280,90.0,10.0
281,93.0,7.0
282,84.0,16.0
283,96.0,4.0
284,95.0,5.0
285,94.0,6.0
286,94.0,6.0
287,94.0,6.0
288,84.0,16.0
289,89.0,11.0
290,96.0,4.0
291,96.0,4.0
292,93.0,7.0
293,93.0,7.0
294,93.0,7.0
295,91.0,9.0
296,90.0,10.0
297,93.0,7.0
298,97.0,3.0
299,94.0,6.0
300,87.0,13.0
301,91.0,9.0
302,91.0,9.0
303,96.0,4.0
304,95.0,5.0
305,91.0,9.0
306,94.0,6.0
307,95.0,5.0
308,95.0,5.0
309,95.0,5.0
310,95.0,5.0
311,94.0,6.0
312,94.0,6.0
313,91.0,9.0
314,96.0,4.0
315,94.0,6.0
316,91.0,9.0
317,94.0,6.0
318,93.0,7.0
319,97.0,3.0
320,92.0,8.0
321,95.0,5.0
322,95.0,5.0
323,89.0,11.0
324,94.0,6.0
325,95.0,5.0
326,95.0,5.0
327,91.0,9.0
328,96.0,4.0
329,96.0,4.0
330,95.0,5.0
331,93.0,7.0
332,93.0,7.0
333,88.0,12.0
334,97.0,3.0
335,92.0,8.0
336,92.0,8.0
337,93.0,7.0
338,95.0,5.0
339,96.0,4.0
340,93.0,7.0
341,95.0,5.0
342,91.0,9.0
343,95.0,5.0
344,94.0,6.0
345,96.0,4.0
346,93.0,7.0
347,90.0,10.0
348,97.0,3.0
349,93.0,7.0
350,90.0,10.0
351,94.0,6.0
352,92.0,8.0
353,95.0,5.0
354,95.0,5.0
355,94.0,6.0
356,92.0,8.0
357,92.0,8.0
358,89.0,11.0
359,95.0,5.0
360,93.0,7.0
361,94.0,6.0
362,94.0,6.0
363,91.0,9.0
364,90.0,10.0
365,89.0,11.0
366,87.0,13.0
367,94.0,6.0
368,94.0,6.0
369,90.0,10.0
370,93.0,7.0
371,94.0,6.0
372,90.0,10.0
373,89.0,11.0
374,94.0,6.0
375,91.0,9.0
376,92.0,8.0
377,95.0,5.0
378,95.0,5.0
379,95.0,5.0
380,86.0,14.0
381,92.0,8.0
382,91.0,9.0
383,96.0,4.0
384,93.0,7.0
385,95.0,5.0
386,96.0,4.0
387,92.0,8.0
388,93.0,7.0
389,93.0,7.0
390,93.0,7.0
391,96.0,4.0
392,90.0,10.0
393,89.0,11.0
394,89.0,11.0
395,92.0,8.0
396,93.0,7.0
397,95.0,5.0
398,93.0,7.0
399,95.0,5.0
400,90.0,10.0
401,97.0,3.0
402,96.0,4.0
403,91.0,9.0
404,93.0,7.0
405,93.0,7.0
406,90.0,10.0
407,96.0,4.0
408,96.0,4.0
409,92.0,8.0
410,94.0,6.0
411,94.0,6.0
412,93.0,7.0
413,94.0,6.0
414,97.0,3.0
415,93.0,7.0
416,90.0,10.0
417,96.0,4.0
418,94.0,6.0
419,97.0,3.0
420,91.0,9.0
421,94.0,6.0
422,97.0,3.0
423,93.0,7.0
424,92.0,8.0
425,83.0,17.0
426,93.0,7.0
427,89.0,11.0
428,95.0,5.0
429,94.0,6.0
430,91.0,9.0
431,95.0,5.0
432,91.0,9.0
433,95.0,5.0
434,98.0,2.0
435,94.0,6.0
436,95.0,5.0
437,89.0,11.0
438,89.0,11.0
439,97.0,3.0
440,91.0,9.0
441,96.0,4.0
442,92.0,8.0
443,92.0,8.0
444,93.0,7.0
445,92.0,8.0
446,95.0,5.0
447,93.0,7.0
448,98.0,2.0
449,95.0,5.0
450,93.0,7.0
451,92.0,8.0
452,94.0,6.0
453,94.0,6.0
454,93.0,7.0
455,92.0,8.0
456,92.0,8.0
457,93.0,7.0
458,95.0,5.0
459,91.0,9.0
460,93.0,7.0
461,93.0,7.0
462,92.0,8.0
463,95.0,5.0
464,96.0,4.0
465,95.0,5.0
466,92.0,8.0
467,95.0,5.0
468,97.0,3.0
469,94.0,6.0
470,92.0,8.0
471,91.0,9.0
472,92.0,8.0
473,98.0,2.0
474,85.0,15.0
475,96.0,4.0
476,92.0,8.0
477,93.0,7.0
478,97.0,3.0
479,94.0,6.0
480,93.0,7.0
481,95.0,5.0
482,94.0,6.0
483,94.0,6.0
484,89.0,11.0
485,92.0,8.0
486,95.0,5.0
487,91.0,9.0
488,91.0,9.0
489,95.0,5.0
490,94.0,6.0
491,95.0,5.0
492,94.0,6.0
493,90.0,10.0
494,89.0,11.0
495,95.0,5.0
496,94.0,6.0
497,97.0,3.0
498,92.0,8.0
499,96.0,4.0
500,94.0,6.0
501,98.0,2.0
502,93.0,7.0
503,92.0,8.0
504,97.0,3.0
505,95.0,5.0
506,94.0,6.0
507,94.0,6.0
508,92.0,8.0
509,95.0,5.0
510,95.0,5.0
511,94.0,6.0
512,92.0,8.0
513,96.0,4.0
514,94.0,6.0
515,93.0,7.0
516,92.0,8.0
517,92.0,8.0
518,95.0,5.0
519,95.0,5.0
520,96.0,4.0
521,97.0,3.0
522,91.0,9.0
523,95.0,5.0
524,96.0,4.0
525,94.0,6.0
526,92.0,8.0
527,92.0,8.0
528,96.0,4.0
529,92.0,8.0
530,96.0,4.0
531,91.0,9.0
532,94.0,6.0
533,95.0,5.0
534,93.0,7.0
535,95.0,5.0
536,96.0,4.0
537,95.0,5.0
538,90.0,10.0
539,93.0,7.0
540,88.0,12.0
541,93.0,7.0
542,96.0,4.0
543,98.0,2.0
544,91.0,9.0
545,95.0,5.0
546,91.0,9.0
547,96.0,4.0
548,95.0,5.0
549,93.0,7.0
550,91.0,9.0
551,96.0,4.0
552,91.0,9.0
553,91.0,9.0
554,95.0,5.0
555,92.0,8.0
556,93.0,7.0
557,95.0,5.0
558,96.0,4.0
559,95.0,5.0
560,90.0,10.0
561,74.0,26.0
562,91.0,9.0
563,96.0,4.0
564,91.0,9.0
565,92.0,8.0
566,92.0,8.0
567,93.0,7.0
568,91.0,9.0
569,95.0,5.0
570,93.0,7.0
571,96.0,4.0
572,93.0,7.0
573,95.0,5.0
574,94.0,6.0
575,93.0,7.0
576,90.0,10.0
577,91.0,9.0
578,94.0,6.0
579,93.0,7.0
580,83.0,17.0
