,0,1
0,86.0,14.0
1,79.0,21.0
2,90.0,10.0
3,91.0,9.0
4,88.0,12.0
5,89.0,11.0
6,92.0,8.0
7,83.0,17.0
8,91.0,9.0
9,90.0,10.0
10,90.0,10.0
11,87.0,13.0
12,90.0,10.0
13,91.0,9.0
14,89.0,11.0
15,89.0,11.0
16,91.0,9.0
17,88.0,12.0
18,91.0,9.0
19,91.0,9.0
20,85.0,15.0
21,89.0,11.0
22,89.0,11.0
23,90.0,10.0
24,92.0,8.0
25,90.0,10.0
26,93.0,7.0
27,90.0,10.0
28,92.0,8.0
29,90.0,10.0
30,91.0,9.0
31,90.0,10.0
32,89.0,11.0
33,91.0,9.0
34,93.0,7.0
35,90.0,10.0
36,86.0,14.0
37,87.0,13.0
38,92.0,8.0
39,85.0,15.0
40,85.0,15.0
41,91.0,9.0
42,92.0,8.0
43,88.0,12.0
44,89.0,11.0
45,89.0,11.0
46,88.0,12.0
47,90.0,10.0
48,90.0,10.0
49,89.0,11.0
50,88.0,12.0
51,93.0,7.0
52,84.0,16.0
53,92.0,8.0
54,92.0,8.0
55,91.0,9.0
56,89.0,11.0
57,88.0,12.0
58,91.0,9.0
59,85.0,15.0
60,90.0,10.0
61,89.0,11.0
62,83.0,17.0
63,92.0,8.0
64,91.0,9.0
65,90.0,10.0
66,90.0,10.0
67,87.0,13.0
68,89.0,11.0
69,90.0,10.0
70,92.0,8.0
71,89.0,11.0
72,89.0,11.0
73,87.0,13.0
74,93.0,7.0
75,88.0,12.0
76,91.0,9.0
77,89.0,11.0
78,90.0,10.0
79,89.0,11.0
80,91.0,9.0
81,87.0,13.0
82,88.0,12.0
83,87.0,13.0
84,92.0,8.0
85,86.0,14.0
86,87.0,13.0
87,87.0,13.0
88,85.0,15.0
89,93.0,7.0
90,88.0,12.0
91,89.0,11.0
92,90.0,10.0
93,84.0,16.0
94,84.0,16.0
95,90.0,10.0
96,92.0,8.0
97,88.0,12.0
98,87.0,13.0
99,89.0,11.0
100,88.0,12.0
101,92.0,8.0
102,86.0,14.0
103,82.0,18.0
104,89.0,11.0
105,87.0,13.0
106,87.0,13.0
107,89.0,11.0
108,90.0,10.0
109,91.0,9.0
110,85.0,15.0
111,86.0,14.0
112,90.0,10.0
113,86.0,14.0
114,84.0,16.0
115,89.0,11.0
116,84.0,16.0
117,91.0,9.0
118,82.0,18.0
119,88.0,12.0
120,91.0,9.0
121,90.0,10.0
122,90.0,10.0
123,91.0,9.0
124,89.0,11.0
125,91.0,9.0
126,91.0,9.0
127,89.0,11.0
128,89.0,11.0
129,82.0,18.0
130,91.0,9.0
131,84.0,16.0
132,89.0,11.0
133,89.0,11.0
134,87.0,13.0
135,90.0,10.0
136,90.0,10.0
137,84.0,16.0
138,83.0,17.0
139,86.0,14.0
140,87.0,13.0
141,84.0,16.0
142,90.0,10.0
143,91.0,9.0
144,93.0,7.0
145,91.0,9.0
146,91.0,9.0
147,89.0,11.0
148,89.0,11.0
149,91.0,9.0
150,92.0,8.0
151,89.0,11.0
152,90.0,10.0
153,89.0,11.0
154,89.0,11.0
155,85.0,15.0
156,92.0,8.0
157,89.0,11.0
158,87.0,13.0
159,91.0,9.0
160,87.0,13.0
161,86.0,14.0
162,93.0,7.0
163,87.0,13.0
164,88.0,12.0
165,88.0,12.0
166,90.0,10.0
167,87.0,13.0
168,88.0,12.0
169,90.0,10.0
170,89.0,11.0
171,87.0,13.0
172,90.0,10.0
173,92.0,8.0
174,91.0,9.0
175,91.0,9.0
176,87.0,13.0
177,86.0,14.0
178,90.0,10.0
179,90.0,10.0
180,83.0,17.0
181,92.0,8.0
182,90.0,10.0
183,87.0,13.0
184,92.0,8.0
185,86.0,14.0
186,84.0,16.0
187,91.0,9.0
188,86.0,14.0
189,92.0,8.0
190,89.0,11.0
191,91.0,9.0
192,89.0,11.0
193,90.0,10.0
194,87.0,13.0
195,91.0,9.0
196,85.0,15.0
197,90.0,10.0
198,90.0,10.0
199,92.0,8.0
200,89.0,11.0
201,91.0,9.0
202,90.0,10.0
203,90.0,10.0
204,90.0,10.0
205,91.0,9.0
206,92.0,8.0
207,85.0,15.0
208,92.0,8.0
209,90.0,10.0
210,85.0,15.0
211,88.0,12.0
212,88.0,12.0
213,89.0,11.0
214,92.0,8.0
215,90.0,10.0
216,90.0,10.0
217,91.0,9.0
218,90.0,10.0
219,90.0,10.0
220,88.0,12.0
221,92.0,8.0
222,81.0,19.0
223,80.0,20.0
224,87.0,13.0
225,83.0,17.0
226,90.0,10.0
227,89.0,11.0
228,91.0,9.0
229,86.0,14.0
230,90.0,10.0
231,90.0,10.0
232,92.0,8.0
233,89.0,11.0
234,88.0,12.0
235,87.0,13.0
236,93.0,7.0
237,93.0,7.0
238,88.0,12.0
239,87.0,13.0
240,91.0,9.0
241,89.0,11.0
242,87.0,13.0
243,89.0,11.0
244,89.0,11.0
245,85.0,15.0
246,87.0,13.0
247,89.0,11.0
248,79.0,21.0
249,90.0,10.0
250,90.0,10.0
251,84.0,16.0
252,89.0,11.0
253,90.0,10.0
254,86.0,14.0
255,88.0,12.0
256,90.0,10.0
257,87.0,13.0
258,88.0,12.0
259,90.0,10.0
260,91.0,9.0
261,79.0,21.0
262,87.0,13.0
263,91.0,9.0
264,92.0,8.0
265,88.0,12.0
266,89.0,11.0
267,85.0,15.0
268,88.0,12.0
269,92.0,8.0
270,92.0,8.0
271,82.0,18.0
272,88.0,12.0
273,89.0,11.0
274,90.0,10.0
275,87.0,13.0
276,87.0,13.0
277,90.0,10.0
278,88.0,12.0
279,90.0,10.0
280,93.0,7.0
281,83.0,17.0
282,85.0,15.0
283,89.0,11.0
284,87.0,13.0
285,93.0,7.0
286,90.0,10.0
287,92.0,8.0
288,85.0,15.0
289,76.0,24.0
290,85.0,15.0
291,91.0,9.0
292,82.0,18.0
293,89.0,11.0
294,85.0,15.0
295,88.0,12.0
296,88.0,12.0
297,92.0,8.0
298,92.0,8.0
299,89.0,11.0
300,88.0,12.0
301,89.0,11.0
302,89.0,11.0
303,84.0,16.0
304,88.0,12.0
305,91.0,9.0
306,92.0,8.0
307,92.0,8.0
308,86.0,14.0
309,81.0,19.0
310,92.0,8.0
311,89.0,11.0
312,91.0,9.0
313,87.0,13.0
314,88.0,12.0
315,92.0,8.0
316,87.0,13.0
317,84.0,16.0
318,89.0,11.0
319,88.0,12.0
320,85.0,15.0
321,89.0,11.0
322,87.0,13.0
323,80.0,20.0
324,89.0,11.0
325,88.0,12.0
326,81.0,19.0
327,91.0,9.0
328,89.0,11.0
329,87.0,13.0
330,90.0,10.0
331,89.0,11.0
332,90.0,10.0
333,90.0,10.0
334,88.0,12.0
335,88.0,12.0
336,90.0,10.0
