,0,1
0,87.0,13.0
1,89.0,11.0
2,88.0,12.0
3,82.0,18.0
4,92.0,8.0
5,91.0,9.0
6,88.0,12.0
7,87.0,13.0
8,90.0,10.0
9,90.0,10.0
10,93.0,7.0
11,88.0,12.0
12,89.0,11.0
13,91.0,9.0
14,92.0,8.0
15,83.0,17.0
16,81.0,19.0
17,85.0,15.0
18,90.0,10.0
19,87.0,13.0
20,91.0,9.0
21,91.0,9.0
22,91.0,9.0
23,90.0,10.0
24,91.0,9.0
25,93.0,7.0
26,89.0,11.0
27,90.0,10.0
28,90.0,10.0
29,89.0,11.0
30,92.0,8.0
31,93.0,7.0
32,86.0,14.0
33,92.0,8.0
34,92.0,8.0
35,92.0,8.0
36,85.0,15.0
37,92.0,8.0
38,93.0,7.0
39,85.0,15.0
40,90.0,10.0
41,80.0,20.0
42,84.0,16.0
43,86.0,14.0
44,90.0,10.0
45,87.0,13.0
46,82.0,18.0
47,87.0,13.0
48,90.0,10.0
49,90.0,10.0
50,88.0,12.0
51,86.0,14.0
52,82.0,18.0
53,92.0,8.0
54,87.0,13.0
55,83.0,17.0
56,91.0,9.0
57,85.0,15.0
58,90.0,10.0
59,87.0,13.0
60,92.0,8.0
61,87.0,13.0
62,90.0,10.0
63,86.0,14.0
64,87.0,13.0
65,91.0,9.0
66,90.0,10.0
67,92.0,8.0
68,88.0,12.0
69,87.0,13.0
70,87.0,13.0
71,91.0,9.0
72,89.0,11.0
73,92.0,8.0
74,91.0,9.0
75,90.0,10.0
76,88.0,12.0
77,93.0,7.0
78,77.0,23.0
79,93.0,7.0
80,89.0,11.0
81,88.0,12.0
82,90.0,10.0
83,89.0,11.0
84,89.0,11.0
85,89.0,11.0
86,88.0,12.0
87,88.0,12.0
88,85.0,15.0
89,87.0,13.0
90,89.0,11.0
91,88.0,12.0
92,91.0,9.0
93,82.0,18.0
94,87.0,13.0
95,92.0,8.0
96,87.0,13.0
97,83.0,17.0
98,88.0,12.0
99,90.0,10.0
100,92.0,8.0
101,87.0,13.0
102,81.0,19.0
103,86.0,14.0
104,93.0,7.0
105,91.0,9.0
106,92.0,8.0
107,90.0,10.0
108,92.0,8.0
109,85.0,15.0
110,93.0,7.0
111,90.0,10.0
112,85.0,15.0
113,89.0,11.0
114,90.0,10.0
115,80.0,20.0
116,86.0,14.0
117,83.0,17.0
118,89.0,11.0
119,90.0,10.0
120,89.0,11.0
121,92.0,8.0
122,92.0,8.0
123,93.0,7.0
124,92.0,8.0
125,82.0,18.0
126,85.0,15.0
127,92.0,8.0
128,89.0,11.0
129,92.0,8.0
130,88.0,12.0
131,84.0,16.0
132,92.0,8.0
133,89.0,11.0
134,88.0,12.0
135,90.0,10.0
136,89.0,11.0
137,90.0,10.0
138,88.0,12.0
139,87.0,13.0
140,90.0,10.0
141,92.0,8.0
142,90.0,10.0
143,92.0,8.0
144,92.0,8.0
145,89.0,11.0
146,89.0,11.0
147,88.0,12.0
148,89.0,11.0
149,93.0,7.0
150,92.0,8.0
151,86.0,14.0
152,85.0,15.0
153,82.0,18.0
154,89.0,11.0
155,88.0,12.0
156,83.0,17.0
157,91.0,9.0
