,0,1
0,94.0,6.0
1,95.0,5.0
2,98.0,2.0
3,98.0,2.0
4,88.0,12.0
5,98.0,2.0
6,96.0,4.0
7,98.0,2.0
8,98.0,2.0
9,93.0,7.0
10,97.0,3.0
11,95.0,5.0
12,96.0,4.0
13,95.0,5.0
14,98.0,2.0
15,95.0,5.0
16,95.0,5.0
17,97.0,3.0
18,96.0,4.0
19,95.0,5.0
20,96.0,4.0
21,96.0,4.0
22,96.0,4.0
23,98.0,2.0
24,95.0,5.0
25,92.0,8.0
26,96.0,4.0
27,92.0,8.0
28,95.0,5.0
29,96.0,4.0
30,97.0,3.0
31,98.0,2.0
32,98.0,2.0
33,97.0,3.0
34,95.0,5.0
35,96.0,4.0
36,95.0,5.0
37,97.0,3.0
38,95.0,5.0
39,95.0,5.0
40,97.0,3.0
41,98.0,2.0
42,97.0,3.0
43,97.0,3.0
44,95.0,5.0
45,97.0,3.0
46,93.0,7.0
47,98.0,2.0
48,98.0,2.0
49,94.0,6.0
50,94.0,6.0
51,96.0,4.0
52,98.0,2.0
53,98.0,2.0
54,95.0,5.0
55,97.0,3.0
56,99.0,1.0
57,97.0,3.0
58,97.0,3.0
59,98.0,2.0
60,98.0,2.0
61,98.0,2.0
62,95.0,5.0
63,99.0,1.0
64,86.0,14.0
65,97.0,3.0
66,94.0,6.0
67,95.0,5.0
68,97.0,3.0
69,97.0,3.0
70,98.0,2.0
71,97.0,3.0
72,97.0,3.0
73,89.0,11.0
74,94.0,6.0
75,93.0,7.0
76,93.0,7.0
77,91.0,9.0
78,99.0,1.0
79,97.0,3.0
80,95.0,5.0
81,97.0,3.0
82,96.0,4.0
83,96.0,4.0
84,95.0,5.0
85,94.0,6.0
86,95.0,5.0
87,98.0,2.0
88,98.0,2.0
89,93.0,7.0
90,87.0,13.0
91,96.0,4.0
92,97.0,3.0
93,98.0,2.0
94,97.0,3.0
95,93.0,7.0
96,97.0,3.0
97,95.0,5.0
98,98.0,2.0
99,95.0,5.0
100,96.0,4.0
101,97.0,3.0
102,97.0,3.0
103,94.0,6.0
104,98.0,2.0
105,98.0,2.0
106,93.0,7.0
107,95.0,5.0
108,96.0,4.0
109,94.0,6.0
110,95.0,5.0
111,95.0,5.0
112,97.0,3.0
113,97.0,3.0
114,96.0,4.0
115,91.0,9.0
116,90.0,10.0
117,94.0,6.0
118,96.0,4.0
119,98.0,2.0
120,94.0,6.0
121,95.0,5.0
122,95.0,5.0
123,94.0,6.0
124,98.0,2.0
125,92.0,8.0
126,97.0,3.0
127,97.0,3.0
128,96.0,4.0
129,98.0,2.0
130,95.0,5.0
131,97.0,3.0
132,97.0,3.0
133,97.0,3.0
134,93.0,7.0
135,97.0,3.0
136,98.0,2.0
137,94.0,6.0
138,95.0,5.0
139,98.0,2.0
140,98.0,2.0
141,98.0,2.0
142,98.0,2.0
143,96.0,4.0
144,96.0,4.0
145,95.0,5.0
146,93.0,7.0
147,98.0,2.0
148,95.0,5.0
149,98.0,2.0
150,96.0,4.0
151,95.0,5.0
152,98.0,2.0
153,93.0,7.0
154,98.0,2.0
155,96.0,4.0
156,97.0,3.0
157,86.0,14.0
158,95.0,5.0
159,97.0,3.0
160,97.0,3.0
161,94.0,6.0
162,98.0,2.0
163,96.0,4.0
164,94.0,6.0
165,95.0,5.0
166,96.0,4.0
167,98.0,2.0
168,92.0,8.0
169,95.0,5.0
170,98.0,2.0
171,93.0,7.0
172,98.0,2.0
173,89.0,11.0
174,98.0,2.0
175,92.0,8.0
176,98.0,2.0
177,98.0,2.0
178,95.0,5.0
179,99.0,1.0
180,96.0,4.0
181,97.0,3.0
182,98.0,2.0
183,96.0,4.0
184,93.0,7.0
185,96.0,4.0
186,95.0,5.0
187,97.0,3.0
188,96.0,4.0
189,94.0,6.0
190,87.0,13.0
191,95.0,5.0
192,97.0,3.0
193,98.0,2.0
194,95.0,5.0
195,98.0,2.0
196,96.0,4.0
197,97.0,3.0
198,97.0,3.0
199,98.0,2.0
200,98.0,2.0
201,93.0,7.0
202,97.0,3.0
203,95.0,5.0
204,99.0,1.0
205,94.0,6.0
206,95.0,5.0
207,95.0,5.0
208,96.0,4.0
209,92.0,8.0
210,79.0,21.0
211,91.0,9.0
212,93.0,7.0
213,96.0,4.0
214,88.0,12.0
215,98.0,2.0
216,95.0,5.0
217,96.0,4.0
218,98.0,2.0
