,0,1,2,3,4
0,83.0,2.0,6.0,5.0,4.0
1,82.0,4.0,5.0,6.0,3.0
2,86.0,3.0,4.0,5.0,2.0
3,82.0,2.0,5.0,8.0,3.0
4,78.0,9.0,6.0,4.0,3.0
5,77.0,4.0,4.0,11.0,4.0
6,74.0,10.0,9.0,5.0,2.0
7,64.0,22.0,5.0,3.0,6.0
8,81.0,5.0,5.0,5.0,4.0
9,70.0,20.0,6.0,1.0,3.0
10,2.0,66.0,23.0,5.0,4.0
11,78.0,6.0,7.0,5.0,4.0
12,82.0,3.0,5.0,6.0,4.0
13,85.0,3.0,4.0,4.0,4.0
14,2.0,84.0,7.0,2.0,5.0
15,84.0,2.0,6.0,5.0,3.0
16,80.0,8.0,6.0,3.0,3.0
17,73.0,16.0,4.0,3.0,4.0
18,81.0,8.0,3.0,2.0,6.0
19,78.0,4.0,8.0,5.0,5.0
20,77.0,8.0,4.0,4.0,7.0
21,6.0,82.0,2.0,7.0,3.0
22,84.0,6.0,6.0,3.0,1.0
23,82.0,4.0,5.0,3.0,6.0
24,74.0,7.0,7.0,5.0,7.0
25,79.0,9.0,3.0,2.0,7.0
26,76.0,13.0,3.0,2.0,6.0
27,66.0,21.0,8.0,4.0,1.0
28,10.0,71.0,6.0,7.0,6.0
29,79.0,5.0,6.0,5.0,5.0
30,80.0,4.0,5.0,4.0,7.0
31,80.0,7.0,4.0,5.0,4.0
32,81.0,5.0,4.0,6.0,4.0
33,84.0,5.0,7.0,3.0,1.0
34,82.0,5.0,6.0,3.0,4.0
35,11.0,77.0,3.0,3.0,6.0
36,3.0,82.0,5.0,5.0,5.0
37,66.0,18.0,8.0,4.0,4.0
38,80.0,4.0,3.0,7.0,6.0
39,83.0,5.0,5.0,4.0,3.0
40,82.0,7.0,4.0,2.0,5.0
41,82.0,4.0,8.0,3.0,3.0
42,3.0,84.0,3.0,5.0,5.0
43,3.0,82.0,6.0,3.0,6.0
44,6.0,76.0,6.0,6.0,6.0
45,76.0,4.0,2.0,15.0,3.0
46,86.0,1.0,4.0,7.0,2.0
47,74.0,11.0,7.0,3.0,5.0
48,73.0,5.0,5.0,7.0,10.0
49,77.0,7.0,4.0,6.0,6.0
50,79.0,4.0,5.0,8.0,4.0
51,77.0,5.0,6.0,6.0,6.0
52,86.0,1.0,4.0,5.0,4.0
53,90.0,2.0,3.0,3.0,2.0
54,82.0,9.0,1.0,6.0,2.0
55,66.0,6.0,19.0,6.0,3.0
56,81.0,5.0,4.0,4.0,6.0
57,82.0,4.0,3.0,4.0,7.0
58,84.0,4.0,4.0,6.0,2.0
59,83.0,6.0,3.0,6.0,2.0
60,83.0,6.0,4.0,3.0,4.0
61,86.0,3.0,3.0,5.0,3.0
62,82.0,5.0,5.0,4.0,4.0
