,0,1,2,3,4
0,94.0,1.0,1.0,2.0,2.0
1,91.0,4.0,3.0,1.0,1.0
2,94.0,3.0,1.0,1.0,1.0
3,94.0,1.0,1.0,3.0,1.0
4,1.0,96.0,1.0,1.0,1.0
5,96.0,1.0,1.0,1.0,1.0
6,92.0,2.0,3.0,2.0,1.0
7,88.0,3.0,7.0,1.0,1.0
8,92.0,1.0,4.0,1.0,2.0
9,1.0,96.0,1.0,1.0,1.0
10,89.0,3.0,6.0,1.0,1.0
11,96.0,1.0,1.0,1.0,1.0
12,92.0,1.0,3.0,3.0,1.0
13,95.0,2.0,1.0,1.0,1.0
14,90.0,3.0,5.0,1.0,1.0
15,93.0,3.0,2.0,1.0,1.0
16,93.0,1.0,3.0,2.0,1.0
17,90.0,6.0,1.0,2.0,1.0
18,95.0,1.0,2.0,1.0,1.0
19,94.0,1.0,3.0,1.0,1.0
20,82.0,13.0,1.0,3.0,1.0
21,92.0,4.0,1.0,2.0,1.0
22,95.0,2.0,1.0,1.0,1.0
23,88.0,1.0,8.0,1.0,2.0
24,5.0,92.0,1.0,1.0,1.0
25,96.0,1.0,1.0,1.0,1.0
26,96.0,1.0,1.0,1.0,1.0
27,1.0,95.0,2.0,1.0,1.0
28,96.0,1.0,1.0,1.0,1.0
29,94.0,1.0,3.0,1.0,1.0
30,90.0,3.0,5.0,1.0,1.0
31,1.0,96.0,1.0,1.0,1.0
32,93.0,4.0,1.0,1.0,1.0
33,3.0,93.0,2.0,1.0,1.0
34,80.0,14.0,2.0,2.0,2.0
35,3.0,94.0,1.0,1.0,1.0
36,93.0,3.0,1.0,1.0,2.0
37,94.0,3.0,1.0,1.0,1.0
38,93.0,3.0,1.0,2.0,1.0
39,92.0,4.0,1.0,1.0,2.0
40,2.0,83.0,11.0,2.0,2.0
41,93.0,2.0,3.0,1.0,1.0
42,2.0,94.0,1.0,1.0,2.0
43,92.0,3.0,2.0,2.0,1.0
44,80.0,15.0,2.0,2.0,1.0
45,91.0,2.0,1.0,5.0,1.0
46,93.0,2.0,3.0,1.0,1.0
47,79.0,18.0,1.0,1.0,1.0
48,91.0,2.0,2.0,4.0,1.0
49,90.0,2.0,4.0,3.0,1.0
50,96.0,1.0,1.0,1.0,1.0
51,94.0,2.0,1.0,2.0,1.0
52,1.0,94.0,3.0,1.0,1.0
53,93.0,2.0,3.0,1.0,1.0
54,94.0,2.0,2.0,1.0,1.0
55,90.0,2.0,3.0,1.0,4.0
56,94.0,2.0,1.0,2.0,1.0
