,0,1,2,3,4
0,39.0,23.0,16.0,14.0,8.0
1,50.0,21.0,14.0,9.0,6.0
2,51.0,22.0,9.0,12.0,6.0
3,42.0,22.0,17.0,10.0,9.0
4,53.0,24.0,11.0,6.0,6.0
5,47.0,20.0,16.0,9.0,8.0
6,55.0,20.0,12.0,7.0,6.0
7,55.0,30.0,5.0,5.0,5.0
8,46.0,28.0,12.0,8.0,6.0
9,52.0,23.0,13.0,6.0,6.0
10,38.0,34.0,11.0,11.0,6.0
11,40.0,31.0,13.0,10.0,6.0
12,56.0,12.0,14.0,11.0,7.0
13,55.0,15.0,18.0,7.0,5.0
14,42.0,32.0,8.0,10.0,8.0
15,33.0,37.0,11.0,11.0,8.0
16,55.0,21.0,7.0,11.0,6.0
17,35.0,27.0,21.0,11.0,6.0
18,46.0,30.0,8.0,8.0,8.0
19,49.0,21.0,9.0,14.0,7.0
20,52.0,24.0,11.0,5.0,8.0
21,44.0,24.0,12.0,14.0,6.0
22,42.0,30.0,16.0,6.0,6.0
23,44.0,26.0,17.0,8.0,5.0
24,47.0,23.0,15.0,7.0,8.0
25,45.0,22.0,15.0,12.0,6.0
26,42.0,25.0,17.0,7.0,9.0
27,38.0,31.0,13.0,12.0,6.0
28,50.0,16.0,17.0,10.0,7.0
29,52.0,16.0,15.0,11.0,6.0
30,51.0,19.0,11.0,12.0,7.0
31,48.0,16.0,19.0,9.0,8.0
32,51.0,16.0,20.0,7.0,6.0
33,43.0,21.0,23.0,8.0,5.0
34,50.0,22.0,14.0,8.0,6.0
35,54.0,24.0,9.0,7.0,6.0
36,49.0,25.0,13.0,7.0,6.0
37,50.0,22.0,13.0,8.0,7.0
38,49.0,21.0,11.0,13.0,6.0
39,37.0,34.0,14.0,8.0,7.0
40,45.0,18.0,24.0,7.0,6.0
41,58.0,19.0,11.0,6.0,6.0
42,45.0,22.0,16.0,11.0,6.0
43,52.0,22.0,10.0,10.0,6.0
44,59.0,12.0,13.0,9.0,7.0
45,38.0,27.0,17.0,10.0,8.0
46,58.0,14.0,12.0,10.0,6.0
47,44.0,17.0,24.0,9.0,6.0
48,50.0,19.0,17.0,8.0,6.0
49,52.0,26.0,8.0,8.0,6.0
50,58.0,15.0,12.0,6.0,9.0
51,46.0,26.0,12.0,10.0,6.0
52,43.0,24.0,17.0,10.0,6.0
53,42.0,28.0,12.0,10.0,8.0
54,44.0,28.0,11.0,11.0,6.0
55,46.0,17.0,18.0,13.0,6.0
56,52.0,18.0,15.0,8.0,7.0
57,51.0,22.0,11.0,8.0,8.0
58,40.0,22.0,21.0,12.0,5.0
59,41.0,33.0,8.0,11.0,7.0
60,59.0,15.0,13.0,6.0,7.0
61,56.0,18.0,12.0,7.0,7.0
62,48.0,20.0,15.0,7.0,10.0
63,39.0,36.0,10.0,6.0,9.0
64,49.0,18.0,15.0,10.0,8.0
65,50.0,20.0,15.0,8.0,7.0
66,48.0,20.0,15.0,11.0,6.0
67,54.0,25.0,9.0,6.0,6.0
68,46.0,29.0,9.0,9.0,7.0
69,54.0,19.0,11.0,9.0,7.0
70,43.0,26.0,15.0,9.0,7.0
71,43.0,29.0,12.0,10.0,6.0
72,59.0,16.0,11.0,8.0,6.0
73,50.0,21.0,11.0,12.0,6.0
74,49.0,23.0,12.0,6.0,10.0
75,41.0,25.0,15.0,13.0,6.0
76,58.0,12.0,18.0,6.0,6.0
77,44.0,25.0,14.0,12.0,5.0
78,50.0,25.0,8.0,11.0,6.0
79,45.0,31.0,10.0,9.0,5.0
80,53.0,19.0,14.0,6.0,8.0
81,44.0,18.0,16.0,15.0,7.0
82,53.0,18.0,11.0,12.0,6.0
83,49.0,24.0,13.0,7.0,7.0
84,49.0,27.0,10.0,7.0,7.0
85,36.0,29.0,19.0,11.0,5.0
86,36.0,37.0,13.0,6.0,8.0
87,44.0,29.0,12.0,10.0,5.0
88,47.0,22.0,19.0,6.0,6.0
89,39.0,30.0,16.0,10.0,5.0
90,45.0,31.0,9.0,8.0,7.0
91,48.0,28.0,12.0,6.0,6.0
92,51.0,20.0,16.0,6.0,7.0
93,39.0,28.0,17.0,10.0,6.0
