,0,1,2,3,4
0,46.0,22.0,16.0,10.0,6.0
1,49.0,23.0,16.0,7.0,5.0
2,40.0,30.0,16.0,8.0,6.0
3,43.0,28.0,15.0,8.0,6.0
4,46.0,25.0,13.0,8.0,8.0
5,61.0,12.0,13.0,8.0,6.0
6,48.0,19.0,16.0,10.0,7.0
7,55.0,20.0,13.0,7.0,5.0
8,57.0,9.0,18.0,9.0,7.0
9,45.0,26.0,15.0,9.0,5.0
10,44.0,17.0,25.0,9.0,5.0
11,50.0,25.0,8.0,9.0,8.0
12,55.0,26.0,7.0,6.0,6.0
13,51.0,20.0,15.0,9.0,5.0
14,39.0,31.0,16.0,9.0,5.0
15,50.0,25.0,10.0,6.0,9.0
16,50.0,23.0,15.0,7.0,5.0
17,38.0,24.0,20.0,10.0,8.0
18,52.0,22.0,7.0,12.0,7.0
19,48.0,25.0,12.0,8.0,7.0
20,54.0,20.0,10.0,8.0,8.0
21,47.0,21.0,11.0,13.0,8.0
22,37.0,14.0,24.0,14.0,11.0
23,51.0,25.0,12.0,6.0,6.0
24,53.0,22.0,11.0,7.0,7.0
25,37.0,28.0,22.0,7.0,6.0
26,59.0,13.0,10.0,12.0,6.0
27,44.0,23.0,17.0,8.0,8.0
28,48.0,23.0,13.0,11.0,5.0
29,55.0,12.0,21.0,6.0,6.0
30,35.0,31.0,21.0,7.0,6.0
31,35.0,28.0,22.0,8.0,7.0
32,51.0,22.0,14.0,7.0,6.0
33,42.0,31.0,15.0,6.0,6.0
34,48.0,19.0,18.0,8.0,7.0
35,36.0,29.0,17.0,7.0,11.0
36,48.0,24.0,9.0,13.0,6.0
37,50.0,24.0,13.0,7.0,6.0
38,48.0,30.0,12.0,5.0,5.0
39,48.0,28.0,11.0,8.0,5.0
40,47.0,19.0,14.0,11.0,9.0
41,44.0,21.0,17.0,12.0,6.0
42,51.0,23.0,7.0,13.0,6.0
43,55.0,20.0,8.0,11.0,6.0
44,49.0,24.0,13.0,8.0,6.0
45,45.0,34.0,9.0,6.0,6.0
46,41.0,23.0,20.0,9.0,7.0
47,50.0,25.0,8.0,11.0,6.0
48,48.0,26.0,11.0,7.0,8.0
49,49.0,23.0,13.0,8.0,7.0
50,47.0,26.0,9.0,11.0,7.0
51,50.0,18.0,18.0,8.0,6.0
52,54.0,16.0,15.0,7.0,8.0
53,52.0,20.0,16.0,7.0,5.0
54,51.0,15.0,18.0,10.0,6.0
55,57.0,19.0,8.0,11.0,5.0
56,55.0,22.0,10.0,8.0,5.0
57,45.0,24.0,15.0,11.0,5.0
58,48.0,17.0,19.0,11.0,5.0
59,46.0,25.0,18.0,6.0,5.0
60,45.0,22.0,15.0,13.0,5.0
61,42.0,22.0,16.0,14.0,6.0
62,52.0,21.0,13.0,9.0,5.0
63,44.0,32.0,7.0,12.0,5.0
64,49.0,13.0,23.0,8.0,7.0
65,49.0,26.0,10.0,10.0,5.0
66,41.0,26.0,20.0,8.0,5.0
67,56.0,13.0,13.0,12.0,6.0
68,40.0,32.0,9.0,13.0,6.0
69,48.0,22.0,9.0,13.0,8.0
70,44.0,22.0,16.0,11.0,7.0
71,47.0,27.0,11.0,8.0,7.0
72,55.0,19.0,12.0,8.0,6.0
73,54.0,19.0,15.0,7.0,5.0
74,50.0,16.0,17.0,10.0,7.0
75,48.0,27.0,12.0,8.0,5.0
76,39.0,32.0,13.0,9.0,7.0
