,0,1,2,3,4
0,90.0,4.0,2.0,3.0,1.0
1,88.0,5.0,2.0,3.0,2.0
2,90.0,4.0,1.0,1.0,4.0
3,92.0,3.0,1.0,3.0,1.0
4,91.0,2.0,4.0,1.0,2.0
5,42.0,39.0,15.0,2.0,2.0
6,90.0,6.0,2.0,1.0,1.0
7,92.0,2.0,3.0,1.0,2.0
8,1.0,92.0,1.0,4.0,2.0
9,2.0,93.0,1.0,1.0,3.0
10,87.0,8.0,2.0,2.0,1.0
11,92.0,2.0,4.0,1.0,1.0
12,88.0,1.0,8.0,2.0,1.0
13,1.0,95.0,1.0,2.0,1.0
14,89.0,3.0,2.0,4.0,2.0
15,95.0,1.0,2.0,1.0,1.0
16,86.0,3.0,1.0,7.0,3.0
17,87.0,7.0,2.0,1.0,3.0
18,62.0,30.0,1.0,3.0,4.0
19,90.0,5.0,2.0,2.0,1.0
20,93.0,2.0,2.0,2.0,1.0
21,90.0,4.0,2.0,1.0,3.0
22,82.0,9.0,3.0,3.0,3.0
23,79.0,16.0,2.0,1.0,2.0
24,93.0,1.0,1.0,2.0,3.0
25,11.0,84.0,2.0,2.0,1.0
26,94.0,1.0,1.0,2.0,2.0
27,90.0,4.0,2.0,3.0,1.0
28,85.0,9.0,1.0,3.0,2.0
29,84.0,12.0,1.0,2.0,1.0
30,4.0,86.0,1.0,8.0,1.0
31,77.0,18.0,1.0,2.0,2.0
32,89.0,2.0,5.0,1.0,3.0
33,79.0,7.0,12.0,1.0,1.0
34,93.0,1.0,2.0,2.0,2.0
35,90.0,1.0,6.0,1.0,2.0
36,86.0,4.0,8.0,1.0,1.0
37,89.0,5.0,1.0,2.0,3.0
38,2.0,93.0,2.0,1.0,2.0
39,94.0,2.0,1.0,2.0,1.0
40,85.0,6.0,1.0,3.0,5.0
41,87.0,4.0,4.0,4.0,1.0
42,87.0,6.0,3.0,1.0,3.0
43,87.0,3.0,6.0,2.0,2.0
44,86.0,3.0,1.0,7.0,3.0
45,92.0,1.0,1.0,5.0,1.0
46,89.0,5.0,4.0,1.0,1.0
47,93.0,2.0,1.0,2.0,2.0
48,91.0,3.0,3.0,2.0,1.0
49,2.0,90.0,4.0,2.0,2.0
50,90.0,2.0,2.0,4.0,2.0
51,89.0,3.0,3.0,3.0,2.0
52,2.0,94.0,1.0,2.0,1.0
53,90.0,5.0,1.0,1.0,3.0
54,84.0,11.0,1.0,2.0,2.0
55,2.0,89.0,4.0,3.0,2.0
56,90.0,2.0,4.0,3.0,1.0
57,90.0,1.0,6.0,1.0,2.0
58,91.0,4.0,2.0,2.0,1.0
59,21.0,72.0,1.0,3.0,3.0
60,86.0,4.0,5.0,3.0,2.0
61,90.0,2.0,3.0,3.0,2.0
62,89.0,4.0,1.0,3.0,3.0
63,84.0,8.0,1.0,5.0,2.0
64,91.0,2.0,4.0,1.0,2.0
65,91.0,1.0,5.0,2.0,1.0
66,94.0,2.0,1.0,2.0,1.0
67,93.0,2.0,2.0,1.0,2.0
68,15.0,80.0,1.0,1.0,3.0
69,63.0,31.0,2.0,1.0,3.0
70,4.0,87.0,4.0,2.0,3.0
71,92.0,3.0,1.0,1.0,3.0
72,92.0,3.0,2.0,1.0,2.0
73,1.0,82.0,15.0,1.0,1.0
74,90.0,4.0,3.0,2.0,1.0
75,94.0,2.0,2.0,1.0,1.0
76,84.0,4.0,4.0,4.0,4.0
77,91.0,3.0,3.0,1.0,2.0
78,17.0,78.0,1.0,1.0,3.0
79,84.0,3.0,9.0,1.0,3.0
80,94.0,1.0,3.0,1.0,1.0
