,0,1,2,3,4
0,83.0,7.0,3.0,4.0,3.0
1,77.0,9.0,7.0,5.0,2.0
2,59.0,21.0,13.0,5.0,2.0
3,60.0,35.0,2.0,2.0,1.0
4,85.0,8.0,3.0,2.0,2.0
5,84.0,3.0,8.0,3.0,2.0
6,68.0,24.0,5.0,1.0,2.0
7,76.0,3.0,14.0,4.0,3.0
8,95.0,2.0,1.0,1.0,1.0
9,62.0,27.0,7.0,3.0,1.0
10,91.0,3.0,3.0,1.0,2.0
11,86.0,6.0,4.0,2.0,2.0
12,88.0,5.0,2.0,4.0,1.0
13,74.0,18.0,3.0,3.0,2.0
14,47.0,34.0,13.0,4.0,2.0
15,76.0,8.0,8.0,5.0,3.0
16,74.0,17.0,4.0,3.0,2.0
17,74.0,20.0,3.0,1.0,2.0
18,91.0,1.0,1.0,4.0,3.0
19,78.0,7.0,9.0,4.0,2.0
20,66.0,13.0,9.0,8.0,4.0
21,42.0,45.0,3.0,8.0,2.0
22,83.0,12.0,1.0,3.0,1.0
23,90.0,2.0,5.0,1.0,2.0
24,43.0,35.0,14.0,5.0,3.0
25,83.0,6.0,3.0,5.0,3.0
26,71.0,19.0,6.0,2.0,2.0
27,84.0,3.0,9.0,2.0,2.0
28,74.0,17.0,5.0,2.0,2.0
29,85.0,9.0,1.0,3.0,2.0
30,90.0,1.0,6.0,1.0,2.0
31,79.0,16.0,2.0,2.0,1.0
32,70.0,23.0,2.0,3.0,2.0
33,88.0,1.0,6.0,4.0,1.0
34,61.0,22.0,13.0,2.0,2.0
35,85.0,2.0,7.0,4.0,2.0
36,66.0,24.0,3.0,4.0,3.0
37,77.0,15.0,3.0,3.0,2.0
38,84.0,5.0,4.0,5.0,2.0
39,82.0,12.0,2.0,2.0,2.0
40,88.0,6.0,2.0,2.0,2.0
41,88.0,4.0,3.0,4.0,1.0
42,77.0,9.0,8.0,4.0,2.0
43,76.0,6.0,7.0,8.0,3.0
44,83.0,8.0,3.0,5.0,1.0
45,82.0,6.0,8.0,2.0,2.0
