,0,1
0,9993.0,7.0
1,9992.0,8.0
2,9987.0,13.0
3,9987.0,13.0
4,9990.0,10.0
5,9989.0,11.0
6,9988.0,12.0
7,9990.0,10.0
8,9995.0,5.0
9,9988.0,12.0
10,9991.0,9.0
11,9992.0,8.0
12,9993.0,7.0
13,9990.0,10.0
14,9990.0,10.0
15,9501.0,499.0
16,9995.0,5.0
17,9992.0,8.0
18,9989.0,11.0
19,9988.0,12.0
20,9991.0,9.0
21,9989.0,11.0
22,9992.0,8.0
23,9993.0,7.0
24,9986.0,14.0
25,9987.0,13.0
26,9990.0,10.0
27,9988.0,12.0
28,9990.0,10.0
29,9991.0,9.0
30,9990.0,10.0
31,9990.0,10.0
32,9922.0,78.0
33,9991.0,9.0
34,9994.0,6.0
35,9993.0,7.0
36,9990.0,10.0
37,9991.0,9.0
38,9989.0,11.0
39,9989.0,11.0
40,9993.0,7.0
41,9993.0,7.0
42,9989.0,11.0
43,9989.0,11.0
44,9988.0,12.0
45,9982.0,18.0
46,9994.0,6.0
47,9996.0,4.0
48,9987.0,13.0
49,9991.0,9.0
50,9991.0,9.0
51,9993.0,7.0
52,9988.0,12.0
53,9988.0,12.0
54,9993.0,7.0
55,9995.0,5.0
56,9991.0,9.0
57,9988.0,12.0
58,9990.0,10.0
59,9991.0,9.0
60,9991.0,9.0
61,9994.0,6.0
62,9985.0,15.0
63,9992.0,8.0
64,9990.0,10.0
65,9988.0,12.0
66,9990.0,10.0
67,9991.0,9.0
68,9993.0,7.0
69,9986.0,14.0
70,9991.0,9.0
71,9986.0,14.0
72,9991.0,9.0
73,9988.0,12.0
74,9993.0,7.0
75,9990.0,10.0
76,9993.0,7.0
77,9990.0,10.0
78,9991.0,9.0
79,9992.0,8.0
80,9994.0,6.0
81,9993.0,7.0
82,9992.0,8.0
83,9996.0,4.0
84,9996.0,4.0
85,9988.0,12.0
86,9992.0,8.0
87,9995.0,5.0
88,9989.0,11.0
89,9988.0,12.0
90,9988.0,12.0
91,9989.0,11.0
92,9988.0,12.0
93,9994.0,6.0
94,9987.0,13.0
95,9995.0,5.0
96,9989.0,11.0
97,9992.0,8.0
98,9989.0,11.0
99,9989.0,11.0
100,9985.0,15.0
101,9989.0,11.0
102,9991.0,9.0
103,9992.0,8.0
104,9989.0,11.0
105,9989.0,11.0
106,9989.0,11.0
107,9990.0,10.0
108,9991.0,9.0
109,9993.0,7.0
110,9982.0,18.0
111,9991.0,9.0
112,9993.0,7.0
113,9990.0,10.0
114,9985.0,15.0
115,9990.0,10.0
116,9993.0,7.0
117,9990.0,10.0
118,9988.0,12.0
119,9990.0,10.0
120,9993.0,7.0
121,9989.0,11.0
122,9991.0,9.0
123,9991.0,9.0
124,9987.0,13.0
125,9991.0,9.0
126,9989.0,11.0
127,9996.0,4.0
128,9990.0,10.0
129,9990.0,10.0
130,9991.0,9.0
131,9992.0,8.0
132,9991.0,9.0
133,9992.0,8.0
134,9992.0,8.0
135,9987.0,13.0
136,9979.0,21.0
137,9996.0,4.0
138,9990.0,10.0
139,9994.0,6.0
140,9992.0,8.0
141,9984.0,16.0
142,9992.0,8.0
143,9990.0,10.0
144,9995.0,5.0
