,0,1
0,9958.0,42.0
1,9960.0,40.0
2,9962.0,38.0
3,9937.0,63.0
4,9956.0,44.0
5,9948.0,52.0
6,9962.0,38.0
7,9961.0,39.0
8,9955.0,45.0
9,9951.0,49.0
10,9960.0,40.0
11,9955.0,45.0
12,9940.0,60.0
13,9943.0,57.0
14,9944.0,56.0
15,9953.0,47.0
16,9961.0,39.0
17,9960.0,40.0
18,9953.0,47.0
19,9958.0,42.0
20,9940.0,60.0
21,9959.0,41.0
22,9956.0,44.0
23,9958.0,42.0
24,9942.0,58.0
25,9959.0,41.0
26,9967.0,33.0
27,9938.0,62.0
28,9965.0,35.0
29,9946.0,54.0
30,9952.0,48.0
31,9955.0,45.0
32,9971.0,29.0
33,9961.0,39.0
34,9958.0,42.0
35,9950.0,50.0
36,9951.0,49.0
37,9956.0,44.0
38,9951.0,49.0
39,9949.0,51.0
40,9947.0,53.0
41,9953.0,47.0
42,9953.0,47.0
43,9936.0,64.0
44,9960.0,40.0
45,9950.0,50.0
46,9963.0,37.0
47,9958.0,42.0
48,9969.0,31.0
49,9956.0,44.0
50,9943.0,57.0
51,9960.0,40.0
52,9955.0,45.0
53,9955.0,45.0
54,9951.0,49.0
55,9955.0,45.0
56,9951.0,49.0
57,9961.0,39.0
58,9959.0,41.0
59,9967.0,33.0
60,9957.0,43.0
61,9941.0,59.0
62,9955.0,45.0
63,9945.0,55.0
64,9963.0,37.0
65,9938.0,62.0
66,9950.0,50.0
67,9949.0,51.0
68,9967.0,33.0
69,9960.0,40.0
70,9953.0,47.0
71,9956.0,44.0
72,9961.0,39.0
73,9964.0,36.0
74,9966.0,34.0
75,9956.0,44.0
76,9945.0,55.0
77,9957.0,43.0
78,9955.0,45.0
79,9963.0,37.0
80,9949.0,51.0
81,9951.0,49.0
82,9971.0,29.0
83,9962.0,38.0
84,9961.0,39.0
85,9944.0,56.0
86,9963.0,37.0
87,9953.0,47.0
88,9957.0,43.0
89,9953.0,47.0
90,9948.0,52.0
91,9961.0,39.0
92,9961.0,39.0
93,9959.0,41.0
94,9961.0,39.0
95,9961.0,39.0
96,9957.0,43.0
97,9962.0,38.0
98,9965.0,35.0
99,9967.0,33.0
100,9960.0,40.0
101,9955.0,45.0
102,9959.0,41.0
103,9959.0,41.0
104,9959.0,41.0
105,9961.0,39.0
106,9943.0,57.0
107,9953.0,47.0
108,9965.0,35.0
109,9946.0,54.0
110,9967.0,33.0
111,9971.0,29.0
112,9966.0,34.0
113,9960.0,40.0
114,9955.0,45.0
115,9965.0,35.0
116,9935.0,65.0
117,9957.0,43.0
118,9946.0,54.0
119,9962.0,38.0
120,9938.0,62.0
121,9953.0,47.0
122,9951.0,49.0
123,9950.0,50.0
124,9959.0,41.0
125,9956.0,44.0
126,9940.0,60.0
127,9955.0,45.0
128,9970.0,30.0
129,9965.0,35.0
130,9955.0,45.0
131,9958.0,42.0
132,9959.0,41.0
133,9953.0,47.0
134,9959.0,41.0
135,9934.0,66.0
136,9945.0,55.0
137,9942.0,58.0
138,9959.0,41.0
139,9959.0,41.0
140,9951.0,49.0
141,9965.0,35.0
142,9961.0,39.0
143,9961.0,39.0
144,9942.0,58.0
145,9949.0,51.0
146,9954.0,46.0
147,9961.0,39.0
148,9954.0,46.0
149,9956.0,44.0
150,9965.0,35.0
151,9949.0,51.0
152,9958.0,42.0
153,9957.0,43.0
154,9957.0,43.0
155,9963.0,37.0
156,9951.0,49.0
157,9955.0,45.0
158,9950.0,50.0
159,9957.0,43.0
160,9952.0,48.0
161,9965.0,35.0
162,9940.0,60.0
163,9963.0,37.0
164,9953.0,47.0
165,9957.0,43.0
166,9957.0,43.0
167,9956.0,44.0
168,9964.0,36.0
169,9955.0,45.0
170,9949.0,51.0
171,9947.0,53.0
172,9960.0,40.0
173,9961.0,39.0
174,9953.0,47.0
175,9957.0,43.0
176,9954.0,46.0
177,9954.0,46.0
178,9953.0,47.0
179,9967.0,33.0
180,9960.0,40.0
181,9950.0,50.0
182,9955.0,45.0
183,9969.0,31.0
184,9964.0,36.0
185,9953.0,47.0
186,9954.0,46.0
187,9946.0,54.0
188,9954.0,46.0
189,9957.0,43.0
190,9961.0,39.0
191,9950.0,50.0
192,9953.0,47.0
193,9951.0,49.0
194,9952.0,48.0
195,9955.0,45.0
196,9965.0,35.0
197,9965.0,35.0
198,9967.0,33.0
199,9953.0,47.0
200,9954.0,46.0
201,9958.0,42.0
202,9945.0,55.0
203,9967.0,33.0
204,9948.0,52.0
205,9954.0,46.0
206,9958.0,42.0
207,9965.0,35.0
208,9955.0,45.0
209,9957.0,43.0
210,9958.0,42.0
211,9961.0,39.0
212,9959.0,41.0
213,9967.0,33.0
214,9952.0,48.0
215,9965.0,35.0
216,9953.0,47.0
217,9963.0,37.0
218,9960.0,40.0
219,9942.0,58.0
220,9940.0,60.0
221,9957.0,43.0
222,9959.0,41.0
223,9954.0,46.0
224,9950.0,50.0
225,9960.0,40.0
226,9967.0,33.0
227,9946.0,54.0
228,9946.0,54.0
229,9960.0,40.0
230,9964.0,36.0
231,9964.0,36.0
232,9947.0,53.0
233,9958.0,42.0
234,9956.0,44.0
235,9958.0,42.0
236,9953.0,47.0
237,9942.0,58.0
238,9946.0,54.0
239,9953.0,47.0
240,9942.0,58.0
241,9938.0,62.0
242,9950.0,50.0
243,9958.0,42.0
244,9955.0,45.0
245,9947.0,53.0
246,9961.0,39.0
247,9963.0,37.0
248,9958.0,42.0
249,9956.0,44.0
250,9965.0,35.0
251,9963.0,37.0
252,9960.0,40.0
253,9947.0,53.0
254,9953.0,47.0
255,9950.0,50.0
256,9947.0,53.0
257,9966.0,34.0
258,9954.0,46.0
259,9956.0,44.0
260,9951.0,49.0
261,9956.0,44.0
262,9959.0,41.0
263,9972.0,28.0
264,9946.0,54.0
265,9957.0,43.0
266,9946.0,54.0
267,9963.0,37.0
268,9947.0,53.0
269,9947.0,53.0
270,9955.0,45.0
271,9936.0,64.0
272,9959.0,41.0
273,9963.0,37.0
274,9940.0,60.0
275,9950.0,50.0
276,9948.0,52.0
277,9963.0,37.0
278,9953.0,47.0
279,9955.0,45.0
280,9974.0,26.0
281,9967.0,33.0
282,9955.0,45.0
283,9959.0,41.0
284,9949.0,51.0
285,9947.0,53.0
286,9967.0,33.0
287,9959.0,41.0
288,9945.0,55.0
289,9944.0,56.0
290,9955.0,45.0
291,9953.0,47.0
292,9948.0,52.0
293,9942.0,58.0
294,9956.0,44.0
295,9957.0,43.0
296,9953.0,47.0
297,9950.0,50.0
298,9947.0,53.0
299,9964.0,36.0
300,9955.0,45.0
301,9951.0,49.0
302,9960.0,40.0
303,9948.0,52.0
304,9941.0,59.0
305,9944.0,56.0
306,9954.0,46.0
307,9958.0,42.0
308,9967.0,33.0
309,9941.0,59.0
310,9949.0,51.0
311,9936.0,64.0
312,9937.0,63.0
313,9951.0,49.0
314,9953.0,47.0
315,9951.0,49.0
316,9966.0,34.0
317,9953.0,47.0
318,9965.0,35.0
319,9964.0,36.0
320,9957.0,43.0
321,9955.0,45.0
322,9944.0,56.0
323,9951.0,49.0
324,9943.0,57.0
325,9955.0,45.0
326,9958.0,42.0
327,9954.0,46.0
328,9951.0,49.0
329,9948.0,52.0
330,9948.0,52.0
331,9953.0,47.0
332,9958.0,42.0
333,9955.0,45.0
334,9956.0,44.0
335,9947.0,53.0
336,9935.0,65.0
337,9965.0,35.0
338,9942.0,58.0
339,9967.0,33.0
340,9959.0,41.0
341,9949.0,51.0
342,9958.0,42.0
343,9964.0,36.0
344,9958.0,42.0
345,9944.0,56.0
346,9952.0,48.0
347,9957.0,43.0
348,9967.0,33.0
349,9959.0,41.0
350,9953.0,47.0
351,9961.0,39.0
352,9951.0,49.0
353,9957.0,43.0
354,9958.0,42.0
355,9948.0,52.0
356,9959.0,41.0
357,9967.0,33.0
358,9951.0,49.0
359,9947.0,53.0
360,9959.0,41.0
361,9959.0,41.0
362,9945.0,55.0
363,9951.0,49.0
364,9963.0,37.0
365,9961.0,39.0
366,9962.0,38.0
367,9942.0,58.0
368,9944.0,56.0
369,9960.0,40.0
370,9958.0,42.0
371,9947.0,53.0
372,9958.0,42.0
373,9963.0,37.0
374,9960.0,40.0
375,9960.0,40.0
376,9951.0,49.0
377,9946.0,54.0
378,9957.0,43.0
379,9949.0,51.0
380,9951.0,49.0
381,9961.0,39.0
382,9955.0,45.0
383,9953.0,47.0
384,9942.0,58.0
385,9949.0,51.0
386,9963.0,37.0
387,9967.0,33.0
388,9969.0,31.0
389,9963.0,37.0
390,9962.0,38.0
391,9966.0,34.0
392,9955.0,45.0
393,9963.0,37.0
394,9951.0,49.0
395,9963.0,37.0
396,9951.0,49.0
397,9969.0,31.0
398,9947.0,53.0
399,9953.0,47.0
400,9950.0,50.0
401,9960.0,40.0
402,9949.0,51.0
403,9965.0,35.0
404,9961.0,39.0
405,9948.0,52.0
406,9942.0,58.0
407,9963.0,37.0
408,9955.0,45.0
409,9955.0,45.0
410,9955.0,45.0
411,9940.0,60.0
412,9961.0,39.0
413,9961.0,39.0
414,9951.0,49.0
415,9960.0,40.0
416,9948.0,52.0
417,9955.0,45.0
418,9949.0,51.0
419,9959.0,41.0
420,9949.0,51.0
421,9955.0,45.0
422,9949.0,51.0
423,9959.0,41.0
424,9962.0,38.0
425,9959.0,41.0
426,9967.0,33.0
427,9949.0,51.0
428,9967.0,33.0
429,9957.0,43.0
430,9937.0,63.0
431,9953.0,47.0
432,9958.0,42.0
433,9960.0,40.0
434,9956.0,44.0
435,9942.0,58.0
436,9952.0,48.0
437,9963.0,37.0
438,9960.0,40.0
439,9942.0,58.0
440,9949.0,51.0
441,9944.0,56.0
442,9948.0,52.0
443,9950.0,50.0
444,9949.0,51.0
445,9946.0,54.0
446,9933.0,67.0
447,9939.0,61.0
448,9960.0,40.0
449,9953.0,47.0
450,9953.0,47.0
451,9944.0,56.0
452,9964.0,36.0
453,9954.0,46.0
454,9969.0,31.0
455,9945.0,55.0
456,9953.0,47.0
457,9949.0,51.0
458,9961.0,39.0
459,9955.0,45.0
460,9958.0,42.0
461,9967.0,33.0
462,9944.0,56.0
463,9949.0,51.0
464,9961.0,39.0
465,9962.0,38.0
466,9963.0,37.0
467,9951.0,49.0
468,9955.0,45.0
469,9940.0,60.0
470,9948.0,52.0
471,9964.0,36.0
472,9962.0,38.0
473,9951.0,49.0
474,9961.0,39.0
475,9944.0,56.0
476,9951.0,49.0
477,9957.0,43.0
478,9965.0,35.0
479,9956.0,44.0
480,9962.0,38.0
481,9935.0,65.0
482,9952.0,48.0
483,9954.0,46.0
484,9967.0,33.0
485,9956.0,44.0
486,9945.0,55.0
487,9955.0,45.0
488,9951.0,49.0
489,9955.0,45.0
490,9963.0,37.0
491,9940.0,60.0
492,9953.0,47.0
493,9969.0,31.0
494,9951.0,49.0
495,9961.0,39.0
496,9955.0,45.0
497,9951.0,49.0
498,9961.0,39.0
499,9956.0,44.0
500,9956.0,44.0
501,9959.0,41.0
502,9967.0,33.0
503,9963.0,37.0
504,9946.0,54.0
505,9949.0,51.0
506,9955.0,45.0
507,9947.0,53.0
508,9957.0,43.0
509,9959.0,41.0
510,9963.0,37.0
511,9953.0,47.0
512,9962.0,38.0
513,9965.0,35.0
514,9958.0,42.0
515,9951.0,49.0
516,9956.0,44.0
517,9971.0,29.0
518,9965.0,35.0
519,9953.0,47.0
520,9945.0,55.0
521,9955.0,45.0
522,9956.0,44.0
523,9969.0,31.0
524,9929.0,71.0
525,9965.0,35.0
526,9957.0,43.0
527,9961.0,39.0
528,9951.0,49.0
529,9961.0,39.0
530,9955.0,45.0
531,9956.0,44.0
532,9963.0,37.0
533,9957.0,43.0
534,9951.0,49.0
535,9953.0,47.0
536,9965.0,35.0
537,9936.0,64.0
538,9965.0,35.0
539,9947.0,53.0
540,9956.0,44.0
541,9959.0,41.0
542,9953.0,47.0
543,9943.0,57.0
544,9955.0,45.0
545,9960.0,40.0
546,9942.0,58.0
547,9955.0,45.0
548,9944.0,56.0
549,9946.0,54.0
550,9943.0,57.0
551,9953.0,47.0
552,9960.0,40.0
553,9962.0,38.0
554,9953.0,47.0
555,9969.0,31.0
556,9973.0,27.0
557,9936.0,64.0
558,9957.0,43.0
559,9957.0,43.0
560,9944.0,56.0
561,9955.0,45.0
562,9958.0,42.0
563,9967.0,33.0
564,9948.0,52.0
565,9950.0,50.0
566,9942.0,58.0
567,9945.0,55.0
568,9959.0,41.0
569,9951.0,49.0
570,9959.0,41.0
571,9963.0,37.0
572,9963.0,37.0
573,9953.0,47.0
574,9960.0,40.0
575,9960.0,40.0
576,9943.0,57.0
577,9947.0,53.0
578,9956.0,44.0
579,9946.0,54.0
580,9959.0,41.0
581,9961.0,39.0
582,9955.0,45.0
583,9964.0,36.0
584,9951.0,49.0
585,9967.0,33.0
586,9958.0,42.0
587,9957.0,43.0
588,9938.0,62.0
589,9959.0,41.0
590,9933.0,67.0
591,9955.0,45.0
592,9944.0,56.0
593,9944.0,56.0
594,9962.0,38.0
595,9955.0,45.0
