,0,1
0,9982.0,18.0
1,9983.0,17.0
2,9979.0,21.0
3,9989.0,11.0
4,9984.0,16.0
5,9983.0,17.0
6,9985.0,15.0
7,9985.0,15.0
8,9985.0,15.0
9,9982.0,18.0
10,9981.0,19.0
11,9983.0,17.0
12,9976.0,24.0
13,9984.0,16.0
14,9985.0,15.0
15,9985.0,15.0
16,9978.0,22.0
17,9987.0,13.0
18,9982.0,18.0
19,9980.0,20.0
20,9984.0,16.0
21,9979.0,21.0
22,9987.0,13.0
23,9984.0,16.0
24,9981.0,19.0
25,9984.0,16.0
26,9975.0,25.0
27,9984.0,16.0
28,9985.0,15.0
29,9983.0,17.0
30,9982.0,18.0
31,9978.0,22.0
32,9985.0,15.0
33,9981.0,19.0
34,9983.0,17.0
35,9984.0,16.0
36,9976.0,24.0
37,9982.0,18.0
38,9984.0,16.0
39,9982.0,18.0
40,9982.0,18.0
41,9978.0,22.0
42,9981.0,19.0
43,9984.0,16.0
44,9985.0,15.0
45,9986.0,14.0
46,9989.0,11.0
47,9981.0,19.0
48,9985.0,15.0
49,9986.0,14.0
50,9984.0,16.0
51,9984.0,16.0
52,9985.0,15.0
53,9981.0,19.0
54,9985.0,15.0
55,9986.0,14.0
56,9979.0,21.0
57,9983.0,17.0
58,9979.0,21.0
59,9984.0,16.0
60,9986.0,14.0
61,9979.0,21.0
62,9986.0,14.0
63,9984.0,16.0
64,9986.0,14.0
65,9987.0,13.0
66,9983.0,17.0
67,9982.0,18.0
68,9991.0,9.0
69,9988.0,12.0
70,9985.0,15.0
71,9990.0,10.0
72,9985.0,15.0
73,9983.0,17.0
74,9980.0,20.0
75,9989.0,11.0
76,9984.0,16.0
77,9980.0,20.0
78,9986.0,14.0
79,9980.0,20.0
80,9984.0,16.0
81,9984.0,16.0
82,9984.0,16.0
83,9982.0,18.0
84,9981.0,19.0
85,9986.0,14.0
86,9988.0,12.0
87,9982.0,18.0
88,9989.0,11.0
89,9975.0,25.0
90,9988.0,12.0
91,9986.0,14.0
92,9983.0,17.0
93,9983.0,17.0
94,9989.0,11.0
95,9984.0,16.0
96,9984.0,16.0
97,9974.0,26.0
98,9986.0,14.0
99,9985.0,15.0
100,9984.0,16.0
101,9984.0,16.0
102,9981.0,19.0
103,9985.0,15.0
104,9981.0,19.0
105,9979.0,21.0
106,9979.0,21.0
107,9984.0,16.0
108,9983.0,17.0
109,9984.0,16.0
110,9986.0,14.0
111,9977.0,23.0
112,9979.0,21.0
113,9980.0,20.0
114,9982.0,18.0
115,9977.0,23.0
116,9981.0,19.0
117,9981.0,19.0
118,9982.0,18.0
119,9981.0,19.0
120,9991.0,9.0
121,9987.0,13.0
122,9985.0,15.0
123,9975.0,25.0
124,9982.0,18.0
125,9974.0,26.0
126,9987.0,13.0
127,9986.0,14.0
128,9992.0,8.0
129,9977.0,23.0
130,9986.0,14.0
131,9986.0,14.0
132,9981.0,19.0
133,9987.0,13.0
134,9982.0,18.0
135,9980.0,20.0
136,9986.0,14.0
137,9983.0,17.0
138,9985.0,15.0
139,9987.0,13.0
140,9981.0,19.0
141,9985.0,15.0
142,9988.0,12.0
143,9988.0,12.0
144,9986.0,14.0
145,9979.0,21.0
146,9979.0,21.0
147,9986.0,14.0
148,9985.0,15.0
149,9977.0,23.0
150,9980.0,20.0
151,9984.0,16.0
152,9987.0,13.0
153,9985.0,15.0
154,9988.0,12.0
155,9983.0,17.0
156,9975.0,25.0
157,9981.0,19.0
158,9980.0,20.0
159,9979.0,21.0
160,9983.0,17.0
161,9986.0,14.0
162,9987.0,13.0
163,9985.0,15.0
164,9988.0,12.0
165,9993.0,7.0
166,9986.0,14.0
167,9986.0,14.0
168,9982.0,18.0
169,9977.0,23.0
170,9989.0,11.0
171,9980.0,20.0
172,9983.0,17.0
173,9980.0,20.0
174,9983.0,17.0
175,9986.0,14.0
176,9988.0,12.0
177,9983.0,17.0
178,9984.0,16.0
179,9985.0,15.0
180,9978.0,22.0
181,9987.0,13.0
182,9985.0,15.0
183,9983.0,17.0
184,9983.0,17.0
185,9983.0,17.0
186,9989.0,11.0
187,9981.0,19.0
188,9982.0,18.0
189,9985.0,15.0
190,9986.0,14.0
191,9981.0,19.0
192,9983.0,17.0
193,9981.0,19.0
194,9983.0,17.0
195,9987.0,13.0
196,9987.0,13.0
197,9984.0,16.0
198,9988.0,12.0
199,9983.0,17.0
200,9982.0,18.0
201,9985.0,15.0
202,9987.0,13.0
203,9984.0,16.0
204,9986.0,14.0
205,9985.0,15.0
206,9982.0,18.0
207,9979.0,21.0
208,9986.0,14.0
209,9987.0,13.0
210,9984.0,16.0
211,9983.0,17.0
212,9974.0,26.0
213,9985.0,15.0
214,9983.0,17.0
215,9981.0,19.0
216,9986.0,14.0
217,9984.0,16.0
218,9980.0,20.0
219,9979.0,21.0
220,9986.0,14.0
221,9985.0,15.0
222,9977.0,23.0
223,9980.0,20.0
224,9980.0,20.0
225,9984.0,16.0
226,9984.0,16.0
227,9984.0,16.0
228,9988.0,12.0
229,9983.0,17.0
230,9985.0,15.0
231,9987.0,13.0
232,9987.0,13.0
233,9984.0,16.0
234,9989.0,11.0
235,9981.0,19.0
236,9979.0,21.0
237,9987.0,13.0
238,9985.0,15.0
239,9987.0,13.0
240,9984.0,16.0
241,9984.0,16.0
242,9978.0,22.0
243,9989.0,11.0
244,9984.0,16.0
245,9980.0,20.0
246,9981.0,19.0
247,9982.0,18.0
248,9983.0,17.0
249,9986.0,14.0
250,9985.0,15.0
251,9980.0,20.0
252,9981.0,19.0
253,9992.0,8.0
254,9980.0,20.0
255,9985.0,15.0
256,9987.0,13.0
257,9983.0,17.0
258,9987.0,13.0
259,9991.0,9.0
260,9987.0,13.0
261,9972.0,28.0
262,9980.0,20.0
263,9983.0,17.0
264,9977.0,23.0
265,9985.0,15.0
266,9983.0,17.0
267,9984.0,16.0
268,9989.0,11.0
269,9980.0,20.0
270,9985.0,15.0
271,9984.0,16.0
272,9988.0,12.0
273,9986.0,14.0
274,9980.0,20.0
275,9982.0,18.0
276,9983.0,17.0
277,9985.0,15.0
278,9983.0,17.0
279,9984.0,16.0
280,9981.0,19.0
281,9982.0,18.0
282,9983.0,17.0
283,9984.0,16.0
284,9981.0,19.0
285,9976.0,24.0
286,9983.0,17.0
287,9992.0,8.0
288,9980.0,20.0
289,9984.0,16.0
290,9981.0,19.0
291,9989.0,11.0
292,9981.0,19.0
293,9983.0,17.0
294,9983.0,17.0
295,9979.0,21.0
296,9978.0,22.0
297,9985.0,15.0
298,9983.0,17.0
299,9976.0,24.0
300,9977.0,23.0
301,9978.0,22.0
302,9981.0,19.0
303,9988.0,12.0
304,9987.0,13.0
305,9978.0,22.0
306,9985.0,15.0
307,9984.0,16.0
308,9987.0,13.0
309,9981.0,19.0
310,9984.0,16.0
311,9985.0,15.0
312,9983.0,17.0
313,9987.0,13.0
314,9986.0,14.0
315,9982.0,18.0
316,9984.0,16.0
317,9980.0,20.0
318,9984.0,16.0
319,9984.0,16.0
320,9980.0,20.0
321,9984.0,16.0
322,9976.0,24.0
323,9984.0,16.0
324,9988.0,12.0
325,9987.0,13.0
326,9981.0,19.0
327,9982.0,18.0
328,9988.0,12.0
329,9985.0,15.0
330,9984.0,16.0
331,9977.0,23.0
332,9983.0,17.0
333,9983.0,17.0
334,9988.0,12.0
335,9987.0,13.0
336,9977.0,23.0
337,9989.0,11.0
338,9984.0,16.0
339,9988.0,12.0
340,9984.0,16.0
341,9983.0,17.0
342,9978.0,22.0
343,9982.0,18.0
344,9986.0,14.0
345,9987.0,13.0
346,9986.0,14.0
347,9988.0,12.0
348,9985.0,15.0
349,9990.0,10.0
350,9977.0,23.0
351,9985.0,15.0
352,9983.0,17.0
353,9979.0,21.0
354,9982.0,18.0
355,9986.0,14.0
356,9986.0,14.0
357,9986.0,14.0
358,9985.0,15.0
359,9979.0,21.0
360,9982.0,18.0
361,9982.0,18.0
362,9979.0,21.0
363,9985.0,15.0
364,9989.0,11.0
365,9986.0,14.0
366,9980.0,20.0
367,9979.0,21.0
368,9978.0,22.0
369,9981.0,19.0
370,9989.0,11.0
371,9979.0,21.0
372,9982.0,18.0
373,9975.0,25.0
374,9987.0,13.0
375,9980.0,20.0
376,9933.0,67.0
377,9978.0,22.0
378,9984.0,16.0
379,9988.0,12.0
380,9982.0,18.0
381,9985.0,15.0
382,9991.0,9.0
383,9985.0,15.0
384,9990.0,10.0
385,9982.0,18.0
386,9982.0,18.0
387,9978.0,22.0
388,9978.0,22.0
389,9989.0,11.0
390,9979.0,21.0
391,9977.0,23.0
392,9979.0,21.0
393,9991.0,9.0
394,9991.0,9.0
395,9977.0,23.0
396,9980.0,20.0
397,9985.0,15.0
398,9985.0,15.0
399,9986.0,14.0
400,9981.0,19.0
401,9979.0,21.0
402,9987.0,13.0
403,9984.0,16.0
404,9979.0,21.0
405,9985.0,15.0
406,9985.0,15.0
407,9993.0,7.0
408,9975.0,25.0
409,9981.0,19.0
410,9982.0,18.0
411,9986.0,14.0
412,9979.0,21.0
413,9986.0,14.0
414,9983.0,17.0
415,9984.0,16.0
416,9983.0,17.0
417,9988.0,12.0
418,9983.0,17.0
419,9985.0,15.0
420,9978.0,22.0
421,9983.0,17.0
422,9985.0,15.0
423,9986.0,14.0
424,9990.0,10.0
425,9981.0,19.0
426,9977.0,23.0
427,9987.0,13.0
428,9985.0,15.0
429,9991.0,9.0
430,9987.0,13.0
431,9987.0,13.0
432,9985.0,15.0
433,9982.0,18.0
434,9980.0,20.0
435,9986.0,14.0
436,9979.0,21.0
437,9982.0,18.0
438,9988.0,12.0
439,9979.0,21.0
440,9983.0,17.0
441,9980.0,20.0
442,9987.0,13.0
443,9979.0,21.0
444,9980.0,20.0
445,9984.0,16.0
446,9983.0,17.0
447,9980.0,20.0
448,9991.0,9.0
449,9986.0,14.0
450,9987.0,13.0
451,9983.0,17.0
452,9988.0,12.0
453,9982.0,18.0
454,9979.0,21.0
455,9980.0,20.0
456,9986.0,14.0
457,9984.0,16.0
458,9981.0,19.0
459,9981.0,19.0
460,9990.0,10.0
461,9983.0,17.0
462,9975.0,25.0
463,9984.0,16.0
464,9989.0,11.0
465,9991.0,9.0
466,9988.0,12.0
467,9978.0,22.0
468,9979.0,21.0
469,9980.0,20.0
470,9987.0,13.0
471,9987.0,13.0
472,9981.0,19.0
473,9989.0,11.0
474,9979.0,21.0
475,9979.0,21.0
476,9987.0,13.0
477,9981.0,19.0
478,9988.0,12.0
479,9980.0,20.0
480,9978.0,22.0
481,9986.0,14.0
482,9980.0,20.0
483,9984.0,16.0
484,9977.0,23.0
485,9981.0,19.0
486,9986.0,14.0
487,9986.0,14.0
488,9986.0,14.0
489,9986.0,14.0
490,9987.0,13.0
491,9984.0,16.0
492,9985.0,15.0
493,9984.0,16.0
494,9982.0,18.0
495,9988.0,12.0
496,9979.0,21.0
497,9982.0,18.0
498,9985.0,15.0
499,9989.0,11.0
500,9986.0,14.0
501,9985.0,15.0
502,9988.0,12.0
503,9989.0,11.0
504,9987.0,13.0
505,9982.0,18.0
506,9983.0,17.0
507,9985.0,15.0
508,9981.0,19.0
509,9988.0,12.0
510,9986.0,14.0
511,9986.0,14.0
512,9988.0,12.0
513,9985.0,15.0
514,9982.0,18.0
515,9984.0,16.0
516,9984.0,16.0
517,9985.0,15.0
518,9979.0,21.0
519,9987.0,13.0
520,9984.0,16.0
521,9986.0,14.0
522,9981.0,19.0
523,9985.0,15.0
524,9983.0,17.0
525,9987.0,13.0
526,9979.0,21.0
