,0,1
0,9980.0,20.0
1,9988.0,12.0
2,9980.0,20.0
3,9986.0,14.0
4,9982.0,18.0
5,9977.0,23.0
6,9984.0,16.0
7,9978.0,22.0
8,9970.0,30.0
9,9988.0,12.0
10,9979.0,21.0
11,9975.0,25.0
12,9979.0,21.0
13,9987.0,13.0
14,9976.0,24.0
15,9983.0,17.0
16,9983.0,17.0
17,9982.0,18.0
18,9982.0,18.0
19,9983.0,17.0
20,9984.0,16.0
21,9986.0,14.0
22,9982.0,18.0
23,9984.0,16.0
24,9980.0,20.0
25,9975.0,25.0
26,9979.0,21.0
27,9987.0,13.0
28,9984.0,16.0
29,9981.0,19.0
30,9984.0,16.0
31,9984.0,16.0
32,9979.0,21.0
33,9982.0,18.0
34,9981.0,19.0
35,9986.0,14.0
36,9980.0,20.0
37,9986.0,14.0
38,9983.0,17.0
39,9984.0,16.0
40,9979.0,21.0
41,9978.0,22.0
42,9982.0,18.0
43,9981.0,19.0
44,9991.0,9.0
45,9981.0,19.0
46,9984.0,16.0
47,9983.0,17.0
48,9982.0,18.0
49,9981.0,19.0
50,9988.0,12.0
51,9979.0,21.0
52,9981.0,19.0
53,9985.0,15.0
54,9985.0,15.0
55,9982.0,18.0
56,9982.0,18.0
57,9978.0,22.0
58,9983.0,17.0
59,9978.0,22.0
60,9983.0,17.0
61,9986.0,14.0
62,9982.0,18.0
63,9985.0,15.0
64,9980.0,20.0
65,9973.0,27.0
66,9985.0,15.0
67,9985.0,15.0
68,9984.0,16.0
69,9983.0,17.0
70,9975.0,25.0
71,9986.0,14.0
72,9982.0,18.0
73,9983.0,17.0
74,9985.0,15.0
75,9985.0,15.0
76,9983.0,17.0
77,9968.0,32.0
78,9974.0,26.0
79,9981.0,19.0
80,9980.0,20.0
81,9989.0,11.0
82,9985.0,15.0
83,9984.0,16.0
84,9981.0,19.0
85,9983.0,17.0
86,9979.0,21.0
87,9983.0,17.0
88,9985.0,15.0
89,9983.0,17.0
90,9983.0,17.0
91,9982.0,18.0
92,9975.0,25.0
93,9985.0,15.0
94,9988.0,12.0
95,9986.0,14.0
96,9983.0,17.0
97,9987.0,13.0
98,9972.0,28.0
99,9980.0,20.0
100,9961.0,39.0
101,9976.0,24.0
102,9984.0,16.0
103,9979.0,21.0
104,9982.0,18.0
105,9977.0,23.0
106,9986.0,14.0
107,9980.0,20.0
108,9985.0,15.0
109,9985.0,15.0
110,9978.0,22.0
111,9983.0,17.0
112,9974.0,26.0
113,9987.0,13.0
114,9977.0,23.0
115,9978.0,22.0
116,9981.0,19.0
117,9982.0,18.0
118,9979.0,21.0
119,9983.0,17.0
120,9982.0,18.0
121,9983.0,17.0
122,9980.0,20.0
123,9984.0,16.0
124,9984.0,16.0
125,9976.0,24.0
126,9978.0,22.0
127,9982.0,18.0
128,9985.0,15.0
129,9985.0,15.0
130,9980.0,20.0
131,9983.0,17.0
132,9982.0,18.0
133,9983.0,17.0
134,9974.0,26.0
135,9979.0,21.0
136,9987.0,13.0
137,9980.0,20.0
138,9978.0,22.0
139,9977.0,23.0
140,9983.0,17.0
141,9973.0,27.0
142,9981.0,19.0
143,9990.0,10.0
144,9984.0,16.0
145,9979.0,21.0
146,9980.0,20.0
147,9980.0,20.0
148,9977.0,23.0
149,9980.0,20.0
150,9987.0,13.0
151,9986.0,14.0
152,9986.0,14.0
153,9979.0,21.0
154,9980.0,20.0
155,9985.0,15.0
156,9984.0,16.0
157,9981.0,19.0
158,9983.0,17.0
159,9978.0,22.0
160,9981.0,19.0
161,9987.0,13.0
162,9982.0,18.0
163,9977.0,23.0
164,9979.0,21.0
165,9983.0,17.0
166,9986.0,14.0
167,9985.0,15.0
168,9978.0,22.0
169,9977.0,23.0
170,9983.0,17.0
171,9981.0,19.0
172,9981.0,19.0
173,9978.0,22.0
174,9983.0,17.0
175,9973.0,27.0
176,9980.0,20.0
177,9975.0,25.0
178,9987.0,13.0
179,9986.0,14.0
180,9980.0,20.0
181,9981.0,19.0
182,9979.0,21.0
183,9982.0,18.0
184,9985.0,15.0
185,9978.0,22.0
186,9986.0,14.0
187,9978.0,22.0
188,9981.0,19.0
189,9980.0,20.0
190,9984.0,16.0
191,9977.0,23.0
192,9979.0,21.0
193,9984.0,16.0
194,9982.0,18.0
195,9982.0,18.0
196,9988.0,12.0
197,9989.0,11.0
198,9987.0,13.0
199,9983.0,17.0
200,9985.0,15.0
201,9984.0,16.0
202,9985.0,15.0
203,9980.0,20.0
204,9980.0,20.0
205,9983.0,17.0
206,9981.0,19.0
207,9983.0,17.0
208,9983.0,17.0
209,9981.0,19.0
210,9984.0,16.0
211,9987.0,13.0
212,9986.0,14.0
213,9982.0,18.0
214,9980.0,20.0
215,9985.0,15.0
216,9981.0,19.0
217,9978.0,22.0
218,9989.0,11.0
219,9979.0,21.0
220,9982.0,18.0
221,9985.0,15.0
222,9978.0,22.0
223,9978.0,22.0
224,9984.0,16.0
225,9972.0,28.0
226,9989.0,11.0
227,9983.0,17.0
228,9978.0,22.0
229,9977.0,23.0
230,9980.0,20.0
231,9976.0,24.0
232,9988.0,12.0
233,9987.0,13.0
234,9986.0,14.0
235,9977.0,23.0
236,9987.0,13.0
237,9981.0,19.0
238,9987.0,13.0
239,9985.0,15.0
240,9986.0,14.0
241,9977.0,23.0
242,9975.0,25.0
243,9980.0,20.0
244,9975.0,25.0
245,9985.0,15.0
246,9983.0,17.0
247,9980.0,20.0
248,9979.0,21.0
249,9977.0,23.0
250,9980.0,20.0
251,9984.0,16.0
252,9975.0,25.0
253,9982.0,18.0
254,9977.0,23.0
255,9982.0,18.0
256,9988.0,12.0
257,9978.0,22.0
258,9977.0,23.0
259,9981.0,19.0
260,9981.0,19.0
261,9992.0,8.0
262,9983.0,17.0
263,9981.0,19.0
264,9982.0,18.0
265,9987.0,13.0
266,9981.0,19.0
267,9982.0,18.0
268,9972.0,28.0
269,9976.0,24.0
270,9970.0,30.0
271,9979.0,21.0
272,9981.0,19.0
273,9978.0,22.0
274,9984.0,16.0
275,9973.0,27.0
276,9982.0,18.0
277,9985.0,15.0
278,9978.0,22.0
279,9977.0,23.0
280,9986.0,14.0
281,9976.0,24.0
282,9982.0,18.0
283,9983.0,17.0
284,9988.0,12.0
285,9977.0,23.0
286,9981.0,19.0
287,9977.0,23.0
288,9984.0,16.0
289,9983.0,17.0
290,9981.0,19.0
291,9978.0,22.0
292,9983.0,17.0
293,9989.0,11.0
294,9980.0,20.0
295,9982.0,18.0
296,9982.0,18.0
297,9985.0,15.0
298,9982.0,18.0
299,9981.0,19.0
300,9975.0,25.0
301,9982.0,18.0
302,9983.0,17.0
303,9979.0,21.0
304,9983.0,17.0
305,9978.0,22.0
306,9983.0,17.0
307,9975.0,25.0
308,9981.0,19.0
309,9979.0,21.0
310,9980.0,20.0
311,9982.0,18.0
312,9981.0,19.0
313,9983.0,17.0
314,9986.0,14.0
315,9983.0,17.0
316,9986.0,14.0
317,9979.0,21.0
318,9976.0,24.0
319,9976.0,24.0
320,9978.0,22.0
321,9983.0,17.0
322,9985.0,15.0
323,9982.0,18.0
324,9982.0,18.0
325,9982.0,18.0
326,9983.0,17.0
327,9978.0,22.0
328,9980.0,20.0
329,9978.0,22.0
330,9983.0,17.0
331,9985.0,15.0
332,9989.0,11.0
333,9988.0,12.0
334,9978.0,22.0
335,9983.0,17.0
336,9985.0,15.0
337,9980.0,20.0
338,9985.0,15.0
339,9983.0,17.0
340,9973.0,27.0
341,9985.0,15.0
342,9984.0,16.0
343,9985.0,15.0
344,9982.0,18.0
345,9981.0,19.0
346,9980.0,20.0
347,9989.0,11.0
348,9983.0,17.0
349,9978.0,22.0
350,9984.0,16.0
351,9981.0,19.0
352,9977.0,23.0
353,9986.0,14.0
354,9989.0,11.0
355,9978.0,22.0
356,9984.0,16.0
357,9981.0,19.0
358,9987.0,13.0
359,9977.0,23.0
360,9983.0,17.0
361,9984.0,16.0
362,9979.0,21.0
363,9984.0,16.0
364,9974.0,26.0
365,9984.0,16.0
366,9983.0,17.0
367,9982.0,18.0
368,9984.0,16.0
369,9978.0,22.0
370,9989.0,11.0
371,9978.0,22.0
372,9971.0,29.0
373,9982.0,18.0
374,9986.0,14.0
375,9984.0,16.0
376,9979.0,21.0
377,9985.0,15.0
378,9980.0,20.0
379,9977.0,23.0
380,9988.0,12.0
381,9986.0,14.0
382,9970.0,30.0
383,9989.0,11.0
384,9984.0,16.0
385,9985.0,15.0
386,9980.0,20.0
387,9985.0,15.0
388,9984.0,16.0
389,9982.0,18.0
390,9980.0,20.0
391,9978.0,22.0
392,9976.0,24.0
393,9985.0,15.0
394,9980.0,20.0
395,9980.0,20.0
396,9981.0,19.0
397,9982.0,18.0
398,9986.0,14.0
399,9984.0,16.0
400,9979.0,21.0
401,9975.0,25.0
402,9979.0,21.0
403,9981.0,19.0
404,9980.0,20.0
405,9976.0,24.0
406,9982.0,18.0
407,9984.0,16.0
408,9979.0,21.0
409,9979.0,21.0
410,9984.0,16.0
411,9977.0,23.0
412,9974.0,26.0
413,9986.0,14.0
414,9984.0,16.0
415,9979.0,21.0
416,9983.0,17.0
417,9982.0,18.0
418,9977.0,23.0
419,9975.0,25.0
420,9978.0,22.0
421,9980.0,20.0
422,9984.0,16.0
423,9979.0,21.0
424,9985.0,15.0
425,9987.0,13.0
426,9981.0,19.0
427,9984.0,16.0
428,9985.0,15.0
429,9986.0,14.0
430,9974.0,26.0
431,9979.0,21.0
432,9978.0,22.0
433,9975.0,25.0
434,9982.0,18.0
435,9986.0,14.0
436,9981.0,19.0
437,9981.0,19.0
438,9976.0,24.0
439,9987.0,13.0
440,9989.0,11.0
441,9980.0,20.0
442,9977.0,23.0
443,9983.0,17.0
444,9986.0,14.0
445,9980.0,20.0
446,9982.0,18.0
447,9975.0,25.0
448,9979.0,21.0
449,9984.0,16.0
450,9973.0,27.0
451,9975.0,25.0
452,9985.0,15.0
453,9974.0,26.0
454,9977.0,23.0
455,9978.0,22.0
456,9980.0,20.0
457,9970.0,30.0
458,9982.0,18.0
459,9976.0,24.0
460,9979.0,21.0
461,9982.0,18.0
462,9976.0,24.0
463,9989.0,11.0
464,9981.0,19.0
465,9983.0,17.0
466,9980.0,20.0
467,9981.0,19.0
468,9989.0,11.0
469,9982.0,18.0
470,9983.0,17.0
471,9985.0,15.0
472,9981.0,19.0
473,9981.0,19.0
474,9983.0,17.0
475,9981.0,19.0
476,9977.0,23.0
477,9980.0,20.0
478,9980.0,20.0
479,9986.0,14.0
480,9985.0,15.0
481,9980.0,20.0
482,9982.0,18.0
483,9983.0,17.0
484,9981.0,19.0
485,9983.0,17.0
486,9980.0,20.0
487,9988.0,12.0
488,9973.0,27.0
489,9979.0,21.0
490,9978.0,22.0
491,9986.0,14.0
492,9981.0,19.0
493,9988.0,12.0
494,9978.0,22.0
495,9981.0,19.0
496,9986.0,14.0
497,9983.0,17.0
498,9982.0,18.0
499,9979.0,21.0
500,9985.0,15.0
501,9977.0,23.0
502,9984.0,16.0
503,9978.0,22.0
504,9985.0,15.0
505,9986.0,14.0
506,9986.0,14.0
507,9980.0,20.0
508,9982.0,18.0
509,9980.0,20.0
510,9982.0,18.0
511,9987.0,13.0
512,9976.0,24.0
513,9984.0,16.0
514,9984.0,16.0
515,9979.0,21.0
516,9984.0,16.0
517,9981.0,19.0
518,9981.0,19.0
519,9981.0,19.0
520,9988.0,12.0
521,9976.0,24.0
522,9991.0,9.0
523,9974.0,26.0
524,9978.0,22.0
525,9984.0,16.0
526,9981.0,19.0
527,9983.0,17.0
528,9982.0,18.0
529,9984.0,16.0
530,9980.0,20.0
531,9975.0,25.0
532,9983.0,17.0
533,9985.0,15.0
534,9982.0,18.0
535,9985.0,15.0
536,9973.0,27.0
537,9980.0,20.0
538,9980.0,20.0
539,9989.0,11.0
540,9983.0,17.0
541,9980.0,20.0
542,9988.0,12.0
543,9981.0,19.0
544,9976.0,24.0
545,9983.0,17.0
546,9983.0,17.0
547,9985.0,15.0
548,9990.0,10.0
549,9984.0,16.0
550,9978.0,22.0
551,9984.0,16.0
552,9986.0,14.0
553,9984.0,16.0
554,9983.0,17.0
555,9985.0,15.0
556,9981.0,19.0
557,9974.0,26.0
558,9979.0,21.0
559,9979.0,21.0
560,9984.0,16.0
561,9987.0,13.0
562,9978.0,22.0
563,9979.0,21.0
564,9983.0,17.0
565,9980.0,20.0
566,9975.0,25.0
567,9979.0,21.0
568,9983.0,17.0
569,9984.0,16.0
570,9983.0,17.0
571,9981.0,19.0
572,9980.0,20.0
573,9987.0,13.0
574,9979.0,21.0
575,9978.0,22.0
576,9990.0,10.0
577,9983.0,17.0
578,9979.0,21.0
579,9984.0,16.0
580,9980.0,20.0
581,9980.0,20.0
582,9974.0,26.0
583,9977.0,23.0
584,9982.0,18.0
585,9967.0,33.0
586,9986.0,14.0
587,9980.0,20.0
588,9980.0,20.0
589,9980.0,20.0
590,9977.0,23.0
591,9981.0,19.0
592,9984.0,16.0
593,9982.0,18.0
594,9986.0,14.0
595,9978.0,22.0
596,9985.0,15.0
597,9974.0,26.0
598,9976.0,24.0
599,9980.0,20.0
600,9968.0,32.0
601,9985.0,15.0
602,9983.0,17.0
603,9981.0,19.0
604,9975.0,25.0
605,9980.0,20.0
606,9984.0,16.0
607,9978.0,22.0
608,9986.0,14.0
609,9981.0,19.0
610,9983.0,17.0
611,9988.0,12.0
612,9977.0,23.0
613,9986.0,14.0
614,9976.0,24.0
615,9985.0,15.0
616,9985.0,15.0
617,9978.0,22.0
618,9984.0,16.0
619,9988.0,12.0
620,9976.0,24.0
621,9978.0,22.0
622,9985.0,15.0
623,9974.0,26.0
624,9985.0,15.0
625,9981.0,19.0
626,9980.0,20.0
627,9978.0,22.0
628,9986.0,14.0
629,9980.0,20.0
630,9981.0,19.0
631,9986.0,14.0
632,9978.0,22.0
633,9974.0,26.0
634,9984.0,16.0
635,9982.0,18.0
636,9977.0,23.0
637,9979.0,21.0
638,9982.0,18.0
639,9975.0,25.0
640,9983.0,17.0
641,9976.0,24.0
642,9979.0,21.0
643,9981.0,19.0
644,9976.0,24.0
645,9973.0,27.0
646,9979.0,21.0
647,9982.0,18.0
648,9984.0,16.0
649,9984.0,16.0
650,9981.0,19.0
651,9983.0,17.0
652,9983.0,17.0
653,9980.0,20.0
654,9987.0,13.0
655,9978.0,22.0
656,9982.0,18.0
657,9983.0,17.0
658,9978.0,22.0
659,9983.0,17.0
660,9976.0,24.0
661,9981.0,19.0
662,9979.0,21.0
663,9990.0,10.0
664,9984.0,16.0
665,9982.0,18.0
666,9979.0,21.0
667,9979.0,21.0
668,9986.0,14.0
669,9979.0,21.0
670,9982.0,18.0
671,9987.0,13.0
672,9978.0,22.0
673,9984.0,16.0
674,9983.0,17.0
675,9980.0,20.0
676,9981.0,19.0
677,9986.0,14.0
678,9974.0,26.0
679,9987.0,13.0
680,9981.0,19.0
681,9983.0,17.0
682,9985.0,15.0
683,9984.0,16.0
684,9982.0,18.0
685,9983.0,17.0
686,9986.0,14.0
687,9981.0,19.0
688,9980.0,20.0
689,9982.0,18.0
690,9988.0,12.0
691,9983.0,17.0
692,9979.0,21.0
693,9989.0,11.0
694,9986.0,14.0
695,9987.0,13.0
696,9980.0,20.0
697,9982.0,18.0
698,9986.0,14.0
699,9985.0,15.0
700,9984.0,16.0
701,9982.0,18.0
702,9985.0,15.0
703,9981.0,19.0
704,9983.0,17.0
705,9980.0,20.0
706,9988.0,12.0
707,9987.0,13.0
708,9980.0,20.0
709,9987.0,13.0
710,9979.0,21.0
711,9984.0,16.0
712,9974.0,26.0
713,9982.0,18.0
714,9980.0,20.0
715,9985.0,15.0
716,9987.0,13.0
717,9985.0,15.0
718,9983.0,17.0
719,9986.0,14.0
720,9984.0,16.0
721,9982.0,18.0
722,9984.0,16.0
723,9978.0,22.0
724,9985.0,15.0
725,9980.0,20.0
726,9981.0,19.0
727,9988.0,12.0
728,9986.0,14.0
729,9976.0,24.0
730,9985.0,15.0
731,9987.0,13.0
732,9982.0,18.0
733,9990.0,10.0
734,9981.0,19.0
735,9978.0,22.0
736,9988.0,12.0
737,9980.0,20.0
738,9979.0,21.0
739,9981.0,19.0
740,9981.0,19.0
741,9979.0,21.0
742,9984.0,16.0
743,9979.0,21.0
744,9981.0,19.0
745,9983.0,17.0
746,9987.0,13.0
747,9983.0,17.0
748,9978.0,22.0
749,9981.0,19.0
750,9974.0,26.0
751,9985.0,15.0
752,9980.0,20.0
753,9979.0,21.0
754,9983.0,17.0
755,9982.0,18.0
756,9985.0,15.0
757,9980.0,20.0
758,9970.0,30.0
759,9978.0,22.0
760,9975.0,25.0
761,9977.0,23.0
762,9987.0,13.0
763,9970.0,30.0
764,9977.0,23.0
765,9983.0,17.0
766,9981.0,19.0
767,9984.0,16.0
768,9978.0,22.0
769,9985.0,15.0
770,9981.0,19.0
771,9985.0,15.0
772,9987.0,13.0
773,9978.0,22.0
774,9984.0,16.0
775,9982.0,18.0
776,9983.0,17.0
777,9983.0,17.0
778,9981.0,19.0
779,9980.0,20.0
780,9979.0,21.0
781,9981.0,19.0
782,9983.0,17.0
783,9981.0,19.0
784,9985.0,15.0
785,9981.0,19.0
786,9988.0,12.0
787,9981.0,19.0
788,9982.0,18.0
789,9981.0,19.0
790,9982.0,18.0
791,9979.0,21.0
792,9986.0,14.0
793,9977.0,23.0
794,9987.0,13.0
