,0,1
0,9993.0,7.0
1,9988.0,12.0
2,9993.0,7.0
3,9995.0,5.0
4,9988.0,12.0
5,9986.0,14.0
6,9988.0,12.0
7,9993.0,7.0
8,9995.0,5.0
9,9993.0,7.0
10,9990.0,10.0
11,9989.0,11.0
12,9995.0,5.0
13,9995.0,5.0
14,9994.0,6.0
15,9992.0,8.0
16,9988.0,12.0
17,9991.0,9.0
18,9994.0,6.0
19,9991.0,9.0
20,9992.0,8.0
21,9995.0,5.0
22,9991.0,9.0
23,9988.0,12.0
24,9996.0,4.0
25,9992.0,8.0
26,9987.0,13.0
27,9993.0,7.0
28,9994.0,6.0
29,9994.0,6.0
30,9994.0,6.0
31,9991.0,9.0
32,9977.0,23.0
33,9980.0,20.0
34,9991.0,9.0
35,9987.0,13.0
36,9994.0,6.0
37,9994.0,6.0
38,9989.0,11.0
39,9987.0,13.0
40,9989.0,11.0
41,9989.0,11.0
42,9990.0,10.0
43,9992.0,8.0
44,9994.0,6.0
45,9995.0,5.0
46,9982.0,18.0
47,9994.0,6.0
48,9991.0,9.0
49,9991.0,9.0
50,9994.0,6.0
51,9993.0,7.0
52,9995.0,5.0
53,9989.0,11.0
54,9991.0,9.0
55,9995.0,5.0
56,9992.0,8.0
57,9991.0,9.0
58,9994.0,6.0
59,9996.0,4.0
60,9991.0,9.0
61,9992.0,8.0
62,9995.0,5.0
63,9991.0,9.0
64,9988.0,12.0
65,9995.0,5.0
66,9995.0,5.0
67,9995.0,5.0
68,9996.0,4.0
69,9991.0,9.0
70,9992.0,8.0
71,9985.0,15.0
72,9987.0,13.0
73,9995.0,5.0
74,9996.0,4.0
75,9991.0,9.0
76,9995.0,5.0
77,9991.0,9.0
78,9995.0,5.0
79,9989.0,11.0
80,9986.0,14.0
81,9994.0,6.0
82,9993.0,7.0
83,9988.0,12.0
84,9994.0,6.0
85,9993.0,7.0
86,9992.0,8.0
87,9994.0,6.0
88,9995.0,5.0
89,9989.0,11.0
90,9995.0,5.0
91,9991.0,9.0
92,9992.0,8.0
93,9991.0,9.0
94,9994.0,6.0
95,9992.0,8.0
96,9981.0,19.0
97,9989.0,11.0
98,9996.0,4.0
99,9991.0,9.0
100,9989.0,11.0
101,9994.0,6.0
102,9989.0,11.0
103,9995.0,5.0
104,9993.0,7.0
105,9987.0,13.0
106,9987.0,13.0
107,9993.0,7.0
108,9988.0,12.0
109,9996.0,4.0
110,9995.0,5.0
111,9993.0,7.0
112,9992.0,8.0
113,9993.0,7.0
114,9990.0,10.0
115,9993.0,7.0
116,9995.0,5.0
117,9987.0,13.0
118,9991.0,9.0
119,9994.0,6.0
120,9992.0,8.0
121,9992.0,8.0
122,9992.0,8.0
123,9987.0,13.0
124,9992.0,8.0
125,9995.0,5.0
126,9983.0,17.0
127,9988.0,12.0
128,9991.0,9.0
129,9995.0,5.0
130,9991.0,9.0
131,9992.0,8.0
132,9995.0,5.0
133,9995.0,5.0
134,9995.0,5.0
135,9990.0,10.0
136,9994.0,6.0
