,0,1,2,3,4
0,9636.0,233.0,70.0,40.0,21.0
1,9675.0,159.0,106.0,37.0,23.0
2,9571.0,284.0,70.0,48.0,27.0
3,9437.0,368.0,106.0,56.0,33.0
4,9611.0,211.0,114.0,38.0,26.0
5,9522.0,317.0,90.0,47.0,24.0
6,9495.0,278.0,141.0,58.0,28.0
7,9409.0,446.0,79.0,39.0,27.0
8,9488.0,298.0,132.0,55.0,27.0
9,9411.0,388.0,116.0,58.0,27.0
10,9547.0,282.0,85.0,51.0,35.0
11,9541.0,327.0,55.0,43.0,34.0
12,9591.0,297.0,57.0,34.0,21.0
13,9465.0,361.0,79.0,66.0,29.0
14,9479.0,313.0,136.0,46.0,26.0
15,9396.0,443.0,82.0,53.0,26.0
16,9508.0,325.0,104.0,38.0,25.0
17,9525.0,298.0,95.0,61.0,21.0
18,9575.0,270.0,86.0,40.0,29.0
19,9525.0,339.0,69.0,38.0,29.0
20,9506.0,349.0,87.0,33.0,25.0
21,9435.0,375.0,120.0,44.0,26.0
22,9587.0,222.0,118.0,46.0,27.0
23,9420.0,441.0,78.0,36.0,25.0
24,9495.0,349.0,90.0,43.0,23.0
25,9528.0,303.0,94.0,52.0,23.0
26,9653.0,198.0,92.0,31.0,26.0
27,9594.0,272.0,64.0,47.0,23.0
28,9560.0,245.0,116.0,54.0,25.0
29,9646.0,209.0,74.0,44.0,27.0
30,9574.0,285.0,58.0,43.0,40.0
31,9397.0,411.0,124.0,43.0,25.0
32,9481.0,358.0,99.0,39.0,23.0
33,9592.0,229.0,111.0,43.0,25.0
34,9382.0,403.0,140.0,48.0,27.0
35,9511.0,298.0,111.0,53.0,27.0
36,9452.0,331.0,114.0,64.0,39.0
37,9511.0,306.0,99.0,59.0,25.0
38,9588.0,244.0,98.0,46.0,24.0
39,9717.0,146.0,80.0,36.0,21.0
40,9467.0,355.0,98.0,52.0,28.0
41,9515.0,361.0,55.0,46.0,23.0
42,9581.0,289.0,76.0,29.0,25.0
43,9476.0,346.0,117.0,38.0,23.0
44,9527.0,351.0,57.0,40.0,25.0
45,9477.0,373.0,74.0,49.0,27.0
46,9535.0,282.0,118.0,37.0,28.0
47,9666.0,208.0,58.0,41.0,27.0
48,9598.0,241.0,94.0,39.0,28.0
49,9569.0,292.0,67.0,43.0,29.0
50,9531.0,304.0,82.0,56.0,27.0
51,9491.0,325.0,96.0,61.0,27.0
52,9476.0,346.0,117.0,38.0,23.0
53,9600.0,243.0,80.0,54.0,23.0
54,9633.0,209.0,84.0,47.0,27.0
55,9517.0,339.0,78.0,41.0,25.0
56,9549.0,312.0,85.0,31.0,23.0
57,9390.0,435.0,99.0,49.0,27.0
58,9580.0,238.0,98.0,55.0,29.0
59,9407.0,421.0,92.0,51.0,29.0
60,9554.0,299.0,68.0,48.0,31.0
61,9431.0,426.0,71.0,51.0,21.0
62,9566.0,280.0,86.0,39.0,29.0
63,9503.0,289.0,138.0,43.0,27.0
64,9391.0,426.0,121.0,39.0,23.0
65,9609.0,223.0,98.0,40.0,30.0
66,9540.0,327.0,49.0,54.0,30.0
67,9523.0,283.0,130.0,39.0,25.0
68,9558.0,261.0,110.0,38.0,33.0
69,9525.0,317.0,82.0,51.0,25.0
70,9454.0,394.0,65.0,62.0,25.0
71,9512.0,329.0,108.0,27.0,24.0
72,9573.0,271.0,88.0,43.0,25.0
73,9517.0,325.0,97.0,34.0,27.0
74,9535.0,313.0,92.0,34.0,26.0
75,9567.0,268.0,104.0,36.0,25.0
76,9550.0,296.0,89.0,38.0,27.0
77,9526.0,315.0,98.0,38.0,23.0
78,9576.0,251.0,87.0,55.0,31.0
79,9584.0,276.0,76.0,41.0,23.0
80,9435.0,388.0,101.0,53.0,23.0
81,9527.0,280.0,115.0,53.0,25.0
82,9531.0,328.0,73.0,39.0,29.0
83,9577.0,239.0,115.0,42.0,27.0
84,9523.0,310.0,81.0,56.0,30.0
85,9468.0,403.0,66.0,37.0,26.0
86,9525.0,370.0,49.0,34.0,22.0
87,9614.0,224.0,82.0,55.0,25.0
88,9488.0,335.0,120.0,34.0,23.0
89,9518.0,290.0,99.0,63.0,30.0
90,9611.0,194.0,115.0,49.0,31.0
91,9533.0,303.0,103.0,31.0,30.0
92,9552.0,233.0,151.0,43.0,21.0
93,9562.0,290.0,82.0,44.0,22.0
94,9597.0,221.0,109.0,46.0,27.0
95,9485.0,290.0,148.0,48.0,29.0
96,9424.0,441.0,72.0,36.0,27.0
97,9427.0,443.0,62.0,41.0,27.0
98,9611.0,206.0,104.0,55.0,24.0
99,9430.0,399.0,108.0,40.0,23.0
100,9442.0,367.0,109.0,55.0,27.0
101,9422.0,420.0,94.0,34.0,30.0
102,9438.0,371.0,125.0,41.0,25.0
103,9473.0,379.0,79.0,46.0,23.0
104,9453.0,339.0,144.0,40.0,24.0
105,9566.0,263.0,94.0,51.0,26.0
