,0,1,2,3,4
0,9958.0,11.0,11.0,10.0,10.0
1,9957.0,11.0,11.0,11.0,10.0
2,9948.0,13.0,13.0,13.0,13.0
3,9956.0,11.0,11.0,11.0,11.0
4,9938.0,16.0,16.0,15.0,15.0
5,9946.0,14.0,14.0,13.0,13.0
6,9950.0,13.0,13.0,12.0,12.0
7,9955.0,12.0,11.0,11.0,11.0
8,9953.0,14.0,11.0,12.0,10.0
9,9950.0,13.0,13.0,12.0,12.0
10,9929.0,29.0,14.0,14.0,14.0
11,9953.0,12.0,12.0,12.0,11.0
12,9947.0,14.0,13.0,13.0,13.0
13,9949.0,13.0,13.0,13.0,12.0
14,9962.0,10.0,10.0,9.0,9.0
15,9947.0,14.0,13.0,13.0,13.0
16,9952.0,12.0,12.0,12.0,12.0
17,9956.0,11.0,11.0,11.0,11.0
18,9958.0,11.0,11.0,10.0,10.0
19,9950.0,13.0,13.0,12.0,12.0
20,9955.0,11.0,12.0,11.0,11.0
21,9946.0,14.0,14.0,13.0,13.0
22,9957.0,11.0,11.0,11.0,10.0
23,9944.0,14.0,14.0,14.0,14.0
24,9929.0,26.0,15.0,15.0,15.0
25,9955.0,12.0,11.0,11.0,11.0
26,9948.0,13.0,13.0,13.0,13.0
27,9949.0,16.0,11.0,13.0,11.0
28,9945.0,14.0,14.0,14.0,13.0
29,9955.0,12.0,11.0,11.0,11.0
30,9959.0,11.0,10.0,10.0,10.0
31,9959.0,11.0,10.0,10.0,10.0
32,9952.0,13.0,12.0,12.0,11.0
33,9952.0,12.0,12.0,12.0,12.0
34,9957.0,11.0,11.0,11.0,10.0
35,9954.0,12.0,12.0,11.0,11.0
36,9941.0,15.0,16.0,14.0,14.0
37,9958.0,11.0,11.0,10.0,10.0
38,9959.0,11.0,10.0,10.0,10.0
39,9949.0,13.0,13.0,13.0,12.0
40,12.0,9953.0,12.0,12.0,11.0
41,9937.0,16.0,16.0,16.0,15.0
42,9945.0,15.0,14.0,13.0,13.0
43,9952.0,12.0,12.0,12.0,12.0
44,9939.0,15.0,15.0,16.0,15.0
45,9947.0,14.0,13.0,13.0,13.0
46,9945.0,14.0,14.0,14.0,13.0
47,9927.0,18.0,18.0,18.0,19.0
48,9956.0,11.0,11.0,11.0,11.0
49,9963.0,10.0,9.0,9.0,9.0
50,9937.0,16.0,16.0,16.0,15.0
51,9569.0,395.0,12.0,12.0,12.0
52,9962.0,10.0,10.0,9.0,9.0
53,9943.0,14.0,15.0,14.0,14.0
54,9942.0,15.0,15.0,14.0,14.0
55,9953.0,12.0,12.0,12.0,11.0
56,9957.0,11.0,11.0,11.0,10.0
57,9955.0,11.0,11.0,12.0,11.0
58,9950.0,13.0,13.0,12.0,12.0
59,9958.0,11.0,11.0,10.0,10.0
60,9958.0,11.0,11.0,10.0,10.0
61,9959.0,11.0,10.0,10.0,10.0
62,9953.0,12.0,12.0,11.0,12.0
63,9951.0,12.0,12.0,13.0,12.0
64,9949.0,13.0,13.0,13.0,12.0
65,12.0,9953.0,12.0,12.0,11.0
66,9962.0,10.0,10.0,9.0,9.0
67,9953.0,12.0,12.0,12.0,11.0
68,3531.0,6428.0,14.0,14.0,13.0
69,9955.0,12.0,11.0,11.0,11.0
70,9956.0,11.0,11.0,12.0,10.0
71,9960.0,10.0,10.0,10.0,10.0
72,9952.0,12.0,12.0,12.0,12.0
73,9949.0,13.0,14.0,12.0,12.0
74,9950.0,13.0,13.0,12.0,12.0
75,9951.0,13.0,13.0,12.0,11.0
76,9951.0,13.0,12.0,12.0,12.0
77,9945.0,14.0,14.0,14.0,13.0
78,9947.0,14.0,14.0,13.0,12.0
79,9960.0,10.0,10.0,10.0,10.0
80,11.0,9957.0,11.0,11.0,10.0
81,9963.0,10.0,9.0,9.0,9.0
82,9952.0,12.0,12.0,12.0,12.0
83,9933.0,17.0,17.0,17.0,16.0
84,9954.0,12.0,12.0,11.0,11.0
85,9955.0,12.0,11.0,11.0,11.0
86,9948.0,13.0,13.0,13.0,13.0
87,9945.0,22.0,11.0,11.0,11.0
88,9960.0,10.0,10.0,10.0,10.0
89,9947.0,14.0,13.0,13.0,13.0
90,9946.0,14.0,14.0,13.0,13.0
91,9933.0,33.0,11.0,12.0,11.0
92,9945.0,14.0,14.0,14.0,13.0
93,9955.0,11.0,11.0,12.0,11.0
94,9939.0,15.0,15.0,15.0,16.0
95,9924.0,30.0,16.0,15.0,15.0
96,9963.0,10.0,9.0,9.0,9.0
97,4325.0,5640.0,12.0,12.0,11.0
98,9948.0,13.0,13.0,13.0,13.0
99,9933.0,18.0,17.0,16.0,16.0
100,9957.0,11.0,11.0,11.0,10.0
101,9954.0,12.0,12.0,11.0,11.0
102,9953.0,12.0,12.0,12.0,11.0
103,9945.0,14.0,14.0,14.0,13.0
104,9956.0,11.0,11.0,11.0,11.0
105,9968.0,8.0,8.0,8.0,8.0
106,9946.0,14.0,14.0,13.0,13.0
107,9956.0,11.0,12.0,10.0,11.0
108,9951.0,13.0,12.0,12.0,12.0
109,9959.0,11.0,10.0,10.0,10.0
110,9950.0,13.0,13.0,12.0,12.0
111,9945.0,14.0,14.0,14.0,13.0
112,9948.0,13.0,13.0,13.0,13.0
113,9253.0,699.0,16.0,16.0,16.0
114,9853.0,98.0,17.0,16.0,16.0
115,9937.0,24.0,13.0,13.0,13.0
116,9949.0,13.0,13.0,12.0,13.0
117,9938.0,19.0,15.0,14.0,14.0
