,0,1,2,3,4
0,9933.0,40.0,10.0,9.0,8.0
1,9925.0,45.0,14.0,7.0,9.0
2,9920.0,54.0,14.0,7.0,5.0
3,9947.0,21.0,24.0,5.0,3.0
4,9959.0,22.0,8.0,6.0,5.0
5,9968.0,14.0,10.0,5.0,3.0
6,9965.0,18.0,3.0,7.0,7.0
7,9912.0,58.0,14.0,9.0,7.0
8,9901.0,67.0,22.0,4.0,6.0
9,9966.0,10.0,14.0,4.0,6.0
10,9973.0,9.0,6.0,6.0,6.0
11,9964.0,16.0,4.0,10.0,6.0
12,9939.0,23.0,20.0,9.0,9.0
13,9947.0,21.0,15.0,10.0,7.0
14,9945.0,17.0,18.0,13.0,7.0
15,9943.0,5.0,41.0,5.0,6.0
16,9941.0,34.0,12.0,8.0,5.0
17,9950.0,27.0,7.0,8.0,8.0
18,9939.0,39.0,10.0,6.0,6.0
19,9954.0,23.0,9.0,7.0,7.0
20,9928.0,41.0,22.0,4.0,5.0
21,9962.0,5.0,20.0,6.0,7.0
22,9956.0,19.0,13.0,7.0,5.0
23,9904.0,65.0,17.0,7.0,7.0
24,9890.0,84.0,16.0,5.0,5.0
25,9926.0,44.0,18.0,8.0,4.0
26,9969.0,16.0,5.0,6.0,4.0
27,9940.0,38.0,10.0,6.0,6.0
28,9961.0,14.0,15.0,5.0,5.0
29,9954.0,19.0,10.0,12.0,5.0
30,9958.0,15.0,16.0,6.0,5.0
31,9969.0,11.0,9.0,5.0,6.0
32,9945.0,35.0,6.0,6.0,8.0
33,9939.0,45.0,5.0,5.0,6.0
34,9951.0,21.0,10.0,12.0,6.0
35,9958.0,19.0,8.0,10.0,5.0
36,9941.0,25.0,19.0,10.0,5.0
37,9898.0,71.0,18.0,6.0,7.0
38,9934.0,47.0,9.0,5.0,5.0
39,9946.0,22.0,12.0,15.0,5.0
40,9924.0,50.0,18.0,4.0,4.0
41,9974.0,7.0,5.0,9.0,5.0
42,9914.0,60.0,9.0,8.0,9.0
43,9943.0,26.0,18.0,7.0,6.0
44,9944.0,35.0,8.0,5.0,8.0
45,9938.0,34.0,11.0,11.0,6.0
46,9953.0,27.0,8.0,6.0,6.0
47,9941.0,33.0,14.0,8.0,4.0
48,9944.0,35.0,5.0,8.0,8.0
49,9973.0,10.0,6.0,6.0,5.0
50,9935.0,28.0,25.0,5.0,7.0
51,9942.0,32.0,12.0,6.0,8.0
52,9956.0,30.0,5.0,5.0,4.0
53,9903.0,53.0,30.0,8.0,6.0
54,9932.0,40.0,15.0,7.0,6.0
55,9939.0,43.0,7.0,7.0,4.0
56,9967.0,6.0,10.0,12.0,5.0
57,9921.0,54.0,10.0,5.0,10.0
58,9918.0,56.0,15.0,6.0,5.0
59,9957.0,21.0,7.0,8.0,7.0
60,9955.0,16.0,17.0,7.0,5.0
61,9969.0,10.0,7.0,8.0,6.0
62,9933.0,53.0,4.0,5.0,5.0
63,9955.0,25.0,8.0,5.0,7.0
64,9960.0,10.0,14.0,6.0,10.0
65,9934.0,47.0,10.0,5.0,4.0
66,9911.0,68.0,4.0,10.0,7.0
67,9976.0,6.0,8.0,5.0,5.0
68,9948.0,33.0,7.0,7.0,5.0
69,9913.0,64.0,11.0,7.0,5.0
70,9956.0,27.0,6.0,5.0,6.0
71,9970.0,5.0,13.0,8.0,4.0
72,9970.0,13.0,8.0,5.0,4.0
73,9954.0,15.0,17.0,8.0,6.0
74,9827.0,144.0,15.0,7.0,7.0
75,9929.0,57.0,6.0,4.0,4.0
76,9952.0,11.0,22.0,9.0,6.0
77,9937.0,38.0,12.0,7.0,6.0
78,9958.0,12.0,15.0,8.0,7.0
79,9962.0,12.0,15.0,4.0,7.0
80,9964.0,9.0,12.0,10.0,5.0
81,9906.0,57.0,27.0,6.0,4.0
82,9914.0,54.0,22.0,5.0,5.0
83,9963.0,10.0,15.0,6.0,6.0
84,9966.0,12.0,7.0,5.0,10.0
85,9940.0,38.0,10.0,6.0,6.0
86,9924.0,48.0,14.0,9.0,5.0
87,9945.0,25.0,18.0,5.0,7.0
88,9962.0,14.0,12.0,5.0,7.0
89,9948.0,19.0,18.0,10.0,5.0
90,9924.0,57.0,5.0,9.0,5.0
91,9932.0,36.0,16.0,11.0,5.0
92,9967.0,15.0,7.0,5.0,6.0
93,9952.0,15.0,19.0,7.0,7.0
94,9946.0,36.0,8.0,5.0,5.0
95,9930.0,45.0,6.0,13.0,6.0
96,9940.0,41.0,6.0,5.0,8.0
97,9965.0,18.0,7.0,6.0,4.0
98,9963.0,18.0,8.0,6.0,5.0
99,9942.0,30.0,13.0,5.0,10.0
100,9947.0,32.0,10.0,5.0,6.0
101,9968.0,14.0,5.0,8.0,5.0
102,9935.0,41.0,6.0,13.0,5.0
103,9937.0,40.0,8.0,9.0,6.0
104,9909.0,67.0,14.0,5.0,5.0
105,9932.0,47.0,8.0,8.0,5.0
106,9947.0,21.0,17.0,10.0,5.0
107,9974.0,12.0,5.0,4.0,5.0
108,9948.0,30.0,8.0,7.0,7.0
109,9954.0,15.0,18.0,6.0,7.0
110,9904.0,68.0,16.0,7.0,5.0
111,9946.0,35.0,5.0,5.0,9.0
112,9973.0,12.0,5.0,5.0,5.0
113,9958.0,20.0,9.0,4.0,9.0
114,9964.0,20.0,6.0,4.0,6.0
115,9916.0,58.0,10.0,10.0,6.0
116,9871.0,93.0,22.0,8.0,6.0
117,9942.0,39.0,9.0,5.0,5.0
118,9973.0,11.0,7.0,5.0,4.0
119,9975.0,8.0,8.0,5.0,4.0
120,9933.0,45.0,9.0,7.0,6.0
121,9963.0,17.0,8.0,7.0,5.0
122,9935.0,44.0,9.0,5.0,7.0
123,9958.0,16.0,13.0,7.0,6.0
124,9932.0,44.0,11.0,8.0,5.0
125,9971.0,7.0,10.0,6.0,6.0
126,9916.0,67.0,6.0,5.0,6.0
127,9887.0,89.0,12.0,6.0,6.0
128,9829.0,151.0,6.0,7.0,7.0
129,9914.0,65.0,9.0,5.0,7.0
130,9955.0,17.0,11.0,9.0,8.0
131,9958.0,23.0,6.0,8.0,5.0
132,9924.0,49.0,17.0,5.0,5.0
133,9914.0,58.0,16.0,5.0,7.0
134,9947.0,24.0,16.0,7.0,6.0
135,9951.0,25.0,11.0,6.0,7.0
136,9971.0,8.0,11.0,5.0,5.0
137,9940.0,20.0,28.0,6.0,6.0
138,9952.0,24.0,12.0,7.0,5.0
139,9943.0,33.0,12.0,7.0,5.0
140,9936.0,39.0,15.0,5.0,5.0
141,9952.0,23.0,13.0,7.0,5.0
142,9951.0,23.0,11.0,10.0,5.0
143,9939.0,33.0,16.0,5.0,7.0
144,9923.0,30.0,35.0,5.0,7.0
145,9960.0,20.0,9.0,6.0,5.0
146,9919.0,35.0,36.0,5.0,5.0
147,9937.0,43.0,8.0,6.0,6.0
148,9944.0,31.0,13.0,5.0,7.0
149,9949.0,33.0,8.0,5.0,5.0
150,9917.0,63.0,8.0,7.0,5.0
151,9950.0,21.0,11.0,10.0,8.0
152,9924.0,47.0,14.0,8.0,7.0
153,9966.0,16.0,11.0,4.0,3.0
154,9923.0,48.0,18.0,5.0,6.0
155,9963.0,10.0,16.0,5.0,6.0
156,9956.0,23.0,7.0,8.0,6.0
157,9946.0,39.0,5.0,6.0,4.0
158,9907.0,65.0,13.0,8.0,7.0
159,9895.0,80.0,12.0,7.0,6.0
160,9961.0,19.0,9.0,5.0,6.0
161,9961.0,20.0,8.0,5.0,6.0
162,9955.0,20.0,13.0,5.0,7.0
163,9873.0,110.0,7.0,5.0,5.0
164,9969.0,9.0,7.0,8.0,7.0
165,9947.0,27.0,15.0,5.0,6.0
166,9866.0,113.0,10.0,5.0,6.0
167,9948.0,29.0,14.0,4.0,5.0
168,9929.0,41.0,18.0,5.0,7.0
169,9946.0,37.0,6.0,5.0,6.0
170,9938.0,45.0,5.0,5.0,7.0
171,9895.0,69.0,24.0,5.0,7.0
172,9937.0,29.0,15.0,16.0,3.0
173,9963.0,11.0,10.0,9.0,7.0
174,9950.0,29.0,6.0,7.0,8.0
175,9954.0,28.0,7.0,5.0,6.0
176,9953.0,17.0,19.0,6.0,5.0
177,9964.0,5.0,20.0,6.0,5.0
178,9905.0,66.0,16.0,6.0,7.0
179,9947.0,34.0,7.0,7.0,5.0
