,0,1,2,3,4
0,9914.0,24.0,21.0,21.0,20.0
1,9927.0,23.0,17.0,17.0,16.0
2,9942.0,25.0,11.0,11.0,11.0
3,9935.0,19.0,16.0,15.0,15.0
4,9951.0,13.0,19.0,9.0,8.0
5,9934.0,20.0,16.0,15.0,15.0
6,9878.0,57.0,22.0,22.0,21.0
7,9940.0,19.0,14.0,14.0,13.0
8,9947.0,14.0,13.0,13.0,13.0
9,9912.0,49.0,13.0,13.0,13.0
10,9916.0,39.0,16.0,15.0,14.0
11,9924.0,28.0,17.0,16.0,15.0
12,9950.0,13.0,13.0,12.0,12.0
13,9947.0,14.0,13.0,13.0,13.0
14,9938.0,26.0,12.0,12.0,12.0
15,9940.0,14.0,18.0,14.0,14.0
16,9945.0,15.0,13.0,15.0,12.0
17,9865.0,95.0,16.0,12.0,12.0
18,9945.0,14.0,14.0,14.0,13.0
19,9903.0,47.0,17.0,17.0,16.0
20,9812.0,145.0,15.0,14.0,14.0
21,9849.0,90.0,22.0,20.0,19.0
22,9920.0,29.0,17.0,17.0,17.0
23,9894.0,56.0,17.0,17.0,16.0
24,9925.0,34.0,14.0,14.0,13.0
25,9943.0,21.0,14.0,11.0,11.0
26,9924.0,28.0,18.0,15.0,15.0
27,9948.0,16.0,12.0,12.0,12.0
28,9932.0,22.0,16.0,15.0,15.0
29,9876.0,75.0,17.0,16.0,16.0
30,9925.0,17.0,29.0,15.0,14.0
31,9931.0,20.0,18.0,16.0,15.0
32,9911.0,48.0,14.0,14.0,13.0
33,9946.0,14.0,14.0,13.0,13.0
34,9913.0,31.0,19.0,19.0,18.0
35,9869.0,85.0,17.0,15.0,14.0
36,9906.0,47.0,16.0,16.0,15.0
37,9937.0,16.0,17.0,15.0,15.0
38,9942.0,16.0,14.0,14.0,14.0
39,9935.0,24.0,14.0,14.0,13.0
40,9888.0,33.0,46.0,17.0,16.0
41,9938.0,22.0,14.0,13.0,13.0
42,9958.0,10.0,13.0,10.0,9.0
43,9920.0,34.0,16.0,15.0,15.0
44,9901.0,43.0,19.0,19.0,18.0
45,9941.0,15.0,15.0,15.0,14.0
46,9940.0,19.0,18.0,12.0,11.0
47,9908.0,32.0,20.0,20.0,20.0
48,9948.0,13.0,14.0,13.0,12.0
49,9957.0,11.0,11.0,11.0,10.0
50,9928.0,26.0,18.0,14.0,14.0
51,9924.0,19.0,20.0,19.0,18.0
52,9933.0,19.0,16.0,16.0,16.0
53,9939.0,16.0,17.0,14.0,14.0
54,9942.0,15.0,15.0,14.0,14.0
55,9913.0,30.0,24.0,17.0,16.0
56,9932.0,21.0,16.0,16.0,15.0
57,9911.0,49.0,14.0,13.0,13.0
58,9935.0,21.0,16.0,14.0,14.0
59,9919.0,43.0,13.0,13.0,12.0
60,9920.0,33.0,16.0,16.0,15.0
61,9899.0,62.0,13.0,13.0,13.0
62,9924.0,28.0,16.0,16.0,16.0
63,9920.0,41.0,13.0,13.0,13.0
64,9914.0,48.0,13.0,14.0,11.0
65,9914.0,44.0,14.0,14.0,14.0
66,9888.0,62.0,17.0,17.0,16.0
67,9930.0,29.0,14.0,14.0,13.0
68,9922.0,41.0,13.0,12.0,12.0
69,9896.0,62.0,14.0,14.0,14.0
70,9888.0,74.0,16.0,11.0,11.0
71,9938.0,23.0,13.0,13.0,13.0
72,9919.0,28.0,18.0,18.0,17.0
73,9937.0,29.0,12.0,11.0,11.0
74,9883.0,72.0,15.0,15.0,15.0
75,9952.0,12.0,12.0,12.0,12.0
76,9918.0,38.0,16.0,14.0,14.0
77,9912.0,51.0,13.0,12.0,12.0
78,9880.0,58.0,21.0,21.0,20.0
79,9895.0,53.0,18.0,17.0,17.0
80,9958.0,11.0,11.0,10.0,10.0
81,9887.0,76.0,13.0,12.0,12.0
82,9886.0,54.0,29.0,16.0,15.0
83,9923.0,37.0,14.0,13.0,13.0
84,9922.0,46.0,11.0,11.0,10.0
85,9888.0,77.0,12.0,12.0,11.0
86,9941.0,20.0,13.0,14.0,12.0
87,9917.0,46.0,14.0,12.0,11.0
88,9937.0,28.0,12.0,12.0,11.0
89,9923.0,25.0,18.0,17.0,17.0
90,9928.0,21.0,17.0,17.0,17.0
91,9934.0,25.0,14.0,14.0,13.0
92,9920.0,36.0,15.0,15.0,14.0
93,9920.0,21.0,32.0,14.0,13.0
94,9918.0,36.0,16.0,15.0,15.0
95,9896.0,53.0,17.0,17.0,17.0
96,9934.0,17.0,17.0,16.0,16.0
97,9941.0,21.0,13.0,13.0,12.0
98,9899.0,47.0,20.0,17.0,17.0
99,9924.0,17.0,27.0,16.0,16.0
100,9926.0,33.0,14.0,14.0,13.0
101,9909.0,45.0,16.0,15.0,15.0
102,9889.0,51.0,25.0,18.0,17.0
103,9926.0,30.0,15.0,15.0,14.0
104,9915.0,49.0,12.0,12.0,12.0
105,9932.0,22.0,16.0,15.0,15.0
106,9922.0,36.0,14.0,14.0,14.0
107,9922.0,29.0,17.0,16.0,16.0
108,9876.0,69.0,19.0,18.0,18.0
109,9929.0,20.0,22.0,15.0,14.0
110,9943.0,15.0,15.0,14.0,13.0
