,0,1
0,482.0,18.0
1,477.0,23.0
2,471.0,29.0
3,482.0,18.0
4,481.0,19.0
5,474.0,26.0
6,486.0,14.0
7,479.0,21.0
8,471.0,29.0
9,481.0,19.0
10,483.0,17.0
11,475.0,25.0
12,483.0,17.0
13,478.0,22.0
14,484.0,16.0
15,468.0,32.0
16,477.0,23.0
17,477.0,23.0
18,480.0,20.0
19,480.0,20.0
20,480.0,20.0
21,476.0,24.0
22,476.0,24.0
23,482.0,18.0
24,466.0,34.0
25,483.0,17.0
26,471.0,29.0
27,474.0,26.0
28,480.0,20.0
29,472.0,28.0
30,467.0,33.0
31,471.0,29.0
32,481.0,19.0
33,482.0,18.0
34,472.0,28.0
35,478.0,22.0
36,484.0,16.0
37,486.0,14.0
38,475.0,25.0
39,472.0,28.0
40,475.0,25.0
41,482.0,18.0
42,473.0,27.0
43,479.0,21.0
44,476.0,24.0
45,483.0,17.0
46,479.0,21.0
47,466.0,34.0
48,477.0,23.0
49,476.0,24.0
50,477.0,23.0
51,479.0,21.0
52,482.0,18.0
53,485.0,15.0
54,481.0,19.0
55,478.0,22.0
56,476.0,24.0
57,484.0,16.0
58,474.0,26.0
59,474.0,26.0
60,481.0,19.0
61,482.0,18.0
62,480.0,20.0
63,481.0,19.0
64,477.0,23.0
65,478.0,22.0
66,481.0,19.0
67,480.0,20.0
68,480.0,20.0
69,476.0,24.0
70,478.0,22.0
71,483.0,17.0
72,474.0,26.0
73,477.0,23.0
74,470.0,30.0
75,480.0,20.0
76,478.0,22.0
77,477.0,23.0
78,480.0,20.0
79,479.0,21.0
80,471.0,29.0
81,480.0,20.0
82,466.0,34.0
83,480.0,20.0
84,480.0,20.0
85,483.0,17.0
86,485.0,15.0
87,482.0,18.0
88,476.0,24.0
89,479.0,21.0
90,484.0,16.0
91,482.0,18.0
92,482.0,18.0
93,481.0,19.0
94,477.0,23.0
95,475.0,25.0
96,482.0,18.0
97,477.0,23.0
98,477.0,23.0
99,473.0,27.0
100,484.0,16.0
101,480.0,20.0
102,479.0,21.0
103,480.0,20.0
104,486.0,14.0
105,479.0,21.0
106,477.0,23.0
107,470.0,30.0
108,474.0,26.0
109,484.0,16.0
110,470.0,30.0
111,479.0,21.0
112,481.0,19.0
113,484.0,16.0
114,483.0,17.0
115,473.0,27.0
116,472.0,28.0
117,482.0,18.0
118,473.0,27.0
119,471.0,29.0
120,475.0,25.0
121,484.0,16.0
122,479.0,21.0
123,477.0,23.0
124,474.0,26.0
125,477.0,23.0
126,468.0,32.0
127,473.0,27.0
128,475.0,25.0
129,485.0,15.0
130,480.0,20.0
131,475.0,25.0
132,483.0,17.0
133,472.0,28.0
134,478.0,22.0
135,475.0,25.0
136,482.0,18.0
137,480.0,20.0
138,480.0,20.0
139,477.0,23.0
140,475.0,25.0
141,482.0,18.0
142,483.0,17.0
143,483.0,17.0
144,484.0,16.0
145,479.0,21.0
146,472.0,28.0
147,482.0,18.0
148,482.0,18.0
149,481.0,19.0
150,480.0,20.0
151,477.0,23.0
152,475.0,25.0
153,481.0,19.0
154,480.0,20.0
155,475.0,25.0
156,473.0,27.0
157,480.0,20.0
158,476.0,24.0
159,483.0,17.0
160,474.0,26.0
161,486.0,14.0
162,480.0,20.0
163,474.0,26.0
164,482.0,18.0
165,485.0,15.0
166,476.0,24.0
167,468.0,32.0
168,480.0,20.0
169,478.0,22.0
170,476.0,24.0
171,473.0,27.0
172,477.0,23.0
173,483.0,17.0
174,478.0,22.0
175,477.0,23.0
176,466.0,34.0
177,482.0,18.0
178,482.0,18.0
179,479.0,21.0
180,481.0,19.0
181,477.0,23.0
182,474.0,26.0
183,483.0,17.0
184,472.0,28.0
185,481.0,19.0
186,485.0,15.0
