,0,1
0,497.0,3.0
1,498.0,2.0
2,495.0,5.0
3,497.0,3.0
4,496.0,4.0
5,495.0,5.0
6,498.0,2.0
7,494.0,6.0
8,494.0,6.0
9,498.0,2.0
10,495.0,5.0
11,494.0,6.0
12,498.0,2.0
13,498.0,2.0
14,497.0,3.0
15,494.0,6.0
16,495.0,5.0
17,494.0,6.0
18,498.0,2.0
19,7.0,493.0
20,495.0,5.0
21,496.0,4.0
22,494.0,6.0
23,495.0,5.0
24,497.0,3.0
25,497.0,3.0
26,495.0,5.0
27,498.0,2.0
28,493.0,7.0
29,497.0,3.0
30,495.0,5.0
31,494.0,6.0
32,495.0,5.0
33,496.0,4.0
34,496.0,4.0
35,489.0,11.0
36,497.0,3.0
37,496.0,4.0
38,496.0,4.0
39,496.0,4.0
40,429.0,71.0
41,498.0,2.0
42,497.0,3.0
43,499.0,1.0
44,498.0,2.0
45,494.0,6.0
46,495.0,5.0
47,497.0,3.0
48,497.0,3.0
49,497.0,3.0
50,497.0,3.0
51,496.0,4.0
52,499.0,1.0
53,496.0,4.0
54,493.0,7.0
55,496.0,4.0
56,495.0,5.0
57,495.0,5.0
58,497.0,3.0
59,495.0,5.0
60,492.0,8.0
61,497.0,3.0
62,496.0,4.0
63,497.0,3.0
64,4.0,496.0
65,499.0,1.0
66,496.0,4.0
67,494.0,6.0
68,493.0,7.0
69,498.0,2.0
70,498.0,2.0
71,496.0,4.0
72,497.0,3.0
73,498.0,2.0
74,495.0,5.0
75,498.0,2.0
76,497.0,3.0
77,494.0,6.0
78,497.0,3.0
79,497.0,3.0
80,497.0,3.0
81,493.0,7.0
82,494.0,6.0
83,498.0,2.0
84,493.0,7.0
85,496.0,4.0
86,492.0,8.0
87,498.0,2.0
88,498.0,2.0
89,496.0,4.0
90,497.0,3.0
91,495.0,5.0
92,499.0,1.0
93,497.0,3.0
94,495.0,5.0
95,496.0,4.0
96,498.0,2.0
97,496.0,4.0
98,497.0,3.0
99,495.0,5.0
100,491.0,9.0
101,496.0,4.0
102,497.0,3.0
103,496.0,4.0
104,498.0,2.0
105,496.0,4.0
106,495.0,5.0
107,498.0,2.0
108,491.0,9.0
109,497.0,3.0
110,494.0,6.0
111,495.0,5.0
112,494.0,6.0
113,495.0,5.0
114,496.0,4.0
115,497.0,3.0
116,497.0,3.0
117,497.0,3.0
118,490.0,10.0
119,494.0,6.0
120,499.0,1.0
121,497.0,3.0
122,493.0,7.0
123,359.0,141.0
124,497.0,3.0
125,497.0,3.0
126,495.0,5.0
127,498.0,2.0
128,496.0,4.0
129,497.0,3.0
130,495.0,5.0
131,498.0,2.0
132,495.0,5.0
133,493.0,7.0
134,495.0,5.0
135,496.0,4.0
136,495.0,5.0
137,495.0,5.0
138,492.0,8.0
139,498.0,2.0
140,494.0,6.0
141,493.0,7.0
142,498.0,2.0
143,491.0,9.0
144,495.0,5.0
145,493.0,7.0
146,498.0,2.0
147,490.0,10.0
148,496.0,4.0
149,493.0,7.0
150,496.0,4.0
151,496.0,4.0
152,497.0,3.0
153,495.0,5.0
154,497.0,3.0
155,499.0,1.0
156,496.0,4.0
157,495.0,5.0
158,496.0,4.0
159,495.0,5.0
160,498.0,2.0
161,497.0,3.0
162,496.0,4.0
163,495.0,5.0
164,496.0,4.0
165,488.0,12.0
166,497.0,3.0
167,497.0,3.0
168,494.0,6.0
169,497.0,3.0
170,497.0,3.0
171,498.0,2.0
172,498.0,2.0
173,494.0,6.0
174,499.0,1.0
175,497.0,3.0
176,494.0,6.0
177,494.0,6.0
178,496.0,4.0
179,495.0,5.0
180,496.0,4.0
181,494.0,6.0
182,495.0,5.0
183,494.0,6.0
184,486.0,14.0
185,497.0,3.0
186,495.0,5.0
187,497.0,3.0
188,493.0,7.0
189,496.0,4.0
190,496.0,4.0
191,496.0,4.0
192,499.0,1.0
193,496.0,4.0
194,497.0,3.0
195,494.0,6.0
196,498.0,2.0
197,496.0,4.0
198,495.0,5.0
199,497.0,3.0
200,497.0,3.0
201,494.0,6.0
202,496.0,4.0
203,493.0,7.0
204,498.0,2.0
205,497.0,3.0
206,497.0,3.0
207,493.0,7.0
208,496.0,4.0
209,493.0,7.0
210,498.0,2.0
211,495.0,5.0
212,494.0,6.0
213,497.0,3.0
214,494.0,6.0
215,496.0,4.0
216,496.0,4.0
217,495.0,5.0
218,496.0,4.0
219,466.0,34.0
220,498.0,2.0
221,495.0,5.0
222,498.0,2.0
223,495.0,5.0
224,497.0,3.0
225,493.0,7.0
226,492.0,8.0
227,497.0,3.0
228,495.0,5.0
229,498.0,2.0
230,495.0,5.0
231,497.0,3.0
232,495.0,5.0
233,495.0,5.0
234,497.0,3.0
235,492.0,8.0
236,496.0,4.0
237,495.0,5.0
238,496.0,4.0
239,497.0,3.0
240,495.0,5.0
241,495.0,5.0
242,496.0,4.0
243,493.0,7.0
244,498.0,2.0
245,498.0,2.0
246,496.0,4.0
247,493.0,7.0
248,498.0,2.0
249,498.0,2.0
250,499.0,1.0
251,497.0,3.0
252,497.0,3.0
253,494.0,6.0
254,494.0,6.0
255,495.0,5.0
256,494.0,6.0
257,497.0,3.0
258,496.0,4.0
259,496.0,4.0
260,494.0,6.0
261,493.0,7.0
262,471.0,29.0
263,494.0,6.0
264,496.0,4.0
265,494.0,6.0
266,496.0,4.0
267,494.0,6.0
268,496.0,4.0
269,493.0,7.0
270,495.0,5.0
271,495.0,5.0
272,497.0,3.0
273,497.0,3.0
274,496.0,4.0
275,497.0,3.0
276,496.0,4.0
277,497.0,3.0
278,496.0,4.0
279,497.0,3.0
280,498.0,2.0
281,492.0,8.0
282,495.0,5.0
283,498.0,2.0
284,495.0,5.0
285,497.0,3.0
286,495.0,5.0
287,496.0,4.0
288,496.0,4.0
289,496.0,4.0
290,496.0,4.0
291,496.0,4.0
292,493.0,7.0
293,496.0,4.0
294,498.0,2.0
295,496.0,4.0
296,494.0,6.0
297,498.0,2.0
298,494.0,6.0
299,497.0,3.0
300,499.0,1.0
301,493.0,7.0
302,494.0,6.0
303,494.0,6.0
304,496.0,4.0
305,496.0,4.0
306,497.0,3.0
307,495.0,5.0
308,496.0,4.0
309,496.0,4.0
310,493.0,7.0
311,496.0,4.0
312,497.0,3.0
313,496.0,4.0
314,495.0,5.0
315,498.0,2.0
316,496.0,4.0
317,493.0,7.0
318,498.0,2.0
319,497.0,3.0
320,499.0,1.0
321,496.0,4.0
322,496.0,4.0
323,498.0,2.0
324,496.0,4.0
325,497.0,3.0
326,492.0,8.0
327,497.0,3.0
328,496.0,4.0
329,493.0,7.0
330,494.0,6.0
331,495.0,5.0
332,498.0,2.0
333,3.0,497.0
334,495.0,5.0
335,496.0,4.0
336,494.0,6.0
337,494.0,6.0
338,496.0,4.0
339,496.0,4.0
340,497.0,3.0
341,495.0,5.0
342,497.0,3.0
343,496.0,4.0
344,495.0,5.0
345,496.0,4.0
346,498.0,2.0
347,498.0,2.0
348,495.0,5.0
349,496.0,4.0
350,498.0,2.0
351,496.0,4.0
352,490.0,10.0
353,497.0,3.0
354,495.0,5.0
355,497.0,3.0
356,494.0,6.0
357,498.0,2.0
358,496.0,4.0
359,499.0,1.0
360,498.0,2.0
361,498.0,2.0
362,496.0,4.0
363,496.0,4.0
364,496.0,4.0
365,496.0,4.0
366,492.0,8.0
367,498.0,2.0
368,492.0,8.0
369,497.0,3.0
370,497.0,3.0
371,497.0,3.0
372,495.0,5.0
373,488.0,12.0
374,494.0,6.0
375,495.0,5.0
376,496.0,4.0
377,494.0,6.0
378,497.0,3.0
379,497.0,3.0
380,497.0,3.0
381,498.0,2.0
382,497.0,3.0
383,496.0,4.0
384,497.0,3.0
385,499.0,1.0
386,498.0,2.0
387,495.0,5.0
388,498.0,2.0
389,498.0,2.0
390,495.0,5.0
391,489.0,11.0
392,497.0,3.0
393,493.0,7.0
394,498.0,2.0
395,496.0,4.0
396,498.0,2.0
397,499.0,1.0
398,496.0,4.0
399,492.0,8.0
400,497.0,3.0
401,498.0,2.0
402,3.0,497.0
403,498.0,2.0
404,494.0,6.0
405,496.0,4.0
406,497.0,3.0
407,497.0,3.0
408,496.0,4.0
409,498.0,2.0
410,499.0,1.0
411,495.0,5.0
412,498.0,2.0
413,281.0,219.0
414,496.0,4.0
415,498.0,2.0
416,496.0,4.0
417,495.0,5.0
418,499.0,1.0
419,499.0,1.0
420,494.0,6.0
421,496.0,4.0
422,497.0,3.0
423,498.0,2.0
424,495.0,5.0
425,495.0,5.0
426,498.0,2.0
427,496.0,4.0
428,495.0,5.0
429,497.0,3.0
430,495.0,5.0
431,496.0,4.0
432,498.0,2.0
433,494.0,6.0
434,497.0,3.0
435,497.0,3.0
436,496.0,4.0
437,495.0,5.0
438,497.0,3.0
439,494.0,6.0
440,495.0,5.0
441,497.0,3.0
442,497.0,3.0
443,498.0,2.0
444,495.0,5.0
445,492.0,8.0
446,494.0,6.0
447,476.0,24.0
448,497.0,3.0
449,496.0,4.0
450,495.0,5.0
451,497.0,3.0
452,497.0,3.0
453,496.0,4.0
454,494.0,6.0
455,496.0,4.0
456,497.0,3.0
457,495.0,5.0
458,497.0,3.0
459,497.0,3.0
