,0,1
0,484.0,16.0
1,488.0,12.0
2,479.0,21.0
3,484.0,16.0
4,488.0,12.0
5,491.0,9.0
6,489.0,11.0
7,489.0,11.0
8,485.0,15.0
9,488.0,12.0
10,489.0,11.0
11,485.0,15.0
12,479.0,21.0
13,488.0,12.0
14,489.0,11.0
15,486.0,14.0
16,488.0,12.0
17,485.0,15.0
18,488.0,12.0
19,489.0,11.0
20,493.0,7.0
21,486.0,14.0
22,487.0,13.0
23,489.0,11.0
24,485.0,15.0
25,491.0,9.0
26,485.0,15.0
27,485.0,15.0
28,482.0,18.0
29,486.0,14.0
30,486.0,14.0
31,487.0,13.0
32,484.0,16.0
33,492.0,8.0
34,485.0,15.0
35,486.0,14.0
36,488.0,12.0
37,483.0,17.0
38,485.0,15.0
39,488.0,12.0
40,489.0,11.0
41,489.0,11.0
42,488.0,12.0
43,489.0,11.0
44,493.0,7.0
45,490.0,10.0
46,491.0,9.0
47,483.0,17.0
48,484.0,16.0
49,488.0,12.0
50,491.0,9.0
51,483.0,17.0
52,490.0,10.0
53,490.0,10.0
54,484.0,16.0
55,489.0,11.0
56,488.0,12.0
57,478.0,22.0
58,490.0,10.0
59,482.0,18.0
60,489.0,11.0
61,493.0,7.0
62,489.0,11.0
63,492.0,8.0
64,492.0,8.0
65,485.0,15.0
66,486.0,14.0
67,488.0,12.0
68,484.0,16.0
69,488.0,12.0
70,483.0,17.0
71,485.0,15.0
72,490.0,10.0
73,487.0,13.0
74,487.0,13.0
75,483.0,17.0
76,486.0,14.0
77,491.0,9.0
78,486.0,14.0
79,489.0,11.0
80,490.0,10.0
81,477.0,23.0
82,487.0,13.0
83,484.0,16.0
84,490.0,10.0
85,491.0,9.0
86,487.0,13.0
87,487.0,13.0
88,477.0,23.0
89,488.0,12.0
90,486.0,14.0
91,486.0,14.0
92,482.0,18.0
93,487.0,13.0
94,487.0,13.0
95,489.0,11.0
96,489.0,11.0
97,492.0,8.0
98,483.0,17.0
99,491.0,9.0
100,491.0,9.0
101,489.0,11.0
102,488.0,12.0
103,489.0,11.0
104,492.0,8.0
105,488.0,12.0
106,486.0,14.0
107,485.0,15.0
108,493.0,7.0
109,483.0,17.0
110,488.0,12.0
111,489.0,11.0
112,487.0,13.0
113,484.0,16.0
114,488.0,12.0
115,490.0,10.0
116,492.0,8.0
117,494.0,6.0
118,484.0,16.0
119,488.0,12.0
120,485.0,15.0
121,489.0,11.0
122,489.0,11.0
123,486.0,14.0
124,489.0,11.0
125,488.0,12.0
126,488.0,12.0
127,485.0,15.0
128,484.0,16.0
129,482.0,18.0
130,487.0,13.0
131,493.0,7.0
132,484.0,16.0
133,487.0,13.0
134,488.0,12.0
135,489.0,11.0
136,483.0,17.0
137,487.0,13.0
138,489.0,11.0
139,490.0,10.0
140,487.0,13.0
141,487.0,13.0
142,490.0,10.0
143,485.0,15.0
144,488.0,12.0
145,486.0,14.0
146,481.0,19.0
147,484.0,16.0
148,489.0,11.0
149,489.0,11.0
150,488.0,12.0
151,486.0,14.0
152,483.0,17.0
153,488.0,12.0
154,490.0,10.0
155,491.0,9.0
156,482.0,18.0
157,486.0,14.0
158,489.0,11.0
159,488.0,12.0
160,489.0,11.0
161,487.0,13.0
162,488.0,12.0
163,491.0,9.0
164,487.0,13.0
165,490.0,10.0
166,488.0,12.0
167,487.0,13.0
168,491.0,9.0
169,483.0,17.0
170,486.0,14.0
171,483.0,17.0
172,488.0,12.0
173,488.0,12.0
174,485.0,15.0
175,493.0,7.0
176,486.0,14.0
177,489.0,11.0
178,486.0,14.0
179,487.0,13.0
180,482.0,18.0
181,491.0,9.0
182,488.0,12.0
183,486.0,14.0
184,490.0,10.0
185,484.0,16.0
186,491.0,9.0
187,482.0,18.0
188,485.0,15.0
189,489.0,11.0
190,485.0,15.0
191,490.0,10.0
192,482.0,18.0
193,482.0,18.0
194,481.0,19.0
195,485.0,15.0
196,487.0,13.0
197,488.0,12.0
198,481.0,19.0
199,489.0,11.0
200,490.0,10.0
201,488.0,12.0
202,489.0,11.0
203,489.0,11.0
204,488.0,12.0
205,485.0,15.0
206,490.0,10.0
207,494.0,6.0
208,485.0,15.0
209,485.0,15.0
210,491.0,9.0
211,482.0,18.0
212,487.0,13.0
213,488.0,12.0
214,486.0,14.0
215,484.0,16.0
216,482.0,18.0
217,489.0,11.0
218,485.0,15.0
219,484.0,16.0
220,487.0,13.0
221,476.0,24.0
222,485.0,15.0
223,486.0,14.0
224,483.0,17.0
225,489.0,11.0
226,492.0,8.0
227,489.0,11.0
228,489.0,11.0
229,489.0,11.0
230,489.0,11.0
231,493.0,7.0
232,488.0,12.0
233,491.0,9.0
234,491.0,9.0
235,491.0,9.0
236,483.0,17.0
237,486.0,14.0
238,490.0,10.0
239,489.0,11.0
240,486.0,14.0
241,485.0,15.0
242,484.0,16.0
243,486.0,14.0
244,486.0,14.0
