,0,1,2,3,4
0,469.0,8.0,7.0,7.0,9.0
1,480.0,7.0,6.0,3.0,4.0
2,475.0,5.0,11.0,5.0,4.0
3,461.0,17.0,11.0,8.0,3.0
4,138.0,315.0,29.0,9.0,9.0
5,477.0,7.0,6.0,4.0,6.0
6,227.0,238.0,5.0,23.0,7.0
7,475.0,6.0,5.0,9.0,5.0
8,470.0,8.0,5.0,8.0,9.0
9,468.0,20.0,5.0,4.0,3.0
10,478.0,5.0,5.0,6.0,6.0
11,475.0,10.0,7.0,6.0,2.0
12,402.0,84.0,6.0,5.0,3.0
13,478.0,6.0,7.0,4.0,5.0
14,475.0,3.0,6.0,9.0,7.0
15,475.0,7.0,5.0,8.0,5.0
16,472.0,5.0,10.0,7.0,6.0
17,472.0,8.0,4.0,7.0,9.0
18,480.0,6.0,7.0,5.0,2.0
19,452.0,25.0,8.0,8.0,7.0
20,476.0,5.0,5.0,9.0,5.0
21,478.0,5.0,10.0,5.0,2.0
22,474.0,5.0,8.0,8.0,5.0
23,473.0,9.0,8.0,4.0,6.0
24,469.0,5.0,14.0,8.0,4.0
25,452.0,13.0,22.0,9.0,4.0
26,481.0,7.0,2.0,6.0,4.0
27,487.0,4.0,4.0,2.0,3.0
28,350.0,135.0,6.0,5.0,4.0
29,472.0,4.0,7.0,11.0,6.0
30,480.0,3.0,9.0,4.0,4.0
31,465.0,18.0,5.0,7.0,5.0
32,474.0,10.0,3.0,7.0,6.0
33,480.0,5.0,4.0,7.0,4.0
34,478.0,7.0,4.0,6.0,5.0
35,474.0,11.0,9.0,3.0,3.0
36,194.0,283.0,9.0,8.0,6.0
37,477.0,3.0,6.0,9.0,5.0
38,480.0,5.0,3.0,9.0,3.0
39,5.0,472.0,9.0,9.0,5.0
40,482.0,5.0,7.0,2.0,4.0
41,466.0,7.0,10.0,7.0,10.0
42,463.0,13.0,11.0,5.0,8.0
43,472.0,5.0,12.0,4.0,7.0
44,477.0,5.0,8.0,2.0,8.0
45,472.0,8.0,8.0,5.0,7.0
46,475.0,11.0,6.0,5.0,3.0
47,477.0,9.0,2.0,6.0,6.0
48,470.0,7.0,10.0,6.0,7.0
49,5.0,479.0,5.0,5.0,6.0
50,482.0,3.0,6.0,4.0,5.0
51,455.0,9.0,19.0,6.0,11.0
52,475.0,5.0,8.0,7.0,5.0
53,480.0,9.0,4.0,3.0,4.0
54,472.0,11.0,5.0,6.0,6.0
55,288.0,193.0,4.0,4.0,11.0
56,470.0,16.0,6.0,4.0,4.0
57,477.0,5.0,6.0,6.0,6.0
58,481.0,5.0,7.0,3.0,4.0
59,471.0,15.0,4.0,5.0,5.0
60,475.0,8.0,7.0,4.0,6.0
61,481.0,5.0,3.0,3.0,8.0
62,471.0,6.0,5.0,8.0,10.0
63,474.0,5.0,6.0,7.0,8.0
64,480.0,5.0,4.0,7.0,4.0
65,477.0,7.0,5.0,6.0,5.0
66,478.0,2.0,10.0,7.0,3.0
67,440.0,38.0,4.0,8.0,10.0
68,481.0,4.0,5.0,2.0,8.0
69,482.0,8.0,3.0,3.0,4.0
70,478.0,6.0,6.0,5.0,5.0
71,476.0,9.0,4.0,5.0,6.0
72,483.0,4.0,5.0,3.0,5.0
73,468.0,8.0,6.0,10.0,8.0
74,476.0,14.0,2.0,5.0,3.0
75,473.0,7.0,7.0,9.0,4.0
76,473.0,6.0,9.0,8.0,4.0
77,479.0,6.0,4.0,5.0,6.0
78,470.0,6.0,14.0,3.0,7.0
79,465.0,18.0,6.0,6.0,5.0
80,466.0,7.0,7.0,7.0,13.0
81,477.0,8.0,7.0,4.0,4.0
82,472.0,6.0,12.0,5.0,5.0
83,474.0,6.0,6.0,4.0,10.0
