,0,1,2,3,4
0,452.0,16.0,19.0,6.0,7.0
1,447.0,27.0,9.0,6.0,11.0
2,452.0,24.0,13.0,4.0,7.0
3,321.0,147.0,11.0,12.0,9.0
4,356.0,120.0,6.0,12.0,6.0
5,421.0,58.0,7.0,8.0,6.0
6,436.0,33.0,15.0,8.0,8.0
7,475.0,10.0,6.0,5.0,4.0
8,441.0,38.0,12.0,6.0,3.0
9,452.0,28.0,5.0,9.0,6.0
10,457.0,23.0,11.0,3.0,6.0
11,449.0,24.0,11.0,9.0,7.0
12,429.0,48.0,10.0,6.0,7.0
13,447.0,23.0,18.0,6.0,6.0
14,456.0,23.0,11.0,5.0,5.0
15,451.0,30.0,5.0,7.0,7.0
16,460.0,15.0,10.0,9.0,6.0
17,417.0,56.0,12.0,11.0,4.0
18,472.0,10.0,9.0,4.0,5.0
19,421.0,44.0,16.0,8.0,11.0
20,447.0,32.0,8.0,7.0,6.0
21,468.0,14.0,7.0,5.0,6.0
22,466.0,6.0,11.0,5.0,12.0
23,456.0,27.0,8.0,6.0,3.0
24,454.0,9.0,22.0,8.0,7.0
25,479.0,5.0,7.0,4.0,5.0
26,447.0,37.0,6.0,5.0,5.0
27,470.0,9.0,9.0,6.0,6.0
28,473.0,6.0,9.0,6.0,6.0
29,452.0,28.0,8.0,7.0,5.0
30,465.0,11.0,9.0,9.0,6.0
31,446.0,39.0,4.0,7.0,4.0
32,457.0,13.0,14.0,8.0,8.0
33,459.0,26.0,6.0,3.0,6.0
34,449.0,33.0,9.0,4.0,5.0
35,410.0,60.0,8.0,12.0,10.0
36,456.0,22.0,9.0,8.0,5.0
37,448.0,28.0,7.0,10.0,7.0
38,459.0,21.0,9.0,6.0,5.0
39,455.0,21.0,8.0,5.0,11.0
40,451.0,26.0,8.0,9.0,6.0
41,457.0,11.0,10.0,7.0,15.0
42,464.0,12.0,14.0,5.0,5.0
43,460.0,24.0,6.0,5.0,5.0
44,471.0,9.0,12.0,4.0,4.0
45,466.0,12.0,10.0,7.0,5.0
46,469.0,10.0,9.0,7.0,5.0
47,463.0,9.0,10.0,12.0,6.0
48,460.0,18.0,13.0,3.0,6.0
49,439.0,20.0,21.0,16.0,4.0
50,426.0,48.0,9.0,7.0,10.0
51,450.0,20.0,10.0,13.0,7.0
52,456.0,19.0,11.0,7.0,7.0
53,443.0,35.0,8.0,10.0,4.0
54,475.0,8.0,7.0,5.0,5.0
55,459.0,15.0,8.0,10.0,8.0
56,441.0,28.0,23.0,3.0,5.0
57,442.0,30.0,10.0,10.0,8.0
58,454.0,22.0,10.0,9.0,5.0
59,446.0,24.0,12.0,11.0,7.0
60,461.0,19.0,6.0,8.0,6.0
61,473.0,3.0,8.0,10.0,6.0
62,475.0,4.0,8.0,7.0,6.0
63,446.0,28.0,10.0,8.0,8.0
64,448.0,33.0,8.0,6.0,5.0
65,445.0,31.0,10.0,7.0,7.0
66,455.0,25.0,5.0,7.0,8.0
67,474.0,8.0,8.0,6.0,4.0
68,438.0,30.0,18.0,6.0,8.0
69,464.0,15.0,11.0,6.0,4.0
70,364.0,103.0,17.0,8.0,8.0
71,467.0,17.0,6.0,4.0,6.0
72,455.0,18.0,13.0,8.0,6.0
73,447.0,29.0,15.0,6.0,3.0
74,450.0,26.0,10.0,7.0,7.0
75,475.0,3.0,6.0,9.0,7.0
76,458.0,21.0,5.0,13.0,3.0
77,431.0,47.0,8.0,8.0,6.0
78,466.0,13.0,9.0,7.0,5.0
79,459.0,10.0,13.0,11.0,7.0
80,458.0,22.0,8.0,7.0,5.0
81,460.0,19.0,8.0,7.0,6.0
82,459.0,19.0,7.0,8.0,7.0
83,461.0,14.0,6.0,11.0,8.0
84,460.0,14.0,8.0,12.0,6.0
85,456.0,17.0,7.0,14.0,6.0
86,443.0,33.0,9.0,10.0,5.0
87,435.0,46.0,7.0,6.0,6.0
88,451.0,19.0,16.0,10.0,4.0
89,474.0,7.0,5.0,8.0,6.0
90,456.0,21.0,12.0,7.0,4.0
91,450.0,19.0,16.0,11.0,4.0
92,470.0,8.0,8.0,8.0,6.0
93,457.0,23.0,10.0,5.0,5.0
94,461.0,19.0,7.0,8.0,5.0
95,469.0,12.0,8.0,7.0,4.0
96,464.0,12.0,11.0,4.0,9.0
97,473.0,5.0,11.0,7.0,4.0
98,469.0,12.0,6.0,7.0,6.0
99,447.0,32.0,10.0,5.0,6.0
100,473.0,11.0,3.0,6.0,7.0
101,465.0,17.0,7.0,6.0,5.0
102,470.0,13.0,6.0,4.0,7.0
103,451.0,26.0,7.0,10.0,6.0
104,413.0,61.0,14.0,8.0,4.0
105,476.0,9.0,4.0,6.0,5.0
106,460.0,15.0,11.0,7.0,7.0
107,418.0,37.0,27.0,11.0,7.0
108,464.0,9.0,12.0,10.0,5.0
109,448.0,30.0,6.0,10.0,6.0
110,424.0,53.0,10.0,7.0,6.0
111,445.0,30.0,12.0,7.0,6.0
112,430.0,37.0,18.0,7.0,8.0
113,452.0,28.0,8.0,6.0,6.0
114,412.0,69.0,5.0,9.0,5.0
115,459.0,11.0,11.0,12.0,7.0
116,449.0,20.0,15.0,7.0,9.0
117,471.0,7.0,13.0,5.0,4.0
118,455.0,14.0,19.0,8.0,4.0
119,450.0,23.0,15.0,7.0,5.0
120,435.0,47.0,6.0,7.0,5.0
121,459.0,22.0,11.0,5.0,3.0
122,408.0,58.0,22.0,5.0,7.0
123,435.0,43.0,4.0,9.0,9.0
124,467.0,9.0,11.0,7.0,6.0
125,462.0,12.0,13.0,7.0,6.0
126,433.0,39.0,10.0,11.0,7.0
127,473.0,9.0,6.0,7.0,5.0
128,473.0,8.0,8.0,7.0,4.0
129,454.0,22.0,11.0,8.0,5.0
130,472.0,11.0,8.0,4.0,5.0
131,461.0,10.0,11.0,12.0,6.0
132,475.0,10.0,5.0,6.0,4.0
133,466.0,10.0,9.0,9.0,6.0
134,477.0,7.0,4.0,7.0,5.0
135,458.0,14.0,16.0,8.0,4.0
136,462.0,16.0,8.0,8.0,6.0
137,455.0,16.0,13.0,9.0,7.0
138,439.0,40.0,5.0,8.0,8.0
139,473.0,10.0,7.0,5.0,5.0
140,431.0,41.0,13.0,4.0,11.0
141,457.0,16.0,7.0,13.0,7.0
142,467.0,13.0,7.0,5.0,8.0
143,445.0,16.0,26.0,10.0,3.0
144,460.0,11.0,11.0,11.0,7.0
145,458.0,17.0,9.0,8.0,8.0
146,464.0,18.0,6.0,6.0,6.0
147,447.0,32.0,6.0,9.0,6.0
148,452.0,26.0,8.0,10.0,4.0
149,467.0,14.0,8.0,5.0,6.0
150,475.0,2.0,8.0,6.0,9.0
151,466.0,20.0,2.0,5.0,7.0
152,412.0,62.0,9.0,11.0,6.0
153,454.0,26.0,4.0,7.0,9.0
154,452.0,16.0,12.0,13.0,7.0
155,439.0,37.0,11.0,5.0,8.0
156,466.0,18.0,8.0,5.0,3.0
157,417.0,54.0,11.0,7.0,11.0
158,470.0,16.0,4.0,4.0,6.0
159,462.0,14.0,7.0,10.0,7.0
160,463.0,16.0,7.0,8.0,6.0
161,471.0,6.0,10.0,6.0,7.0
162,465.0,8.0,8.0,11.0,8.0
163,465.0,14.0,13.0,4.0,4.0
164,465.0,9.0,6.0,9.0,11.0
165,468.0,13.0,7.0,6.0,6.0
166,471.0,11.0,6.0,5.0,7.0
167,368.0,106.0,9.0,8.0,9.0
168,457.0,20.0,8.0,10.0,5.0
169,427.0,52.0,6.0,9.0,6.0
170,463.0,18.0,9.0,5.0,5.0
171,431.0,44.0,12.0,7.0,6.0
172,457.0,15.0,8.0,11.0,9.0
173,468.0,7.0,16.0,6.0,3.0
174,459.0,9.0,14.0,12.0,6.0
175,449.0,34.0,5.0,3.0,9.0
176,467.0,8.0,13.0,6.0,6.0
177,468.0,7.0,13.0,7.0,5.0
178,466.0,12.0,8.0,7.0,7.0
179,395.0,79.0,10.0,8.0,8.0
180,442.0,33.0,16.0,5.0,4.0
181,475.0,7.0,7.0,5.0,6.0
182,474.0,7.0,8.0,4.0,7.0
183,466.0,13.0,4.0,9.0,8.0
184,473.0,6.0,11.0,4.0,6.0
185,455.0,25.0,9.0,4.0,7.0
186,468.0,13.0,8.0,6.0,5.0
187,460.0,17.0,9.0,8.0,6.0
