,0,1,2,3,4
0,491.0,2.0,4.0,2.0,1.0
1,3.0,477.0,18.0,1.0,1.0
2,67.0,430.0,1.0,1.0,1.0
3,491.0,5.0,1.0,1.0,2.0
4,492.0,2.0,4.0,1.0,1.0
5,490.0,4.0,2.0,2.0,2.0
6,493.0,3.0,2.0,1.0,1.0
7,494.0,1.0,1.0,3.0,1.0
8,7.0,488.0,2.0,2.0,1.0
9,8.0,485.0,2.0,3.0,2.0
10,481.0,11.0,5.0,2.0,1.0
11,399.0,98.0,1.0,1.0,1.0
12,496.0,1.0,1.0,1.0,1.0
13,482.0,10.0,5.0,2.0,1.0
14,495.0,2.0,1.0,1.0,1.0
15,491.0,1.0,2.0,5.0,1.0
16,492.0,5.0,1.0,1.0,1.0
17,495.0,2.0,1.0,1.0,1.0
18,490.0,4.0,2.0,3.0,1.0
19,490.0,3.0,1.0,5.0,1.0
20,492.0,3.0,2.0,2.0,1.0
21,495.0,2.0,1.0,1.0,1.0
22,485.0,12.0,1.0,1.0,1.0
23,494.0,2.0,1.0,2.0,1.0
24,488.0,9.0,1.0,1.0,1.0
25,476.0,20.0,2.0,1.0,1.0
26,488.0,2.0,7.0,2.0,1.0
27,483.0,10.0,5.0,1.0,1.0
28,491.0,3.0,4.0,1.0,1.0
29,492.0,2.0,2.0,1.0,3.0
30,493.0,2.0,2.0,2.0,1.0
31,1.0,496.0,1.0,1.0,1.0
32,495.0,1.0,1.0,2.0,1.0
33,472.0,23.0,2.0,2.0,1.0
34,488.0,5.0,5.0,1.0,1.0
35,493.0,3.0,2.0,1.0,1.0
36,484.0,10.0,4.0,1.0,1.0
37,491.0,3.0,3.0,2.0,1.0
38,488.0,8.0,2.0,1.0,1.0
39,496.0,1.0,1.0,1.0,1.0
40,495.0,2.0,1.0,1.0,1.0
41,461.0,34.0,1.0,1.0,3.0
42,7.0,490.0,1.0,1.0,1.0
43,493.0,4.0,1.0,1.0,1.0
44,491.0,2.0,5.0,1.0,1.0
45,493.0,4.0,1.0,1.0,1.0
46,494.0,1.0,3.0,1.0,1.0
47,492.0,5.0,1.0,1.0,1.0
48,491.0,6.0,1.0,1.0,1.0
49,496.0,1.0,1.0,1.0,1.0
50,495.0,2.0,1.0,1.0,1.0
51,476.0,14.0,2.0,7.0,1.0
52,496.0,1.0,1.0,1.0,1.0
53,479.0,18.0,1.0,1.0,1.0
54,452.0,44.0,1.0,2.0,1.0
55,484.0,6.0,1.0,6.0,3.0
56,488.0,3.0,6.0,2.0,1.0
57,1.0,496.0,1.0,1.0,1.0
58,484.0,8.0,2.0,5.0,1.0
59,490.0,5.0,1.0,3.0,1.0
60,495.0,1.0,2.0,1.0,1.0
61,495.0,1.0,2.0,1.0,1.0
62,489.0,7.0,2.0,1.0,1.0
63,494.0,2.0,2.0,1.0,1.0
64,489.0,6.0,2.0,2.0,1.0
65,482.0,11.0,3.0,3.0,1.0
66,4.0,488.0,4.0,2.0,2.0
67,490.0,4.0,4.0,1.0,1.0
68,455.0,36.0,6.0,2.0,1.0
69,495.0,2.0,1.0,1.0,1.0
70,495.0,1.0,2.0,1.0,1.0
71,493.0,2.0,2.0,1.0,2.0
72,250.0,2.0,244.0,3.0,1.0
73,483.0,12.0,1.0,3.0,1.0
74,484.0,12.0,1.0,1.0,2.0
75,489.0,8.0,1.0,1.0,1.0
76,494.0,1.0,1.0,3.0,1.0
77,390.0,1.0,99.0,9.0,1.0
78,483.0,10.0,5.0,1.0,1.0
79,385.0,109.0,2.0,2.0,2.0
80,490.0,7.0,1.0,1.0,1.0
81,492.0,1.0,3.0,2.0,2.0
82,490.0,7.0,1.0,1.0,1.0
83,493.0,3.0,2.0,1.0,1.0
84,3.0,494.0,1.0,1.0,1.0
85,476.0,3.0,18.0,2.0,1.0
86,487.0,3.0,7.0,2.0,1.0
87,494.0,2.0,1.0,2.0,1.0
88,486.0,11.0,1.0,1.0,1.0
89,492.0,5.0,1.0,1.0,1.0
90,495.0,2.0,1.0,1.0,1.0
91,493.0,2.0,2.0,1.0,2.0
92,489.0,1.0,5.0,3.0,2.0
93,490.0,3.0,4.0,1.0,2.0
94,492.0,2.0,3.0,2.0,1.0
95,488.0,9.0,1.0,1.0,1.0
96,496.0,1.0,1.0,1.0,1.0
97,496.0,1.0,1.0,1.0,1.0
98,487.0,8.0,1.0,2.0,2.0
99,151.0,1.0,338.0,1.0,9.0
100,494.0,1.0,3.0,1.0,1.0
101,482.0,15.0,1.0,1.0,1.0
102,496.0,1.0,1.0,1.0,1.0
103,485.0,7.0,5.0,1.0,2.0
104,492.0,5.0,1.0,1.0,1.0
105,476.0,19.0,2.0,2.0,1.0
106,489.0,8.0,1.0,1.0,1.0
107,472.0,1.0,1.0,25.0,1.0
108,493.0,1.0,3.0,2.0,1.0
109,483.0,7.0,8.0,1.0,1.0
110,5.0,492.0,1.0,1.0,1.0
111,493.0,1.0,4.0,1.0,1.0
112,495.0,2.0,1.0,1.0,1.0
113,480.0,17.0,1.0,1.0,1.0
114,491.0,1.0,6.0,1.0,1.0
115,494.0,1.0,2.0,2.0,1.0
116,492.0,4.0,2.0,1.0,1.0
117,490.0,1.0,6.0,2.0,1.0
118,4.0,487.0,3.0,4.0,2.0
119,469.0,26.0,2.0,2.0,1.0
120,490.0,6.0,2.0,1.0,1.0
121,491.0,2.0,4.0,2.0,1.0
122,492.0,4.0,2.0,1.0,1.0
123,7.0,486.0,3.0,2.0,2.0
124,487.0,7.0,3.0,2.0,1.0
125,111.0,372.0,1.0,15.0,1.0
126,464.0,31.0,1.0,2.0,2.0
127,494.0,1.0,3.0,1.0,1.0
128,494.0,2.0,2.0,1.0,1.0
129,441.0,2.0,52.0,4.0,1.0
130,488.0,2.0,5.0,4.0,1.0
131,485.0,5.0,3.0,5.0,2.0
132,390.0,103.0,2.0,4.0,1.0
133,492.0,4.0,1.0,2.0,1.0
134,489.0,8.0,1.0,1.0,1.0
135,494.0,2.0,2.0,1.0,1.0
136,487.0,8.0,1.0,3.0,1.0
137,486.0,9.0,3.0,1.0,1.0
138,492.0,5.0,1.0,1.0,1.0
139,489.0,2.0,6.0,2.0,1.0
140,490.0,3.0,5.0,1.0,1.0
141,492.0,2.0,4.0,1.0,1.0
142,494.0,2.0,1.0,2.0,1.0
143,2.0,492.0,2.0,2.0,2.0
144,485.0,8.0,1.0,5.0,1.0
145,491.0,4.0,2.0,2.0,1.0
146,496.0,1.0,1.0,1.0,1.0
147,485.0,3.0,2.0,8.0,2.0
148,485.0,11.0,2.0,1.0,1.0
149,474.0,22.0,2.0,1.0,1.0
150,492.0,1.0,1.0,5.0,1.0
151,492.0,1.0,3.0,3.0,1.0
152,492.0,4.0,2.0,1.0,1.0
153,486.0,6.0,6.0,1.0,1.0
154,485.0,10.0,2.0,1.0,2.0
155,2.0,487.0,6.0,3.0,2.0
156,495.0,2.0,1.0,1.0,1.0
157,489.0,7.0,2.0,1.0,1.0
158,495.0,1.0,2.0,1.0,1.0
159,490.0,2.0,5.0,2.0,1.0
160,495.0,2.0,1.0,1.0,1.0
161,487.0,6.0,2.0,4.0,1.0
162,494.0,2.0,2.0,1.0,1.0
163,492.0,1.0,5.0,1.0,1.0
164,475.0,20.0,2.0,2.0,1.0
165,491.0,6.0,1.0,1.0,1.0
166,490.0,6.0,2.0,1.0,1.0
167,3.0,486.0,6.0,4.0,1.0
168,463.0,31.0,4.0,1.0,1.0
169,482.0,8.0,7.0,2.0,1.0
170,491.0,4.0,3.0,1.0,1.0
171,4.0,493.0,1.0,1.0,1.0
172,489.0,3.0,6.0,1.0,1.0
173,495.0,2.0,1.0,1.0,1.0
174,495.0,2.0,1.0,1.0,1.0
175,489.0,2.0,5.0,2.0,2.0
176,495.0,2.0,1.0,1.0,1.0
177,495.0,2.0,1.0,1.0,1.0
178,488.0,2.0,8.0,1.0,1.0
179,489.0,6.0,3.0,1.0,1.0
180,480.0,16.0,1.0,2.0,1.0
181,493.0,2.0,1.0,3.0,1.0
182,484.0,8.0,4.0,3.0,1.0
183,251.0,234.0,12.0,2.0,1.0
184,487.0,2.0,8.0,2.0,1.0
185,494.0,2.0,2.0,1.0,1.0
186,490.0,1.0,5.0,3.0,1.0
187,496.0,1.0,1.0,1.0,1.0
188,129.0,1.0,368.0,1.0,1.0
189,490.0,5.0,1.0,3.0,1.0
190,483.0,7.0,8.0,1.0,1.0
191,487.0,3.0,7.0,1.0,2.0
192,490.0,2.0,6.0,1.0,1.0
193,409.0,85.0,2.0,2.0,2.0
194,472.0,21.0,3.0,2.0,2.0
195,495.0,1.0,2.0,1.0,1.0
196,490.0,2.0,4.0,2.0,2.0
197,106.0,361.0,20.0,11.0,2.0
198,492.0,4.0,2.0,1.0,1.0
199,486.0,7.0,3.0,2.0,2.0
200,494.0,1.0,1.0,3.0,1.0
201,487.0,7.0,2.0,2.0,2.0
202,473.0,24.0,1.0,1.0,1.0
203,492.0,2.0,4.0,1.0,1.0
204,1.0,483.0,12.0,1.0,3.0
205,2.0,486.0,6.0,3.0,3.0
206,494.0,1.0,1.0,3.0,1.0
207,491.0,4.0,3.0,1.0,1.0
208,487.0,7.0,2.0,2.0,2.0
209,489.0,4.0,5.0,1.0,1.0
210,493.0,4.0,1.0,1.0,1.0
211,491.0,5.0,1.0,2.0,1.0
212,489.0,5.0,4.0,1.0,1.0
213,495.0,1.0,1.0,2.0,1.0
214,442.0,7.0,47.0,2.0,2.0
215,492.0,2.0,1.0,4.0,1.0
216,488.0,2.0,3.0,6.0,1.0
217,495.0,2.0,1.0,1.0,1.0
218,468.0,28.0,2.0,1.0,1.0
219,492.0,4.0,1.0,2.0,1.0
220,494.0,1.0,1.0,3.0,1.0
221,494.0,3.0,1.0,1.0,1.0
222,494.0,3.0,1.0,1.0,1.0
223,490.0,3.0,2.0,3.0,2.0
224,489.0,8.0,1.0,1.0,1.0
225,492.0,3.0,2.0,2.0,1.0
226,496.0,1.0,1.0,1.0,1.0
227,488.0,3.0,2.0,6.0,1.0
228,495.0,1.0,2.0,1.0,1.0
229,485.0,11.0,2.0,1.0,1.0
230,8.0,486.0,4.0,1.0,1.0
231,209.0,285.0,3.0,2.0,1.0
232,495.0,2.0,1.0,1.0,1.0
233,495.0,1.0,2.0,1.0,1.0
234,324.0,173.0,1.0,1.0,1.0
235,488.0,9.0,1.0,1.0,1.0
236,493.0,2.0,2.0,2.0,1.0
237,424.0,2.0,72.0,1.0,1.0
238,486.0,8.0,3.0,2.0,1.0
239,495.0,2.0,1.0,1.0,1.0
240,496.0,1.0,1.0,1.0,1.0
241,494.0,2.0,1.0,2.0,1.0
242,487.0,7.0,2.0,3.0,1.0
243,493.0,3.0,1.0,2.0,1.0
244,492.0,2.0,1.0,4.0,1.0
245,488.0,7.0,3.0,1.0,1.0
246,15.0,481.0,2.0,1.0,1.0
247,476.0,20.0,1.0,1.0,2.0
248,495.0,2.0,1.0,1.0,1.0
249,488.0,2.0,5.0,4.0,1.0
250,490.0,5.0,3.0,1.0,1.0
251,492.0,3.0,2.0,2.0,1.0
252,494.0,1.0,1.0,3.0,1.0
253,492.0,2.0,4.0,1.0,1.0
254,494.0,1.0,1.0,3.0,1.0
255,493.0,4.0,1.0,1.0,1.0
256,493.0,3.0,2.0,1.0,1.0
257,493.0,3.0,2.0,1.0,1.0
258,484.0,13.0,1.0,1.0,1.0
259,491.0,4.0,2.0,2.0,1.0
260,494.0,2.0,2.0,1.0,1.0
261,3.0,494.0,1.0,1.0,1.0
262,489.0,5.0,2.0,2.0,2.0
263,2.0,495.0,1.0,1.0,1.0
264,347.0,150.0,1.0,1.0,1.0
265,483.0,7.0,8.0,1.0,1.0
266,458.0,36.0,1.0,4.0,1.0
267,490.0,3.0,5.0,1.0,1.0
268,492.0,1.0,4.0,2.0,1.0
269,485.0,2.0,10.0,2.0,1.0
270,492.0,2.0,1.0,4.0,1.0
271,493.0,4.0,1.0,1.0,1.0
272,494.0,2.0,1.0,2.0,1.0
273,5.0,492.0,1.0,1.0,1.0
274,492.0,1.0,5.0,1.0,1.0
275,488.0,9.0,1.0,1.0,1.0
276,491.0,3.0,2.0,2.0,2.0
277,495.0,1.0,2.0,1.0,1.0
278,1.0,496.0,1.0,1.0,1.0
279,480.0,14.0,2.0,2.0,2.0
280,495.0,1.0,2.0,1.0,1.0
281,487.0,2.0,9.0,1.0,1.0
282,490.0,3.0,2.0,4.0,1.0
283,488.0,3.0,7.0,1.0,1.0
284,481.0,14.0,3.0,1.0,1.0
285,494.0,1.0,1.0,1.0,3.0
286,486.0,8.0,4.0,1.0,1.0
