,0,1,2,3,4
0,476.0,6.0,6.0,6.0,6.0
1,475.0,7.0,6.0,6.0,6.0
2,471.0,8.0,7.0,7.0,7.0
3,469.0,8.0,8.0,8.0,7.0
4,472.0,7.0,7.0,7.0,7.0
5,468.0,8.0,8.0,8.0,8.0
6,249.0,230.0,7.0,7.0,7.0
7,465.0,9.0,9.0,9.0,8.0
8,464.0,10.0,9.0,9.0,8.0
9,476.0,6.0,6.0,6.0,6.0
10,371.0,98.0,11.0,10.0,10.0
11,471.0,8.0,7.0,7.0,7.0
12,474.0,7.0,7.0,6.0,6.0
13,475.0,7.0,6.0,6.0,6.0
14,459.0,11.0,10.0,10.0,10.0
15,478.0,6.0,6.0,5.0,5.0
16,464.0,12.0,8.0,8.0,8.0
17,457.0,18.0,9.0,8.0,8.0
18,7.0,472.0,7.0,7.0,7.0
19,466.0,9.0,9.0,8.0,8.0
20,477.0,6.0,6.0,6.0,5.0
21,471.0,8.0,7.0,7.0,7.0
22,462.0,10.0,10.0,9.0,9.0
23,471.0,8.0,7.0,7.0,7.0
24,469.0,8.0,8.0,8.0,7.0
25,477.0,6.0,6.0,6.0,5.0
26,472.0,7.0,7.0,7.0,7.0
27,466.0,9.0,9.0,8.0,8.0
28,474.0,7.0,7.0,6.0,6.0
29,471.0,8.0,7.0,7.0,7.0
30,467.0,14.0,7.0,6.0,6.0
31,479.0,6.0,5.0,5.0,5.0
32,473.0,7.0,7.0,7.0,6.0
33,470.0,8.0,8.0,7.0,7.0
34,470.0,8.0,8.0,7.0,7.0
35,473.0,7.0,7.0,7.0,6.0
36,468.0,8.0,8.0,8.0,8.0
37,460.0,22.0,6.0,6.0,6.0
38,473.0,7.0,7.0,7.0,6.0
39,472.0,7.0,7.0,7.0,7.0
40,465.0,10.0,9.0,8.0,8.0
41,471.0,8.0,7.0,7.0,7.0
42,474.0,7.0,7.0,6.0,6.0
43,468.0,8.0,8.0,8.0,8.0
44,418.0,62.0,7.0,7.0,6.0
45,471.0,8.0,7.0,7.0,7.0
46,473.0,7.0,7.0,7.0,6.0
47,473.0,7.0,7.0,7.0,6.0
48,477.0,6.0,6.0,6.0,5.0
49,466.0,13.0,7.0,7.0,7.0
50,455.0,26.0,7.0,6.0,6.0
51,478.0,6.0,6.0,5.0,5.0
52,471.0,8.0,7.0,7.0,7.0
53,474.0,7.0,7.0,6.0,6.0
54,472.0,7.0,7.0,7.0,7.0
55,404.0,79.0,6.0,6.0,5.0
56,479.0,6.0,5.0,5.0,5.0
57,473.0,7.0,7.0,7.0,6.0
58,472.0,7.0,7.0,7.0,7.0
59,465.0,11.0,8.0,8.0,8.0
60,476.0,6.0,6.0,6.0,6.0
61,469.0,8.0,8.0,8.0,7.0
62,473.0,7.0,7.0,7.0,6.0
63,473.0,7.0,7.0,7.0,6.0
64,475.0,7.0,6.0,6.0,6.0
65,475.0,7.0,6.0,6.0,6.0
66,467.0,9.0,8.0,8.0,8.0
67,451.0,8.0,28.0,7.0,6.0
68,476.0,6.0,6.0,6.0,6.0
69,474.0,7.0,7.0,6.0,6.0
70,470.0,8.0,8.0,7.0,7.0
71,476.0,6.0,6.0,6.0,6.0
72,467.0,9.0,8.0,8.0,8.0
73,471.0,8.0,7.0,7.0,7.0
74,465.0,9.0,9.0,9.0,8.0
75,466.0,13.0,7.0,7.0,7.0
76,461.0,11.0,10.0,9.0,9.0
77,471.0,8.0,7.0,7.0,7.0
78,317.0,160.0,8.0,8.0,7.0
79,476.0,6.0,6.0,6.0,6.0
80,479.0,7.0,5.0,5.0,4.0
81,470.0,8.0,8.0,7.0,7.0
82,472.0,7.0,7.0,7.0,7.0
83,464.0,9.0,9.0,9.0,9.0
84,465.0,9.0,9.0,9.0,8.0
85,480.0,5.0,5.0,5.0,5.0
86,466.0,13.0,7.0,7.0,7.0
87,9.0,467.0,8.0,8.0,8.0
88,473.0,7.0,7.0,7.0,6.0
89,467.0,9.0,8.0,8.0,8.0
90,460.0,10.0,10.0,10.0,10.0
91,481.0,5.0,5.0,5.0,4.0
92,465.0,9.0,9.0,9.0,8.0
93,465.0,8.0,11.0,8.0,8.0
94,481.0,5.0,5.0,5.0,4.0
95,476.0,6.0,6.0,6.0,6.0
96,475.0,7.0,6.0,6.0,6.0
97,10.0,463.0,9.0,9.0,9.0
98,482.0,5.0,5.0,4.0,4.0
99,471.0,8.0,7.0,7.0,7.0
100,474.0,7.0,7.0,6.0,6.0
101,474.0,7.0,7.0,6.0,6.0
102,472.0,7.0,7.0,7.0,7.0
103,462.0,10.0,10.0,9.0,9.0
104,474.0,7.0,7.0,6.0,6.0
105,465.0,9.0,9.0,9.0,8.0
