,0,1,2,3,4
0,342.0,89.0,34.0,20.0,15.0
1,341.0,102.0,24.0,20.0,13.0
2,349.0,82.0,33.0,18.0,18.0
3,345.0,94.0,26.0,18.0,17.0
4,357.0,78.0,29.0,21.0,15.0
5,374.0,62.0,32.0,17.0,15.0
6,352.0,78.0,34.0,22.0,14.0
7,350.0,76.0,38.0,23.0,13.0
8,370.0,59.0,32.0,24.0,15.0
9,323.0,107.0,42.0,14.0,14.0
10,382.0,64.0,19.0,19.0,16.0
11,362.0,60.0,44.0,17.0,17.0
12,368.0,78.0,22.0,16.0,16.0
13,352.0,50.0,61.0,19.0,18.0
14,345.0,92.0,35.0,14.0,14.0
15,299.0,102.0,61.0,20.0,18.0
16,356.0,82.0,29.0,19.0,14.0
17,327.0,84.0,49.0,25.0,15.0
18,330.0,93.0,36.0,28.0,13.0
19,363.0,62.0,36.0,24.0,15.0
20,348.0,79.0,44.0,16.0,13.0
21,300.0,124.0,50.0,13.0,13.0
22,339.0,84.0,32.0,29.0,16.0
23,327.0,108.0,32.0,18.0,15.0
24,306.0,105.0,60.0,16.0,13.0
25,354.0,87.0,23.0,20.0,16.0
26,319.0,104.0,47.0,16.0,14.0
27,335.0,109.0,27.0,15.0,14.0
28,343.0,88.0,30.0,24.0,15.0
29,341.0,75.0,45.0,21.0,18.0
30,357.0,83.0,24.0,19.0,17.0
31,342.0,92.0,32.0,17.0,17.0
32,375.0,51.0,40.0,21.0,13.0
33,343.0,91.0,26.0,24.0,16.0
34,409.0,42.0,21.0,14.0,14.0
35,333.0,101.0,32.0,20.0,14.0
36,363.0,75.0,32.0,15.0,15.0
37,332.0,90.0,42.0,22.0,14.0
38,376.0,46.0,36.0,28.0,14.0
39,373.0,41.0,36.0,29.0,21.0
40,364.0,70.0,25.0,24.0,17.0
41,360.0,77.0,30.0,17.0,16.0
42,361.0,66.0,36.0,20.0,17.0
43,402.0,43.0,28.0,14.0,13.0
44,326.0,105.0,41.0,14.0,14.0
45,338.0,82.0,35.0,26.0,19.0
46,338.0,78.0,47.0,18.0,19.0
47,328.0,95.0,33.0,29.0,15.0
