,0,1,2,3,4
0,1.0,491.0,2.0,3.0,3.0
1,490.0,3.0,3.0,1.0,3.0
2,489.0,4.0,3.0,2.0,2.0
3,5.0,489.0,1.0,2.0,3.0
4,490.0,4.0,1.0,2.0,3.0
5,492.0,2.0,1.0,3.0,2.0
6,487.0,6.0,3.0,2.0,2.0
7,1.0,494.0,2.0,2.0,1.0
8,488.0,5.0,2.0,3.0,2.0
9,315.0,179.0,1.0,4.0,1.0
10,3.0,489.0,1.0,2.0,5.0
11,493.0,2.0,1.0,1.0,3.0
12,492.0,2.0,1.0,1.0,4.0
13,3.0,491.0,1.0,3.0,2.0
14,494.0,2.0,1.0,2.0,1.0
15,491.0,2.0,1.0,3.0,3.0
16,490.0,4.0,3.0,2.0,1.0
17,490.0,2.0,3.0,3.0,2.0
18,482.0,6.0,4.0,4.0,4.0
19,2.0,493.0,1.0,2.0,2.0
20,484.0,8.0,1.0,3.0,4.0
21,494.0,1.0,1.0,2.0,2.0
22,487.0,2.0,3.0,4.0,4.0
23,488.0,4.0,1.0,5.0,2.0
24,489.0,3.0,3.0,4.0,1.0
25,488.0,4.0,5.0,2.0,1.0
26,491.0,3.0,1.0,4.0,1.0
27,491.0,2.0,2.0,2.0,3.0
28,487.0,8.0,3.0,1.0,1.0
29,490.0,5.0,3.0,1.0,1.0
30,487.0,6.0,4.0,2.0,1.0
31,493.0,2.0,1.0,3.0,1.0
32,491.0,2.0,3.0,2.0,2.0
33,2.0,489.0,3.0,3.0,3.0
34,492.0,2.0,1.0,3.0,2.0
35,487.0,7.0,1.0,3.0,2.0
36,385.0,109.0,2.0,2.0,2.0
37,493.0,1.0,4.0,1.0,1.0
38,492.0,2.0,4.0,1.0,1.0
39,486.0,6.0,2.0,4.0,2.0
40,490.0,3.0,4.0,1.0,2.0
41,490.0,1.0,7.0,1.0,1.0
42,476.0,19.0,3.0,1.0,1.0
43,488.0,5.0,1.0,4.0,2.0
44,493.0,2.0,2.0,2.0,1.0
45,493.0,1.0,2.0,3.0,1.0
46,488.0,5.0,4.0,2.0,1.0
47,165.0,330.0,1.0,3.0,1.0
48,488.0,5.0,4.0,2.0,1.0
49,487.0,2.0,6.0,2.0,3.0
50,494.0,1.0,2.0,1.0,2.0
