,0,1
0,76.0,24.0
1,70.0,30.0
2,72.0,28.0
3,76.0,24.0
4,78.0,22.0
5,61.0,39.0
6,62.0,38.0
7,70.0,30.0
8,68.0,32.0
9,66.0,34.0
10,64.0,36.0
11,68.0,32.0
12,61.0,39.0
13,72.0,28.0
14,68.0,32.0
15,72.0,28.0
16,82.0,18.0
17,67.0,33.0
18,64.0,36.0
19,68.0,32.0
20,56.0,44.0
21,68.0,32.0
22,64.0,36.0
23,67.0,33.0
24,72.0,28.0
25,69.0,31.0
26,68.0,32.0
27,66.0,34.0
28,80.0,20.0
29,84.0,16.0
30,61.0,39.0
31,58.0,42.0
32,76.0,24.0
33,83.0,17.0
34,70.0,30.0
35,73.0,27.0
36,81.0,19.0
37,53.0,47.0
38,69.0,31.0
39,72.0,28.0
40,74.0,26.0
41,71.0,29.0
42,78.0,22.0
43,60.0,40.0
44,63.0,37.0
45,69.0,31.0
46,60.0,40.0
47,55.0,45.0
48,88.0,12.0
49,58.0,42.0
50,72.0,28.0
51,74.0,26.0
52,75.0,25.0
53,73.0,27.0
54,62.0,38.0
55,56.0,44.0
56,78.0,22.0
57,65.0,35.0
58,64.0,36.0
59,75.0,25.0
60,74.0,26.0
61,78.0,22.0
62,66.0,34.0
63,63.0,37.0
64,76.0,24.0
65,66.0,34.0
66,77.0,23.0
67,58.0,42.0
68,64.0,36.0
69,76.0,24.0
70,80.0,20.0
71,68.0,32.0
72,74.0,26.0
73,73.0,27.0
74,68.0,32.0
75,72.0,28.0
76,62.0,38.0
77,78.0,22.0
78,65.0,35.0
79,81.0,19.0
80,72.0,28.0
81,73.0,27.0
82,76.0,24.0
83,72.0,28.0
84,60.0,40.0
85,61.0,39.0
86,79.0,21.0
87,69.0,31.0
88,73.0,27.0
89,63.0,37.0
90,67.0,33.0
91,75.0,25.0
92,71.0,29.0
93,77.0,23.0
94,73.0,27.0
95,74.0,26.0
96,80.0,20.0
97,67.0,33.0
98,73.0,27.0
99,79.0,21.0
100,71.0,29.0
101,62.0,38.0
102,64.0,36.0
103,80.0,20.0
104,73.0,27.0
105,67.0,33.0
106,65.0,35.0
107,69.0,31.0
108,69.0,31.0
109,65.0,35.0
110,69.0,31.0
111,73.0,27.0
112,87.0,13.0
113,66.0,34.0
114,76.0,24.0
115,79.0,21.0
116,67.0,33.0
117,71.0,29.0
118,65.0,35.0
119,70.0,30.0
120,73.0,27.0
121,75.0,25.0
122,73.0,27.0
123,92.0,8.0
124,85.0,15.0
125,49.0,51.0
126,60.0,40.0
127,60.0,40.0
128,70.0,30.0
129,71.0,29.0
130,70.0,30.0
131,74.0,26.0
132,74.0,26.0
133,60.0,40.0
134,77.0,23.0
135,70.0,30.0
136,76.0,24.0
137,64.0,36.0
138,75.0,25.0
139,63.0,37.0
140,68.0,32.0
141,70.0,30.0
142,73.0,27.0
143,67.0,33.0
144,78.0,22.0
145,74.0,26.0
146,74.0,26.0
147,83.0,17.0
148,68.0,32.0
149,58.0,42.0
150,69.0,31.0
151,64.0,36.0
152,79.0,21.0
153,70.0,30.0
154,55.0,45.0
155,47.0,53.0
156,72.0,28.0
157,77.0,23.0
158,67.0,33.0
159,77.0,23.0
160,74.0,26.0
161,77.0,23.0
162,68.0,32.0
163,80.0,20.0
164,70.0,30.0
165,75.0,25.0
166,76.0,24.0
167,74.0,26.0
168,80.0,20.0
169,79.0,21.0
170,76.0,24.0
171,71.0,29.0
172,75.0,25.0
173,71.0,29.0
174,73.0,27.0
175,63.0,37.0
176,67.0,33.0
177,68.0,32.0
178,55.0,45.0
179,72.0,28.0
180,67.0,33.0
181,67.0,33.0
182,69.0,31.0
183,78.0,22.0
184,68.0,32.0
185,75.0,25.0
186,73.0,27.0
187,68.0,32.0
188,67.0,33.0
189,65.0,35.0
190,70.0,30.0
191,61.0,39.0
192,68.0,32.0
193,64.0,36.0
194,78.0,22.0
195,76.0,24.0
196,67.0,33.0
197,64.0,36.0
198,69.0,31.0
199,81.0,19.0
200,71.0,29.0
201,71.0,29.0
202,67.0,33.0
203,64.0,36.0
204,63.0,37.0
205,68.0,32.0
206,70.0,30.0
207,51.0,49.0
208,68.0,32.0
209,70.0,30.0
210,70.0,30.0
211,70.0,30.0
212,70.0,30.0
213,56.0,44.0
214,76.0,24.0
215,67.0,33.0
216,70.0,30.0
217,76.0,24.0
218,62.0,38.0
219,65.0,35.0
220,72.0,28.0
221,58.0,42.0
222,57.0,43.0
223,55.0,45.0
224,69.0,31.0
225,75.0,25.0
226,99.0,1.0
227,71.0,29.0
228,60.0,40.0
229,79.0,21.0
230,66.0,34.0
231,65.0,35.0
232,71.0,29.0
233,70.0,30.0
234,67.0,33.0
235,78.0,22.0
236,81.0,19.0
237,69.0,31.0
238,57.0,43.0
239,74.0,26.0
240,73.0,27.0
241,58.0,42.0
242,68.0,32.0
243,51.0,49.0
244,61.0,39.0
245,64.0,36.0
246,58.0,42.0
247,68.0,32.0
248,64.0,36.0
249,56.0,44.0
250,80.0,20.0
251,77.0,23.0
252,58.0,42.0
253,69.0,31.0
254,69.0,31.0
255,72.0,28.0
256,58.0,42.0
257,71.0,29.0
258,66.0,34.0
259,73.0,27.0
260,68.0,32.0
261,66.0,34.0
262,68.0,32.0
263,63.0,37.0
264,61.0,39.0
265,59.0,41.0
266,77.0,23.0
267,63.0,37.0
268,70.0,30.0
269,77.0,23.0
270,67.0,33.0
271,77.0,23.0
272,64.0,36.0
273,70.0,30.0
274,70.0,30.0
275,60.0,40.0
276,65.0,35.0
277,61.0,39.0
278,76.0,24.0
279,67.0,33.0
280,75.0,25.0
281,42.0,58.0
282,65.0,35.0
283,78.0,22.0
284,66.0,34.0
285,69.0,31.0
286,66.0,34.0
287,81.0,19.0
288,65.0,35.0
289,83.0,17.0
290,65.0,35.0
291,85.0,15.0
292,60.0,40.0
293,67.0,33.0
294,73.0,27.0
295,72.0,28.0
296,72.0,28.0
297,76.0,24.0
298,65.0,35.0
299,65.0,35.0
300,74.0,26.0
301,69.0,31.0
302,71.0,29.0
303,71.0,29.0
304,68.0,32.0
305,63.0,37.0
306,80.0,20.0
307,64.0,36.0
308,60.0,40.0
309,71.0,29.0
310,74.0,26.0
311,59.0,41.0
312,70.0,30.0
313,58.0,42.0
314,80.0,20.0
315,78.0,22.0
316,79.0,21.0
317,67.0,33.0
318,61.0,39.0
319,63.0,37.0
320,66.0,34.0
321,66.0,34.0
322,82.0,18.0
323,69.0,31.0
324,71.0,29.0
325,56.0,44.0
326,75.0,25.0
327,56.0,44.0
328,71.0,29.0
329,79.0,21.0
330,67.0,33.0
331,54.0,46.0
332,61.0,39.0
333,79.0,21.0
334,64.0,36.0
335,69.0,31.0
336,78.0,22.0
337,66.0,34.0
338,72.0,28.0
339,66.0,34.0
340,71.0,29.0
341,77.0,23.0
342,76.0,24.0
343,75.0,25.0
344,77.0,23.0
345,60.0,40.0
346,64.0,36.0
347,60.0,40.0
348,80.0,20.0
349,76.0,24.0
350,71.0,29.0
351,70.0,30.0
352,68.0,32.0
353,65.0,35.0
354,68.0,32.0
355,73.0,27.0
356,67.0,33.0
357,77.0,23.0
358,63.0,37.0
359,68.0,32.0
360,70.0,30.0
361,74.0,26.0
362,70.0,30.0
363,72.0,28.0
364,67.0,33.0
365,71.0,29.0
366,70.0,30.0
367,72.0,28.0
368,68.0,32.0
369,72.0,28.0
370,67.0,33.0
371,69.0,31.0
372,84.0,16.0
373,75.0,25.0
374,74.0,26.0
375,70.0,30.0
376,68.0,32.0
377,61.0,39.0
378,67.0,33.0
379,63.0,37.0
380,74.0,26.0
381,79.0,21.0
382,68.0,32.0
383,55.0,45.0
384,69.0,31.0
385,74.0,26.0
386,69.0,31.0
387,61.0,39.0
388,55.0,45.0
389,69.0,31.0
390,74.0,26.0
391,73.0,27.0
392,61.0,39.0
393,79.0,21.0
394,57.0,43.0
395,79.0,21.0
396,70.0,30.0
397,69.0,31.0
398,66.0,34.0
399,58.0,42.0
400,74.0,26.0
401,69.0,31.0
402,62.0,38.0
403,61.0,39.0
404,62.0,38.0
405,62.0,38.0
406,68.0,32.0
407,74.0,26.0
408,67.0,33.0
409,73.0,27.0
410,72.0,28.0
411,81.0,19.0
412,73.0,27.0
413,60.0,40.0
414,73.0,27.0
415,73.0,27.0
416,77.0,23.0
417,68.0,32.0
418,55.0,45.0
419,78.0,22.0
420,70.0,30.0
421,72.0,28.0
422,54.0,46.0
423,68.0,32.0
424,83.0,17.0
425,72.0,28.0
426,62.0,38.0
427,87.0,13.0
428,77.0,23.0
429,80.0,20.0
430,74.0,26.0
431,74.0,26.0
432,65.0,35.0
433,64.0,36.0
434,83.0,17.0
435,63.0,37.0
436,72.0,28.0
437,59.0,41.0
438,77.0,23.0
439,73.0,27.0
440,51.0,49.0
441,70.0,30.0
442,70.0,30.0
443,78.0,22.0
444,69.0,31.0
445,74.0,26.0
446,68.0,32.0
447,66.0,34.0
448,80.0,20.0
449,79.0,21.0
450,69.0,31.0
451,80.0,20.0
452,68.0,32.0
453,80.0,20.0
454,63.0,37.0
455,64.0,36.0
456,58.0,42.0
457,60.0,40.0
458,76.0,24.0
459,71.0,29.0
460,60.0,40.0
461,74.0,26.0
462,67.0,33.0
463,61.0,39.0
464,77.0,23.0
465,68.0,32.0
466,78.0,22.0
467,74.0,26.0
468,76.0,24.0
469,76.0,24.0
470,73.0,27.0
471,64.0,36.0
