,0,1
0,99.0,1.0
1,84.0,16.0
2,98.0,2.0
3,97.0,3.0
4,68.0,32.0
5,99.0,1.0
6,86.0,14.0
7,99.0,1.0
8,99.0,1.0
9,95.0,5.0
10,99.0,1.0
11,98.0,2.0
12,99.0,1.0
13,98.0,2.0
14,99.0,1.0
15,96.0,4.0
16,99.0,1.0
17,98.0,2.0
18,96.0,4.0
19,95.0,5.0
20,99.0,1.0
21,98.0,2.0
22,4.0,96.0
23,99.0,1.0
24,88.0,12.0
25,99.0,1.0
26,2.0,98.0
27,94.0,6.0
28,99.0,1.0
29,88.0,12.0
30,99.0,1.0
31,99.0,1.0
32,77.0,23.0
33,95.0,5.0
34,98.0,2.0
35,98.0,2.0
36,97.0,3.0
37,99.0,1.0
38,98.0,2.0
39,1.0,99.0
40,88.0,12.0
41,99.0,1.0
42,99.0,1.0
43,1.0,99.0
44,98.0,2.0
45,99.0,1.0
46,99.0,1.0
47,98.0,2.0
48,94.0,6.0
49,99.0,1.0
50,1.0,99.0
51,99.0,1.0
52,99.0,1.0
53,99.0,1.0
54,85.0,15.0
55,61.0,39.0
56,99.0,1.0
57,99.0,1.0
58,1.0,99.0
59,99.0,1.0
60,99.0,1.0
61,98.0,2.0
62,99.0,1.0
63,97.0,3.0
64,95.0,5.0
65,99.0,1.0
66,99.0,1.0
67,93.0,7.0
68,99.0,1.0
69,99.0,1.0
70,90.0,10.0
71,99.0,1.0
72,96.0,4.0
73,98.0,2.0
74,89.0,11.0
75,92.0,8.0
76,98.0,2.0
77,1.0,99.0
78,98.0,2.0
79,1.0,99.0
80,3.0,97.0
81,99.0,1.0
82,98.0,2.0
83,99.0,1.0
84,93.0,7.0
85,99.0,1.0
86,99.0,1.0
87,98.0,2.0
88,1.0,99.0
89,92.0,8.0
90,99.0,1.0
91,87.0,13.0
92,99.0,1.0
93,1.0,99.0
94,2.0,98.0
95,96.0,4.0
96,1.0,99.0
97,62.0,38.0
98,99.0,1.0
99,99.0,1.0
