,0,1
0,91.0,9.0
1,88.0,12.0
2,92.0,8.0
3,83.0,17.0
4,93.0,7.0
5,78.0,22.0
6,90.0,10.0
7,93.0,7.0
8,80.0,20.0
9,91.0,9.0
10,93.0,7.0
11,85.0,15.0
12,90.0,10.0
13,91.0,9.0
14,89.0,11.0
15,93.0,7.0
16,93.0,7.0
17,91.0,9.0
18,91.0,9.0
19,67.0,33.0
20,91.0,9.0
21,11.0,89.0
22,92.0,8.0
23,88.0,12.0
24,94.0,6.0
25,91.0,9.0
26,86.0,14.0
27,94.0,6.0
28,87.0,13.0
29,95.0,5.0
30,94.0,6.0
31,95.0,5.0
32,93.0,7.0
33,92.0,8.0
34,90.0,10.0
35,87.0,13.0
36,94.0,6.0
37,91.0,9.0
38,89.0,11.0
39,92.0,8.0
40,89.0,11.0
41,92.0,8.0
42,94.0,6.0
43,87.0,13.0
44,83.0,17.0
45,92.0,8.0
46,93.0,7.0
47,94.0,6.0
48,94.0,6.0
49,89.0,11.0
50,88.0,12.0
51,95.0,5.0
52,81.0,19.0
53,87.0,13.0
54,93.0,7.0
55,89.0,11.0
56,82.0,18.0
57,97.0,3.0
58,96.0,4.0
59,92.0,8.0
60,89.0,11.0
61,94.0,6.0
62,95.0,5.0
63,89.0,11.0
64,87.0,13.0
65,63.0,37.0
66,6.0,94.0
67,92.0,8.0
68,91.0,9.0
69,94.0,6.0
70,92.0,8.0
71,89.0,11.0
72,93.0,7.0
73,91.0,9.0
74,94.0,6.0
75,83.0,17.0
76,84.0,16.0
77,90.0,10.0
78,56.0,44.0
79,94.0,6.0
80,91.0,9.0
81,93.0,7.0
82,90.0,10.0
83,78.0,22.0
84,92.0,8.0
85,79.0,21.0
86,93.0,7.0
87,88.0,12.0
88,90.0,10.0
89,89.0,11.0
90,91.0,9.0
91,94.0,6.0
92,91.0,9.0
93,90.0,10.0
94,90.0,10.0
95,81.0,19.0
96,93.0,7.0
97,77.0,23.0
98,92.0,8.0
99,95.0,5.0
100,95.0,5.0
101,89.0,11.0
102,91.0,9.0
103,95.0,5.0
104,92.0,8.0
105,92.0,8.0
106,94.0,6.0
107,93.0,7.0
108,91.0,9.0
109,93.0,7.0
110,94.0,6.0
111,88.0,12.0
112,92.0,8.0
113,96.0,4.0
114,85.0,15.0
115,90.0,10.0
116,92.0,8.0
117,90.0,10.0
118,95.0,5.0
119,93.0,7.0
120,92.0,8.0
121,93.0,7.0
122,94.0,6.0
123,92.0,8.0
124,92.0,8.0
125,10.0,90.0
126,96.0,4.0
127,90.0,10.0
128,89.0,11.0
129,92.0,8.0
130,74.0,26.0
131,93.0,7.0
132,90.0,10.0
133,89.0,11.0
134,90.0,10.0
135,90.0,10.0
136,90.0,10.0
137,91.0,9.0
138,90.0,10.0
139,92.0,8.0
140,91.0,9.0
141,86.0,14.0
142,78.0,22.0
143,88.0,12.0
144,94.0,6.0
145,92.0,8.0
146,86.0,14.0
147,90.0,10.0
148,81.0,19.0
149,89.0,11.0
150,90.0,10.0
151,88.0,12.0
152,91.0,9.0
153,96.0,4.0
154,90.0,10.0
155,91.0,9.0
156,91.0,9.0
157,97.0,3.0
158,33.0,67.0
159,87.0,13.0
160,93.0,7.0
161,92.0,8.0
162,86.0,14.0
163,88.0,12.0
164,87.0,13.0
165,91.0,9.0
166,86.0,14.0
167,90.0,10.0
168,70.0,30.0
169,97.0,3.0
170,11.0,89.0
171,93.0,7.0
172,90.0,10.0
173,74.0,26.0
174,91.0,9.0
175,8.0,92.0
176,6.0,94.0
177,94.0,6.0
178,86.0,14.0
179,91.0,9.0
180,91.0,9.0
181,6.0,94.0
182,91.0,9.0
183,87.0,13.0
184,26.0,74.0
185,92.0,8.0
186,88.0,12.0
187,95.0,5.0
188,92.0,8.0
189,92.0,8.0
190,91.0,9.0
191,90.0,10.0
192,90.0,10.0
193,92.0,8.0
194,94.0,6.0
195,92.0,8.0
196,88.0,12.0
197,92.0,8.0
198,91.0,9.0
199,90.0,10.0
200,92.0,8.0
201,87.0,13.0
202,16.0,84.0
203,90.0,10.0
204,88.0,12.0
205,94.0,6.0
206,8.0,92.0
207,52.0,48.0
208,95.0,5.0
209,80.0,20.0
210,87.0,13.0
211,96.0,4.0
212,94.0,6.0
213,90.0,10.0
214,86.0,14.0
215,86.0,14.0
216,93.0,7.0
217,92.0,8.0
218,96.0,4.0
219,95.0,5.0
220,90.0,10.0
221,87.0,13.0
222,82.0,18.0
223,90.0,10.0
224,94.0,6.0
225,94.0,6.0
226,90.0,10.0
227,86.0,14.0
228,93.0,7.0
229,85.0,15.0
230,91.0,9.0
231,89.0,11.0
232,93.0,7.0
233,83.0,17.0
234,91.0,9.0
235,91.0,9.0
236,95.0,5.0
237,92.0,8.0
238,91.0,9.0
239,93.0,7.0
240,87.0,13.0
241,77.0,23.0
242,94.0,6.0
243,92.0,8.0
244,91.0,9.0
245,93.0,7.0
246,91.0,9.0
247,91.0,9.0
248,94.0,6.0
249,88.0,12.0
250,84.0,16.0
251,91.0,9.0
252,95.0,5.0
253,95.0,5.0
254,95.0,5.0
255,78.0,22.0
256,93.0,7.0
257,90.0,10.0
258,89.0,11.0
259,93.0,7.0
260,91.0,9.0
261,70.0,30.0
262,95.0,5.0
263,89.0,11.0
264,93.0,7.0
265,42.0,58.0
266,90.0,10.0
267,93.0,7.0
268,92.0,8.0
269,92.0,8.0
270,94.0,6.0
271,90.0,10.0
272,70.0,30.0
273,92.0,8.0
274,91.0,9.0
275,91.0,9.0
276,90.0,10.0
