,0,1
0,73.0,27.0
1,75.0,25.0
2,84.0,16.0
3,69.0,31.0
4,61.0,39.0
5,72.0,28.0
6,56.0,44.0
7,63.0,37.0
8,63.0,37.0
9,74.0,26.0
10,99.0,1.0
11,70.0,30.0
12,73.0,27.0
13,61.0,39.0
14,74.0,26.0
15,73.0,27.0
16,71.0,29.0
17,67.0,33.0
18,70.0,30.0
19,74.0,26.0
20,77.0,23.0
21,64.0,36.0
22,77.0,23.0
23,58.0,42.0
24,99.0,1.0
25,77.0,23.0
26,59.0,41.0
27,61.0,39.0
28,86.0,14.0
29,63.0,37.0
30,60.0,40.0
31,69.0,31.0
32,67.0,33.0
33,46.0,54.0
34,55.0,45.0
35,81.0,19.0
36,66.0,34.0
37,99.0,1.0
38,59.0,41.0
39,72.0,28.0
40,67.0,33.0
41,44.0,56.0
42,55.0,45.0
43,69.0,31.0
44,60.0,40.0
45,67.0,33.0
46,74.0,26.0
47,1.0,99.0
48,51.0,49.0
49,30.0,70.0
50,50.0,50.0
51,99.0,1.0
52,77.0,23.0
53,75.0,25.0
54,75.0,25.0
55,60.0,40.0
56,72.0,28.0
57,71.0,29.0
58,73.0,27.0
59,72.0,28.0
60,73.0,27.0
61,69.0,31.0
62,66.0,34.0
63,77.0,23.0
64,70.0,30.0
65,55.0,45.0
66,64.0,36.0
67,59.0,41.0
68,53.0,47.0
69,67.0,33.0
70,63.0,37.0
71,99.0,1.0
72,76.0,24.0
73,69.0,31.0
74,66.0,34.0
75,99.0,1.0
76,80.0,20.0
77,69.0,31.0
78,68.0,32.0
79,80.0,20.0
80,56.0,44.0
81,72.0,28.0
82,79.0,21.0
83,71.0,29.0
84,70.0,30.0
85,60.0,40.0
86,74.0,26.0
87,68.0,32.0
88,67.0,33.0
89,62.0,38.0
90,66.0,34.0
91,71.0,29.0
92,99.0,1.0
93,1.0,99.0
94,47.0,53.0
95,70.0,30.0
96,74.0,26.0
97,69.0,31.0
98,77.0,23.0
99,63.0,37.0
100,81.0,19.0
101,64.0,36.0
102,76.0,24.0
103,72.0,28.0
104,72.0,28.0
105,71.0,29.0
106,63.0,37.0
107,99.0,1.0
108,55.0,45.0
109,74.0,26.0
110,76.0,24.0
111,86.0,14.0
112,72.0,28.0
113,77.0,23.0
114,83.0,17.0
115,76.0,24.0
116,68.0,32.0
117,75.0,25.0
118,67.0,33.0
119,75.0,25.0
120,46.0,54.0
121,61.0,39.0
122,72.0,28.0
123,83.0,17.0
124,73.0,27.0
125,70.0,30.0
126,10.0,90.0
127,78.0,22.0
128,69.0,31.0
129,74.0,26.0
130,65.0,35.0
131,99.0,1.0
132,78.0,22.0
133,99.0,1.0
134,69.0,31.0
135,1.0,99.0
136,78.0,22.0
137,58.0,42.0
138,70.0,30.0
139,68.0,32.0
140,76.0,24.0
141,67.0,33.0
