,0,1
0,72.0,28.0
1,58.0,42.0
2,75.0,25.0
3,73.0,27.0
4,57.0,43.0
5,68.0,32.0
6,76.0,24.0
7,67.0,33.0
8,64.0,36.0
9,68.0,32.0
10,81.0,19.0
11,67.0,33.0
12,72.0,28.0
13,61.0,39.0
14,69.0,31.0
15,67.0,33.0
16,70.0,30.0
17,63.0,37.0
18,71.0,29.0
19,74.0,26.0
20,59.0,41.0
21,69.0,31.0
22,59.0,41.0
23,77.0,23.0
24,89.0,11.0
25,74.0,26.0
26,72.0,28.0
27,47.0,53.0
28,66.0,34.0
29,80.0,20.0
30,83.0,17.0
31,73.0,27.0
32,79.0,21.0
33,63.0,37.0
34,64.0,36.0
35,60.0,40.0
36,72.0,28.0
37,54.0,46.0
38,75.0,25.0
39,72.0,28.0
40,59.0,41.0
41,66.0,34.0
42,81.0,19.0
43,74.0,26.0
44,63.0,37.0
45,79.0,21.0
46,72.0,28.0
47,80.0,20.0
48,60.0,40.0
49,58.0,42.0
50,68.0,32.0
51,78.0,22.0
52,66.0,34.0
53,64.0,36.0
54,61.0,39.0
55,51.0,49.0
56,60.0,40.0
57,60.0,40.0
58,67.0,33.0
59,67.0,33.0
60,60.0,40.0
61,65.0,35.0
62,77.0,23.0
63,76.0,24.0
64,76.0,24.0
65,61.0,39.0
66,77.0,23.0
67,78.0,22.0
68,74.0,26.0
69,70.0,30.0
70,64.0,36.0
71,79.0,21.0
72,65.0,35.0
73,75.0,25.0
74,64.0,36.0
75,67.0,33.0
76,71.0,29.0
77,77.0,23.0
78,66.0,34.0
79,61.0,39.0
80,70.0,30.0
81,73.0,27.0
82,75.0,25.0
83,74.0,26.0
84,72.0,28.0
85,67.0,33.0
86,66.0,34.0
87,72.0,28.0
88,65.0,35.0
89,80.0,20.0
90,70.0,30.0
91,79.0,21.0
92,69.0,31.0
93,70.0,30.0
94,72.0,28.0
95,68.0,32.0
96,77.0,23.0
97,71.0,29.0
98,75.0,25.0
99,64.0,36.0
100,60.0,40.0
101,70.0,30.0
102,74.0,26.0
103,66.0,34.0
104,68.0,32.0
105,64.0,36.0
106,81.0,19.0
107,71.0,29.0
108,80.0,20.0
109,74.0,26.0
110,75.0,25.0
111,68.0,32.0
112,75.0,25.0
113,74.0,26.0
114,75.0,25.0
115,77.0,23.0
116,72.0,28.0
117,67.0,33.0
118,73.0,27.0
119,72.0,28.0
120,66.0,34.0
121,72.0,28.0
122,73.0,27.0
123,82.0,18.0
124,52.0,48.0
125,76.0,24.0
126,73.0,27.0
127,73.0,27.0
128,67.0,33.0
129,69.0,31.0
130,61.0,39.0
131,82.0,18.0
132,63.0,37.0
133,78.0,22.0
134,70.0,30.0
135,79.0,21.0
136,57.0,43.0
137,82.0,18.0
138,58.0,42.0
139,52.0,48.0
140,69.0,31.0
141,57.0,43.0
142,72.0,28.0
143,70.0,30.0
144,74.0,26.0
145,78.0,22.0
146,53.0,47.0
147,72.0,28.0
148,72.0,28.0
149,72.0,28.0
150,79.0,21.0
151,65.0,35.0
152,55.0,45.0
153,75.0,25.0
154,60.0,40.0
155,56.0,44.0
156,72.0,28.0
157,69.0,31.0
158,77.0,23.0
159,70.0,30.0
160,83.0,17.0
161,81.0,19.0
162,71.0,29.0
163,72.0,28.0
164,60.0,40.0
165,66.0,34.0
166,76.0,24.0
167,76.0,24.0
168,62.0,38.0
169,65.0,35.0
170,84.0,16.0
171,62.0,38.0
172,68.0,32.0
173,79.0,21.0
174,61.0,39.0
175,62.0,38.0
176,73.0,27.0
177,69.0,31.0
178,74.0,26.0
179,73.0,27.0
180,77.0,23.0
181,64.0,36.0
182,72.0,28.0
183,71.0,29.0
184,79.0,21.0
185,76.0,24.0
186,77.0,23.0
187,78.0,22.0
188,62.0,38.0
189,58.0,42.0
190,69.0,31.0
191,75.0,25.0
192,77.0,23.0
193,68.0,32.0
194,79.0,21.0
195,73.0,27.0
196,71.0,29.0
197,76.0,24.0
198,70.0,30.0
199,71.0,29.0
200,67.0,33.0
201,61.0,39.0
202,69.0,31.0
203,64.0,36.0
204,72.0,28.0
205,76.0,24.0
206,61.0,39.0
207,72.0,28.0
208,58.0,42.0
209,72.0,28.0
210,61.0,39.0
211,79.0,21.0
212,77.0,23.0
213,68.0,32.0
214,60.0,40.0
215,69.0,31.0
216,74.0,26.0
217,86.0,14.0
218,73.0,27.0
219,76.0,24.0
220,68.0,32.0
221,77.0,23.0
222,58.0,42.0
223,74.0,26.0
224,69.0,31.0
225,73.0,27.0
226,74.0,26.0
227,81.0,19.0
228,74.0,26.0
229,61.0,39.0
230,73.0,27.0
231,60.0,40.0
232,59.0,41.0
233,74.0,26.0
234,65.0,35.0
235,56.0,44.0
236,72.0,28.0
237,70.0,30.0
238,65.0,35.0
239,77.0,23.0
240,65.0,35.0
241,62.0,38.0
242,56.0,44.0
243,58.0,42.0
244,80.0,20.0
245,68.0,32.0
246,75.0,25.0
247,65.0,35.0
248,67.0,33.0
249,75.0,25.0
250,77.0,23.0
251,62.0,38.0
252,57.0,43.0
253,73.0,27.0
254,78.0,22.0
255,77.0,23.0
256,58.0,42.0
257,61.0,39.0
258,78.0,22.0
259,78.0,22.0
260,69.0,31.0
261,72.0,28.0
262,75.0,25.0
263,62.0,38.0
264,66.0,34.0
265,74.0,26.0
266,81.0,19.0
267,69.0,31.0
268,73.0,27.0
269,62.0,38.0
270,68.0,32.0
271,75.0,25.0
272,46.0,54.0
273,76.0,24.0
274,64.0,36.0
275,72.0,28.0
276,72.0,28.0
277,69.0,31.0
278,75.0,25.0
279,75.0,25.0
280,68.0,32.0
281,77.0,23.0
282,71.0,29.0
283,70.0,30.0
284,61.0,39.0
285,61.0,39.0
286,66.0,34.0
287,72.0,28.0
288,64.0,36.0
289,79.0,21.0
290,77.0,23.0
291,74.0,26.0
292,67.0,33.0
293,81.0,19.0
294,81.0,19.0
295,86.0,14.0
296,63.0,37.0
297,60.0,40.0
298,68.0,32.0
299,75.0,25.0
300,64.0,36.0
301,66.0,34.0
302,67.0,33.0
303,73.0,27.0
304,71.0,29.0
305,72.0,28.0
306,74.0,26.0
307,82.0,18.0
308,71.0,29.0
309,74.0,26.0
310,71.0,29.0
311,75.0,25.0
312,64.0,36.0
313,83.0,17.0
314,76.0,24.0
315,73.0,27.0
316,73.0,27.0
317,76.0,24.0
318,74.0,26.0
319,65.0,35.0
320,81.0,19.0
321,62.0,38.0
322,81.0,19.0
323,70.0,30.0
324,83.0,17.0
325,68.0,32.0
326,55.0,45.0
327,73.0,27.0
328,58.0,42.0
329,68.0,32.0
330,54.0,46.0
331,63.0,37.0
332,66.0,34.0
333,74.0,26.0
334,70.0,30.0
335,66.0,34.0
336,74.0,26.0
337,89.0,11.0
338,63.0,37.0
339,70.0,30.0
340,68.0,32.0
341,76.0,24.0
342,74.0,26.0
343,76.0,24.0
344,66.0,34.0
345,73.0,27.0
346,74.0,26.0
347,64.0,36.0
348,71.0,29.0
349,77.0,23.0
350,57.0,43.0
351,65.0,35.0
352,80.0,20.0
353,64.0,36.0
354,76.0,24.0
355,58.0,42.0
356,75.0,25.0
357,52.0,48.0
358,57.0,43.0
359,69.0,31.0
360,67.0,33.0
361,82.0,18.0
362,49.0,51.0
363,66.0,34.0
364,66.0,34.0
365,72.0,28.0
366,61.0,39.0
367,51.0,49.0
368,66.0,34.0
369,77.0,23.0
370,73.0,27.0
371,77.0,23.0
372,84.0,16.0
373,80.0,20.0
374,65.0,35.0
375,63.0,37.0
376,71.0,29.0
377,69.0,31.0
378,71.0,29.0
379,63.0,37.0
380,69.0,31.0
381,54.0,46.0
382,69.0,31.0
383,65.0,35.0
384,62.0,38.0
385,73.0,27.0
386,71.0,29.0
387,67.0,33.0
388,77.0,23.0
389,53.0,47.0
390,70.0,30.0
391,79.0,21.0
392,72.0,28.0
393,79.0,21.0
394,67.0,33.0
395,74.0,26.0
396,70.0,30.0
397,70.0,30.0
398,58.0,42.0
399,64.0,36.0
400,68.0,32.0
401,73.0,27.0
402,68.0,32.0
403,70.0,30.0
404,70.0,30.0
405,60.0,40.0
406,77.0,23.0
407,71.0,29.0
408,60.0,40.0
409,76.0,24.0
410,70.0,30.0
411,71.0,29.0
412,71.0,29.0
413,78.0,22.0
414,75.0,25.0
415,68.0,32.0
416,66.0,34.0
417,67.0,33.0
418,59.0,41.0
419,65.0,35.0
420,69.0,31.0
421,70.0,30.0
422,62.0,38.0
423,70.0,30.0
424,71.0,29.0
425,70.0,30.0
426,79.0,21.0
427,72.0,28.0
428,72.0,28.0
429,68.0,32.0
430,74.0,26.0
431,68.0,32.0
432,62.0,38.0
433,66.0,34.0
434,68.0,32.0
435,66.0,34.0
436,62.0,38.0
437,64.0,36.0
438,71.0,29.0
439,60.0,40.0
440,58.0,42.0
441,78.0,22.0
442,78.0,22.0
443,64.0,36.0
444,72.0,28.0
445,60.0,40.0
446,53.0,47.0
447,84.0,16.0
448,67.0,33.0
449,62.0,38.0
450,76.0,24.0
451,67.0,33.0
452,69.0,31.0
453,67.0,33.0
454,70.0,30.0
455,80.0,20.0
456,67.0,33.0
457,73.0,27.0
458,68.0,32.0
459,73.0,27.0
460,81.0,19.0
461,68.0,32.0
462,77.0,23.0
463,85.0,15.0
464,57.0,43.0
465,66.0,34.0
