,0,1
0,92.0,8.0
1,5.0,95.0
2,96.0,4.0
3,99.0,1.0
4,96.0,4.0
5,2.0,98.0
6,97.0,3.0
7,95.0,5.0
8,98.0,2.0
9,93.0,7.0
10,95.0,5.0
11,96.0,4.0
12,95.0,5.0
13,99.0,1.0
14,92.0,8.0
15,96.0,4.0
16,93.0,7.0
17,95.0,5.0
18,86.0,14.0
19,93.0,7.0
20,2.0,98.0
21,71.0,29.0
22,96.0,4.0
23,4.0,96.0
24,97.0,3.0
25,96.0,4.0
26,96.0,4.0
27,67.0,33.0
28,99.0,1.0
29,1.0,99.0
30,97.0,3.0
31,96.0,4.0
32,98.0,2.0
33,98.0,2.0
34,98.0,2.0
35,94.0,6.0
36,6.0,94.0
37,69.0,31.0
38,99.0,1.0
39,97.0,3.0
40,97.0,3.0
41,2.0,98.0
42,95.0,5.0
43,96.0,4.0
44,95.0,5.0
45,92.0,8.0
46,98.0,2.0
47,97.0,3.0
48,97.0,3.0
49,2.0,98.0
50,94.0,6.0
51,81.0,19.0
52,99.0,1.0
53,94.0,6.0
54,85.0,15.0
55,6.0,94.0
56,95.0,5.0
57,92.0,8.0
58,2.0,98.0
59,98.0,2.0
60,98.0,2.0
61,96.0,4.0
62,91.0,9.0
63,88.0,12.0
64,64.0,36.0
65,96.0,4.0
66,97.0,3.0
67,98.0,2.0
68,82.0,18.0
69,97.0,3.0
70,86.0,14.0
71,96.0,4.0
72,97.0,3.0
73,98.0,2.0
74,94.0,6.0
75,97.0,3.0
76,79.0,21.0
77,95.0,5.0
78,88.0,12.0
79,97.0,3.0
80,81.0,19.0
81,7.0,93.0
82,95.0,5.0
83,98.0,2.0
84,3.0,97.0
85,96.0,4.0
86,1.0,99.0
87,95.0,5.0
88,95.0,5.0
89,98.0,2.0
90,89.0,11.0
91,3.0,97.0
92,96.0,4.0
93,69.0,31.0
94,1.0,99.0
95,97.0,3.0
96,97.0,3.0
97,95.0,5.0
98,82.0,18.0
99,96.0,4.0
100,96.0,4.0
101,93.0,7.0
102,1.0,99.0
103,68.0,32.0
104,96.0,4.0
105,98.0,2.0
106,96.0,4.0
107,96.0,4.0
108,85.0,15.0
109,98.0,2.0
110,95.0,5.0
111,4.0,96.0
112,94.0,6.0
113,98.0,2.0
114,98.0,2.0
115,98.0,2.0
116,99.0,1.0
117,95.0,5.0
118,1.0,99.0
119,19.0,81.0
120,96.0,4.0
121,95.0,5.0
122,99.0,1.0
123,97.0,3.0
124,95.0,5.0
125,98.0,2.0
126,95.0,5.0
127,92.0,8.0
128,2.0,98.0
129,95.0,5.0
130,11.0,89.0
131,97.0,3.0
132,98.0,2.0
133,99.0,1.0
134,96.0,4.0
135,93.0,7.0
136,98.0,2.0
137,96.0,4.0
138,92.0,8.0
139,89.0,11.0
140,98.0,2.0
141,5.0,95.0
142,2.0,98.0
143,96.0,4.0
144,95.0,5.0
145,95.0,5.0
146,93.0,7.0
147,10.0,90.0
148,17.0,83.0
149,92.0,8.0
150,97.0,3.0
151,96.0,4.0
152,96.0,4.0
153,95.0,5.0
154,1.0,99.0
155,4.0,96.0
156,27.0,73.0
157,98.0,2.0
158,98.0,2.0
159,98.0,2.0
160,97.0,3.0
161,1.0,99.0
162,97.0,3.0
163,95.0,5.0
164,95.0,5.0
165,43.0,57.0
166,97.0,3.0
167,95.0,5.0
168,93.0,7.0
169,98.0,2.0
170,93.0,7.0
171,91.0,9.0
172,3.0,97.0
173,99.0,1.0
174,97.0,3.0
175,98.0,2.0
176,92.0,8.0
177,92.0,8.0
178,99.0,1.0
179,75.0,25.0
180,1.0,99.0
181,96.0,4.0
182,97.0,3.0
183,95.0,5.0
184,94.0,6.0
185,3.0,97.0
186,95.0,5.0
187,45.0,55.0
188,3.0,97.0
189,94.0,6.0
190,98.0,2.0
191,2.0,98.0
192,96.0,4.0
193,95.0,5.0
194,95.0,5.0
195,96.0,4.0
196,97.0,3.0
197,96.0,4.0
198,95.0,5.0
199,98.0,2.0
200,97.0,3.0
201,95.0,5.0
202,96.0,4.0
203,93.0,7.0
204,93.0,7.0
205,97.0,3.0
206,94.0,6.0
207,98.0,2.0
208,49.0,51.0
209,3.0,97.0
210,96.0,4.0
211,94.0,6.0
212,95.0,5.0
213,2.0,98.0
214,20.0,80.0
215,98.0,2.0
216,3.0,97.0
217,93.0,7.0
218,4.0,96.0
219,6.0,94.0
220,69.0,31.0
221,97.0,3.0
222,97.0,3.0
223,99.0,1.0
224,95.0,5.0
225,4.0,96.0
226,98.0,2.0
227,90.0,10.0
228,98.0,2.0
229,97.0,3.0
230,96.0,4.0
231,91.0,9.0
232,95.0,5.0
233,97.0,3.0
234,98.0,2.0
235,93.0,7.0
236,95.0,5.0
237,91.0,9.0
238,1.0,99.0
239,96.0,4.0
240,98.0,2.0
241,99.0,1.0
242,4.0,96.0
243,99.0,1.0
244,98.0,2.0
245,96.0,4.0
246,96.0,4.0
247,89.0,11.0
248,97.0,3.0
249,88.0,12.0
250,2.0,98.0
251,92.0,8.0
252,94.0,6.0
253,97.0,3.0
254,75.0,25.0
255,99.0,1.0
256,97.0,3.0
257,94.0,6.0
258,98.0,2.0
259,92.0,8.0
260,83.0,17.0
261,96.0,4.0
262,94.0,6.0
263,95.0,5.0
264,92.0,8.0
265,98.0,2.0
266,89.0,11.0
267,98.0,2.0
268,97.0,3.0
269,81.0,19.0
270,3.0,97.0
271,99.0,1.0
272,98.0,2.0
273,99.0,1.0
274,96.0,4.0
275,96.0,4.0
276,97.0,3.0
277,53.0,47.0
278,5.0,95.0
279,96.0,4.0
280,88.0,12.0
281,82.0,18.0
282,96.0,4.0
283,90.0,10.0
284,99.0,1.0
285,97.0,3.0
286,97.0,3.0
287,96.0,4.0
288,99.0,1.0
289,97.0,3.0
290,97.0,3.0
291,95.0,5.0
292,97.0,3.0
293,96.0,4.0
294,3.0,97.0
295,4.0,96.0
296,99.0,1.0
297,99.0,1.0
298,88.0,12.0
299,96.0,4.0
300,95.0,5.0
301,80.0,20.0
302,96.0,4.0
303,96.0,4.0
304,10.0,90.0
305,94.0,6.0
306,99.0,1.0
307,91.0,9.0
308,96.0,4.0
309,95.0,5.0
310,97.0,3.0
311,98.0,2.0
312,97.0,3.0
313,90.0,10.0
314,68.0,32.0
315,95.0,5.0
316,4.0,96.0
317,97.0,3.0
318,95.0,5.0
319,91.0,9.0
320,5.0,95.0
321,4.0,96.0
322,98.0,2.0
323,97.0,3.0
324,94.0,6.0
325,95.0,5.0
326,97.0,3.0
327,96.0,4.0
328,56.0,44.0
329,95.0,5.0
330,96.0,4.0
331,97.0,3.0
332,16.0,84.0
333,93.0,7.0
334,92.0,8.0
335,96.0,4.0
336,96.0,4.0
337,93.0,7.0
338,94.0,6.0
339,96.0,4.0
340,6.0,94.0
341,97.0,3.0
342,98.0,2.0
343,93.0,7.0
344,96.0,4.0
345,99.0,1.0
346,2.0,98.0
347,97.0,3.0
348,2.0,98.0
349,3.0,97.0
350,97.0,3.0
351,94.0,6.0
352,95.0,5.0
353,93.0,7.0
354,97.0,3.0
355,96.0,4.0
356,90.0,10.0
357,96.0,4.0
358,88.0,12.0
359,92.0,8.0
360,96.0,4.0
361,99.0,1.0
362,2.0,98.0
363,97.0,3.0
364,97.0,3.0
365,96.0,4.0
366,95.0,5.0
367,82.0,18.0
368,96.0,4.0
369,4.0,96.0
370,95.0,5.0
371,95.0,5.0
372,97.0,3.0
373,95.0,5.0
374,98.0,2.0
375,85.0,15.0
376,97.0,3.0
377,94.0,6.0
378,98.0,2.0
379,29.0,71.0
380,2.0,98.0
381,91.0,9.0
382,99.0,1.0
383,96.0,4.0
384,97.0,3.0
385,97.0,3.0
386,99.0,1.0
387,98.0,2.0
388,93.0,7.0
389,5.0,95.0
390,93.0,7.0
391,83.0,17.0
392,13.0,87.0
393,98.0,2.0
394,98.0,2.0
395,78.0,22.0
396,12.0,88.0
397,98.0,2.0
398,97.0,3.0
399,5.0,95.0
400,95.0,5.0
401,96.0,4.0
402,24.0,76.0
403,96.0,4.0
404,96.0,4.0
405,3.0,97.0
406,97.0,3.0
407,10.0,90.0
408,93.0,7.0
409,97.0,3.0
410,98.0,2.0
411,94.0,6.0
412,95.0,5.0
413,90.0,10.0
414,92.0,8.0
415,78.0,22.0
416,83.0,17.0
417,96.0,4.0
418,97.0,3.0
419,82.0,18.0
420,6.0,94.0
421,95.0,5.0
422,94.0,6.0
423,97.0,3.0
424,97.0,3.0
425,97.0,3.0
426,97.0,3.0
427,95.0,5.0
428,96.0,4.0
429,93.0,7.0
430,99.0,1.0
431,92.0,8.0
432,98.0,2.0
433,89.0,11.0
434,95.0,5.0
435,2.0,98.0
436,52.0,48.0
437,92.0,8.0
438,97.0,3.0
439,93.0,7.0
440,93.0,7.0
441,95.0,5.0
442,98.0,2.0
443,96.0,4.0
444,93.0,7.0
445,97.0,3.0
446,96.0,4.0
447,91.0,9.0
448,95.0,5.0
449,94.0,6.0
450,94.0,6.0
451,96.0,4.0
452,96.0,4.0
453,97.0,3.0
454,90.0,10.0
455,95.0,5.0
456,96.0,4.0
457,92.0,8.0
458,47.0,53.0
459,97.0,3.0
460,91.0,9.0
461,96.0,4.0
462,97.0,3.0
463,96.0,4.0
464,4.0,96.0
465,98.0,2.0
466,3.0,97.0
467,98.0,2.0
468,98.0,2.0
469,96.0,4.0
470,1.0,99.0
471,92.0,8.0
472,98.0,2.0
473,98.0,2.0
474,96.0,4.0
475,96.0,4.0
476,97.0,3.0
477,97.0,3.0
478,6.0,94.0
479,95.0,5.0
480,92.0,8.0
481,98.0,2.0
482,96.0,4.0
483,98.0,2.0
484,96.0,4.0
485,97.0,3.0
486,96.0,4.0
487,1.0,99.0
488,98.0,2.0
