,0,1
0,99.0,1.0
1,88.0,12.0
2,96.0,4.0
3,99.0,1.0
4,1.0,99.0
5,99.0,1.0
6,93.0,7.0
7,95.0,5.0
8,97.0,3.0
9,83.0,17.0
10,3.0,97.0
11,90.0,10.0
12,89.0,11.0
13,98.0,2.0
14,94.0,6.0
15,99.0,1.0
16,68.0,32.0
17,97.0,3.0
18,9.0,91.0
19,98.0,2.0
20,79.0,21.0
21,98.0,2.0
22,98.0,2.0
23,92.0,8.0
24,97.0,3.0
25,69.0,31.0
26,99.0,1.0
27,97.0,3.0
28,97.0,3.0
29,99.0,1.0
30,72.0,28.0
31,80.0,20.0
32,97.0,3.0
33,87.0,13.0
34,95.0,5.0
35,96.0,4.0
36,99.0,1.0
37,97.0,3.0
38,86.0,14.0
39,98.0,2.0
40,93.0,7.0
41,99.0,1.0
42,95.0,5.0
43,99.0,1.0
44,96.0,4.0
45,97.0,3.0
46,97.0,3.0
47,4.0,96.0
48,85.0,15.0
49,96.0,4.0
50,99.0,1.0
51,93.0,7.0
52,97.0,3.0
53,95.0,5.0
54,98.0,2.0
55,98.0,2.0
56,96.0,4.0
57,84.0,16.0
58,95.0,5.0
59,94.0,6.0
60,46.0,54.0
61,98.0,2.0
62,95.0,5.0
63,96.0,4.0
64,91.0,9.0
65,98.0,2.0
66,99.0,1.0
67,78.0,22.0
68,1.0,99.0
69,99.0,1.0
70,77.0,23.0
71,92.0,8.0
72,3.0,97.0
73,98.0,2.0
74,99.0,1.0
75,94.0,6.0
76,97.0,3.0
77,2.0,98.0
78,99.0,1.0
79,99.0,1.0
80,92.0,8.0
81,92.0,8.0
82,93.0,7.0
83,94.0,6.0
84,27.0,73.0
85,96.0,4.0
86,97.0,3.0
87,98.0,2.0
88,98.0,2.0
89,96.0,4.0
90,77.0,23.0
91,99.0,1.0
92,99.0,1.0
93,99.0,1.0
94,99.0,1.0
95,91.0,9.0
96,95.0,5.0
97,90.0,10.0
98,95.0,5.0
99,95.0,5.0
100,96.0,4.0
101,91.0,9.0
102,20.0,80.0
103,7.0,93.0
104,97.0,3.0
105,95.0,5.0
106,99.0,1.0
107,99.0,1.0
108,97.0,3.0
109,88.0,12.0
110,94.0,6.0
111,83.0,17.0
112,95.0,5.0
113,20.0,80.0
114,98.0,2.0
115,99.0,1.0
116,99.0,1.0
117,73.0,27.0
118,89.0,11.0
119,92.0,8.0
120,3.0,97.0
121,90.0,10.0
122,93.0,7.0
123,91.0,9.0
124,98.0,2.0
125,96.0,4.0
126,99.0,1.0
127,97.0,3.0
128,98.0,2.0
129,56.0,44.0
130,97.0,3.0
131,72.0,28.0
132,91.0,9.0
133,87.0,13.0
134,95.0,5.0
135,1.0,99.0
136,99.0,1.0
137,94.0,6.0
138,99.0,1.0
139,97.0,3.0
140,81.0,19.0
141,66.0,34.0
142,97.0,3.0
143,99.0,1.0
144,99.0,1.0
145,96.0,4.0
146,97.0,3.0
147,1.0,99.0
148,98.0,2.0
149,81.0,19.0
150,90.0,10.0
151,85.0,15.0
152,94.0,6.0
153,81.0,19.0
154,83.0,17.0
155,92.0,8.0
156,93.0,7.0
157,1.0,99.0
158,94.0,6.0
159,98.0,2.0
160,98.0,2.0
161,95.0,5.0
162,99.0,1.0
163,97.0,3.0
164,55.0,45.0
165,94.0,6.0
166,96.0,4.0
167,99.0,1.0
168,18.0,82.0
169,98.0,2.0
170,97.0,3.0
171,99.0,1.0
172,1.0,99.0
173,22.0,78.0
174,62.0,38.0
175,99.0,1.0
176,96.0,4.0
177,96.0,4.0
178,99.0,1.0
179,2.0,98.0
180,98.0,2.0
181,49.0,51.0
182,96.0,4.0
183,99.0,1.0
184,97.0,3.0
185,93.0,7.0
186,82.0,18.0
187,99.0,1.0
188,92.0,8.0
189,97.0,3.0
190,99.0,1.0
191,99.0,1.0
192,99.0,1.0
193,38.0,62.0
194,93.0,7.0
195,98.0,2.0
196,97.0,3.0
197,81.0,19.0
198,96.0,4.0
199,96.0,4.0
