,0,1
0,97.0,3.0
1,99.0,1.0
2,99.0,1.0
3,96.0,4.0
4,96.0,4.0
5,95.0,5.0
6,99.0,1.0
7,92.0,8.0
8,2.0,98.0
9,4.0,96.0
10,99.0,1.0
11,97.0,3.0
12,97.0,3.0
13,96.0,4.0
14,82.0,18.0
15,99.0,1.0
16,95.0,5.0
17,98.0,2.0
18,1.0,99.0
19,87.0,13.0
20,98.0,2.0
21,98.0,2.0
22,95.0,5.0
23,96.0,4.0
24,98.0,2.0
25,98.0,2.0
26,99.0,1.0
27,2.0,98.0
28,98.0,2.0
29,99.0,1.0
30,99.0,1.0
31,94.0,6.0
32,88.0,12.0
33,97.0,3.0
34,99.0,1.0
35,98.0,2.0
36,85.0,15.0
37,96.0,4.0
38,5.0,95.0
39,97.0,3.0
40,96.0,4.0
41,99.0,1.0
42,95.0,5.0
43,1.0,99.0
44,89.0,11.0
45,98.0,2.0
46,99.0,1.0
47,97.0,3.0
48,1.0,99.0
49,97.0,3.0
50,99.0,1.0
51,99.0,1.0
52,1.0,99.0
53,99.0,1.0
54,93.0,7.0
55,2.0,98.0
56,94.0,6.0
57,1.0,99.0
58,1.0,99.0
59,98.0,2.0
60,97.0,3.0
61,97.0,3.0
62,99.0,1.0
63,2.0,98.0
64,95.0,5.0
65,98.0,2.0
66,99.0,1.0
67,92.0,8.0
68,87.0,13.0
69,92.0,8.0
70,99.0,1.0
71,98.0,2.0
72,30.0,70.0
73,94.0,6.0
74,72.0,28.0
75,70.0,30.0
76,1.0,99.0
77,1.0,99.0
78,96.0,4.0
79,96.0,4.0
80,97.0,3.0
81,99.0,1.0
82,99.0,1.0
83,1.0,99.0
84,1.0,99.0
85,81.0,19.0
86,5.0,95.0
87,99.0,1.0
88,96.0,4.0
89,21.0,79.0
90,97.0,3.0
91,95.0,5.0
92,99.0,1.0
93,80.0,20.0
94,99.0,1.0
95,16.0,84.0
96,96.0,4.0
97,96.0,4.0
98,13.0,87.0
99,99.0,1.0
100,96.0,4.0
101,1.0,99.0
102,89.0,11.0
103,97.0,3.0
104,99.0,1.0
105,92.0,8.0
106,99.0,1.0
107,97.0,3.0
108,2.0,98.0
109,98.0,2.0
110,99.0,1.0
111,97.0,3.0
112,98.0,2.0
113,99.0,1.0
114,98.0,2.0
115,94.0,6.0
116,98.0,2.0
117,99.0,1.0
118,99.0,1.0
119,93.0,7.0
120,4.0,96.0
121,2.0,98.0
122,88.0,12.0
123,97.0,3.0
124,1.0,99.0
125,94.0,6.0
126,94.0,6.0
127,99.0,1.0
128,2.0,98.0
129,99.0,1.0
130,9.0,91.0
131,96.0,4.0
132,94.0,6.0
133,98.0,2.0
134,99.0,1.0
135,99.0,1.0
136,99.0,1.0
137,97.0,3.0
138,97.0,3.0
139,97.0,3.0
140,4.0,96.0
141,91.0,9.0
142,2.0,98.0
143,91.0,9.0
144,89.0,11.0
145,99.0,1.0
146,99.0,1.0
147,2.0,98.0
148,90.0,10.0
149,96.0,4.0
150,98.0,2.0
151,99.0,1.0
152,10.0,90.0
153,98.0,2.0
154,92.0,8.0
155,98.0,2.0
156,89.0,11.0
157,86.0,14.0
158,91.0,9.0
159,97.0,3.0
160,98.0,2.0
161,97.0,3.0
162,98.0,2.0
163,77.0,23.0
164,20.0,80.0
165,99.0,1.0
166,99.0,1.0
167,99.0,1.0
168,84.0,16.0
169,42.0,58.0
170,99.0,1.0
171,98.0,2.0
172,93.0,7.0
173,97.0,3.0
174,98.0,2.0
175,93.0,7.0
176,95.0,5.0
177,97.0,3.0
178,68.0,32.0
179,96.0,4.0
180,97.0,3.0
181,98.0,2.0
182,97.0,3.0
183,93.0,7.0
184,29.0,71.0
185,97.0,3.0
186,61.0,39.0
187,93.0,7.0
188,96.0,4.0
189,92.0,8.0
190,99.0,1.0
191,89.0,11.0
192,99.0,1.0
193,99.0,1.0
194,90.0,10.0
195,93.0,7.0
196,99.0,1.0
197,98.0,2.0
198,98.0,2.0
199,97.0,3.0
200,97.0,3.0
201,3.0,97.0
202,97.0,3.0
203,99.0,1.0
204,99.0,1.0
205,90.0,10.0
206,99.0,1.0
207,96.0,4.0
208,77.0,23.0
209,93.0,7.0
210,97.0,3.0
211,99.0,1.0
212,99.0,1.0
213,95.0,5.0
214,97.0,3.0
215,36.0,64.0
216,98.0,2.0
217,96.0,4.0
218,96.0,4.0
219,91.0,9.0
220,99.0,1.0
221,1.0,99.0
222,99.0,1.0
223,95.0,5.0
224,98.0,2.0
225,95.0,5.0
226,1.0,99.0
227,97.0,3.0
228,99.0,1.0
229,96.0,4.0
230,99.0,1.0
231,99.0,1.0
232,79.0,21.0
233,96.0,4.0
234,98.0,2.0
235,97.0,3.0
236,95.0,5.0
237,98.0,2.0
238,3.0,97.0
239,87.0,13.0
240,97.0,3.0
241,98.0,2.0
242,98.0,2.0
243,88.0,12.0
244,90.0,10.0
245,94.0,6.0
246,93.0,7.0
247,98.0,2.0
248,86.0,14.0
249,93.0,7.0
250,1.0,99.0
251,91.0,9.0
252,95.0,5.0
253,97.0,3.0
254,96.0,4.0
255,1.0,99.0
256,97.0,3.0
257,95.0,5.0
258,54.0,46.0
259,99.0,1.0
260,99.0,1.0
261,58.0,42.0
262,99.0,1.0
263,69.0,31.0
264,90.0,10.0
265,98.0,2.0
266,64.0,36.0
267,60.0,40.0
268,96.0,4.0
269,92.0,8.0
270,98.0,2.0
271,89.0,11.0
272,97.0,3.0
273,99.0,1.0
274,98.0,2.0
275,95.0,5.0
276,98.0,2.0
277,3.0,97.0
278,70.0,30.0
279,98.0,2.0
280,2.0,98.0
281,99.0,1.0
282,9.0,91.0
283,96.0,4.0
284,55.0,45.0
285,99.0,1.0
286,7.0,93.0
287,95.0,5.0
288,99.0,1.0
289,98.0,2.0
290,99.0,1.0
291,93.0,7.0
292,3.0,97.0
293,95.0,5.0
294,94.0,6.0
295,79.0,21.0
