,0,1,2,3,4
0,79.0,6.0,4.0,7.0,4.0
1,7.0,78.0,5.0,5.0,5.0
2,40.0,42.0,3.0,10.0,5.0
3,81.0,5.0,7.0,3.0,4.0
4,2.0,6.0,5.0,75.0,12.0
5,82.0,6.0,4.0,4.0,4.0
6,82.0,2.0,4.0,7.0,5.0
7,83.0,4.0,7.0,3.0,3.0
8,74.0,4.0,8.0,9.0,5.0
9,70.0,14.0,10.0,2.0,4.0
10,85.0,3.0,3.0,7.0,2.0
11,64.0,14.0,2.0,18.0,2.0
12,3.0,87.0,4.0,3.0,3.0
13,84.0,6.0,5.0,2.0,3.0
14,84.0,4.0,4.0,2.0,6.0
15,24.0,56.0,2.0,14.0,4.0
16,84.0,5.0,5.0,3.0,3.0
17,75.0,6.0,9.0,4.0,6.0
18,85.0,5.0,4.0,1.0,5.0
19,66.0,24.0,6.0,3.0,1.0
20,68.0,5.0,5.0,8.0,14.0
21,81.0,6.0,2.0,7.0,4.0
22,14.0,49.0,11.0,14.0,12.0
23,33.0,37.0,5.0,21.0,4.0
24,84.0,7.0,2.0,3.0,4.0
25,65.0,4.0,5.0,5.0,21.0
26,2.0,80.0,2.0,13.0,3.0
27,72.0,6.0,8.0,5.0,9.0
28,83.0,2.0,5.0,4.0,6.0
29,68.0,3.0,3.0,17.0,9.0
30,4.0,57.0,17.0,2.0,20.0
31,1.0,1.0,3.0,90.0,5.0
32,76.0,8.0,7.0,5.0,4.0
33,83.0,2.0,6.0,8.0,1.0
34,74.0,5.0,7.0,9.0,5.0
35,81.0,3.0,5.0,2.0,9.0
36,4.0,6.0,6.0,76.0,8.0
37,79.0,6.0,4.0,6.0,5.0
38,85.0,5.0,2.0,4.0,4.0
39,4.0,6.0,6.0,74.0,10.0
40,72.0,6.0,3.0,9.0,10.0
41,5.0,78.0,9.0,3.0,5.0
42,33.0,21.0,7.0,14.0,25.0
43,82.0,3.0,4.0,4.0,7.0
44,76.0,3.0,13.0,5.0,3.0
45,79.0,11.0,3.0,2.0,5.0
46,4.0,77.0,2.0,10.0,7.0
47,83.0,2.0,5.0,7.0,3.0
48,77.0,4.0,7.0,10.0,2.0
49,77.0,11.0,3.0,4.0,5.0
50,86.0,4.0,3.0,5.0,2.0
51,51.0,8.0,23.0,14.0,4.0
52,81.0,5.0,5.0,4.0,5.0
53,73.0,7.0,4.0,11.0,5.0
54,37.0,54.0,4.0,3.0,2.0
55,8.0,84.0,2.0,3.0,3.0
56,85.0,5.0,3.0,2.0,5.0
57,81.0,6.0,4.0,4.0,5.0
58,76.0,2.0,7.0,6.0,9.0
59,46.0,23.0,20.0,6.0,5.0
60,2.0,83.0,8.0,5.0,2.0
61,74.0,10.0,4.0,5.0,7.0
62,5.0,5.0,7.0,76.0,7.0
63,62.0,13.0,3.0,18.0,4.0
64,1.0,9.0,67.0,15.0,8.0
65,79.0,6.0,7.0,5.0,3.0
66,3.0,6.0,6.0,81.0,4.0
67,81.0,4.0,9.0,3.0,3.0
68,79.0,2.0,11.0,6.0,2.0
69,3.0,83.0,5.0,5.0,4.0
70,83.0,4.0,8.0,2.0,3.0
71,2.0,62.0,28.0,6.0,2.0
72,4.0,71.0,7.0,5.0,13.0
73,7.0,74.0,5.0,3.0,11.0
74,70.0,11.0,4.0,12.0,3.0
75,3.0,57.0,4.0,30.0,6.0
76,77.0,12.0,4.0,3.0,4.0
77,82.0,6.0,7.0,3.0,2.0
78,80.0,10.0,3.0,6.0,1.0
79,85.0,7.0,3.0,4.0,1.0
80,86.0,3.0,4.0,3.0,4.0
81,7.0,72.0,12.0,4.0,5.0
82,77.0,3.0,13.0,3.0,4.0
83,50.0,3.0,6.0,3.0,38.0
84,87.0,5.0,5.0,1.0,2.0
85,79.0,5.0,4.0,3.0,9.0
86,83.0,4.0,4.0,4.0,5.0
87,5.0,80.0,7.0,2.0,6.0
88,76.0,5.0,8.0,5.0,6.0
89,75.0,12.0,9.0,3.0,1.0
90,78.0,9.0,2.0,3.0,8.0
91,87.0,1.0,4.0,4.0,4.0
92,85.0,4.0,4.0,3.0,4.0
93,4.0,82.0,3.0,6.0,5.0
94,4.0,78.0,10.0,5.0,3.0
95,11.0,65.0,13.0,6.0,5.0
96,80.0,12.0,2.0,2.0,4.0
97,5.0,43.0,9.0,3.0,40.0
98,85.0,4.0,1.0,7.0,3.0
99,83.0,4.0,6.0,5.0,2.0
100,79.0,7.0,5.0,4.0,5.0
101,10.0,75.0,7.0,6.0,2.0
102,86.0,2.0,4.0,6.0,2.0
103,78.0,7.0,5.0,5.0,5.0
104,78.0,7.0,3.0,6.0,6.0
105,66.0,4.0,6.0,3.0,21.0
106,87.0,4.0,1.0,4.0,4.0
107,72.0,12.0,4.0,6.0,6.0
108,66.0,5.0,13.0,3.0,13.0
109,82.0,4.0,4.0,7.0,3.0
110,68.0,21.0,4.0,4.0,3.0
111,9.0,4.0,81.0,2.0,4.0
112,78.0,12.0,3.0,5.0,2.0
113,86.0,2.0,5.0,2.0,5.0
114,53.0,6.0,1.0,14.0,26.0
115,78.0,5.0,6.0,6.0,5.0
116,83.0,3.0,5.0,4.0,5.0
117,85.0,4.0,4.0,4.0,3.0
118,75.0,12.0,7.0,1.0,5.0
119,77.0,8.0,6.0,5.0,4.0
120,88.0,5.0,3.0,3.0,1.0
121,86.0,4.0,3.0,4.0,3.0
122,68.0,5.0,3.0,8.0,16.0
