,0,1,2,3,4
0,77.0,3.0,7.0,5.0,8.0
1,6.0,40.0,3.0,43.0,8.0
2,68.0,22.0,5.0,3.0,2.0
3,70.0,20.0,2.0,3.0,5.0
4,4.0,12.0,15.0,66.0,3.0
5,69.0,12.0,8.0,5.0,6.0
6,81.0,4.0,4.0,5.0,6.0
7,83.0,4.0,3.0,5.0,5.0
8,81.0,9.0,4.0,3.0,3.0
9,82.0,5.0,5.0,4.0,4.0
10,10.0,75.0,4.0,4.0,7.0
11,79.0,6.0,4.0,4.0,7.0
12,4.0,86.0,4.0,3.0,3.0
13,49.0,11.0,23.0,3.0,14.0
14,68.0,11.0,7.0,5.0,9.0
15,4.0,68.0,18.0,4.0,6.0
16,74.0,9.0,5.0,8.0,4.0
17,52.0,5.0,5.0,32.0,6.0
18,40.0,45.0,6.0,4.0,5.0
19,2.0,75.0,10.0,10.0,3.0
20,6.0,79.0,4.0,5.0,6.0
21,71.0,6.0,12.0,6.0,5.0
22,5.0,79.0,8.0,1.0,7.0
23,4.0,82.0,6.0,3.0,5.0
24,70.0,18.0,3.0,3.0,6.0
25,6.0,13.0,21.0,25.0,35.0
26,48.0,5.0,37.0,7.0,3.0
27,3.0,86.0,4.0,4.0,3.0
28,64.0,13.0,13.0,4.0,6.0
29,65.0,9.0,13.0,8.0,5.0
30,63.0,11.0,4.0,18.0,4.0
31,47.0,29.0,15.0,4.0,5.0
32,75.0,5.0,4.0,8.0,8.0
33,89.0,3.0,4.0,1.0,3.0
34,79.0,7.0,6.0,3.0,5.0
35,82.0,4.0,3.0,4.0,7.0
36,3.0,63.0,22.0,4.0,8.0
37,78.0,6.0,5.0,8.0,3.0
38,69.0,8.0,17.0,2.0,4.0
39,71.0,11.0,7.0,3.0,8.0
40,78.0,10.0,4.0,4.0,4.0
41,86.0,7.0,2.0,3.0,2.0
42,13.0,4.0,4.0,65.0,14.0
43,42.0,43.0,5.0,6.0,4.0
44,86.0,4.0,3.0,3.0,4.0
45,65.0,20.0,5.0,3.0,7.0
46,67.0,14.0,4.0,7.0,8.0
47,78.0,2.0,6.0,10.0,4.0
48,70.0,5.0,5.0,16.0,4.0
49,84.0,5.0,5.0,3.0,3.0
50,82.0,6.0,4.0,6.0,2.0
51,78.0,4.0,11.0,5.0,2.0
52,77.0,5.0,5.0,5.0,8.0
53,3.0,2.0,76.0,10.0,9.0
54,77.0,6.0,7.0,7.0,3.0
55,78.0,6.0,4.0,8.0,4.0
56,72.0,8.0,12.0,3.0,5.0
57,81.0,3.0,2.0,6.0,8.0
58,73.0,11.0,5.0,3.0,8.0
59,84.0,3.0,3.0,6.0,4.0
60,83.0,6.0,4.0,2.0,5.0
61,4.0,69.0,6.0,15.0,6.0
62,81.0,4.0,5.0,3.0,7.0
63,82.0,7.0,3.0,5.0,3.0
64,5.0,80.0,8.0,4.0,3.0
65,4.0,69.0,8.0,9.0,10.0
66,14.0,72.0,5.0,4.0,5.0
67,71.0,3.0,17.0,4.0,5.0
68,79.0,5.0,7.0,3.0,6.0
69,85.0,3.0,4.0,3.0,5.0
70,64.0,6.0,23.0,3.0,4.0
71,81.0,6.0,5.0,4.0,4.0
72,7.0,83.0,4.0,2.0,4.0
73,6.0,4.0,78.0,3.0,9.0
74,69.0,10.0,9.0,5.0,7.0
75,74.0,6.0,8.0,8.0,4.0
76,2.0,42.0,1.0,44.0,11.0
77,33.0,32.0,4.0,26.0,5.0
78,4.0,7.0,78.0,5.0,6.0
79,81.0,4.0,7.0,4.0,4.0
80,77.0,9.0,4.0,4.0,6.0
81,64.0,5.0,17.0,11.0,3.0
82,69.0,7.0,3.0,19.0,2.0
83,51.0,3.0,35.0,7.0,4.0
84,76.0,11.0,5.0,3.0,5.0
85,76.0,6.0,6.0,7.0,5.0
86,79.0,7.0,7.0,6.0,1.0
87,81.0,4.0,3.0,8.0,4.0
88,84.0,2.0,3.0,9.0,2.0
89,2.0,1.0,87.0,7.0,3.0
90,69.0,17.0,6.0,4.0,4.0
91,7.0,15.0,63.0,5.0,10.0
92,64.0,6.0,10.0,11.0,9.0
93,47.0,38.0,4.0,5.0,6.0
94,76.0,8.0,3.0,8.0,5.0
95,5.0,78.0,3.0,6.0,8.0
96,84.0,3.0,3.0,4.0,6.0
97,5.0,38.0,33.0,6.0,18.0
98,4.0,3.0,79.0,7.0,7.0
99,72.0,9.0,8.0,8.0,3.0
100,79.0,3.0,3.0,8.0,7.0
101,4.0,56.0,11.0,25.0,4.0
102,85.0,1.0,3.0,4.0,7.0
103,82.0,5.0,6.0,5.0,2.0
104,78.0,5.0,6.0,5.0,6.0
105,71.0,19.0,5.0,2.0,3.0
106,78.0,5.0,7.0,7.0,3.0
107,81.0,6.0,3.0,4.0,6.0
108,65.0,8.0,17.0,5.0,5.0
109,64.0,17.0,7.0,5.0,7.0
110,75.0,3.0,8.0,7.0,7.0
111,8.0,75.0,6.0,8.0,3.0
112,84.0,3.0,6.0,5.0,2.0
113,82.0,3.0,4.0,7.0,4.0
114,80.0,10.0,2.0,4.0,4.0
115,74.0,5.0,8.0,9.0,4.0
116,2.0,6.0,4.0,82.0,6.0
117,30.0,33.0,29.0,2.0,6.0
118,6.0,76.0,10.0,7.0,1.0
119,78.0,8.0,6.0,4.0,4.0
120,67.0,10.0,10.0,5.0,8.0
121,4.0,10.0,71.0,10.0,5.0
122,30.0,64.0,1.0,3.0,2.0
123,83.0,4.0,4.0,4.0,5.0
124,6.0,8.0,45.0,34.0,7.0
125,80.0,1.0,9.0,4.0,6.0
126,4.0,79.0,5.0,3.0,9.0
127,4.0,83.0,4.0,5.0,4.0
128,80.0,3.0,6.0,4.0,7.0
129,75.0,6.0,13.0,3.0,3.0
130,77.0,4.0,6.0,8.0,5.0
131,5.0,79.0,5.0,7.0,4.0
132,84.0,6.0,4.0,5.0,1.0
133,73.0,7.0,14.0,2.0,4.0
134,6.0,78.0,10.0,2.0,4.0
135,73.0,6.0,2.0,16.0,3.0
136,79.0,7.0,7.0,3.0,4.0
137,72.0,12.0,1.0,9.0,6.0
138,70.0,15.0,8.0,2.0,5.0
139,7.0,82.0,6.0,3.0,2.0
140,5.0,82.0,8.0,2.0,3.0
141,6.0,7.0,78.0,3.0,6.0
142,77.0,12.0,1.0,7.0,3.0
143,75.0,4.0,8.0,7.0,6.0
144,3.0,77.0,6.0,8.0,6.0
145,8.0,69.0,10.0,4.0,9.0
146,80.0,3.0,5.0,5.0,7.0
147,79.0,3.0,4.0,9.0,5.0
148,72.0,4.0,7.0,5.0,12.0
149,9.0,77.0,5.0,4.0,5.0
150,86.0,2.0,2.0,7.0,3.0
151,81.0,4.0,7.0,5.0,3.0
152,73.0,5.0,3.0,6.0,13.0
153,77.0,5.0,3.0,8.0,7.0
154,10.0,72.0,6.0,5.0,7.0
155,8.0,83.0,3.0,4.0,2.0
156,67.0,5.0,18.0,6.0,4.0
157,86.0,5.0,4.0,1.0,4.0
158,25.0,37.0,26.0,7.0,5.0
159,82.0,4.0,5.0,4.0,5.0
160,79.0,5.0,3.0,10.0,3.0
161,74.0,3.0,11.0,7.0,5.0
162,82.0,7.0,3.0,4.0,4.0
163,55.0,3.0,1.0,2.0,39.0
164,84.0,3.0,6.0,4.0,3.0
165,69.0,3.0,13.0,9.0,6.0
166,77.0,4.0,7.0,9.0,3.0
167,60.0,27.0,4.0,6.0,3.0
168,82.0,6.0,5.0,2.0,5.0
169,5.0,4.0,64.0,20.0,7.0
170,70.0,6.0,9.0,8.0,7.0
171,80.0,5.0,4.0,5.0,6.0
172,48.0,3.0,19.0,23.0,7.0
173,76.0,12.0,3.0,5.0,4.0
174,3.0,85.0,2.0,7.0,3.0
175,76.0,11.0,2.0,7.0,4.0
176,39.0,41.0,10.0,4.0,6.0
177,6.0,80.0,2.0,5.0,7.0
178,80.0,6.0,4.0,5.0,5.0
179,76.0,9.0,6.0,5.0,4.0
180,45.0,41.0,8.0,3.0,3.0
181,44.0,23.0,5.0,22.0,6.0
182,74.0,14.0,2.0,4.0,6.0
183,76.0,5.0,8.0,6.0,5.0
184,79.0,4.0,10.0,2.0,5.0
185,8.0,75.0,5.0,7.0,5.0
186,81.0,5.0,3.0,6.0,5.0
187,59.0,25.0,7.0,6.0,3.0
188,73.0,7.0,7.0,8.0,5.0
189,6.0,38.0,23.0,6.0,27.0
190,86.0,5.0,3.0,3.0,3.0
191,82.0,9.0,3.0,2.0,4.0
192,6.0,79.0,8.0,3.0,4.0
193,6.0,77.0,7.0,4.0,6.0
194,81.0,5.0,5.0,5.0,4.0
195,82.0,3.0,8.0,5.0,2.0
196,61.0,6.0,6.0,3.0,24.0
197,25.0,59.0,3.0,10.0,3.0
198,78.0,13.0,1.0,6.0,2.0
199,4.0,81.0,4.0,6.0,5.0
200,7.0,79.0,6.0,6.0,2.0
201,77.0,5.0,12.0,3.0,3.0
202,4.0,9.0,76.0,7.0,4.0
203,77.0,2.0,4.0,8.0,9.0
204,77.0,2.0,3.0,13.0,5.0
205,82.0,2.0,3.0,6.0,7.0
206,69.0,5.0,6.0,18.0,2.0
207,81.0,3.0,6.0,8.0,2.0
208,81.0,7.0,3.0,5.0,4.0
209,17.0,65.0,5.0,8.0,5.0
210,79.0,1.0,5.0,5.0,10.0
211,61.0,2.0,19.0,12.0,6.0
212,73.0,11.0,4.0,8.0,4.0
213,83.0,4.0,3.0,4.0,6.0
214,79.0,2.0,7.0,4.0,8.0
215,52.0,36.0,4.0,4.0,4.0
216,85.0,3.0,4.0,4.0,4.0
217,82.0,5.0,7.0,5.0,1.0
218,69.0,13.0,8.0,4.0,6.0
219,64.0,12.0,4.0,11.0,9.0
220,3.0,7.0,2.0,70.0,18.0
221,75.0,3.0,11.0,6.0,5.0
222,37.0,31.0,5.0,23.0,4.0
223,7.0,76.0,7.0,6.0,4.0
224,69.0,18.0,2.0,4.0,7.0
225,75.0,4.0,8.0,7.0,6.0
226,3.0,76.0,3.0,9.0,9.0
227,78.0,8.0,3.0,7.0,4.0
228,88.0,2.0,4.0,4.0,2.0
229,83.0,5.0,3.0,4.0,5.0
230,77.0,6.0,3.0,4.0,10.0
231,66.0,23.0,2.0,6.0,3.0
232,59.0,18.0,4.0,12.0,7.0
233,76.0,1.0,2.0,13.0,8.0
234,78.0,4.0,9.0,3.0,6.0
235,81.0,6.0,3.0,4.0,6.0
236,6.0,81.0,4.0,4.0,5.0
237,75.0,7.0,5.0,5.0,8.0
238,77.0,7.0,6.0,3.0,7.0
239,69.0,15.0,6.0,6.0,4.0
240,81.0,4.0,6.0,2.0,7.0
241,17.0,69.0,6.0,4.0,4.0
242,88.0,3.0,4.0,3.0,2.0
243,3.0,64.0,14.0,12.0,7.0
244,79.0,5.0,4.0,6.0,6.0
245,9.0,77.0,7.0,4.0,3.0
246,64.0,20.0,5.0,7.0,4.0
247,80.0,7.0,3.0,3.0,7.0
248,6.0,78.0,6.0,4.0,6.0
249,63.0,16.0,5.0,11.0,5.0
250,3.0,82.0,4.0,4.0,7.0
251,4.0,72.0,6.0,5.0,13.0
252,84.0,3.0,5.0,6.0,2.0
253,61.0,6.0,6.0,6.0,21.0
254,80.0,3.0,5.0,9.0,3.0
255,85.0,5.0,5.0,3.0,2.0
256,78.0,9.0,2.0,7.0,4.0
257,69.0,6.0,11.0,9.0,5.0
258,75.0,6.0,6.0,11.0,2.0
259,79.0,6.0,9.0,2.0,4.0
260,73.0,7.0,9.0,6.0,5.0
261,15.0,71.0,3.0,5.0,6.0
262,50.0,27.0,11.0,8.0,4.0
263,83.0,3.0,5.0,5.0,4.0
264,5.0,82.0,4.0,3.0,6.0
265,6.0,4.0,79.0,5.0,6.0
266,52.0,5.0,15.0,24.0,4.0
267,81.0,8.0,6.0,4.0,1.0
268,5.0,4.0,80.0,9.0,2.0
269,68.0,16.0,3.0,7.0,6.0
270,29.0,54.0,6.0,8.0,3.0
271,75.0,9.0,6.0,5.0,5.0
272,83.0,3.0,6.0,4.0,4.0
273,76.0,7.0,7.0,5.0,5.0
274,83.0,3.0,6.0,3.0,5.0
275,10.0,75.0,8.0,3.0,4.0
276,74.0,6.0,6.0,8.0,6.0
277,7.0,77.0,3.0,10.0,3.0
278,65.0,20.0,2.0,9.0,4.0
279,76.0,13.0,4.0,5.0,2.0
280,69.0,11.0,7.0,6.0,7.0
281,18.0,61.0,10.0,4.0,7.0
282,82.0,5.0,5.0,4.0,4.0
283,6.0,83.0,4.0,3.0,4.0
284,76.0,2.0,6.0,5.0,11.0
285,87.0,4.0,4.0,3.0,2.0
286,81.0,3.0,5.0,5.0,6.0
287,15.0,71.0,7.0,2.0,5.0
288,86.0,6.0,4.0,1.0,3.0
289,16.0,75.0,3.0,4.0,2.0
290,11.0,66.0,6.0,13.0,4.0
291,76.0,9.0,4.0,5.0,6.0
292,6.0,79.0,3.0,5.0,7.0
293,80.0,5.0,3.0,7.0,5.0
294,62.0,24.0,8.0,5.0,1.0
295,76.0,14.0,5.0,1.0,4.0
296,65.0,8.0,11.0,10.0,6.0
297,60.0,20.0,8.0,7.0,5.0
298,4.0,83.0,5.0,5.0,3.0
299,43.0,41.0,7.0,1.0,8.0
300,56.0,7.0,11.0,22.0,4.0
301,5.0,85.0,4.0,4.0,2.0
302,86.0,3.0,5.0,5.0,1.0
303,81.0,1.0,7.0,5.0,6.0
304,49.0,7.0,34.0,4.0,6.0
305,67.0,4.0,8.0,20.0,1.0
306,80.0,5.0,6.0,6.0,3.0
307,6.0,71.0,12.0,3.0,8.0
308,71.0,7.0,3.0,15.0,4.0
309,18.0,67.0,7.0,4.0,4.0
310,10.0,76.0,2.0,5.0,7.0
311,3.0,77.0,5.0,5.0,10.0
312,56.0,7.0,23.0,9.0,5.0
313,2.0,3.0,84.0,5.0,6.0
314,42.0,42.0,6.0,6.0,4.0
315,72.0,3.0,11.0,7.0,7.0
316,7.0,20.0,56.0,13.0,4.0
317,77.0,7.0,6.0,9.0,1.0
318,7.0,4.0,58.0,8.0,23.0
319,4.0,7.0,2.0,83.0,4.0
320,2.0,45.0,45.0,2.0,6.0
321,83.0,2.0,5.0,7.0,3.0
322,83.0,7.0,1.0,5.0,4.0
323,4.0,50.0,10.0,27.0,9.0
324,81.0,4.0,5.0,4.0,6.0
325,14.0,72.0,4.0,7.0,3.0
326,4.0,19.0,69.0,1.0,7.0
327,77.0,5.0,9.0,7.0,2.0
328,79.0,5.0,4.0,7.0,5.0
329,9.0,57.0,21.0,2.0,11.0
330,65.0,15.0,5.0,6.0,9.0
331,5.0,53.0,32.0,6.0,4.0
332,60.0,23.0,6.0,8.0,3.0
333,8.0,70.0,6.0,5.0,11.0
334,4.0,2.0,81.0,8.0,5.0
335,72.0,7.0,5.0,13.0,3.0
336,50.0,36.0,4.0,4.0,6.0
337,73.0,8.0,4.0,3.0,12.0
338,6.0,11.0,5.0,73.0,5.0
339,78.0,7.0,6.0,8.0,1.0
340,64.0,7.0,10.0,9.0,10.0
341,5.0,77.0,4.0,9.0,5.0
342,75.0,7.0,4.0,5.0,9.0
343,77.0,6.0,4.0,6.0,7.0
344,9.0,73.0,9.0,3.0,6.0
345,10.0,81.0,2.0,4.0,3.0
346,61.0,3.0,25.0,5.0,6.0
347,81.0,2.0,10.0,4.0,3.0
348,4.0,83.0,3.0,6.0,4.0
349,70.0,3.0,20.0,5.0,2.0
350,72.0,5.0,7.0,9.0,7.0
351,10.0,70.0,11.0,2.0,7.0
352,79.0,3.0,9.0,4.0,5.0
353,80.0,6.0,4.0,3.0,7.0
354,77.0,10.0,4.0,5.0,4.0
355,81.0,7.0,2.0,5.0,5.0
356,80.0,2.0,7.0,8.0,3.0
357,82.0,4.0,3.0,6.0,5.0
358,22.0,56.0,8.0,9.0,5.0
359,66.0,15.0,3.0,11.0,5.0
360,78.0,5.0,6.0,5.0,6.0
361,4.0,63.0,3.0,21.0,9.0
362,81.0,4.0,3.0,6.0,6.0
363,76.0,4.0,4.0,9.0,7.0
364,20.0,63.0,4.0,5.0,8.0
