,0,1,2,3,4
0,4.0,86.0,1.0,1.0,8.0
1,2.0,30.0,1.0,65.0,2.0
2,2.0,90.0,4.0,1.0,3.0
3,94.0,2.0,2.0,1.0,1.0
4,1.0,88.0,5.0,5.0,1.0
5,85.0,3.0,10.0,1.0,1.0
6,88.0,1.0,5.0,4.0,2.0
7,94.0,3.0,1.0,1.0,1.0
8,4.0,89.0,2.0,3.0,2.0
9,2.0,84.0,6.0,3.0,5.0
10,92.0,3.0,3.0,1.0,1.0
11,89.0,2.0,4.0,2.0,3.0
12,90.0,2.0,3.0,3.0,2.0
13,96.0,1.0,1.0,1.0,1.0
14,85.0,3.0,3.0,8.0,1.0
15,1.0,96.0,1.0,1.0,1.0
16,87.0,4.0,5.0,3.0,1.0
17,8.0,2.0,84.0,4.0,2.0
18,93.0,1.0,4.0,1.0,1.0
19,95.0,2.0,1.0,1.0,1.0
20,1.0,90.0,2.0,4.0,3.0
21,2.0,12.0,38.0,1.0,47.0
22,18.0,5.0,65.0,11.0,1.0
23,92.0,4.0,2.0,1.0,1.0
24,2.0,89.0,3.0,4.0,2.0
25,2.0,89.0,3.0,4.0,2.0
26,92.0,1.0,5.0,1.0,1.0
27,91.0,3.0,1.0,4.0,1.0
28,87.0,2.0,5.0,5.0,1.0
29,1.0,88.0,6.0,4.0,1.0
30,95.0,1.0,2.0,1.0,1.0
31,3.0,44.0,6.0,45.0,2.0
32,94.0,2.0,2.0,1.0,1.0
33,86.0,5.0,6.0,1.0,2.0
34,71.0,19.0,1.0,4.0,5.0
35,84.0,1.0,10.0,3.0,2.0
36,2.0,10.0,1.0,1.0,86.0
37,29.0,3.0,44.0,2.0,22.0
38,92.0,1.0,2.0,4.0,1.0
39,83.0,10.0,2.0,4.0,1.0
40,91.0,2.0,4.0,2.0,1.0
41,2.0,90.0,6.0,1.0,1.0
42,89.0,6.0,2.0,1.0,2.0
43,4.0,44.0,50.0,1.0,1.0
44,94.0,2.0,1.0,2.0,1.0
45,92.0,2.0,1.0,3.0,2.0
46,90.0,3.0,2.0,3.0,2.0
47,95.0,1.0,1.0,1.0,2.0
48,93.0,1.0,2.0,1.0,3.0
49,88.0,5.0,2.0,3.0,2.0
50,2.0,84.0,6.0,5.0,3.0
51,1.0,96.0,1.0,1.0,1.0
52,2.0,93.0,2.0,1.0,2.0
53,84.0,11.0,1.0,1.0,3.0
54,39.0,37.0,14.0,9.0,1.0
55,1.0,1.0,61.0,10.0,27.0
56,11.0,7.0,1.0,66.0,15.0
57,86.0,2.0,1.0,9.0,2.0
58,1.0,2.0,91.0,4.0,2.0
59,2.0,67.0,7.0,1.0,23.0
60,50.0,44.0,4.0,1.0,1.0
61,4.0,79.0,3.0,9.0,5.0
62,1.0,86.0,3.0,4.0,6.0
63,95.0,1.0,1.0,2.0,1.0
64,70.0,15.0,12.0,1.0,2.0
65,91.0,1.0,3.0,1.0,4.0
66,82.0,8.0,1.0,8.0,1.0
67,88.0,5.0,5.0,1.0,1.0
68,92.0,2.0,1.0,1.0,4.0
69,1.0,1.0,95.0,2.0,1.0
70,93.0,2.0,2.0,1.0,2.0
