,0,1,2,3,4
0,83.0,5.0,4.0,4.0,4.0
1,5.0,81.0,5.0,5.0,4.0
2,71.0,11.0,6.0,6.0,6.0
3,75.0,7.0,6.0,6.0,6.0
4,78.0,9.0,5.0,4.0,4.0
5,81.0,5.0,5.0,5.0,4.0
6,86.0,4.0,4.0,3.0,3.0
7,83.0,5.0,4.0,4.0,4.0
8,85.0,4.0,4.0,4.0,3.0
9,80.0,4.0,3.0,10.0,3.0
10,78.0,6.0,5.0,6.0,5.0
11,78.0,6.0,6.0,5.0,5.0
12,26.0,6.0,57.0,5.0,6.0
13,77.0,6.0,6.0,6.0,5.0
14,5.0,5.0,74.0,12.0,4.0
15,7.0,54.0,27.0,6.0,6.0
16,7.0,71.0,6.0,10.0,6.0
17,71.0,7.0,8.0,7.0,7.0
18,52.0,29.0,10.0,5.0,4.0
19,51.0,26.0,8.0,8.0,7.0
20,5.0,83.0,4.0,4.0,4.0
21,62.0,9.0,12.0,9.0,8.0
22,80.0,5.0,5.0,5.0,5.0
23,80.0,5.0,5.0,5.0,5.0
24,78.0,6.0,6.0,5.0,5.0
25,75.0,5.0,7.0,4.0,9.0
26,5.0,80.0,5.0,5.0,5.0
27,80.0,5.0,5.0,5.0,5.0
28,87.0,4.0,3.0,3.0,3.0
29,75.0,11.0,5.0,5.0,4.0
30,5.0,78.0,8.0,5.0,4.0
31,89.0,4.0,3.0,2.0,2.0
32,82.0,5.0,5.0,4.0,4.0
33,15.0,72.0,5.0,4.0,4.0
34,83.0,5.0,4.0,4.0,4.0
35,83.0,5.0,4.0,4.0,4.0
36,77.0,6.0,6.0,6.0,5.0
37,71.0,8.0,7.0,7.0,7.0
38,73.0,5.0,14.0,4.0,4.0
39,72.0,6.0,6.0,11.0,5.0
40,70.0,6.0,14.0,5.0,5.0
41,63.0,14.0,7.0,6.0,10.0
42,11.0,68.0,7.0,7.0,7.0
43,9.0,63.0,6.0,16.0,6.0
44,83.0,5.0,4.0,4.0,4.0
45,72.0,6.0,6.0,6.0,10.0
46,14.0,70.0,6.0,5.0,5.0
47,9.0,66.0,12.0,7.0,6.0
48,6.0,76.0,6.0,6.0,6.0
49,69.0,11.0,7.0,7.0,6.0
50,71.0,8.0,7.0,7.0,7.0
51,16.0,56.0,12.0,8.0,8.0
52,68.0,6.0,5.0,16.0,5.0
53,78.0,6.0,6.0,5.0,5.0
54,80.0,5.0,5.0,5.0,5.0
55,69.0,15.0,6.0,5.0,5.0
56,78.0,5.0,5.0,4.0,8.0
57,82.0,5.0,5.0,4.0,4.0
