,0,1,2,3,4
0,96.0,1.0,1.0,1.0,1.0
1,88.0,2.0,1.0,8.0,1.0
2,96.0,1.0,1.0,1.0,1.0
3,90.0,1.0,1.0,7.0,1.0
4,64.0,1.0,1.0,1.0,33.0
5,96.0,1.0,1.0,1.0,1.0
6,96.0,1.0,1.0,1.0,1.0
7,88.0,2.0,7.0,2.0,1.0
8,94.0,1.0,1.0,1.0,3.0
9,96.0,1.0,1.0,1.0,1.0
10,96.0,1.0,1.0,1.0,1.0
11,1.0,4.0,93.0,1.0,1.0
12,1.0,94.0,2.0,2.0,1.0
13,91.0,1.0,1.0,6.0,1.0
14,94.0,1.0,3.0,1.0,1.0
15,92.0,1.0,3.0,3.0,1.0
16,15.0,76.0,1.0,1.0,7.0
17,96.0,1.0,1.0,1.0,1.0
18,88.0,5.0,4.0,1.0,2.0
19,1.0,95.0,1.0,2.0,1.0
20,95.0,2.0,1.0,1.0,1.0
21,2.0,84.0,2.0,11.0,1.0
22,1.0,75.0,3.0,1.0,20.0
23,1.0,95.0,1.0,1.0,2.0
24,1.0,1.0,86.0,1.0,11.0
25,9.0,88.0,1.0,1.0,1.0
26,94.0,2.0,2.0,1.0,1.0
27,3.0,1.0,89.0,1.0,6.0
28,1.0,1.0,75.0,22.0,1.0
29,86.0,4.0,8.0,1.0,1.0
30,1.0,1.0,84.0,13.0,1.0
31,73.0,24.0,1.0,1.0,1.0
32,95.0,1.0,2.0,1.0,1.0
33,94.0,1.0,1.0,2.0,2.0
34,35.0,62.0,1.0,1.0,1.0
35,91.0,1.0,4.0,3.0,1.0
36,1.0,1.0,92.0,1.0,5.0
37,1.0,1.0,74.0,5.0,19.0
38,1.0,93.0,2.0,3.0,1.0
39,92.0,1.0,1.0,5.0,1.0
40,94.0,2.0,1.0,1.0,2.0
41,96.0,1.0,1.0,1.0,1.0
42,18.0,79.0,1.0,1.0,1.0
43,88.0,1.0,9.0,1.0,1.0
44,13.0,4.0,19.0,63.0,1.0
45,95.0,1.0,1.0,1.0,2.0
46,56.0,1.0,1.0,41.0,1.0
47,2.0,1.0,93.0,1.0,3.0
48,90.0,6.0,1.0,1.0,2.0
49,96.0,1.0,1.0,1.0,1.0
50,89.0,8.0,1.0,1.0,1.0
51,95.0,1.0,2.0,1.0,1.0
52,1.0,6.0,1.0,90.0,2.0
53,1.0,93.0,1.0,4.0,1.0
54,95.0,1.0,1.0,1.0,2.0
55,81.0,7.0,2.0,1.0,9.0
56,1.0,1.0,95.0,2.0,1.0
57,4.0,90.0,2.0,3.0,1.0
58,1.0,1.0,15.0,82.0,1.0
59,95.0,1.0,1.0,2.0,1.0
60,1.0,68.0,15.0,1.0,15.0
61,1.0,94.0,1.0,2.0,2.0
62,96.0,1.0,1.0,1.0,1.0
63,70.0,22.0,1.0,4.0,3.0
64,94.0,3.0,1.0,1.0,1.0
65,96.0,1.0,1.0,1.0,1.0
66,92.0,1.0,1.0,5.0,1.0
67,3.0,93.0,1.0,1.0,2.0
68,96.0,1.0,1.0,1.0,1.0
69,92.0,5.0,1.0,1.0,1.0
70,90.0,1.0,7.0,1.0,1.0
71,86.0,1.0,2.0,6.0,5.0
72,92.0,1.0,3.0,2.0,2.0
73,1.0,93.0,1.0,2.0,3.0
74,96.0,1.0,1.0,1.0,1.0
75,90.0,2.0,5.0,2.0,1.0
76,95.0,1.0,2.0,1.0,1.0
77,92.0,2.0,1.0,1.0,4.0
78,95.0,2.0,1.0,1.0,1.0
79,94.0,1.0,2.0,2.0,1.0
80,1.0,1.0,2.0,95.0,1.0
81,1.0,1.0,96.0,1.0,1.0
82,1.0,91.0,2.0,1.0,5.0
83,94.0,1.0,1.0,1.0,3.0
84,89.0,3.0,6.0,1.0,1.0
85,1.0,75.0,1.0,1.0,22.0
86,1.0,82.0,6.0,10.0,1.0
87,1.0,1.0,95.0,1.0,2.0
88,1.0,93.0,3.0,2.0,1.0
89,84.0,13.0,1.0,1.0,1.0
90,2.0,89.0,1.0,7.0,1.0
91,80.0,13.0,2.0,4.0,1.0
92,94.0,1.0,1.0,1.0,3.0
93,1.0,1.0,94.0,3.0,1.0
94,96.0,1.0,1.0,1.0,1.0
95,1.0,1.0,94.0,2.0,2.0
96,95.0,2.0,1.0,1.0,1.0
97,92.0,1.0,1.0,5.0,1.0
98,79.0,18.0,1.0,1.0,1.0
99,96.0,1.0,1.0,1.0,1.0
