,0,1,2,3,4
0,91.0,2.0,2.0,3.0,2.0
1,91.0,2.0,3.0,2.0,2.0
2,91.0,2.0,3.0,2.0,2.0
3,2.0,18.0,21.0,42.0,17.0
4,86.0,2.0,3.0,7.0,2.0
5,88.0,1.0,7.0,2.0,2.0
6,77.0,5.0,10.0,6.0,2.0
7,82.0,2.0,8.0,2.0,6.0
8,90.0,2.0,2.0,5.0,1.0
9,70.0,1.0,25.0,1.0,3.0
10,75.0,6.0,14.0,1.0,4.0
11,87.0,1.0,6.0,5.0,1.0
12,94.0,1.0,1.0,2.0,2.0
13,71.0,26.0,1.0,1.0,1.0
14,51.0,29.0,12.0,3.0,5.0
15,2.0,46.0,6.0,42.0,4.0
16,77.0,14.0,6.0,1.0,2.0
17,2.0,73.0,7.0,6.0,12.0
18,85.0,2.0,8.0,3.0,2.0
19,1.0,93.0,1.0,3.0,2.0
20,5.0,87.0,3.0,2.0,3.0
21,75.0,10.0,4.0,4.0,7.0
22,5.0,91.0,1.0,1.0,2.0
23,86.0,4.0,4.0,4.0,2.0
24,2.0,92.0,3.0,1.0,2.0
25,77.0,1.0,19.0,1.0,2.0
26,76.0,13.0,4.0,4.0,3.0
27,85.0,3.0,2.0,9.0,1.0
28,52.0,3.0,4.0,3.0,38.0
29,88.0,8.0,2.0,1.0,1.0
30,91.0,3.0,2.0,2.0,2.0
31,78.0,8.0,9.0,2.0,3.0
32,91.0,1.0,2.0,3.0,3.0
33,2.0,85.0,3.0,9.0,1.0
34,3.0,83.0,3.0,3.0,8.0
35,85.0,5.0,3.0,6.0,1.0
36,71.0,3.0,2.0,1.0,23.0
37,85.0,4.0,5.0,4.0,2.0
38,90.0,3.0,2.0,2.0,3.0
39,87.0,4.0,4.0,3.0,2.0
40,88.0,5.0,3.0,3.0,1.0
41,78.0,3.0,1.0,16.0,2.0
42,2.0,91.0,2.0,2.0,3.0
43,8.0,63.0,21.0,7.0,1.0
44,71.0,13.0,10.0,2.0,4.0
45,63.0,29.0,3.0,3.0,2.0
46,63.0,1.0,33.0,2.0,1.0
47,88.0,3.0,1.0,4.0,4.0
