,0,1,2,3,4
0,80.0,7.0,5.0,4.0,4.0
1,8.0,71.0,7.0,7.0,7.0
2,74.0,7.0,7.0,6.0,6.0
3,82.0,6.0,4.0,4.0,4.0
4,66.0,19.0,5.0,6.0,4.0
5,75.0,7.0,6.0,6.0,6.0
6,59.0,10.0,8.0,15.0,8.0
7,8.0,69.0,8.0,8.0,7.0
8,62.0,17.0,7.0,7.0,7.0
9,76.0,9.0,5.0,5.0,5.0
10,86.0,4.0,4.0,3.0,3.0
11,74.0,7.0,5.0,8.0,6.0
12,77.0,6.0,6.0,6.0,5.0
13,56.0,24.0,7.0,7.0,6.0
14,7.0,6.0,75.0,5.0,7.0
15,76.0,7.0,5.0,6.0,6.0
16,77.0,6.0,7.0,5.0,5.0
17,78.0,6.0,5.0,6.0,5.0
18,6.0,77.0,6.0,6.0,5.0
19,58.0,24.0,6.0,5.0,7.0
20,71.0,8.0,7.0,7.0,7.0
21,78.0,6.0,6.0,5.0,5.0
22,6.0,78.0,6.0,5.0,5.0
23,8.0,63.0,8.0,14.0,7.0
24,7.0,73.0,8.0,6.0,6.0
25,82.0,5.0,4.0,5.0,4.0
26,7.0,7.0,64.0,16.0,6.0
27,55.0,26.0,7.0,6.0,6.0
28,71.0,7.0,6.0,8.0,8.0
29,85.0,4.0,4.0,4.0,3.0
30,77.0,6.0,6.0,6.0,5.0
31,70.0,7.0,11.0,6.0,6.0
32,79.0,6.0,5.0,5.0,5.0
33,82.0,6.0,4.0,4.0,4.0
34,85.0,4.0,4.0,4.0,3.0
35,86.0,4.0,4.0,3.0,3.0
36,7.0,74.0,7.0,6.0,6.0
37,21.0,7.0,60.0,6.0,6.0
38,75.0,6.0,6.0,7.0,6.0
39,6.0,9.0,75.0,5.0,5.0
40,30.0,8.0,46.0,8.0,8.0
41,61.0,15.0,8.0,8.0,8.0
42,63.0,6.0,6.0,19.0,6.0
43,77.0,5.0,8.0,6.0,4.0
44,79.0,6.0,5.0,5.0,5.0
45,75.0,6.0,5.0,9.0,5.0
46,59.0,6.0,24.0,6.0,5.0
47,4.0,83.0,6.0,4.0,3.0
48,74.0,7.0,7.0,6.0,6.0
49,6.0,79.0,5.0,5.0,5.0
50,77.0,6.0,5.0,7.0,5.0
51,69.0,8.0,8.0,8.0,7.0
52,86.0,4.0,3.0,3.0,4.0
53,7.0,78.0,5.0,5.0,5.0
54,82.0,5.0,5.0,4.0,4.0
55,82.0,5.0,5.0,4.0,4.0
56,68.0,13.0,7.0,6.0,6.0
57,79.0,6.0,5.0,5.0,5.0
58,74.0,7.0,6.0,7.0,6.0
59,4.0,38.0,4.0,50.0,4.0
60,51.0,18.0,9.0,15.0,7.0
61,7.0,27.0,54.0,6.0,6.0
62,6.0,61.0,25.0,4.0,4.0
63,70.0,12.0,6.0,6.0,6.0
64,79.0,5.0,5.0,5.0,6.0
65,83.0,6.0,4.0,4.0,3.0
66,8.0,65.0,6.0,16.0,5.0
67,66.0,6.0,6.0,6.0,16.0
68,59.0,12.0,10.0,10.0,9.0
69,78.0,6.0,6.0,5.0,5.0
70,6.0,78.0,7.0,5.0,4.0
71,76.0,6.0,6.0,6.0,6.0
72,45.0,29.0,10.0,8.0,8.0
73,78.0,5.0,5.0,7.0,5.0
74,55.0,34.0,4.0,4.0,3.0
75,44.0,36.0,7.0,7.0,6.0
76,73.0,8.0,7.0,6.0,6.0
77,13.0,69.0,6.0,6.0,6.0
78,79.0,6.0,5.0,5.0,5.0
79,71.0,9.0,6.0,8.0,6.0
80,85.0,4.0,4.0,4.0,3.0
81,75.0,7.0,6.0,6.0,6.0
82,83.0,5.0,4.0,4.0,4.0
83,22.0,20.0,46.0,6.0,6.0
84,82.0,5.0,5.0,4.0,4.0
85,75.0,9.0,6.0,5.0,5.0
