,0,1,2,3,4
0,63.0,25.0,5.0,1.0,6.0
1,91.0,2.0,2.0,3.0,2.0
2,76.0,10.0,8.0,3.0,3.0
3,2.0,85.0,4.0,7.0,2.0
4,72.0,10.0,2.0,10.0,6.0
5,87.0,2.0,5.0,4.0,2.0
6,81.0,2.0,7.0,2.0,8.0
7,24.0,65.0,4.0,6.0,1.0
8,39.0,52.0,2.0,5.0,2.0
9,2.0,81.0,6.0,10.0,1.0
10,64.0,31.0,2.0,2.0,1.0
11,21.0,15.0,7.0,5.0,52.0
12,80.0,6.0,2.0,4.0,8.0
13,90.0,1.0,5.0,1.0,3.0
14,13.0,79.0,2.0,2.0,4.0
15,81.0,6.0,7.0,4.0,2.0
16,83.0,10.0,1.0,4.0,2.0
17,94.0,2.0,2.0,1.0,1.0
18,77.0,9.0,10.0,1.0,3.0
19,3.0,81.0,7.0,8.0,1.0
20,9.0,73.0,11.0,3.0,4.0
21,92.0,5.0,1.0,1.0,1.0
22,7.0,14.0,69.0,6.0,4.0
23,83.0,5.0,1.0,10.0,1.0
24,1.0,6.0,85.0,5.0,3.0
25,78.0,8.0,3.0,7.0,4.0
26,73.0,4.0,16.0,3.0,4.0
27,43.0,10.0,42.0,1.0,4.0
28,76.0,6.0,4.0,12.0,2.0
29,85.0,8.0,3.0,3.0,1.0
30,11.0,83.0,3.0,2.0,1.0
31,14.0,64.0,14.0,1.0,7.0
32,39.0,48.0,8.0,4.0,1.0
33,87.0,8.0,2.0,1.0,2.0
34,87.0,4.0,5.0,3.0,1.0
35,54.0,36.0,4.0,3.0,3.0
36,84.0,3.0,3.0,4.0,6.0
37,66.0,24.0,3.0,2.0,5.0
38,84.0,4.0,5.0,5.0,2.0
39,68.0,11.0,3.0,16.0,2.0
40,87.0,7.0,2.0,1.0,3.0
41,3.0,8.0,67.0,8.0,14.0
42,69.0,7.0,7.0,8.0,9.0
43,5.0,6.0,58.0,28.0,3.0
44,86.0,11.0,1.0,1.0,1.0
45,94.0,3.0,1.0,1.0,1.0
46,35.0,56.0,2.0,2.0,5.0
47,91.0,3.0,1.0,2.0,3.0
48,14.0,80.0,1.0,1.0,4.0
49,75.0,21.0,2.0,1.0,1.0
50,86.0,6.0,5.0,2.0,1.0
51,85.0,3.0,3.0,7.0,2.0
52,86.0,5.0,2.0,3.0,4.0
53,87.0,5.0,3.0,4.0,1.0
54,87.0,3.0,2.0,7.0,1.0
55,62.0,10.0,2.0,19.0,7.0
56,2.0,43.0,48.0,3.0,4.0
57,2.0,80.0,6.0,5.0,7.0
58,2.0,4.0,89.0,4.0,1.0
59,1.0,87.0,10.0,1.0,1.0
60,88.0,6.0,3.0,1.0,2.0
61,88.0,5.0,1.0,4.0,2.0
62,3.0,89.0,3.0,1.0,4.0
63,86.0,4.0,1.0,5.0,4.0
64,1.0,87.0,5.0,6.0,1.0
65,8.0,34.0,34.0,20.0,4.0
66,40.0,5.0,46.0,4.0,5.0
67,84.0,11.0,2.0,1.0,2.0
68,86.0,4.0,1.0,7.0,2.0
69,73.0,4.0,2.0,7.0,14.0
70,2.0,91.0,2.0,2.0,3.0
71,76.0,5.0,4.0,14.0,1.0
72,83.0,4.0,4.0,5.0,4.0
73,88.0,1.0,1.0,3.0,7.0
74,1.0,79.0,14.0,4.0,2.0
75,73.0,5.0,1.0,9.0,12.0
76,2.0,88.0,4.0,3.0,3.0
77,74.0,1.0,15.0,5.0,5.0
78,81.0,1.0,6.0,6.0,6.0
79,94.0,2.0,1.0,1.0,2.0
80,6.0,86.0,2.0,1.0,5.0
81,88.0,4.0,3.0,3.0,2.0
82,87.0,1.0,6.0,4.0,2.0
83,85.0,4.0,2.0,2.0,7.0
84,74.0,8.0,1.0,9.0,8.0
85,1.0,84.0,10.0,1.0,4.0
86,53.0,32.0,5.0,8.0,2.0
87,23.0,1.0,46.0,8.0,22.0
88,92.0,2.0,2.0,1.0,3.0
89,85.0,8.0,1.0,1.0,5.0
90,59.0,19.0,19.0,1.0,2.0
91,11.0,84.0,1.0,1.0,3.0
92,87.0,3.0,4.0,1.0,5.0
93,15.0,22.0,60.0,1.0,2.0
94,63.0,17.0,10.0,7.0,3.0
95,83.0,8.0,6.0,2.0,1.0
96,85.0,1.0,7.0,5.0,2.0
97,88.0,5.0,2.0,2.0,3.0
98,18.0,19.0,1.0,57.0,5.0
99,68.0,14.0,3.0,12.0,3.0
100,8.0,78.0,11.0,1.0,2.0
101,71.0,1.0,6.0,19.0,3.0
102,88.0,3.0,6.0,1.0,2.0
103,73.0,4.0,2.0,12.0,9.0
104,92.0,2.0,3.0,1.0,2.0
105,63.0,6.0,21.0,2.0,8.0
106,91.0,1.0,1.0,1.0,6.0
107,86.0,2.0,2.0,8.0,2.0
108,38.0,8.0,1.0,51.0,2.0
109,75.0,11.0,2.0,5.0,7.0
110,74.0,11.0,3.0,1.0,11.0
111,89.0,4.0,3.0,1.0,3.0
112,83.0,5.0,2.0,6.0,4.0
113,88.0,7.0,1.0,1.0,3.0
114,88.0,7.0,2.0,1.0,2.0
115,91.0,2.0,4.0,1.0,2.0
116,83.0,6.0,5.0,2.0,4.0
117,73.0,16.0,4.0,6.0,1.0
118,87.0,2.0,1.0,8.0,2.0
119,5.0,46.0,10.0,24.0,15.0
120,90.0,1.0,2.0,5.0,2.0
121,79.0,1.0,5.0,7.0,8.0
122,80.0,5.0,7.0,6.0,2.0
123,88.0,4.0,2.0,4.0,2.0
124,59.0,2.0,25.0,11.0,3.0
125,16.0,55.0,22.0,4.0,3.0
126,5.0,80.0,8.0,3.0,4.0
127,60.0,30.0,2.0,1.0,7.0
128,1.0,38.0,56.0,1.0,4.0
129,31.0,57.0,7.0,3.0,2.0
130,85.0,10.0,1.0,3.0,1.0
131,81.0,12.0,1.0,2.0,4.0
132,24.0,54.0,5.0,13.0,4.0
133,81.0,5.0,4.0,8.0,2.0
134,66.0,7.0,20.0,1.0,6.0
135,87.0,1.0,3.0,8.0,1.0
136,17.0,26.0,40.0,8.0,9.0
137,22.0,58.0,8.0,11.0,1.0
138,2.0,81.0,11.0,2.0,4.0
139,90.0,6.0,1.0,2.0,1.0
140,84.0,5.0,7.0,2.0,2.0
141,60.0,3.0,33.0,1.0,3.0
142,37.0,1.0,37.0,20.0,5.0
143,22.0,17.0,6.0,48.0,7.0
144,88.0,3.0,4.0,2.0,3.0
145,63.0,26.0,3.0,3.0,5.0
146,67.0,25.0,4.0,3.0,1.0
147,16.0,8.0,72.0,2.0,2.0
148,47.0,48.0,1.0,1.0,3.0
149,72.0,1.0,8.0,4.0,15.0
150,96.0,1.0,1.0,1.0,1.0
151,81.0,2.0,2.0,4.0,11.0
152,27.0,30.0,2.0,27.0,14.0
153,67.0,24.0,4.0,4.0,1.0
154,87.0,2.0,1.0,9.0,1.0
155,93.0,1.0,1.0,4.0,1.0
156,3.0,73.0,1.0,16.0,7.0
157,90.0,1.0,5.0,1.0,3.0
158,25.0,63.0,5.0,6.0,1.0
159,88.0,3.0,2.0,5.0,2.0
160,88.0,4.0,2.0,5.0,1.0
161,83.0,11.0,1.0,3.0,2.0
162,88.0,2.0,6.0,2.0,2.0
163,94.0,2.0,1.0,1.0,2.0
164,6.0,50.0,15.0,25.0,4.0
165,82.0,5.0,5.0,5.0,3.0
166,84.0,5.0,4.0,1.0,6.0
167,78.0,13.0,3.0,3.0,3.0
168,86.0,4.0,2.0,2.0,6.0
169,12.0,51.0,30.0,1.0,6.0
170,92.0,3.0,2.0,2.0,1.0
171,75.0,3.0,16.0,5.0,1.0
172,91.0,2.0,3.0,2.0,2.0
173,2.0,75.0,4.0,2.0,17.0
174,1.0,70.0,2.0,25.0,2.0
175,74.0,10.0,11.0,3.0,2.0
176,87.0,3.0,2.0,6.0,2.0
177,72.0,1.0,16.0,10.0,1.0
178,67.0,13.0,3.0,5.0,12.0
179,84.0,2.0,3.0,8.0,3.0
180,3.0,80.0,8.0,6.0,3.0
181,6.0,84.0,2.0,4.0,4.0
182,72.0,18.0,6.0,1.0,3.0
183,3.0,78.0,7.0,10.0,2.0
184,7.0,80.0,5.0,7.0,1.0
185,69.0,4.0,16.0,5.0,6.0
186,90.0,4.0,2.0,2.0,2.0
187,88.0,5.0,5.0,1.0,1.0
188,48.0,38.0,3.0,2.0,9.0
189,60.0,31.0,4.0,4.0,1.0
190,3.0,78.0,9.0,2.0,8.0
191,85.0,4.0,3.0,4.0,4.0
192,12.0,69.0,2.0,3.0,14.0
193,80.0,1.0,2.0,7.0,10.0
194,19.0,62.0,7.0,6.0,6.0
195,52.0,6.0,15.0,3.0,24.0
196,78.0,2.0,10.0,2.0,8.0
197,2.0,92.0,3.0,2.0,1.0
198,79.0,14.0,1.0,5.0,1.0
199,85.0,6.0,3.0,4.0,2.0
200,42.0,20.0,21.0,9.0,8.0
201,56.0,31.0,4.0,2.0,7.0
202,79.0,3.0,2.0,3.0,13.0
203,3.0,89.0,5.0,1.0,2.0
204,14.0,75.0,3.0,2.0,6.0
205,84.0,8.0,1.0,5.0,2.0
206,93.0,2.0,3.0,1.0,1.0
207,72.0,17.0,3.0,7.0,1.0
208,61.0,12.0,2.0,23.0,2.0
209,30.0,51.0,4.0,12.0,3.0
210,78.0,3.0,2.0,7.0,10.0
211,81.0,9.0,4.0,1.0,5.0
212,85.0,3.0,9.0,1.0,2.0
213,70.0,14.0,7.0,2.0,7.0
214,34.0,51.0,10.0,1.0,4.0
215,3.0,4.0,3.0,74.0,16.0
216,77.0,8.0,7.0,5.0,3.0
217,3.0,89.0,1.0,3.0,4.0
218,1.0,92.0,3.0,1.0,3.0
219,25.0,63.0,6.0,5.0,1.0
220,66.0,2.0,14.0,5.0,13.0
221,83.0,1.0,8.0,7.0,1.0
222,74.0,8.0,6.0,2.0,10.0
223,44.0,30.0,17.0,7.0,2.0
224,73.0,5.0,5.0,13.0,4.0
225,89.0,4.0,4.0,1.0,2.0
226,80.0,2.0,3.0,5.0,10.0
227,46.0,1.0,11.0,41.0,1.0
228,76.0,3.0,12.0,1.0,8.0
229,90.0,4.0,1.0,2.0,3.0
230,81.0,7.0,4.0,2.0,6.0
231,55.0,11.0,13.0,19.0,2.0
232,90.0,3.0,2.0,1.0,4.0
233,87.0,8.0,3.0,1.0,1.0
234,76.0,12.0,8.0,2.0,2.0
235,64.0,3.0,20.0,5.0,8.0
236,84.0,6.0,3.0,1.0,6.0
237,85.0,7.0,1.0,6.0,1.0
238,87.0,3.0,1.0,5.0,4.0
239,89.0,4.0,2.0,1.0,4.0
240,79.0,14.0,1.0,5.0,1.0
241,83.0,10.0,2.0,2.0,3.0
242,78.0,12.0,4.0,2.0,4.0
243,76.0,3.0,4.0,5.0,12.0
244,87.0,4.0,5.0,3.0,1.0
245,61.0,14.0,18.0,1.0,6.0
246,37.0,57.0,4.0,1.0,1.0
247,74.0,19.0,3.0,2.0,2.0
248,81.0,7.0,2.0,1.0,9.0
249,8.0,57.0,23.0,4.0,8.0
250,94.0,1.0,1.0,1.0,3.0
251,2.0,1.0,1.0,93.0,3.0
252,72.0,15.0,3.0,7.0,3.0
253,59.0,29.0,2.0,8.0,2.0
254,9.0,71.0,7.0,6.0,7.0
255,49.0,45.0,1.0,2.0,3.0
256,89.0,4.0,5.0,1.0,1.0
257,90.0,4.0,2.0,2.0,2.0
258,88.0,5.0,4.0,1.0,2.0
259,8.0,81.0,6.0,3.0,2.0
260,55.0,2.0,16.0,22.0,5.0
261,67.0,13.0,7.0,10.0,3.0
262,65.0,6.0,11.0,3.0,15.0
263,63.0,5.0,27.0,2.0,3.0
264,1.0,87.0,5.0,6.0,1.0
265,93.0,1.0,3.0,1.0,2.0
266,74.0,1.0,10.0,6.0,9.0
267,88.0,5.0,4.0,1.0,2.0
268,42.0,4.0,46.0,1.0,7.0
269,74.0,19.0,2.0,2.0,3.0
270,4.0,81.0,2.0,7.0,6.0
271,40.0,47.0,6.0,6.0,1.0
272,61.0,26.0,2.0,7.0,4.0
273,36.0,42.0,13.0,2.0,7.0
274,28.0,47.0,10.0,12.0,3.0
275,75.0,12.0,4.0,2.0,7.0
276,1.0,80.0,10.0,3.0,6.0
277,33.0,32.0,2.0,25.0,8.0
278,2.0,86.0,5.0,3.0,4.0
279,2.0,52.0,23.0,2.0,21.0
280,12.0,70.0,7.0,3.0,8.0
281,86.0,5.0,4.0,3.0,2.0
282,87.0,4.0,3.0,4.0,2.0
283,56.0,36.0,2.0,5.0,1.0
284,2.0,86.0,1.0,8.0,3.0
285,73.0,7.0,4.0,15.0,1.0
286,2.0,67.0,8.0,1.0,22.0
287,86.0,1.0,9.0,1.0,3.0
288,70.0,2.0,16.0,3.0,9.0
289,69.0,21.0,2.0,1.0,7.0
290,85.0,6.0,3.0,3.0,3.0
291,73.0,12.0,2.0,10.0,3.0
292,64.0,23.0,4.0,5.0,4.0
293,79.0,12.0,4.0,2.0,3.0
