,0,1
0,9988.0,12.0
1,9251.0,749.0
2,9468.0,532.0
3,9992.0,8.0
4,9993.0,7.0
5,9991.0,9.0
6,9993.0,7.0
7,9906.0,94.0
8,9988.0,12.0
9,9980.0,20.0
10,9987.0,13.0
11,9990.0,10.0
12,9972.0,28.0
13,9996.0,4.0
14,9975.0,25.0
15,9988.0,12.0
16,9990.0,10.0
17,9991.0,9.0
18,9993.0,7.0
19,9988.0,12.0
20,9984.0,16.0
21,9987.0,13.0
22,9991.0,9.0
23,9992.0,8.0
24,9988.0,12.0
25,5.0,9995.0
26,9988.0,12.0
27,9988.0,12.0
28,9992.0,8.0
29,9969.0,31.0
30,9993.0,7.0
31,9983.0,17.0
32,9990.0,10.0
33,9985.0,15.0
34,9972.0,28.0
35,9987.0,13.0
36,9990.0,10.0
37,9987.0,13.0
38,9976.0,24.0
39,9989.0,11.0
40,9993.0,7.0
41,9986.0,14.0
42,9983.0,17.0
43,9979.0,21.0
44,9991.0,9.0
45,9992.0,8.0
46,9993.0,7.0
47,9987.0,13.0
48,2346.0,7654.0
49,9987.0,13.0
50,9987.0,13.0
51,9992.0,8.0
52,9993.0,7.0
53,9991.0,9.0
54,9982.0,18.0
55,9990.0,10.0
56,9989.0,11.0
57,9942.0,58.0
58,9918.0,82.0
59,9994.0,6.0
60,9985.0,15.0
61,9989.0,11.0
62,13.0,9987.0
63,9989.0,11.0
64,9974.0,26.0
65,9988.0,12.0
66,9988.0,12.0
67,9995.0,5.0
68,9986.0,14.0
69,9994.0,6.0
70,10.0,9990.0
71,9987.0,13.0
72,9862.0,138.0
73,9910.0,90.0
74,9986.0,14.0
75,9991.0,9.0
76,9983.0,17.0
77,9992.0,8.0
78,9991.0,9.0
79,9986.0,14.0
80,9987.0,13.0
81,9951.0,49.0
82,9992.0,8.0
83,9364.0,636.0
84,9992.0,8.0
85,9979.0,21.0
86,9991.0,9.0
87,9985.0,15.0
88,9991.0,9.0
89,9992.0,8.0
90,9986.0,14.0
91,4354.0,5646.0
92,9982.0,18.0
93,9960.0,40.0
94,9991.0,9.0
95,9982.0,18.0
96,9988.0,12.0
97,9990.0,10.0
98,9986.0,14.0
99,9990.0,10.0
100,9987.0,13.0
101,9990.0,10.0
102,9994.0,6.0
103,9988.0,12.0
104,9988.0,12.0
105,9990.0,10.0
106,9988.0,12.0
107,9986.0,14.0
108,9990.0,10.0
109,9994.0,6.0
110,9991.0,9.0
111,9982.0,18.0
112,9994.0,6.0
113,9988.0,12.0
114,9989.0,11.0
115,9987.0,13.0
116,10.0,9990.0
117,9988.0,12.0
118,9988.0,12.0
119,9994.0,6.0
120,9988.0,12.0
121,9985.0,15.0
122,9911.0,89.0
123,9997.0,3.0
124,9992.0,8.0
125,9983.0,17.0
126,9805.0,195.0
127,9992.0,8.0
