,0,1
0,9986.0,14.0
1,9985.0,15.0
2,9985.0,15.0
3,8556.0,1444.0
4,9993.0,7.0
5,9991.0,9.0
6,8035.0,1965.0
7,9986.0,14.0
8,9986.0,14.0
9,9977.0,23.0
10,9989.0,11.0
11,9988.0,12.0
12,9983.0,17.0
13,9982.0,18.0
14,9990.0,10.0
15,9985.0,15.0
16,9983.0,17.0
17,9985.0,15.0
18,9987.0,13.0
19,9969.0,31.0
20,9904.0,96.0
21,9984.0,16.0
22,9982.0,18.0
23,9982.0,18.0
24,9990.0,10.0
25,9988.0,12.0
26,9985.0,15.0
27,9986.0,14.0
28,9991.0,9.0
29,9993.0,7.0
30,9975.0,25.0
31,9983.0,17.0
32,9984.0,16.0
33,9978.0,22.0
34,9981.0,19.0
35,9990.0,10.0
36,9980.0,20.0
37,9971.0,29.0
38,9986.0,14.0
39,9985.0,15.0
40,9988.0,12.0
41,9973.0,27.0
42,9988.0,12.0
43,9961.0,39.0
44,9988.0,12.0
45,9986.0,14.0
46,9994.0,6.0
47,9979.0,21.0
48,9982.0,18.0
49,9983.0,17.0
50,9985.0,15.0
51,9986.0,14.0
52,9989.0,11.0
53,9983.0,17.0
54,9984.0,16.0
55,9966.0,34.0
56,9989.0,11.0
57,9987.0,13.0
58,9986.0,14.0
59,9987.0,13.0
60,9991.0,9.0
61,9987.0,13.0
62,9986.0,14.0
63,9984.0,16.0
64,9981.0,19.0
65,9983.0,17.0
66,9968.0,32.0
67,9984.0,16.0
68,9980.0,20.0
69,9986.0,14.0
70,9983.0,17.0
71,9905.0,95.0
72,9987.0,13.0
73,9990.0,10.0
74,9979.0,21.0
75,9988.0,12.0
76,9987.0,13.0
77,9981.0,19.0
78,9985.0,15.0
79,9988.0,12.0
80,9972.0,28.0
81,9991.0,9.0
82,9988.0,12.0
83,9987.0,13.0
84,9991.0,9.0
85,9868.0,132.0
86,9986.0,14.0
87,9911.0,89.0
88,9989.0,11.0
89,9989.0,11.0
90,9975.0,25.0
91,9977.0,23.0
92,9985.0,15.0
93,9987.0,13.0
94,9992.0,8.0
95,9985.0,15.0
96,9990.0,10.0
97,9728.0,272.0
98,9987.0,13.0
99,9984.0,16.0
100,9980.0,20.0
101,9981.0,19.0
102,9977.0,23.0
103,9981.0,19.0
104,9990.0,10.0
105,9980.0,20.0
106,9991.0,9.0
107,9985.0,15.0
108,9986.0,14.0
109,9990.0,10.0
110,9989.0,11.0
111,9986.0,14.0
112,9977.0,23.0
113,9975.0,25.0
114,9988.0,12.0
115,9991.0,9.0
116,9968.0,32.0
117,9982.0,18.0
118,9980.0,20.0
119,9987.0,13.0
120,9979.0,21.0
121,9953.0,47.0
122,9992.0,8.0
123,9591.0,409.0
124,9986.0,14.0
125,9988.0,12.0
126,9987.0,13.0
127,9979.0,21.0
128,9985.0,15.0
129,9981.0,19.0
130,9988.0,12.0
131,9974.0,26.0
132,9985.0,15.0
133,9975.0,25.0
134,9986.0,14.0
135,9984.0,16.0
136,9981.0,19.0
137,9987.0,13.0
138,9983.0,17.0
139,9986.0,14.0
140,9986.0,14.0
141,9989.0,11.0
142,9975.0,25.0
143,9987.0,13.0
144,9991.0,9.0
145,9992.0,8.0
146,9989.0,11.0
147,9980.0,20.0
148,9973.0,27.0
149,9985.0,15.0
150,9978.0,22.0
151,9897.0,103.0
152,9986.0,14.0
153,9984.0,16.0
154,9992.0,8.0
155,9990.0,10.0
156,9986.0,14.0
157,9977.0,23.0
158,9988.0,12.0
159,9990.0,10.0
160,9987.0,13.0
161,9984.0,16.0
162,9989.0,11.0
163,9990.0,10.0
164,9968.0,32.0
165,9984.0,16.0
166,13.0,9987.0
167,9990.0,10.0
168,9987.0,13.0
169,9982.0,18.0
170,9990.0,10.0
171,9988.0,12.0
172,9969.0,31.0
173,9899.0,101.0
174,9986.0,14.0
175,9982.0,18.0
176,9987.0,13.0
177,9985.0,15.0
178,9988.0,12.0
179,9988.0,12.0
180,9985.0,15.0
181,9641.0,359.0
182,9990.0,10.0
183,9985.0,15.0
184,9979.0,21.0
185,9991.0,9.0
186,9983.0,17.0
187,9989.0,11.0
188,8675.0,1325.0
189,9983.0,17.0
190,9946.0,54.0
191,9988.0,12.0
192,9980.0,20.0
193,9985.0,15.0
194,9987.0,13.0
