,0,1
0,9984.0,16.0
1,9980.0,20.0
2,9985.0,15.0
3,9982.0,18.0
4,9979.0,21.0
5,9982.0,18.0
6,9978.0,22.0
7,9981.0,19.0
8,9752.0,248.0
9,9974.0,26.0
10,9974.0,26.0
11,9979.0,21.0
12,9981.0,19.0
13,9972.0,28.0
14,9980.0,20.0
15,9987.0,13.0
16,9973.0,27.0
17,9970.0,30.0
18,9983.0,17.0
19,9982.0,18.0
20,9980.0,20.0
21,9970.0,30.0
22,9966.0,34.0
23,9986.0,14.0
24,9971.0,29.0
25,9988.0,12.0
26,9987.0,13.0
27,9983.0,17.0
28,9976.0,24.0
29,9981.0,19.0
30,9978.0,22.0
31,9984.0,16.0
32,9973.0,27.0
33,9982.0,18.0
34,9989.0,11.0
35,9986.0,14.0
36,9983.0,17.0
37,9979.0,21.0
38,9984.0,16.0
39,9973.0,27.0
40,9988.0,12.0
41,9980.0,20.0
42,9976.0,24.0
43,9983.0,17.0
44,9962.0,38.0
45,9982.0,18.0
46,9976.0,24.0
47,9986.0,14.0
48,9950.0,50.0
49,9983.0,17.0
50,9983.0,17.0
51,9981.0,19.0
52,9979.0,21.0
53,9983.0,17.0
54,9980.0,20.0
55,9928.0,72.0
56,9984.0,16.0
57,9980.0,20.0
58,9981.0,19.0
59,9974.0,26.0
60,9981.0,19.0
61,9976.0,24.0
62,9902.0,98.0
63,9977.0,23.0
64,9982.0,18.0
65,9979.0,21.0
66,9980.0,20.0
67,9975.0,25.0
68,9986.0,14.0
69,9973.0,27.0
70,9980.0,20.0
71,9981.0,19.0
72,9983.0,17.0
73,9976.0,24.0
74,9976.0,24.0
75,9979.0,21.0
76,9972.0,28.0
77,9983.0,17.0
78,9980.0,20.0
79,9985.0,15.0
80,9979.0,21.0
81,9951.0,49.0
82,9984.0,16.0
83,9981.0,19.0
84,9979.0,21.0
85,9982.0,18.0
86,9984.0,16.0
87,9973.0,27.0
88,9985.0,15.0
89,9979.0,21.0
90,9983.0,17.0
91,9988.0,12.0
92,9945.0,55.0
93,9986.0,14.0
94,9984.0,16.0
95,9984.0,16.0
96,9984.0,16.0
97,9981.0,19.0
98,9977.0,23.0
99,9972.0,28.0
100,9965.0,35.0
101,9932.0,68.0
102,9980.0,20.0
103,9988.0,12.0
104,9978.0,22.0
105,9977.0,23.0
106,9986.0,14.0
107,9980.0,20.0
108,9976.0,24.0
109,9979.0,21.0
110,9985.0,15.0
111,9974.0,26.0
112,9984.0,16.0
113,9987.0,13.0
114,9980.0,20.0
115,9976.0,24.0
116,9980.0,20.0
117,9976.0,24.0
118,9954.0,46.0
119,9985.0,15.0
120,9983.0,17.0
121,9936.0,64.0
122,9980.0,20.0
123,9980.0,20.0
124,9984.0,16.0
125,9986.0,14.0
126,9981.0,19.0
127,9953.0,47.0
128,9974.0,26.0
129,9977.0,23.0
130,9980.0,20.0
131,9989.0,11.0
132,9975.0,25.0
133,9937.0,63.0
134,9971.0,29.0
135,9982.0,18.0
136,9982.0,18.0
137,9971.0,29.0
138,9990.0,10.0
139,9973.0,27.0
140,9987.0,13.0
141,9986.0,14.0
142,9979.0,21.0
143,9984.0,16.0
144,9978.0,22.0
145,9982.0,18.0
146,9985.0,15.0
147,9984.0,16.0
148,9985.0,15.0
149,9983.0,17.0
150,9980.0,20.0
151,9982.0,18.0
152,9976.0,24.0
153,9969.0,31.0
154,9984.0,16.0
155,9953.0,47.0
156,9981.0,19.0
157,9972.0,28.0
158,9975.0,25.0
159,9987.0,13.0
160,9964.0,36.0
161,9987.0,13.0
162,9982.0,18.0
163,9981.0,19.0
164,9986.0,14.0
165,9990.0,10.0
166,9976.0,24.0
167,9978.0,22.0
168,9981.0,19.0
169,9980.0,20.0
170,9983.0,17.0
171,9983.0,17.0
172,9982.0,18.0
173,9983.0,17.0
174,9978.0,22.0
175,9979.0,21.0
176,9986.0,14.0
177,9987.0,13.0
178,9981.0,19.0
179,9973.0,27.0
180,9939.0,61.0
181,9982.0,18.0
182,9980.0,20.0
183,9976.0,24.0
184,9979.0,21.0
185,9960.0,40.0
186,9977.0,23.0
187,9984.0,16.0
188,9949.0,51.0
189,9983.0,17.0
190,9977.0,23.0
191,9978.0,22.0
192,9978.0,22.0
193,9979.0,21.0
194,9971.0,29.0
195,9950.0,50.0
196,9977.0,23.0
197,9978.0,22.0
198,9976.0,24.0
199,9983.0,17.0
200,9990.0,10.0
201,9992.0,8.0
202,9984.0,16.0
203,9982.0,18.0
204,9984.0,16.0
205,9965.0,35.0
206,9988.0,12.0
207,9985.0,15.0
208,9977.0,23.0
209,9979.0,21.0
210,9983.0,17.0
211,9980.0,20.0
212,9986.0,14.0
213,9982.0,18.0
214,9982.0,18.0
215,9963.0,37.0
216,9981.0,19.0
217,9977.0,23.0
218,9963.0,37.0
219,9980.0,20.0
