,0,1,2,3,4
0,8989.0,557.0,240.0,131.0,83.0
1,8805.0,703.0,227.0,150.0,115.0
2,9232.0,367.0,145.0,135.0,121.0
3,9120.0,459.0,228.0,146.0,47.0
4,9091.0,351.0,358.0,94.0,106.0
5,8576.0,884.0,241.0,131.0,168.0
6,8925.0,605.0,242.0,160.0,68.0
7,8980.0,669.0,131.0,130.0,90.0
8,9089.0,451.0,210.0,132.0,118.0
9,9029.0,579.0,148.0,133.0,111.0
10,9063.0,521.0,209.0,132.0,75.0
11,8622.0,967.0,259.0,91.0,61.0
12,9172.0,506.0,123.0,107.0,92.0
13,8935.0,642.0,206.0,139.0,78.0
14,9056.0,449.0,254.0,156.0,85.0
15,8757.0,735.0,255.0,155.0,98.0
16,9003.0,596.0,225.0,93.0,83.0
17,8922.0,640.0,143.0,197.0,98.0
18,9052.0,538.0,158.0,186.0,66.0
19,9208.0,450.0,174.0,110.0,58.0
20,8914.0,637.0,234.0,124.0,91.0
21,8894.0,736.0,164.0,98.0,108.0
22,9020.0,509.0,202.0,168.0,101.0
23,9325.0,296.0,178.0,119.0,82.0
24,8770.0,733.0,218.0,179.0,100.0
25,9147.0,463.0,153.0,153.0,84.0
26,8747.0,669.0,265.0,166.0,153.0
27,8726.0,735.0,224.0,233.0,82.0
28,8971.0,581.0,270.0,125.0,53.0
29,8739.0,754.0,278.0,148.0,81.0
30,8862.0,783.0,168.0,74.0,113.0
31,8984.0,652.0,187.0,66.0,111.0
32,8978.0,669.0,100.0,161.0,92.0
33,9023.0,613.0,174.0,109.0,81.0
34,9144.0,512.0,102.0,125.0,117.0
35,8873.0,669.0,221.0,117.0,120.0
36,9022.0,527.0,251.0,90.0,110.0
37,8989.0,647.0,167.0,99.0,98.0
38,8844.0,746.0,157.0,117.0,136.0
39,8991.0,586.0,198.0,121.0,104.0
40,9110.0,492.0,164.0,135.0,99.0
41,8931.0,669.0,183.0,133.0,84.0
42,9022.0,608.0,167.0,104.0,99.0
43,8935.0,658.0,187.0,117.0,103.0
44,8978.0,539.0,221.0,169.0,93.0
45,8958.0,693.0,133.0,87.0,129.0
46,9330.0,355.0,113.0,142.0,60.0
47,9219.0,464.0,114.0,81.0,122.0
48,9047.0,490.0,211.0,156.0,96.0
49,9235.0,413.0,163.0,110.0,79.0
50,8926.0,637.0,206.0,116.0,115.0
51,8702.0,893.0,200.0,109.0,96.0
52,8691.0,864.0,230.0,104.0,111.0
53,8773.0,778.0,235.0,118.0,96.0
54,9103.0,491.0,198.0,109.0,99.0
55,8643.0,772.0,315.0,156.0,114.0
56,8902.0,710.0,205.0,81.0,102.0
57,9130.0,435.0,199.0,172.0,64.0
58,9155.0,511.0,159.0,87.0,88.0
59,8850.0,722.0,170.0,175.0,83.0
60,9017.0,628.0,193.0,89.0,73.0
61,9167.0,464.0,128.0,153.0,88.0
62,9232.0,346.0,211.0,88.0,123.0
63,9090.0,497.0,148.0,187.0,78.0
64,8985.0,656.0,88.0,156.0,115.0
65,8660.0,916.0,136.0,208.0,80.0
66,9062.0,607.0,146.0,116.0,69.0
67,8793.0,869.0,187.0,95.0,56.0
68,8825.0,801.0,193.0,96.0,85.0
69,9081.0,554.0,186.0,103.0,76.0
70,8909.0,687.0,211.0,150.0,43.0
71,9034.0,486.0,219.0,162.0,99.0
72,9013.0,548.0,163.0,174.0,102.0
73,8812.0,743.0,253.0,110.0,82.0
74,9043.0,541.0,212.0,116.0,88.0
75,8977.0,596.0,167.0,166.0,94.0
76,8807.0,567.0,331.0,151.0,144.0
77,8874.0,631.0,257.0,152.0,86.0
78,8892.0,741.0,148.0,139.0,80.0
79,8713.0,834.0,198.0,158.0,97.0
80,9087.0,350.0,325.0,130.0,108.0
81,8818.0,704.0,252.0,167.0,59.0
82,9060.0,566.0,155.0,140.0,79.0
83,9053.0,619.0,180.0,79.0,69.0
84,8848.0,679.0,196.0,208.0,69.0
85,9110.0,523.0,152.0,109.0,106.0
86,9062.0,568.0,148.0,121.0,101.0
87,9035.0,642.0,122.0,103.0,98.0
88,9081.0,594.0,157.0,120.0,48.0
89,9039.0,692.0,108.0,71.0,90.0
90,9055.0,556.0,179.0,124.0,86.0
91,8810.0,669.0,290.0,114.0,117.0
92,8545.0,978.0,186.0,190.0,101.0
93,9000.0,577.0,199.0,105.0,119.0
94,9049.0,457.0,245.0,151.0,98.0
95,9194.0,477.0,140.0,107.0,82.0
96,9070.0,466.0,135.0,213.0,116.0
97,9243.0,370.0,150.0,139.0,98.0
98,8927.0,737.0,161.0,69.0,106.0
99,8941.0,596.0,196.0,167.0,100.0
100,8680.0,810.0,277.0,130.0,103.0
101,9106.0,551.0,166.0,104.0,73.0
102,9035.0,561.0,121.0,191.0,92.0
103,8602.0,876.0,233.0,206.0,83.0
104,8939.0,587.0,214.0,146.0,114.0
105,8834.0,705.0,192.0,133.0,136.0
106,9063.0,618.0,139.0,115.0,65.0
107,8996.0,648.0,141.0,125.0,90.0
108,8951.0,557.0,217.0,162.0,113.0
109,8984.0,497.0,204.0,155.0,160.0
110,8696.0,812.0,216.0,156.0,120.0
111,9004.0,574.0,228.0,131.0,63.0
112,8946.0,573.0,293.0,94.0,94.0
113,8938.0,613.0,236.0,105.0,108.0
114,9152.0,470.0,200.0,121.0,57.0
115,9035.0,555.0,197.0,134.0,79.0
116,8844.0,716.0,263.0,99.0,78.0
117,8948.0,662.0,243.0,74.0,73.0
118,8728.0,887.0,180.0,141.0,64.0
119,8979.0,546.0,211.0,207.0,57.0
120,8977.0,662.0,167.0,110.0,84.0
121,8731.0,769.0,273.0,139.0,88.0
122,8777.0,659.0,283.0,176.0,105.0
123,8932.0,699.0,187.0,101.0,81.0
124,8750.0,682.0,247.0,182.0,139.0
125,9183.0,414.0,188.0,112.0,103.0
126,9094.0,453.0,207.0,155.0,91.0
127,9007.0,624.0,167.0,105.0,97.0
128,9115.0,532.0,173.0,84.0,96.0
129,8937.0,637.0,167.0,143.0,116.0
130,9060.0,587.0,140.0,85.0,128.0
131,8997.0,631.0,144.0,139.0,89.0
132,9271.0,394.0,141.0,101.0,93.0
133,8761.0,743.0,150.0,208.0,138.0
134,9332.0,313.0,180.0,94.0,81.0
135,8980.0,600.0,172.0,116.0,132.0
136,9056.0,484.0,242.0,140.0,78.0
137,8822.0,759.0,190.0,117.0,112.0
138,8765.0,782.0,227.0,127.0,99.0
139,8790.0,760.0,243.0,119.0,88.0
140,8948.0,668.0,206.0,70.0,108.0
141,9163.0,466.0,109.0,171.0,91.0
142,9173.0,435.0,193.0,101.0,98.0
143,8922.0,678.0,212.0,115.0,73.0
144,8774.0,749.0,216.0,132.0,129.0
145,9173.0,526.0,181.0,45.0,75.0
146,9190.0,518.0,87.0,110.0,95.0
147,8956.0,449.0,319.0,167.0,109.0
148,9029.0,562.0,220.0,93.0,96.0
149,9015.0,496.0,231.0,191.0,67.0
150,9173.0,310.0,284.0,148.0,85.0
151,8835.0,692.0,264.0,147.0,62.0
152,8872.0,772.0,124.0,134.0,98.0
153,8793.0,728.0,212.0,150.0,117.0
154,8976.0,649.0,190.0,86.0,99.0
155,9105.0,563.0,132.0,131.0,69.0
156,9090.0,566.0,130.0,116.0,98.0
157,8931.0,636.0,216.0,120.0,97.0
158,8894.0,702.0,175.0,115.0,114.0
159,9189.0,427.0,148.0,131.0,105.0
160,8970.0,588.0,244.0,113.0,85.0
161,8962.0,512.0,284.0,116.0,126.0
162,9042.0,606.0,200.0,74.0,78.0
163,8560.0,888.0,337.0,117.0,98.0
164,9049.0,576.0,142.0,127.0,106.0
165,8705.0,809.0,228.0,140.0,118.0
166,9209.0,443.0,171.0,151.0,26.0
167,9050.0,522.0,188.0,128.0,112.0
168,8713.0,748.0,291.0,135.0,113.0
169,8929.0,614.0,206.0,113.0,138.0
170,8884.0,645.0,191.0,170.0,110.0
171,9027.0,577.0,152.0,129.0,115.0
172,8897.0,719.0,155.0,129.0,100.0
173,9351.0,391.0,125.0,93.0,40.0
174,8823.0,794.0,145.0,113.0,125.0
175,8967.0,540.0,173.0,200.0,120.0
176,9043.0,556.0,121.0,182.0,98.0
177,9145.0,459.0,173.0,97.0,126.0
178,8874.0,670.0,206.0,130.0,120.0
179,8752.0,673.0,333.0,129.0,113.0
180,8935.0,707.0,155.0,119.0,84.0
181,8988.0,584.0,209.0,92.0,127.0
182,9070.0,523.0,228.0,82.0,97.0
183,8985.0,472.0,319.0,154.0,70.0
184,9032.0,563.0,211.0,114.0,80.0
185,9077.0,605.0,163.0,71.0,84.0
186,9182.0,412.0,227.0,107.0,72.0
187,8843.0,710.0,251.0,116.0,80.0
188,9078.0,463.0,239.0,132.0,88.0
189,8992.0,601.0,155.0,167.0,85.0
190,8599.0,957.0,212.0,167.0,65.0
191,9063.0,525.0,166.0,139.0,107.0
192,8932.0,590.0,229.0,173.0,76.0
193,9000.0,581.0,132.0,175.0,112.0
194,8721.0,767.0,317.0,83.0,112.0
195,8907.0,645.0,196.0,137.0,115.0
196,9270.0,399.0,114.0,124.0,93.0
197,9017.0,592.0,209.0,88.0,94.0
198,9075.0,569.0,147.0,128.0,81.0
199,8737.0,711.0,290.0,96.0,166.0
200,9175.0,466.0,158.0,107.0,94.0
201,8732.0,736.0,252.0,192.0,88.0
202,9005.0,529.0,189.0,176.0,101.0
203,8914.0,573.0,223.0,203.0,87.0
204,9108.0,511.0,167.0,114.0,100.0
205,8951.0,558.0,206.0,188.0,97.0
206,9133.0,492.0,175.0,124.0,76.0
207,9252.0,365.0,151.0,130.0,102.0
208,8650.0,837.0,213.0,149.0,151.0
209,9190.0,423.0,200.0,94.0,93.0
210,8702.0,860.0,245.0,104.0,89.0
211,8949.0,629.0,209.0,127.0,86.0
212,9194.0,471.0,177.0,76.0,82.0
213,9025.0,446.0,198.0,159.0,172.0
214,9216.0,374.0,213.0,100.0,97.0
215,9029.0,483.0,265.0,121.0,102.0
216,9042.0,571.0,185.0,139.0,63.0
217,9019.0,525.0,222.0,154.0,80.0
218,8986.0,543.0,238.0,135.0,98.0
219,9142.0,529.0,104.0,123.0,102.0
220,8852.0,745.0,198.0,116.0,89.0
221,8970.0,634.0,171.0,133.0,92.0
222,9065.0,522.0,253.0,77.0,83.0
223,8828.0,610.0,322.0,133.0,107.0
224,8872.0,770.0,171.0,123.0,64.0
225,8930.0,647.0,229.0,128.0,66.0
226,9231.0,417.0,180.0,112.0,60.0
227,8825.0,825.0,182.0,72.0,96.0
228,8716.0,812.0,266.0,149.0,57.0
229,9205.0,415.0,164.0,141.0,75.0
230,8987.0,540.0,218.0,140.0,115.0
231,9282.0,359.0,163.0,115.0,81.0
232,9224.0,322.0,228.0,119.0,107.0
233,8906.0,643.0,198.0,162.0,91.0
234,9120.0,500.0,234.0,64.0,82.0
235,8946.0,647.0,212.0,114.0,81.0
236,9188.0,362.0,181.0,174.0,95.0
237,8878.0,559.0,227.0,213.0,123.0
238,9112.0,408.0,276.0,126.0,78.0
239,8760.0,840.0,135.0,167.0,98.0
240,8987.0,484.0,276.0,185.0,68.0
241,9103.0,403.0,243.0,123.0,128.0
242,9073.0,559.0,147.0,96.0,125.0
243,9043.0,539.0,214.0,134.0,70.0
244,8725.0,715.0,277.0,143.0,140.0
245,8741.0,890.0,155.0,113.0,101.0
246,9056.0,510.0,191.0,164.0,79.0
247,8634.0,926.0,190.0,142.0,108.0
248,8830.0,689.0,288.0,144.0,49.0
249,8755.0,751.0,211.0,166.0,117.0
250,9021.0,579.0,215.0,75.0,110.0
251,9033.0,630.0,174.0,114.0,49.0
252,9094.0,584.0,160.0,78.0,84.0
253,9112.0,533.0,126.0,164.0,65.0
254,9281.0,435.0,116.0,76.0,92.0
255,8795.0,872.0,152.0,86.0,95.0
256,9304.0,381.0,154.0,93.0,68.0
257,8909.0,710.0,191.0,139.0,51.0
258,9202.0,470.0,128.0,128.0,72.0
259,8989.0,637.0,160.0,103.0,111.0
260,9105.0,584.0,112.0,134.0,65.0
