,0,1,2,3,4
0,9976.0,3.0,15.0,4.0,2.0
1,9992.0,3.0,2.0,1.0,2.0
2,9962.0,1.0,9.0,27.0,1.0
3,17.0,9973.0,2.0,6.0,2.0
4,9939.0,52.0,2.0,4.0,3.0
5,4.0,9965.0,2.0,26.0,3.0
6,9984.0,9.0,2.0,3.0,2.0
7,9988.0,6.0,1.0,2.0,3.0
8,3.0,9986.0,5.0,5.0,1.0
9,9975.0,16.0,1.0,1.0,7.0
10,9985.0,5.0,4.0,4.0,2.0
11,9495.0,6.0,476.0,2.0,21.0
12,9984.0,2.0,10.0,3.0,1.0
13,9977.0,3.0,2.0,6.0,12.0
14,9929.0,3.0,2.0,63.0,3.0
15,9978.0,2.0,4.0,14.0,2.0
16,9972.0,5.0,2.0,16.0,5.0
17,9985.0,9.0,3.0,1.0,2.0
18,9979.0,3.0,4.0,13.0,1.0
19,9991.0,2.0,3.0,1.0,3.0
20,9986.0,2.0,3.0,6.0,3.0
21,1.0,9981.0,9.0,3.0,6.0
22,9980.0,9.0,3.0,7.0,1.0
23,19.0,9966.0,3.0,7.0,5.0
24,4.0,9987.0,3.0,4.0,2.0
25,9990.0,3.0,1.0,3.0,3.0
26,2.0,9989.0,4.0,3.0,2.0
27,9965.0,27.0,3.0,3.0,2.0
28,2.0,2.0,9976.0,19.0,1.0
29,9983.0,1.0,6.0,3.0,7.0
30,2.0,9986.0,8.0,3.0,1.0
31,9988.0,2.0,4.0,3.0,3.0
32,9976.0,4.0,2.0,5.0,13.0
33,5.0,9934.0,4.0,53.0,4.0
34,9418.0,2.0,5.0,573.0,2.0
35,6.0,12.0,9977.0,2.0,3.0
36,9948.0,45.0,3.0,2.0,2.0
37,9987.0,4.0,3.0,2.0,4.0
38,9972.0,6.0,9.0,11.0,2.0
39,9992.0,3.0,2.0,1.0,2.0
40,9973.0,23.0,1.0,1.0,2.0
41,9959.0,3.0,6.0,11.0,21.0
42,9975.0,3.0,5.0,2.0,15.0
43,9990.0,2.0,2.0,3.0,3.0
44,13.0,9975.0,6.0,5.0,1.0
45,9969.0,3.0,8.0,14.0,6.0
46,9966.0,28.0,1.0,3.0,2.0
47,9979.0,4.0,14.0,1.0,2.0
48,6.0,9924.0,65.0,3.0,2.0
49,9965.0,4.0,1.0,4.0,26.0
50,9988.0,4.0,2.0,4.0,2.0
51,1.0,9937.0,56.0,3.0,3.0
52,9975.0,12.0,4.0,4.0,5.0
53,9972.0,9.0,8.0,8.0,3.0
54,9987.0,3.0,4.0,2.0,4.0
55,9868.0,20.0,3.0,108.0,1.0
56,9989.0,3.0,3.0,3.0,2.0
57,3.0,9928.0,61.0,6.0,2.0
58,9978.0,15.0,2.0,3.0,2.0
59,9994.0,2.0,2.0,1.0,1.0
60,9962.0,30.0,3.0,4.0,1.0
61,9982.0,2.0,4.0,4.0,8.0
62,7.0,9935.0,3.0,32.0,23.0
63,9.0,9981.0,1.0,3.0,6.0
64,3.0,9954.0,9.0,32.0,2.0
65,6.0,9978.0,2.0,4.0,10.0
66,9983.0,2.0,6.0,5.0,4.0
67,9965.0,3.0,24.0,2.0,6.0
68,3.0,1.0,9992.0,2.0,2.0
69,1.0,9989.0,2.0,4.0,4.0
70,9990.0,2.0,3.0,1.0,4.0
71,2.0,9949.0,44.0,3.0,2.0
72,9987.0,6.0,3.0,1.0,3.0
73,9649.0,343.0,1.0,4.0,3.0
74,9980.0,9.0,2.0,5.0,4.0
75,9985.0,4.0,5.0,3.0,3.0
76,6.0,9984.0,6.0,3.0,1.0
77,9991.0,1.0,2.0,3.0,3.0
78,2.0,9967.0,26.0,3.0,2.0
79,2.0,14.0,8.0,9973.0,3.0
80,9989.0,1.0,4.0,3.0,3.0
81,9971.0,3.0,21.0,3.0,2.0
82,9978.0,4.0,7.0,1.0,10.0
83,9986.0,3.0,4.0,2.0,5.0
84,4.0,9984.0,5.0,3.0,4.0
85,9982.0,5.0,1.0,1.0,11.0
86,9971.0,9.0,3.0,9.0,8.0
87,9983.0,5.0,3.0,6.0,3.0
88,9985.0,1.0,5.0,7.0,2.0
89,9966.0,28.0,3.0,2.0,1.0
90,9991.0,3.0,1.0,2.0,3.0
91,4.0,9962.0,4.0,27.0,3.0
92,2451.0,8.0,1.0,7537.0,3.0
93,3.0,8985.0,19.0,989.0,4.0
94,9909.0,3.0,76.0,4.0,8.0
95,9952.0,5.0,1.0,41.0,1.0
96,2.0,9987.0,1.0,2.0,8.0
97,9830.0,163.0,1.0,2.0,4.0
98,9950.0,3.0,4.0,35.0,8.0
99,14.0,9976.0,4.0,4.0,2.0
100,9988.0,4.0,5.0,2.0,1.0
101,9973.0,18.0,3.0,1.0,5.0
102,9972.0,5.0,1.0,9.0,13.0
103,9987.0,3.0,1.0,4.0,5.0
104,9986.0,1.0,8.0,3.0,2.0
105,2.0,9981.0,11.0,2.0,4.0
106,9987.0,4.0,3.0,1.0,5.0
107,9976.0,14.0,2.0,4.0,4.0
108,6848.0,3133.0,9.0,5.0,5.0
109,9986.0,3.0,2.0,5.0,4.0
110,9985.0,6.0,2.0,6.0,1.0
111,2.0,3.0,4.0,9989.0,2.0
112,3195.0,2.0,6769.0,3.0,31.0
113,9984.0,2.0,7.0,4.0,3.0
114,3.0,5.0,9980.0,10.0,2.0
115,9941.0,2.0,13.0,37.0,7.0
116,9987.0,1.0,3.0,5.0,4.0
117,3.0,9989.0,2.0,4.0,2.0
118,9923.0,4.0,4.0,68.0,1.0
119,9985.0,3.0,6.0,5.0,1.0
120,3.0,2.0,9989.0,2.0,4.0
121,9982.0,4.0,9.0,2.0,3.0
122,9977.0,5.0,14.0,3.0,1.0
123,9980.0,13.0,3.0,3.0,1.0
124,9944.0,7.0,38.0,7.0,4.0
