,0,1,2,3,4
0,9938.0,14.0,14.0,20.0,14.0
1,9851.0,111.0,13.0,13.0,12.0
2,9906.0,25.0,25.0,22.0,22.0
3,9946.0,23.0,11.0,10.0,10.0
4,9024.0,939.0,13.0,12.0,12.0
5,9921.0,18.0,17.0,28.0,16.0
6,9920.0,22.0,20.0,19.0,19.0
7,9896.0,63.0,14.0,14.0,13.0
8,9939.0,16.0,15.0,15.0,15.0
9,9946.0,14.0,14.0,13.0,13.0
10,9869.0,86.0,15.0,15.0,15.0
11,9906.0,57.0,13.0,12.0,12.0
12,9946.0,14.0,14.0,13.0,13.0
13,9935.0,21.0,15.0,15.0,14.0
14,9950.0,14.0,12.0,12.0,12.0
15,9926.0,21.0,17.0,19.0,17.0
16,9936.0,19.0,15.0,15.0,15.0
17,9912.0,17.0,37.0,17.0,17.0
18,9958.0,11.0,11.0,10.0,10.0
19,9941.0,15.0,15.0,15.0,14.0
20,9892.0,65.0,15.0,14.0,14.0
21,9936.0,20.0,15.0,15.0,14.0
22,9867.0,95.0,13.0,13.0,12.0
23,9935.0,18.0,16.0,16.0,15.0
24,9944.0,14.0,14.0,14.0,14.0
25,9917.0,21.0,21.0,21.0,20.0
26,9949.0,13.0,13.0,13.0,12.0
27,9944.0,18.0,13.0,13.0,12.0
28,9943.0,15.0,14.0,14.0,14.0
29,9954.0,12.0,12.0,11.0,11.0
30,1346.0,8592.0,26.0,18.0,18.0
31,9912.0,34.0,22.0,16.0,16.0
32,9947.0,14.0,13.0,13.0,13.0
33,9953.0,12.0,12.0,12.0,11.0
34,9956.0,11.0,11.0,11.0,11.0
35,9964.0,9.0,10.0,9.0,8.0
36,9946.0,14.0,14.0,13.0,13.0
37,9927.0,17.0,17.0,22.0,17.0
38,9932.0,15.0,15.0,24.0,14.0
39,9923.0,34.0,14.0,15.0,14.0
40,9931.0,15.0,26.0,14.0,14.0
41,9941.0,14.0,18.0,14.0,13.0
42,9919.0,22.0,20.0,20.0,19.0
43,16.0,9921.0,38.0,13.0,12.0
44,9922.0,20.0,20.0,19.0,19.0
45,9944.0,14.0,14.0,14.0,14.0
46,9926.0,19.0,19.0,18.0,18.0
47,9885.0,26.0,26.0,26.0,37.0
48,9922.0,49.0,10.0,10.0,9.0
49,9895.0,67.0,13.0,13.0,12.0
50,9949.0,14.0,13.0,12.0,12.0
51,9958.0,13.0,10.0,10.0,9.0
52,9919.0,27.0,18.0,18.0,18.0
53,19.0,9900.0,43.0,19.0,19.0
54,9950.0,15.0,12.0,12.0,11.0
55,9940.0,15.0,15.0,15.0,15.0
56,9837.0,109.0,18.0,18.0,18.0
57,9930.0,24.0,16.0,15.0,15.0
58,9941.0,22.0,13.0,12.0,12.0
59,9948.0,13.0,13.0,13.0,13.0
60,9924.0,24.0,18.0,17.0,17.0
61,9935.0,26.0,13.0,13.0,13.0
62,9643.0,309.0,16.0,16.0,16.0
63,9923.0,41.0,12.0,12.0,12.0
64,9916.0,40.0,15.0,15.0,14.0
65,25.0,9921.0,18.0,18.0,18.0
66,9924.0,34.0,14.0,14.0,14.0
67,9939.0,15.0,14.0,18.0,14.0
68,9935.0,19.0,16.0,15.0,15.0
69,9474.0,484.0,14.0,14.0,14.0
70,9821.0,104.0,34.0,21.0,20.0
71,9930.0,26.0,15.0,15.0,14.0
72,9952.0,12.0,12.0,12.0,12.0
73,9053.0,913.0,12.0,11.0,11.0
74,9939.0,16.0,15.0,15.0,15.0
75,9892.0,70.0,12.0,14.0,12.0
76,9936.0,14.0,24.0,13.0,13.0
77,9926.0,22.0,18.0,17.0,17.0
78,9920.0,17.0,17.0,30.0,16.0
79,9934.0,27.0,13.0,13.0,13.0
80,9959.0,11.0,10.0,10.0,10.0
81,9944.0,14.0,14.0,14.0,14.0
82,9828.0,120.0,18.0,17.0,17.0
83,9924.0,24.0,18.0,17.0,17.0
84,9926.0,22.0,18.0,17.0,17.0
85,9461.0,313.0,186.0,20.0,20.0
86,9912.0,19.0,33.0,18.0,18.0
87,9820.0,122.0,20.0,19.0,19.0
88,9933.0,41.0,9.0,9.0,8.0
89,9919.0,43.0,13.0,13.0,12.0
90,9932.0,31.0,13.0,12.0,12.0
91,9945.0,13.0,16.0,13.0,13.0
92,9928.0,18.0,18.0,18.0,18.0
93,3303.0,6637.0,20.0,20.0,20.0
94,9904.0,35.0,21.0,20.0,20.0
95,14.0,9946.0,14.0,13.0,13.0
96,9937.0,16.0,16.0,16.0,15.0
97,9943.0,12.0,12.0,11.0,22.0
98,9936.0,16.0,16.0,16.0,16.0
99,9948.0,17.0,12.0,12.0,11.0
100,9780.0,168.0,18.0,17.0,17.0
101,9947.0,13.0,13.0,12.0,15.0
102,9956.0,11.0,11.0,11.0,11.0
103,16.0,9947.0,13.0,12.0,12.0
104,9942.0,15.0,15.0,14.0,14.0
105,9947.0,14.0,13.0,13.0,13.0
106,9946.0,13.0,13.0,16.0,12.0
107,9934.0,17.0,17.0,16.0,16.0
108,9947.0,14.0,13.0,13.0,13.0
109,9928.0,24.0,16.0,16.0,16.0
110,9931.0,19.0,17.0,17.0,16.0
111,9924.0,27.0,17.0,16.0,16.0
112,9858.0,41.0,41.0,30.0,30.0
113,9954.0,12.0,12.0,11.0,11.0
114,9903.0,51.0,16.0,15.0,15.0
115,9958.0,11.0,11.0,10.0,10.0
116,9950.0,13.0,13.0,12.0,12.0
117,9959.0,12.0,10.0,10.0,9.0
118,9949.0,13.0,13.0,13.0,12.0
119,9905.0,24.0,24.0,24.0,23.0
120,9959.0,11.0,10.0,10.0,10.0
121,9949.0,12.0,12.0,11.0,16.0
122,9947.0,13.0,14.0,13.0,13.0
123,9948.0,13.0,13.0,13.0,13.0
124,9904.0,42.0,18.0,18.0,18.0
125,9921.0,24.0,19.0,18.0,18.0
126,9953.0,12.0,12.0,12.0,11.0
127,9955.0,15.0,10.0,10.0,10.0
128,9583.0,327.0,45.0,23.0,22.0
129,9946.0,14.0,14.0,13.0,13.0
130,9622.0,331.0,16.0,16.0,15.0
131,9915.0,17.0,31.0,21.0,16.0
132,9925.0,33.0,14.0,14.0,14.0
133,9917.0,42.0,14.0,14.0,13.0
134,9353.0,18.0,595.0,17.0,17.0
135,9948.0,13.0,12.0,15.0,12.0
136,9928.0,24.0,15.0,19.0,14.0
137,1691.0,33.0,8220.0,32.0,24.0
138,9903.0,21.0,35.0,21.0,20.0
139,9934.0,25.0,14.0,14.0,13.0
140,9927.0,25.0,16.0,16.0,16.0
141,25.0,9893.0,45.0,19.0,18.0
142,9931.0,19.0,17.0,17.0,16.0
143,9911.0,13.0,13.0,12.0,51.0
144,9900.0,14.0,60.0,13.0,13.0
145,9955.0,12.0,11.0,11.0,11.0
146,9934.0,31.0,12.0,12.0,11.0
147,9902.0,33.0,22.0,22.0,21.0
148,9939.0,17.0,15.0,15.0,14.0
149,9954.0,12.0,12.0,11.0,11.0
150,9954.0,12.0,12.0,11.0,11.0
151,9950.0,13.0,13.0,12.0,12.0
152,9911.0,20.0,31.0,19.0,19.0
153,9947.0,14.0,13.0,13.0,13.0
154,9883.0,78.0,13.0,13.0,13.0
155,9956.0,10.0,10.0,10.0,14.0
156,9919.0,36.0,15.0,15.0,15.0
157,9917.0,19.0,33.0,16.0,15.0
158,9952.0,12.0,12.0,12.0,12.0
159,9950.0,13.0,13.0,12.0,12.0
160,9831.0,124.0,15.0,15.0,15.0
161,9941.0,15.0,15.0,15.0,14.0
162,9959.0,11.0,10.0,10.0,10.0
163,17.0,9932.0,17.0,17.0,17.0
164,9936.0,26.0,13.0,13.0,12.0
165,9961.0,10.0,10.0,10.0,9.0
166,9902.0,24.0,39.0,18.0,17.0
167,9742.0,50.0,178.0,15.0,15.0
168,9949.0,13.0,13.0,13.0,12.0
169,9958.0,11.0,11.0,10.0,10.0
170,9935.0,17.0,16.0,16.0,16.0
171,9952.0,12.0,12.0,12.0,12.0
172,9906.0,53.0,14.0,14.0,13.0
173,9945.0,12.0,12.0,20.0,11.0
174,9941.0,19.0,14.0,13.0,13.0
175,9947.0,16.0,13.0,12.0,12.0
176,9929.0,27.0,15.0,15.0,14.0
177,9956.0,11.0,11.0,11.0,11.0
178,9952.0,12.0,12.0,12.0,12.0
179,9942.0,15.0,15.0,14.0,14.0
180,9923.0,20.0,24.0,17.0,16.0
181,9941.0,14.0,19.0,13.0,13.0
182,9961.0,10.0,10.0,10.0,9.0
183,9893.0,23.0,46.0,19.0,19.0
184,9941.0,15.0,15.0,15.0,14.0
185,9891.0,42.0,23.0,22.0,22.0
186,9944.0,14.0,14.0,15.0,13.0
187,9952.0,12.0,12.0,12.0,12.0
188,9945.0,14.0,14.0,14.0,13.0
189,9902.0,52.0,16.0,15.0,15.0
190,9942.0,15.0,15.0,14.0,14.0
191,9937.0,22.0,14.0,14.0,13.0
192,9928.0,19.0,18.0,18.0,17.0
193,9943.0,15.0,14.0,14.0,14.0
194,9732.0,225.0,15.0,14.0,14.0
195,9939.0,14.0,20.0,14.0,13.0
196,9943.0,15.0,14.0,14.0,14.0
197,9944.0,14.0,14.0,14.0,14.0
198,9944.0,14.0,14.0,14.0,14.0
199,9939.0,16.0,15.0,15.0,15.0
200,9934.0,19.0,16.0,16.0,15.0
201,9948.0,12.0,12.0,16.0,12.0
202,9933.0,28.0,13.0,14.0,12.0
203,9955.0,12.0,11.0,11.0,11.0
204,8648.0,1305.0,16.0,16.0,15.0
205,9927.0,32.0,15.0,13.0,13.0
206,9922.0,20.0,20.0,19.0,19.0
207,9947.0,14.0,13.0,13.0,13.0
208,9960.0,10.0,10.0,10.0,10.0
209,9930.0,29.0,14.0,14.0,13.0
210,9921.0,21.0,20.0,19.0,19.0
211,9875.0,26.0,47.0,26.0,26.0
212,9937.0,16.0,16.0,16.0,15.0
213,9948.0,14.0,13.0,13.0,12.0
214,9889.0,68.0,15.0,14.0,14.0
215,9849.0,19.0,98.0,17.0,17.0
216,9951.0,13.0,12.0,12.0,12.0
217,20.0,9927.0,18.0,18.0,17.0
218,9886.0,65.0,17.0,16.0,16.0
219,9939.0,18.0,15.0,14.0,14.0
220,14.0,9942.0,13.0,18.0,13.0
221,9954.0,14.0,11.0,11.0,10.0
222,5376.0,4526.0,36.0,31.0,31.0
223,7408.0,2515.0,24.0,29.0,24.0
224,9960.0,10.0,10.0,10.0,10.0
225,9912.0,27.0,15.0,15.0,31.0
226,9886.0,67.0,16.0,16.0,15.0
227,9950.0,13.0,13.0,12.0,12.0
228,9952.0,12.0,12.0,12.0,12.0
229,9962.0,10.0,10.0,9.0,9.0
230,9914.0,36.0,17.0,17.0,16.0
231,9943.0,14.0,14.0,13.0,16.0
