,0,1,2,3,4
0,3.0,9958.0,21.0,12.0,6.0
1,2.0,9977.0,1.0,14.0,6.0
2,9980.0,10.0,4.0,3.0,3.0
3,9983.0,10.0,2.0,3.0,2.0
4,9961.0,23.0,3.0,5.0,8.0
5,9.0,9944.0,5.0,32.0,10.0
6,9964.0,20.0,2.0,10.0,4.0
7,9951.0,29.0,6.0,6.0,8.0
8,9981.0,5.0,9.0,1.0,4.0
9,9970.0,10.0,2.0,15.0,3.0
10,6.0,9959.0,17.0,5.0,13.0
11,9968.0,7.0,10.0,7.0,8.0
12,9890.0,99.0,1.0,7.0,3.0
13,9753.0,220.0,1.0,21.0,5.0
14,9958.0,18.0,17.0,3.0,4.0
15,2.0,9965.0,19.0,12.0,2.0
16,9919.0,55.0,15.0,5.0,6.0
17,9889.0,79.0,8.0,21.0,3.0
18,9884.0,3.0,94.0,14.0,5.0
19,9961.0,26.0,3.0,3.0,7.0
20,9972.0,4.0,9.0,9.0,6.0
21,9973.0,11.0,3.0,6.0,7.0
22,9472.0,4.0,4.0,492.0,28.0
23,4.0,9929.0,32.0,28.0,7.0
24,9974.0,6.0,7.0,7.0,6.0
25,5.0,9913.0,50.0,26.0,6.0
26,9930.0,59.0,2.0,5.0,4.0
27,9969.0,9.0,13.0,4.0,5.0
28,9967.0,16.0,7.0,6.0,4.0
29,9919.0,73.0,1.0,4.0,3.0
30,9957.0,37.0,1.0,4.0,1.0
31,9795.0,176.0,6.0,20.0,3.0
32,9959.0,25.0,2.0,10.0,4.0
33,9952.0,24.0,17.0,4.0,3.0
34,9976.0,12.0,5.0,3.0,4.0
35,4.0,9977.0,9.0,9.0,1.0
36,9985.0,7.0,3.0,4.0,1.0
37,1.0,9986.0,8.0,1.0,4.0
38,9959.0,12.0,16.0,2.0,11.0
39,9862.0,123.0,6.0,8.0,1.0
40,9984.0,6.0,7.0,2.0,1.0
41,9976.0,4.0,11.0,4.0,5.0
42,9983.0,1.0,4.0,6.0,6.0
43,9815.0,168.0,4.0,5.0,8.0
44,9639.0,347.0,7.0,6.0,1.0
45,9978.0,1.0,12.0,8.0,1.0
46,9962.0,5.0,17.0,10.0,6.0
47,9978.0,1.0,14.0,4.0,3.0
48,9958.0,29.0,5.0,2.0,6.0
49,9979.0,4.0,14.0,2.0,1.0
50,9977.0,10.0,5.0,6.0,2.0
51,21.0,9968.0,8.0,1.0,2.0
52,9922.0,61.0,8.0,4.0,5.0
53,9949.0,16.0,21.0,8.0,6.0
54,9974.0,12.0,4.0,4.0,6.0
55,4278.0,5690.0,7.0,15.0,10.0
56,9964.0,16.0,13.0,1.0,6.0
57,9.0,9972.0,5.0,6.0,8.0
58,9503.0,462.0,29.0,4.0,2.0
59,9970.0,19.0,5.0,2.0,4.0
60,9951.0,22.0,19.0,7.0,1.0
61,9916.0,1.0,2.0,75.0,6.0
62,9977.0,4.0,7.0,4.0,8.0
63,9975.0,12.0,4.0,2.0,7.0
64,9845.0,138.0,4.0,11.0,2.0
65,9968.0,14.0,11.0,3.0,4.0
