,0,1
0,471.0,29.0
1,494.0,6.0
2,9.0,491.0
3,486.0,14.0
4,495.0,5.0
5,494.0,6.0
6,493.0,7.0
7,495.0,5.0
8,493.0,7.0
9,494.0,6.0
10,483.0,17.0
11,487.0,13.0
12,471.0,29.0
13,488.0,12.0
14,488.0,12.0
15,493.0,7.0
16,491.0,9.0
17,475.0,25.0
18,490.0,10.0
19,493.0,7.0
20,233.0,267.0
21,491.0,9.0
22,483.0,17.0
23,450.0,50.0
24,494.0,6.0
25,484.0,16.0
26,494.0,6.0
27,463.0,37.0
28,496.0,4.0
29,489.0,11.0
30,371.0,129.0
31,492.0,8.0
32,476.0,24.0
33,493.0,7.0
34,438.0,62.0
35,419.0,81.0
36,492.0,8.0
37,491.0,9.0
38,467.0,33.0
39,491.0,9.0
40,494.0,6.0
41,479.0,21.0
42,475.0,25.0
43,487.0,13.0
44,490.0,10.0
45,481.0,19.0
46,488.0,12.0
47,483.0,17.0
48,491.0,9.0
49,477.0,23.0
50,492.0,8.0
51,493.0,7.0
52,491.0,9.0
53,497.0,3.0
54,452.0,48.0
55,483.0,17.0
56,484.0,16.0
57,490.0,10.0
58,496.0,4.0
59,457.0,43.0
60,485.0,15.0
61,471.0,29.0
62,120.0,380.0
63,492.0,8.0
64,477.0,23.0
65,492.0,8.0
66,492.0,8.0
67,489.0,11.0
68,494.0,6.0
69,491.0,9.0
70,491.0,9.0
71,495.0,5.0
72,407.0,93.0
73,477.0,23.0
74,493.0,7.0
75,491.0,9.0
76,494.0,6.0
77,490.0,10.0
78,491.0,9.0
79,492.0,8.0
80,489.0,11.0
81,488.0,12.0
82,489.0,11.0
83,7.0,493.0
84,489.0,11.0
85,488.0,12.0
86,491.0,9.0
87,494.0,6.0
88,487.0,13.0
89,483.0,17.0
90,495.0,5.0
91,480.0,20.0
92,495.0,5.0
93,488.0,12.0
94,487.0,13.0
95,485.0,15.0
96,489.0,11.0
97,480.0,20.0
98,490.0,10.0
99,285.0,215.0
100,495.0,5.0
101,489.0,11.0
102,494.0,6.0
103,487.0,13.0
104,379.0,121.0
105,493.0,7.0
106,496.0,4.0
107,493.0,7.0
108,7.0,493.0
109,484.0,16.0
110,298.0,202.0
111,496.0,4.0
112,483.0,17.0
113,491.0,9.0
114,491.0,9.0
115,495.0,5.0
116,488.0,12.0
117,493.0,7.0
118,486.0,14.0
119,137.0,363.0
120,494.0,6.0
121,492.0,8.0
122,463.0,37.0
123,493.0,7.0
124,472.0,28.0
125,461.0,39.0
126,469.0,31.0
127,492.0,8.0
128,490.0,10.0
