,0,1
0,495.0,5.0
1,497.0,3.0
2,497.0,3.0
3,497.0,3.0
4,53.0,447.0
5,498.0,2.0
6,491.0,9.0
7,497.0,3.0
8,491.0,9.0
9,497.0,3.0
10,485.0,15.0
11,497.0,3.0
12,490.0,10.0
13,490.0,10.0
14,3.0,497.0
15,495.0,5.0
16,377.0,123.0
17,496.0,4.0
18,495.0,5.0
19,496.0,4.0
20,497.0,3.0
21,492.0,8.0
22,498.0,2.0
23,493.0,7.0
24,494.0,6.0
25,497.0,3.0
26,494.0,6.0
27,477.0,23.0
28,4.0,496.0
29,494.0,6.0
30,483.0,17.0
31,3.0,497.0
32,496.0,4.0
33,494.0,6.0
34,496.0,4.0
35,5.0,495.0
36,497.0,3.0
37,490.0,10.0
38,483.0,17.0
39,497.0,3.0
40,497.0,3.0
41,5.0,495.0
42,496.0,4.0
43,496.0,4.0
44,3.0,497.0
45,486.0,14.0
46,495.0,5.0
47,487.0,13.0
48,493.0,7.0
49,496.0,4.0
50,498.0,2.0
51,494.0,6.0
52,1.0,499.0
53,489.0,11.0
54,494.0,6.0
55,498.0,2.0
56,487.0,13.0
57,12.0,488.0
58,494.0,6.0
59,498.0,2.0
60,465.0,35.0
61,493.0,7.0
62,498.0,2.0
63,498.0,2.0
64,497.0,3.0
65,494.0,6.0
66,5.0,495.0
67,483.0,17.0
68,494.0,6.0
69,416.0,84.0
70,491.0,9.0
71,494.0,6.0
72,491.0,9.0
73,476.0,24.0
74,496.0,4.0
75,498.0,2.0
76,495.0,5.0
77,478.0,22.0
78,497.0,3.0
79,499.0,1.0
80,494.0,6.0
81,493.0,7.0
82,497.0,3.0
83,498.0,2.0
84,3.0,497.0
85,495.0,5.0
86,474.0,26.0
87,498.0,2.0
88,236.0,264.0
89,497.0,3.0
90,466.0,34.0
91,496.0,4.0
92,494.0,6.0
93,496.0,4.0
94,497.0,3.0
95,497.0,3.0
96,497.0,3.0
97,471.0,29.0
98,494.0,6.0
99,499.0,1.0
100,493.0,7.0
101,492.0,8.0
102,485.0,15.0
103,495.0,5.0
104,4.0,496.0
105,16.0,484.0
106,493.0,7.0
107,494.0,6.0
108,497.0,3.0
109,495.0,5.0
110,493.0,7.0
111,481.0,19.0
112,364.0,136.0
113,493.0,7.0
114,495.0,5.0
115,496.0,4.0
116,494.0,6.0
117,494.0,6.0
118,498.0,2.0
119,496.0,4.0
120,496.0,4.0
121,495.0,5.0
122,480.0,20.0
123,336.0,164.0
124,496.0,4.0
125,494.0,6.0
126,495.0,5.0
127,498.0,2.0
128,496.0,4.0
129,497.0,3.0
130,492.0,8.0
131,492.0,8.0
132,498.0,2.0
133,498.0,2.0
134,496.0,4.0
135,497.0,3.0
136,492.0,8.0
137,495.0,5.0
138,493.0,7.0
139,5.0,495.0
140,496.0,4.0
141,403.0,97.0
142,392.0,108.0
143,494.0,6.0
144,491.0,9.0
145,495.0,5.0
146,495.0,5.0
147,4.0,496.0
148,495.0,5.0
149,492.0,8.0
150,499.0,1.0
151,498.0,2.0
152,2.0,498.0
153,496.0,4.0
154,492.0,8.0
155,490.0,10.0
156,445.0,55.0
157,461.0,39.0
158,129.0,371.0
159,497.0,3.0
160,497.0,3.0
161,493.0,7.0
162,492.0,8.0
163,478.0,22.0
164,496.0,4.0
165,420.0,80.0
166,495.0,5.0
167,490.0,10.0
168,492.0,8.0
169,432.0,68.0
170,496.0,4.0
171,495.0,5.0
172,491.0,9.0
173,489.0,11.0
174,3.0,497.0
175,470.0,30.0
176,497.0,3.0
177,496.0,4.0
178,495.0,5.0
179,495.0,5.0
180,497.0,3.0
181,495.0,5.0
182,493.0,7.0
183,494.0,6.0
184,497.0,3.0
185,496.0,4.0
186,498.0,2.0
187,495.0,5.0
188,496.0,4.0
189,494.0,6.0
190,496.0,4.0
191,454.0,46.0
192,495.0,5.0
193,494.0,6.0
194,489.0,11.0
195,496.0,4.0
196,492.0,8.0
197,497.0,3.0
198,6.0,494.0
199,495.0,5.0
200,3.0,497.0
201,2.0,498.0
202,495.0,5.0
203,497.0,3.0
204,465.0,35.0
205,219.0,281.0
206,497.0,3.0
207,498.0,2.0
208,477.0,23.0
209,499.0,1.0
210,495.0,5.0
211,494.0,6.0
212,6.0,494.0
213,488.0,12.0
214,491.0,9.0
215,495.0,5.0
216,497.0,3.0
217,494.0,6.0
218,491.0,9.0
219,496.0,4.0
220,496.0,4.0
221,497.0,3.0
222,496.0,4.0
223,495.0,5.0
224,495.0,5.0
225,497.0,3.0
226,498.0,2.0
227,495.0,5.0
228,496.0,4.0
229,3.0,497.0
230,493.0,7.0
231,498.0,2.0
232,497.0,3.0
233,497.0,3.0
234,496.0,4.0
235,495.0,5.0
236,489.0,11.0
237,403.0,97.0
238,4.0,496.0
239,496.0,4.0
240,494.0,6.0
241,15.0,485.0
242,495.0,5.0
243,6.0,494.0
244,492.0,8.0
245,483.0,17.0
246,498.0,2.0
247,495.0,5.0
248,493.0,7.0
249,8.0,492.0
250,494.0,6.0
251,494.0,6.0
252,496.0,4.0
253,497.0,3.0
254,497.0,3.0
255,494.0,6.0
256,6.0,494.0
257,495.0,5.0
258,491.0,9.0
259,495.0,5.0
260,495.0,5.0
261,497.0,3.0
262,449.0,51.0
263,491.0,9.0
264,165.0,335.0
265,495.0,5.0
266,499.0,1.0
267,495.0,5.0
268,497.0,3.0
269,491.0,9.0
270,150.0,350.0
271,497.0,3.0
272,495.0,5.0
273,487.0,13.0
274,490.0,10.0
275,6.0,494.0
276,3.0,497.0
277,495.0,5.0
278,488.0,12.0
279,495.0,5.0
280,495.0,5.0
281,466.0,34.0
282,497.0,3.0
283,492.0,8.0
284,369.0,131.0
285,482.0,18.0
286,494.0,6.0
287,495.0,5.0
288,495.0,5.0
289,496.0,4.0
290,430.0,70.0
291,494.0,6.0
292,496.0,4.0
293,497.0,3.0
294,493.0,7.0
295,495.0,5.0
296,493.0,7.0
297,494.0,6.0
298,455.0,45.0
299,496.0,4.0
300,493.0,7.0
301,496.0,4.0
302,475.0,25.0
303,493.0,7.0
304,485.0,15.0
305,2.0,498.0
306,1.0,499.0
307,497.0,3.0
308,491.0,9.0
309,488.0,12.0
310,487.0,13.0
311,487.0,13.0
312,348.0,152.0
313,497.0,3.0
314,493.0,7.0
315,442.0,58.0
316,493.0,7.0
317,497.0,3.0
318,495.0,5.0
319,495.0,5.0
320,497.0,3.0
321,492.0,8.0
322,497.0,3.0
323,496.0,4.0
