,0,1
0,485.0,15.0
1,486.0,14.0
2,487.0,13.0
3,488.0,12.0
4,494.0,6.0
5,481.0,19.0
6,490.0,10.0
7,488.0,12.0
8,19.0,481.0
9,15.0,485.0
10,488.0,12.0
11,488.0,12.0
12,487.0,13.0
13,491.0,9.0
14,483.0,17.0
15,482.0,18.0
16,472.0,28.0
17,490.0,10.0
18,467.0,33.0
19,472.0,28.0
20,489.0,11.0
21,490.0,10.0
22,489.0,11.0
23,486.0,14.0
24,488.0,12.0
25,489.0,11.0
26,437.0,63.0
27,486.0,14.0
28,488.0,12.0
29,482.0,18.0
30,486.0,14.0
31,460.0,40.0
32,484.0,16.0
33,462.0,38.0
34,487.0,13.0
35,483.0,17.0
36,488.0,12.0
37,476.0,24.0
38,481.0,19.0
39,491.0,9.0
40,484.0,16.0
41,491.0,9.0
42,484.0,16.0
43,487.0,13.0
44,491.0,9.0
45,478.0,22.0
46,488.0,12.0
47,483.0,17.0
48,488.0,12.0
49,489.0,11.0
50,485.0,15.0
51,490.0,10.0
52,482.0,18.0
53,486.0,14.0
54,484.0,16.0
55,488.0,12.0
56,490.0,10.0
57,483.0,17.0
58,485.0,15.0
59,487.0,13.0
60,479.0,21.0
61,488.0,12.0
62,478.0,22.0
63,485.0,15.0
64,479.0,21.0
65,492.0,8.0
66,489.0,11.0
67,490.0,10.0
68,492.0,8.0
69,489.0,11.0
70,491.0,9.0
71,462.0,38.0
72,489.0,11.0
73,485.0,15.0
74,485.0,15.0
75,485.0,15.0
76,487.0,13.0
77,485.0,15.0
78,486.0,14.0
79,484.0,16.0
80,488.0,12.0
81,492.0,8.0
82,487.0,13.0
83,473.0,27.0
84,478.0,22.0
85,487.0,13.0
86,488.0,12.0
87,475.0,25.0
88,483.0,17.0
89,492.0,8.0
90,479.0,21.0
91,482.0,18.0
92,481.0,19.0
93,488.0,12.0
94,486.0,14.0
95,486.0,14.0
96,489.0,11.0
97,485.0,15.0
98,477.0,23.0
99,483.0,17.0
100,486.0,14.0
101,488.0,12.0
102,487.0,13.0
103,487.0,13.0
104,488.0,12.0
105,13.0,487.0
106,485.0,15.0
107,487.0,13.0
108,487.0,13.0
109,490.0,10.0
110,14.0,486.0
111,486.0,14.0
112,460.0,40.0
113,439.0,61.0
114,481.0,19.0
115,16.0,484.0
116,491.0,9.0
117,471.0,29.0
118,485.0,15.0
119,484.0,16.0
120,483.0,17.0
121,484.0,16.0
122,485.0,15.0
123,488.0,12.0
124,485.0,15.0
125,488.0,12.0
126,470.0,30.0
127,477.0,23.0
128,489.0,11.0
129,488.0,12.0
130,476.0,24.0
131,489.0,11.0
132,491.0,9.0
133,485.0,15.0
134,193.0,307.0
135,476.0,24.0
136,490.0,10.0
137,486.0,14.0
138,485.0,15.0
139,482.0,18.0
140,490.0,10.0
141,486.0,14.0
142,484.0,16.0
143,489.0,11.0
144,485.0,15.0
145,486.0,14.0
146,491.0,9.0
147,488.0,12.0
148,480.0,20.0
149,488.0,12.0
150,484.0,16.0
151,490.0,10.0
152,470.0,30.0
153,485.0,15.0
154,484.0,16.0
155,487.0,13.0
156,486.0,14.0
157,486.0,14.0
158,486.0,14.0
159,493.0,7.0
160,485.0,15.0
161,489.0,11.0
162,484.0,16.0
163,487.0,13.0
164,487.0,13.0
165,481.0,19.0
166,484.0,16.0
167,483.0,17.0
168,482.0,18.0
169,490.0,10.0
170,492.0,8.0
171,482.0,18.0
172,485.0,15.0
173,481.0,19.0
174,470.0,30.0
175,484.0,16.0
176,489.0,11.0
177,484.0,16.0
178,488.0,12.0
179,489.0,11.0
180,488.0,12.0
181,361.0,139.0
182,487.0,13.0
183,486.0,14.0
184,334.0,166.0
185,482.0,18.0
186,487.0,13.0
187,490.0,10.0
188,483.0,17.0
189,487.0,13.0
190,485.0,15.0
191,490.0,10.0
192,486.0,14.0
193,491.0,9.0
194,469.0,31.0
195,487.0,13.0
196,473.0,27.0
197,485.0,15.0
198,493.0,7.0
199,477.0,23.0
200,488.0,12.0
201,485.0,15.0
202,483.0,17.0
203,486.0,14.0
204,481.0,19.0
205,488.0,12.0
206,488.0,12.0
207,483.0,17.0
208,486.0,14.0
209,476.0,24.0
210,484.0,16.0
211,489.0,11.0
212,483.0,17.0
