,0,1,2,3,4
0,464.0,12.0,6.0,6.0,12.0
1,448.0,33.0,4.0,8.0,7.0
2,415.0,43.0,6.0,19.0,17.0
3,472.0,2.0,8.0,12.0,6.0
4,444.0,36.0,11.0,6.0,3.0
5,473.0,7.0,8.0,7.0,5.0
6,468.0,12.0,9.0,8.0,3.0
7,326.0,145.0,5.0,13.0,11.0
8,470.0,12.0,8.0,4.0,6.0
9,424.0,33.0,11.0,27.0,5.0
10,460.0,7.0,9.0,17.0,7.0
11,26.0,415.0,39.0,13.0,7.0
12,4.0,409.0,57.0,15.0,15.0
13,437.0,42.0,7.0,8.0,6.0
14,462.0,11.0,9.0,11.0,7.0
15,468.0,5.0,13.0,10.0,4.0
16,336.0,127.0,3.0,18.0,16.0
17,21.0,453.0,10.0,8.0,8.0
18,475.0,3.0,10.0,7.0,5.0
19,414.0,9.0,58.0,12.0,7.0
20,455.0,28.0,3.0,12.0,2.0
21,396.0,55.0,26.0,8.0,15.0
22,13.0,462.0,8.0,4.0,13.0
23,273.0,208.0,5.0,7.0,7.0
24,466.0,5.0,6.0,10.0,13.0
25,404.0,73.0,10.0,5.0,8.0
26,7.0,456.0,10.0,18.0,9.0
27,458.0,7.0,7.0,18.0,10.0
28,473.0,8.0,5.0,9.0,5.0
29,454.0,8.0,8.0,9.0,21.0
30,476.0,2.0,9.0,7.0,6.0
31,460.0,6.0,7.0,10.0,17.0
32,452.0,10.0,10.0,11.0,17.0
33,450.0,25.0,11.0,6.0,8.0
34,459.0,15.0,14.0,6.0,6.0
35,471.0,6.0,8.0,9.0,6.0
36,6.0,282.0,192.0,7.0,13.0
37,411.0,56.0,19.0,7.0,7.0
38,458.0,5.0,19.0,7.0,11.0
39,462.0,19.0,6.0,4.0,9.0
40,414.0,64.0,5.0,7.0,10.0
41,438.0,35.0,10.0,8.0,9.0
42,339.0,140.0,7.0,7.0,7.0
43,448.0,10.0,13.0,22.0,7.0
44,459.0,7.0,11.0,14.0,9.0
45,455.0,11.0,10.0,14.0,10.0
46,472.0,8.0,4.0,9.0,7.0
47,465.0,13.0,4.0,9.0,9.0
48,427.0,11.0,37.0,5.0,20.0
49,452.0,12.0,20.0,9.0,7.0
50,464.0,5.0,10.0,9.0,12.0
51,430.0,4.0,47.0,17.0,2.0
52,443.0,23.0,20.0,8.0,6.0
53,465.0,11.0,9.0,5.0,10.0
54,8.0,474.0,7.0,2.0,9.0
55,17.0,459.0,12.0,4.0,8.0
56,451.0,24.0,5.0,6.0,14.0
57,474.0,4.0,5.0,10.0,7.0
58,437.0,42.0,6.0,6.0,9.0
59,460.0,9.0,5.0,12.0,14.0
60,449.0,27.0,8.0,4.0,12.0
61,370.0,105.0,5.0,10.0,10.0
62,464.0,5.0,11.0,14.0,6.0
63,12.0,363.0,110.0,7.0,8.0
64,281.0,187.0,8.0,9.0,15.0
65,318.0,157.0,12.0,5.0,8.0
66,445.0,24.0,15.0,8.0,8.0
67,415.0,26.0,9.0,20.0,30.0
68,454.0,14.0,8.0,10.0,14.0
69,476.0,7.0,5.0,6.0,6.0
70,464.0,15.0,6.0,7.0,8.0
71,464.0,17.0,8.0,6.0,5.0
72,467.0,9.0,7.0,4.0,13.0
73,474.0,1.0,10.0,9.0,6.0
74,441.0,39.0,5.0,10.0,5.0
75,470.0,7.0,14.0,4.0,5.0
76,455.0,22.0,8.0,9.0,6.0
77,461.0,7.0,8.0,18.0,6.0
78,450.0,25.0,9.0,4.0,12.0
79,441.0,30.0,11.0,12.0,6.0
80,473.0,6.0,7.0,2.0,12.0
81,445.0,8.0,15.0,10.0,22.0
82,71.0,412.0,6.0,5.0,6.0
83,13.0,464.0,5.0,9.0,9.0
84,468.0,7.0,18.0,5.0,2.0
85,450.0,26.0,11.0,7.0,6.0
86,433.0,45.0,9.0,8.0,5.0
87,434.0,31.0,3.0,13.0,19.0
88,177.0,305.0,7.0,5.0,6.0
89,428.0,7.0,15.0,9.0,41.0
90,91.0,335.0,47.0,22.0,5.0
91,451.0,11.0,22.0,10.0,6.0
92,7.0,478.0,5.0,5.0,5.0
93,464.0,15.0,6.0,8.0,7.0
94,461.0,21.0,10.0,4.0,4.0
95,460.0,11.0,7.0,17.0,5.0
96,10.0,459.0,7.0,10.0,14.0
97,479.0,4.0,7.0,4.0,6.0
98,449.0,31.0,9.0,5.0,6.0
99,463.0,12.0,14.0,6.0,5.0
100,410.0,79.0,2.0,4.0,5.0
101,16.0,448.0,10.0,15.0,11.0
102,243.0,227.0,15.0,9.0,6.0
103,4.0,467.0,19.0,6.0,4.0
104,470.0,5.0,12.0,5.0,8.0
105,466.0,6.0,12.0,6.0,10.0
106,433.0,21.0,17.0,22.0,7.0
107,453.0,19.0,21.0,5.0,2.0
108,465.0,5.0,21.0,3.0,6.0
109,445.0,37.0,8.0,4.0,6.0
110,462.0,6.0,14.0,11.0,7.0
