,0,1,2,3,4
0,278.0,88.0,40.0,58.0,36.0
1,220.0,152.0,55.0,38.0,35.0
2,232.0,115.0,63.0,48.0,42.0
3,264.0,106.0,46.0,44.0,40.0
4,228.0,105.0,87.0,45.0,35.0
5,169.0,171.0,90.0,50.0,20.0
6,275.0,117.0,43.0,39.0,26.0
7,241.0,141.0,48.0,29.0,41.0
8,353.0,1.0,63.0,50.0,33.0
9,244.0,119.0,60.0,43.0,34.0
10,274.0,91.0,72.0,38.0,25.0
11,259.0,99.0,89.0,26.0,27.0
12,280.0,76.0,68.0,49.0,27.0
13,268.0,111.0,33.0,42.0,46.0
14,219.0,111.0,81.0,40.0,49.0
15,243.0,83.0,77.0,53.0,44.0
16,237.0,86.0,78.0,48.0,51.0
17,174.0,147.0,81.0,47.0,51.0
18,228.0,96.0,59.0,41.0,76.0
19,260.0,86.0,75.0,48.0,31.0
20,239.0,125.0,49.0,55.0,32.0
21,387.0,1.0,27.0,50.0,35.0
22,172.0,181.0,62.0,49.0,36.0
23,234.0,83.0,95.0,43.0,45.0
24,259.0,102.0,56.0,32.0,51.0
25,291.0,93.0,43.0,41.0,32.0
26,168.0,190.0,59.0,51.0,32.0
27,214.0,135.0,60.0,62.0,29.0
28,275.0,91.0,38.0,66.0,30.0
29,299.0,102.0,77.0,1.0,21.0
30,352.0,1.0,65.0,58.0,24.0
31,270.0,121.0,42.0,66.0,1.0
32,289.0,97.0,39.0,37.0,38.0
33,275.0,128.0,52.0,44.0,1.0
34,246.0,98.0,68.0,63.0,25.0
35,222.0,126.0,69.0,46.0,37.0
36,205.0,110.0,80.0,60.0,45.0
37,206.0,118.0,92.0,34.0,50.0
38,235.0,124.0,46.0,51.0,44.0
39,211.0,185.0,63.0,1.0,40.0
40,249.0,116.0,61.0,37.0,37.0
41,262.0,62.0,68.0,68.0,40.0
42,178.0,146.0,72.0,66.0,38.0
43,187.0,167.0,70.0,33.0,43.0
44,240.0,94.0,57.0,43.0,66.0
45,205.0,111.0,75.0,69.0,40.0
46,204.0,132.0,62.0,56.0,46.0
47,284.0,123.0,53.0,39.0,1.0
48,272.0,99.0,92.0,36.0,1.0
49,236.0,84.0,53.0,76.0,51.0
50,269.0,114.0,64.0,1.0,52.0
51,214.0,142.0,72.0,43.0,29.0
52,284.0,174.0,1.0,1.0,40.0
53,242.0,77.0,77.0,74.0,30.0
54,289.0,84.0,53.0,34.0,40.0
55,236.0,92.0,92.0,32.0,48.0
56,288.0,105.0,69.0,1.0,37.0
57,187.0,130.0,79.0,60.0,44.0
58,245.0,120.0,45.0,50.0,40.0
59,238.0,143.0,43.0,47.0,29.0
60,200.0,119.0,65.0,50.0,66.0
61,193.0,147.0,55.0,57.0,48.0
62,251.0,133.0,50.0,40.0,26.0
63,272.0,80.0,60.0,43.0,45.0
64,237.0,85.0,82.0,56.0,40.0
65,333.0,1.0,67.0,51.0,48.0
66,236.0,118.0,60.0,57.0,29.0
67,321.0,87.0,58.0,1.0,33.0
68,255.0,104.0,62.0,41.0,38.0
69,186.0,181.0,55.0,35.0,43.0
70,253.0,92.0,57.0,63.0,35.0
71,235.0,122.0,47.0,57.0,39.0
72,265.0,134.0,53.0,47.0,1.0
73,328.0,45.0,66.0,33.0,28.0
74,322.0,107.0,47.0,1.0,23.0
75,349.0,1.0,67.0,32.0,51.0
76,191.0,152.0,45.0,67.0,45.0
77,245.0,81.0,72.0,49.0,53.0
78,220.0,124.0,62.0,44.0,50.0
79,213.0,129.0,70.0,54.0,34.0
80,271.0,101.0,58.0,33.0,37.0
